RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0296053, 0.0280472, 0.05, 0.261552, 0.680795
0.25, 0, 0.0316123, 0.0207011, 0.05, 0.254063, 0.693623
0.25, 0, 0.028094, 0.0235923, 0.05, 0.259359, 0.688955
0.25, 0, 0.0319882, 0.0235086, 0.05, 0.257689, 0.686814
0.25, 0, 0.036689, 0.0242421, 0.05, 0.25227, 0.686798
0.25, 0, 0.0314522, 0.0235508, 0.05, 0.264696, 0.680301
0.25, 0, 0.0307796, 0.0215605, 0.05, 0.256765, 0.690895
0.25, 0, 0.030054, 0.0250595, 0.05, 0.261163, 0.683723
0.25, 0, 0.0316972, 0.0239338, 0.05, 0.257114, 0.687255
0.25, 0, 0.0309494, 0.0229797, 0.05, 0.260726, 0.685345
0.25, 0, 0.0324584, 0.0209993, 0.05, 0.264015, 0.682527
0.25, 0, 0.0319492, 0.0209716, 0.05, 0.248987, 0.698092
0.25, 0, 0.0301737, 0.0240056, 0.05, 0.265598, 0.680222
0.25, 0, 0.0319817, 0.022096, 0.05, 0.25428, 0.691642
0.25, 0, 0.0317736, 0.0224808, 0.05, 0.262901, 0.682845
0.25, 0, 0.0311055, 0.023632, 0.05, 0.262855, 0.682408
0.25, 0, 0.0314451, 0.0247809, 0.05, 0.257954, 0.68582
0.25, 0, 0.0302574, 0.0237532, 0.05, 0.254516, 0.691474
0.25, 0, 0.02897, 0.0236884, 0.05, 0.255174, 0.692167
0.25, 0, 0.0322921, 0.0202726, 0.05, 0.256726, 0.690709
0.25, 0, 0.0314171, 0.0208229, 0.05, 0.259494, 0.688266
0.25, 0, 0.0290721, 0.0208628, 0.05, 0.257153, 0.692912
0.25, 0, 0.0258205, 0.0229741, 0.05, 0.261573, 0.689633
0.25, 0, 0.0311766, 0.0241359, 0.05, 0.259428, 0.685259
0.25, 0, 0.0315309, 0.0241494, 0.05, 0.257936, 0.686384
0.25, 0, 0.033299, 0.0217597, 0.05, 0.263956, 0.680985
0.25, 0, 0.0279954, 0.0227643, 0.05, 0.261445, 0.687795
0.25, 0, 0.0293299, 0.0234727, 0.05, 0.26036, 0.686838
0.25, 0, 0.0279501, 0.0209961, 0.05, 0.256395, 0.694658
0.25, 0, 0.0267876, 0.0214813, 0.05, 0.250244, 0.701487
0.25, 0, 0.029172, 0.0245984, 0.05, 0.259847, 0.686383
0.25, 0, 0.0277367, 0.0229995, 0.05, 0.257469, 0.691795
0.25, 0, 0.0291885, 0.0215845, 0.05, 0.254355, 0.694872
0.25, 0, 0.0318729, 0.0203197, 0.05, 0.261762, 0.686045
0.25, 0, 0.028371, 0.019784, 0.05, 0.264124, 0.687721
0.25, 0, 0.0279498, 0.0202386, 0.05, 0.266427, 0.685385
0.25, 0, 0.0326231, 0.0207346, 0.05, 0.259524, 0.687119
0.25, 0, 0.0306557, 0.023742, 0.05, 0.257028, 0.688574
0.25, 0, 0.0293721, 0.0231804, 0.05, 0.259146, 0.688302
0.25, 0, 0.0320861, 0.0219033, 0.05, 0.254841, 0.691169
0.25, 0, 0.0274031, 0.0231193, 0.05, 0.260241, 0.689237
0.25, 0, 0.0316269, 0.0228667, 0.05, 0.259805, 0.685701
0.25, 0, 0.0315314, 0.0188116, 0.05, 0.263588, 0.686069
