RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0333713, 0.0325657, 0.05, 0.263791, 0.670272
0.25, 0, 0.0296053, 0.0296546, 0.05, 0.263819, 0.676921
0.25, 0, 0.0297019, 0.0327518, 0.05, 0.256182, 0.681365
0.25, 0, 0.0293169, 0.0299887, 0.05, 0.258249, 0.682446
0.25, 0, 0.032286, 0.0308691, 0.05, 0.251012, 0.685833
0.25, 0, 0.0284919, 0.0272461, 0.05, 0.261924, 0.682338
0.25, 0, 0.0308016, 0.030851, 0.05, 0.255389, 0.682958
0.25, 0, 0.0284255, 0.0260433, 0.05, 0.258459, 0.687072
0.25, 0, 0.0311358, 0.0290619, 0.05, 0.252011, 0.687791
0.25, 0, 0.0285716, 0.028946, 0.05, 0.26618, 0.676303
0.25, 0, 0.0338876, 0.0269179, 0.05, 0.255036, 0.684159
0.25, 0, 0.0305595, 0.0284697, 0.05, 0.25053, 0.690441
0.25, 0, 0.0304886, 0.030567, 0.05, 0.255647, 0.683298
0.25, 0, 0.0297728, 0.0279778, 0.05, 0.256354, 0.685896
0.25, 0, 0.0306593, 0.0316815, 0.05, 0.251972, 0.685687
0.25, 0, 0.0306089, 0.0288639, 0.05, 0.254938, 0.68559
0.25, 0, 0.0284366, 0.0309033, 0.05, 0.257601, 0.683059
0.25, 0, 0.0289223, 0.0274975, 0.05, 0.261072, 0.682508
0.25, 0, 0.0347218, 0.0291749, 0.05, 0.252661, 0.683442
0.25, 0, 0.0335496, 0.0299327, 0.05, 0.254709, 0.681809
0.25, 0, 0.0263865, 0.0292917, 0.05, 0.264105, 0.680217
0.25, 0, 0.0277947, 0.0334819, 0.05, 0.2623, 0.676424
0.25, 0, 0.0323901, 0.0286291, 0.05, 0.253255, 0.685726
0.25, 0, 0.029271, 0.0289584, 0.05, 0.259206, 0.682565
0.25, 0, 0.0334632, 0.0327043, 0.05, 0.255144, 0.678689
0.25, 0, 0.0327048, 0.0325288, 0.05, 0.258078, 0.676689
0.25, 0, 0.0314255, 0.0313861, 0.05, 0.2571, 0.680088
0.25, 0, 0.0344979, 0.0325316, 0.05, 0.255588, 0.677382
0.25, 0, 0.0347699, 0.0286631, 0.05, 0.252338, 0.684228
0.25, 0, 0.0333342, 0.0276422, 0.05, 0.249474, 0.68955
0.25, 0, 0.0285999, 0.0279922, 0.05, 0.25727, 0.686137
0.25, 0, 0.0336522, 0.0326715, 0.05, 0.262491, 0.671185
0.25, 0, 0.0309405, 0.0273034, 0.05, 0.254014, 0.687742
0.25, 0, 0.0298711, 0.0285967, 0.05, 0.270993, 0.670539
0.25, 0, 0.0299721, 0.0281425, 0.05, 0.253885, 0.688001
0.25, 0, 0.0336584, 0.0299095, 0.05, 0.257988, 0.678444
0.25, 0, 0.029745, 0.0290779, 0.05, 0.257309, 0.683868
0.25, 0, 0.0304212, 0.0330215, 0.05, 0.252779, 0.683778
0.25, 0, 0.0319867, 0.0285862, 0.05, 0.254348, 0.685079
0.25, 0, 0.0261731, 0.0306861, 0.05, 0.25731, 0.685831
0.25, 0, 0.0303321, 0.029586, 0.05, 0.264948, 0.675134
0.25, 0, 0.0309602, 0.0277963, 0.05, 0.251587, 0.689657
0.25, 0, 0.0343644, 0.0290322, 0.05, 0.252907, 0.683696
0.25, 0, 0.0345898, 0.0291306, 0.05, 0.25788, 0.678399
0.25, 0, 0.029814, 0.0293163, 0.05, 0.253612, 0.687258
0.25, 0, 0.0350702, 0.0319851, 0.05, 0.258656, 0.674289
0.25, 0, 0.027612, 0.0315621, 0.05, 0.264035, 0.676791
0.25, 0, 0.034067, 0.0302983, 0.05, 0.259193, 0.676441
0.25, 0, 0.0282671, 0.0303054, 0.05, 0.253886, 0.687542
0.25, 0, 0.0295995, 0.0288126, 0.05, 0.26281, 0.678778
0.25, 0, 0.0310785, 0.0332434, 0.05, 0.257473, 0.678205
0.25, 0, 0.029632, 0.0316662, 0.05, 0.264981, 0.67372
0.25, 0, 0.0317282, 0.0277363, 0.05, 0.252655, 0.68788
0.25, 0, 0.0275441, 0.0297985, 0.05, 0.257624, 0.685034
0.25, 0, 0.0302677, 0.0290449, 0.05, 0.254528, 0.686159
0.25, 0, 0.028551, 0.0292285, 0.05, 0.25976, 0.68246
0.25, 0, 0.0307117, 0.0259013, 0.05, 0.259695, 0.683692
0.25, 0, 0.0312271, 0.0285923, 0.05, 0.261922, 0.678259
0.25, 0, 0.0312114, 0.0304536, 0.05, 0.249962, 0.688373
0.25, 0, 0.0338253, 0.0297003, 0.05, 0.262464, 0.67401
0.25, 0, 0.0293485, 0.0307456, 0.05, 0.261396, 0.67851
0.25, 0, 0.0297308, 0.0297279, 0.05, 0.262406, 0.678135
0.25, 0, 0.0278137, 0.0293107, 0.05, 0.259331, 0.683545
0.25, 0, 0.0339698, 0.031811, 0.05, 0.259246, 0.674973
0.25, 0, 0.0320143, 0.0308062, 0.05, 0.253824, 0.683356
0.25, 0, 0.0311022, 0.0262179, 0.05, 0.263443, 0.679237
0.25, 0, 0.0309762, 0.0286282, 0.05, 0.261943, 0.678452
0.25, 0, 0.0313544, 0.0301873, 0.05, 0.254487, 0.683971
0.25, 0, 0.0297721, 0.0293488, 0.05, 0.25651, 0.684369
0.25, 0, 0.0299541, 0.0310583, 0.05, 0.252595, 0.686393
0.25, 0, 0.0281749, 0.0290367, 0.05, 0.254616, 0.688172
0.25, 0, 0.0315761, 0.0275801, 0.05, 0.245091, 0.695753
0.25, 0, 0.0280768, 0.0273615, 0.05, 0.255061, 0.689501
0.25, 0, 0.0304262, 0.0286489, 0.05, 0.262257, 0.678668
0.25, 0, 0.0359784, 0.0285692, 0.05, 0.26006, 0.675392
0.25, 0, 0.0342489, 0.033613, 0.05, 0.262135, 0.670003
0.25, 0, 0.0309765, 0.0296928, 0.05, 0.262108, 0.677223
0.25, 0, 0.0313776, 0.0280341, 0.05, 0.257589, 0.682999
0.25, 0, 0.0324538, 0.0342882, 0.05, 0.25811, 0.675148
0.25, 0, 0.0322268, 0.0283966, 0.05, 0.257174, 0.682203
0.25, 0, 0.0284374, 0.0337832, 0.05, 0.258973, 0.678807
0.25, 0, 0.0290017, 0.0277101, 0.05, 0.257908, 0.68538
0.25, 0, 0.0279784, 0.0305596, 0.05, 0.258032, 0.68343
0.25, 0, 0.0306304, 0.0310462, 0.05, 0.258787, 0.679536
0.25, 0, 0.0316173, 0.0273731, 0.05, 0.255672, 0.685337
0.25, 0, 0.0286998, 0.0304157, 0.05, 0.264969, 0.675916
