RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0330449, 0.030979, 0.05, 0.259438, 0.676538
0.25, 0, 0.02935, 0.0326627, 0.05, 0.252338, 0.685649
0.25, 0, 0.0282002, 0.0309622, 0.05, 0.256593, 0.684245
0.25, 0, 0.0293485, 0.0289857, 0.05, 0.25618, 0.685486
0.25, 0, 0.0339451, 0.0284766, 0.05, 0.256875, 0.680704
0.25, 0, 0.0333249, 0.0268509, 0.05, 0.24824, 0.691584
0.25, 0, 0.030511, 0.0303595, 0.05, 0.256165, 0.682965
0.25, 0, 0.0287527, 0.026642, 0.05, 0.260536, 0.68407
0.25, 0, 0.0304409, 0.0312954, 0.05, 0.266827, 0.671437
0.25, 0, 0.0281329, 0.0316222, 0.05, 0.255532, 0.684713
0.25, 0, 0.0315547, 0.0257248, 0.05, 0.251274, 0.691447
0.25, 0, 0.0317078, 0.0315877, 0.05, 0.250928, 0.685777
0.25, 0, 0.0301629, 0.0286262, 0.05, 0.252144, 0.689067
0.25, 0, 0.0336601, 0.0314768, 0.05, 0.255082, 0.679781
0.25, 0, 0.0296926, 0.0325162, 0.05, 0.256011, 0.68178
0.25, 0, 0.0285014, 0.0313415, 0.05, 0.259721, 0.680436
0.25, 0, 0.0322762, 0.030594, 0.05, 0.26319, 0.67394
0.25, 0, 0.0302164, 0.0297725, 0.05, 0.264678, 0.675333
0.25, 0, 0.0293573, 0.02819, 0.05, 0.258669, 0.683784
0.25, 0, 0.0287639, 0.0275684, 0.05, 0.258745, 0.684923
0.25, 0, 0.0287102, 0.02992, 0.05, 0.249837, 0.691533
0.25, 0, 0.0297401, 0.0317008, 0.05, 0.260734, 0.677825
0.25, 0, 0.0323772, 0.0268619, 0.05, 0.260682, 0.680079
0.25, 0, 0.0286233, 0.0292209, 0.05, 0.262925, 0.679231
0.25, 0, 0.0310179, 0.030006, 0.05, 0.255976, 0.683
0.25, 0, 0.0316334, 0.0302732, 0.05, 0.26147, 0.676623
0.25, 0, 0.0297781, 0.0290843, 0.05, 0.25312, 0.688017
0.25, 0, 0.0304002, 0.029812, 0.05, 0.258565, 0.681223
0.25, 0, 0.0290836, 0.0274172, 0.05, 0.261558, 0.681941
0.25, 0, 0.0309276, 0.026099, 0.05, 0.260564, 0.68241
0.25, 0, 0.0323227, 0.0293693, 0.05, 0.258194, 0.680114
0.25, 0, 0.0336627, 0.0284063, 0.05, 0.265543, 0.672388
0.25, 0, 0.0308645, 0.0239714, 0.05, 0.265333, 0.679831
0.25, 0, 0.0310143, 0.0304787, 0.05, 0.260902, 0.677605
0.25, 0, 0.03031, 0.0294374, 0.05, 0.250935, 0.689317
0.25, 0, 0.028626, 0.0288976, 0.05, 0.262085, 0.680392
0.25, 0, 0.0306374, 0.02754, 0.05, 0.25338, 0.688442
0.25, 0, 0.0298676, 0.0343588, 0.05, 0.248145, 0.687629
0.25, 0, 0.0319635, 0.0272532, 0.05, 0.254364, 0.68642
0.25, 0, 0.0299535, 0.0287087, 0.05, 0.253695, 0.687643
0.25, 0, 0.0276653, 0.0296464, 0.05, 0.260936, 0.681752
0.25, 0, 0.0313033, 0.032676, 0.05, 0.261566, 0.674455
0.25, 0, 0.0317339, 0.0304297, 0.05, 0.264705, 0.673132
0.25, 0, 0.0294424, 0.0307808, 0.05, 0.262209, 0.677568
0.25, 0, 0.0294752, 0.0300747, 0.05, 0.269923, 0.670527
0.25, 0, 0.0283207, 0.0293575, 0.05, 0.257679, 0.684643
0.25, 0, 0.0341734, 0.0277706, 0.05, 0.249702, 0.688354
0.25, 0, 0.031489, 0.0326657, 0.05, 0.254105, 0.68174
0.25, 0, 0.0302475, 0.0281288, 0.05, 0.261755, 0.679869
0.25, 0, 0.0282674, 0.0308364, 0.05, 0.254981, 0.685915
0.25, 0, 0.0301674, 0.031464, 0.05, 0.267872, 0.670496
0.25, 0, 0.031059, 0.0277472, 0.05, 0.260157, 0.681037
0.25, 0, 0.0301848, 0.031868, 0.05, 0.25584, 0.682107
0.25, 0, 0.0312074, 0.0299343, 0.05, 0.257711, 0.681147
0.25, 0, 0.0281878, 0.0270396, 0.05, 0.251145, 0.693627
0.25, 0, 0.0274062, 0.0301948, 0.05, 0.259668, 0.682731
0.25, 0, 0.0315383, 0.0309097, 0.05, 0.267731, 0.669821
0.25, 0, 0.0302072, 0.0258323, 0.05, 0.264063, 0.679898
0.25, 0, 0.0307837, 0.0282458, 0.05, 0.270071, 0.670899
0.25, 0, 0.03245, 0.0273059, 0.05, 0.250285, 0.689959
0.25, 0, 0.0322132, 0.0277344, 0.05, 0.254577, 0.685475
0.25, 0, 0.0302884, 0.0276528, 0.05, 0.258524, 0.683535
0.25, 0, 0.0288697, 0.0288289, 0.05, 0.258552, 0.683749
0.25, 0, 0.0297359, 0.0248708, 0.05, 0.256717, 0.688676
0.25, 0, 0.0314082, 0.0269265, 0.05, 0.261668, 0.679997
0.25, 0, 0.0283656, 0.0309081, 0.05, 0.255719, 0.685007
0.25, 0, 0.0309224, 0.0319613, 0.05, 0.259675, 0.677442
0.25, 0, 0.0316577, 0.0255843, 0.05, 0.258235, 0.684523
0.25, 0, 0.0346074, 0.0325701, 0.05, 0.255111, 0.677711
0.25, 0, 0.0281417, 0.0279863, 0.05, 0.255297, 0.688575
0.25, 0, 0.0264551, 0.0300932, 0.05, 0.260502, 0.68295
0.25, 0, 0.0315969, 0.0274017, 0.05, 0.264852, 0.67615
0.25, 0, 0.0288593, 0.032368, 0.05, 0.260039, 0.678733
0.25, 0, 0.029726, 0.0308845, 0.05, 0.255656, 0.683734
0.25, 0, 0.0321092, 0.0284767, 0.05, 0.256419, 0.682995
0.25, 0, 0.0281691, 0.029313, 0.05, 0.259507, 0.683011
0.25, 0, 0.0301017, 0.0284526, 0.05, 0.259481, 0.681964
0.25, 0, 0.0288126, 0.0312896, 0.05, 0.260096, 0.679802
0.25, 0, 0.029824, 0.0313797, 0.05, 0.255991, 0.682805
0.25, 0, 0.0295948, 0.0306135, 0.05, 0.261164, 0.678628
0.25, 0, 0.0272799, 0.0265444, 0.05, 0.260502, 0.685674
0.25, 0, 0.0318596, 0.0273519, 0.05, 0.254266, 0.686523
0.25, 0, 0.0326566, 0.0297603, 0.05, 0.262833, 0.67475
0.25, 0, 0.0319121, 0.0298593, 0.05, 0.257819, 0.680409
0.25, 0, 0.0292047, 0.0304728, 0.05, 0.262918, 0.677404
0.25, 0, 0.0312476, 0.0269661, 0.05, 0.268512, 0.673274
0.25, 0, 0.0270663, 0.0269985, 0.05, 0.261549, 0.684386
0.25, 0, 0.0320534, 0.0305669, 0.05, 0.255739, 0.681641
0.25, 0, 0.022166, 0.032258, 0.05, 0.258611, 0.686965
0.25, 0, 0.0321802, 0.0297222, 0.05, 0.264852, 0.673246
0.25, 0, 0.034087, 0.0317388, 0.05, 0.256447, 0.677727
