RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0322107, 0.0225339, 0.05, 0.267884, 0.677371
0.25, 0, 0.0339258, 0.0229771, 0.05, 0.266689, 0.676408
0.25, 0, 0.0335927, 0.0220305, 0.05, 0.273163, 0.671213
0.25, 0, 0.0334816, 0.0207886, 0.05, 0.262553, 0.683176
0.25, 0, 0.0324064, 0.0247534, 0.05, 0.277138, 0.665702
0.25, 0, 0.0338135, 0.020367, 0.05, 0.271963, 0.673856
0.25, 0, 0.0321725, 0.02678, 0.05, 0.265041, 0.676006
0.25, 0, 0.0333541, 0.0190079, 0.05, 0.27987, 0.667768
0.25, 0, 0.0357655, 0.0247154, 0.05, 0.268336, 0.671183
0.25, 0, 0.0310098, 0.0217735, 0.05, 0.273447, 0.673769
0.25, 0, 0.0300864, 0.0211867, 0.05, 0.280995, 0.667732
0.25, 0, 0.0337523, 0.0245243, 0.05, 0.271014, 0.670709
0.25, 0, 0.0352145, 0.0225521, 0.05, 0.269457, 0.672776
0.25, 0, 0.0321251, 0.0255687, 0.05, 0.27611, 0.666197
0.25, 0, 0.0340767, 0.0204412, 0.05, 0.267892, 0.67759
0.25, 0, 0.0353601, 0.0233574, 0.05, 0.281313, 0.65997
0.25, 0, 0.0339663, 0.0186579, 0.05, 0.268322, 0.679053
0.25, 0, 0.0321421, 0.0253278, 0.05, 0.269052, 0.673478
0.25, 0, 0.035764, 0.0235253, 0.05, 0.273532, 0.667179
0.25, 0, 0.0342439, 0.0191977, 0.05, 0.278959, 0.667599
0.25, 0, 0.0336794, 0.0239509, 0.05, 0.274797, 0.667573
0.25, 0, 0.0314867, 0.0231189, 0.05, 0.281428, 0.663966
0.25, 0, 0.0337902, 0.0195092, 0.05, 0.270591, 0.67611
0.25, 0, 0.0346979, 0.0206511, 0.05, 0.272577, 0.672074
0.25, 0, 0.0370975, 0.023318, 0.05, 0.262598, 0.676986
0.25, 0, 0.0303392, 0.0212901, 0.05, 0.28086, 0.667511
0.25, 0, 0.0318052, 0.0254178, 0.05, 0.269754, 0.673023
0.25, 0, 0.0367001, 0.0227515, 0.05, 0.277067, 0.663481
0.25, 0, 0.0370674, 0.0202952, 0.05, 0.268206, 0.674431
0.25, 0, 0.0386389, 0.0211164, 0.05, 0.278325, 0.66192
0.25, 0, 0.032644, 0.0222015, 0.05, 0.275003, 0.670151
0.25, 0, 0.036418, 0.0205574, 0.05, 0.274111, 0.668914
0.25, 0, 0.0352578, 0.0235131, 0.05, 0.28159, 0.659639
0.25, 0, 0.0316949, 0.0174744, 0.05, 0.286204, 0.664627
0.25, 0, 0.0357692, 0.021408, 0.05, 0.272393, 0.67043
0.25, 0, 0.0328262, 0.0229879, 0.05, 0.275151, 0.669035
0.25, 0, 0.0338527, 0.0253527, 0.05, 0.275261, 0.665533
0.25, 0, 0.0345648, 0.019822, 0.05, 0.266883, 0.67873
0.25, 0, 0.0281006, 0.0200477, 0.05, 0.264838, 0.687014
0.25, 0, 0.0354625, 0.0228412, 0.05, 0.272075, 0.669621
0.25, 0, 0.0359682, 0.022416, 0.05, 0.271757, 0.669859
0.25, 0, 0.038896, 0.0212939, 0.05, 0.275513, 0.664297
0.25, 0, 0.0320189, 0.0203656, 0.05, 0.272345, 0.67527
0.25, 0, 0.0362298, 0.0247784, 0.05, 0.266959, 0.672032
0.25, 0, 0.0346204, 0.0223462, 0.05, 0.275128, 0.667906
0.25, 0, 0.0352273, 0.0222707, 0.05, 0.276734, 0.665768
0.25, 0, 0.0289375, 0.0222674, 0.05, 0.258854, 0.689941
0.25, 0, 0.0337756, 0.0197002, 0.05, 0.27223, 0.674294
0.25, 0, 0.0336304, 0.0226838, 0.05, 0.265071, 0.678614
0.25, 0, 0.0323149, 0.0229303, 0.05, 0.269805, 0.67495
0.25, 0, 0.0308608, 0.020811, 0.05, 0.268422, 0.679906
0.25, 0, 0.031624, 0.021668, 0.05, 0.269033, 0.677675
0.25, 0, 0.02973, 0.0229452, 0.05, 0.285858, 0.661466
0.25, 0, 0.0344087, 0.0231429, 0.05, 0.273932, 0.668516
0.25, 0, 0.0346076, 0.0227257, 0.05, 0.262711, 0.679955
0.25, 0, 0.0363909, 0.0224272, 0.05, 0.285633, 0.655549
0.25, 0, 0.0315824, 0.0221291, 0.05, 0.277703, 0.668586
0.25, 0, 0.0344593, 0.0193722, 0.05, 0.270687, 0.675481
0.25, 0, 0.033967, 0.0208541, 0.05, 0.27939, 0.665789
0.25, 0, 0.036708, 0.0223524, 0.05, 0.267087, 0.673852
0.25, 0, 0.035614, 0.0224831, 0.05, 0.275719, 0.666184
0.25, 0, 0.0323536, 0.0247406, 0.05, 0.273234, 0.669671
0.25, 0, 0.0274372, 0.0231883, 0.05, 0.272388, 0.676987
0.25, 0, 0.0366752, 0.0187644, 0.05, 0.262331, 0.68223
0.25, 0, 0.0361344, 0.0228075, 0.05, 0.272026, 0.669032
0.25, 0, 0.0355167, 0.0243719, 0.05, 0.261866, 0.678245
0.25, 0, 0.0356406, 0.0265987, 0.05, 0.277706, 0.660055
0.25, 0, 0.0308177, 0.0215832, 0.05, 0.282374, 0.665225
0.25, 0, 0.0307497, 0.0243264, 0.05, 0.271609, 0.673315
0.25, 0, 0.0285415, 0.0230024, 0.05, 0.283014, 0.665442
0.25, 0, 0.0378956, 0.0206377, 0.05, 0.272671, 0.668795
0.25, 0, 0.0341512, 0.0272632, 0.05, 0.273914, 0.664671
0.25, 0, 0.0335095, 0.0234627, 0.05, 0.273103, 0.669925
0.25, 0, 0.031099, 0.0215978, 0.05, 0.283169, 0.664134
0.25, 0, 0.0354187, 0.0214707, 0.05, 0.272005, 0.671106
0.25, 0, 0.0331419, 0.0250737, 0.05, 0.263212, 0.678572
