RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0290416, 0.0258106, 0.05, 0.27726, 0.667888
0.25, 0, 0.0357061, 0.0307615, 0.05, 0.274549, 0.658983
0.25, 0, 0.0322488, 0.0309004, 0.05, 0.280981, 0.65587
0.25, 0, 0.0285819, 0.0314139, 0.05, 0.278262, 0.661743
0.25, 0, 0.0315818, 0.0280486, 0.05, 0.272752, 0.667618
0.25, 0, 0.0311296, 0.0271792, 0.05, 0.277152, 0.664539
0.25, 0, 0.0339234, 0.0314158, 0.05, 0.274177, 0.660484
0.25, 0, 0.0361178, 0.0310671, 0.05, 0.274257, 0.658558
0.25, 0, 0.0323575, 0.0321186, 0.05, 0.274098, 0.661426
0.25, 0, 0.0317566, 0.0305853, 0.05, 0.279692, 0.657966
0.25, 0, 0.0274873, 0.0315634, 0.05, 0.284449, 0.656501
0.25, 0, 0.0346225, 0.0329852, 0.05, 0.271827, 0.660565
0.25, 0, 0.0297435, 0.0356751, 0.05, 0.277205, 0.657377
0.25, 0, 0.0335803, 0.0286112, 0.05, 0.276054, 0.661755
0.25, 0, 0.0344322, 0.0339531, 0.05, 0.271536, 0.660079
0.25, 0, 0.0377413, 0.0294911, 0.05, 0.275362, 0.657405
0.25, 0, 0.0366712, 0.0312439, 0.05, 0.275462, 0.656623
0.25, 0, 0.0353262, 0.0316027, 0.05, 0.278782, 0.654289
0.25, 0, 0.0333619, 0.0307607, 0.05, 0.276525, 0.659353
0.25, 0, 0.0343411, 0.0323907, 0.05, 0.271888, 0.66138
0.25, 0, 0.0358999, 0.0308943, 0.05, 0.292711, 0.640495
0.25, 0, 0.0313253, 0.0323515, 0.05, 0.280837, 0.655486
0.25, 0, 0.035133, 0.0285097, 0.05, 0.258176, 0.678182
0.25, 0, 0.031865, 0.0262516, 0.05, 0.275628, 0.666255
0.25, 0, 0.0346222, 0.0310459, 0.05, 0.286572, 0.64776
0.25, 0, 0.0358809, 0.0310267, 0.05, 0.275558, 0.657535
0.25, 0, 0.0326334, 0.0321934, 0.05, 0.258219, 0.676955
0.25, 0, 0.0349608, 0.0313865, 0.05, 0.27124, 0.662413
0.25, 0, 0.0332444, 0.0306528, 0.05, 0.275813, 0.66029
0.25, 0, 0.0298949, 0.0324312, 0.05, 0.27285, 0.664824
0.25, 0, 0.035665, 0.0299523, 0.05, 0.271958, 0.662424
0.25, 0, 0.0325787, 0.0325897, 0.05, 0.268737, 0.666095
0.25, 0, 0.0337601, 0.0340056, 0.05, 0.274548, 0.657686
0.25, 0, 0.0326032, 0.02779, 0.05, 0.276, 0.663607
0.25, 0, 0.0341405, 0.0275564, 0.05, 0.282735, 0.655568
0.25, 0, 0.0378221, 0.0294847, 0.05, 0.27246, 0.660233
0.25, 0, 0.0351028, 0.0307043, 0.05, 0.275943, 0.65825
0.25, 0, 0.0352725, 0.0307113, 0.05, 0.273778, 0.660238
0.25, 0, 0.0321241, 0.032142, 0.05, 0.275743, 0.659991
0.25, 0, 0.0310037, 0.030808, 0.05, 0.283844, 0.654345
0.25, 0, 0.0319827, 0.0278432, 0.05, 0.280722, 0.659452
0.25, 0, 0.030247, 0.0273258, 0.05, 0.273552, 0.668875
0.25, 0, 0.0376279, 0.0320398, 0.05, 0.273911, 0.656421
0.25, 0, 0.0321831, 0.0334399, 0.05, 0.273642, 0.660735
0.25, 0, 0.0321284, 0.0332954, 0.05, 0.267291, 0.667285
0.25, 0, 0.0339424, 0.0290162, 0.05, 0.282946, 0.654096
0.25, 0, 0.0348948, 0.025817, 0.05, 0.270517, 0.668771
0.25, 0, 0.036567, 0.0303713, 0.05, 0.28294, 0.650122
0.25, 0, 0.0343689, 0.0338113, 0.05, 0.274081, 0.657739
0.25, 0, 0.0382002, 0.0324896, 0.05, 0.274099, 0.655211
0.25, 0, 0.0344105, 0.0316357, 0.05, 0.278956, 0.654998
0.25, 0, 0.0371003, 0.0297617, 0.05, 0.27518, 0.657958
0.25, 0, 0.0333811, 0.0291565, 0.05, 0.279115, 0.658348
0.25, 0, 0.0292213, 0.0282099, 0.05, 0.274074, 0.668495
0.25, 0, 0.0345291, 0.0297788, 0.05, 0.278337, 0.657355
0.25, 0, 0.0325462, 0.0308611, 0.05, 0.28574, 0.650852
0.25, 0, 0.0321682, 0.0301073, 0.05, 0.268255, 0.66947
0.25, 0, 0.0331012, 0.0293541, 0.05, 0.272057, 0.665487
0.25, 0, 0.0344933, 0.031813, 0.05, 0.273613, 0.660081
0.25, 0, 0.0373585, 0.0302654, 0.05, 0.269637, 0.662739
0.25, 0, 0.0322603, 0.0311288, 0.05, 0.277316, 0.659294
0.25, 0, 0.0310151, 0.0295405, 0.05, 0.283382, 0.656062
0.25, 0, 0.0380747, 0.0280143, 0.05, 0.272704, 0.661207
0.25, 0, 0.0328267, 0.0281267, 0.05, 0.274328, 0.664718
0.25, 0, 0.0384731, 0.0328266, 0.05, 0.276667, 0.652034
0.25, 0, 0.0311044, 0.028897, 0.05, 0.273105, 0.666894
0.25, 0, 0.0333062, 0.0299776, 0.05, 0.272894, 0.663823
0.25, 0, 0.0348681, 0.0335678, 0.05, 0.282687, 0.648878
0.25, 0, 0.0377647, 0.0305678, 0.05, 0.275786, 0.655882
0.25, 0, 0.0323831, 0.030441, 0.05, 0.277036, 0.66014
0.25, 0, 0.0348019, 0.0315706, 0.05, 0.285482, 0.648145
0.25, 0, 0.0309454, 0.0312763, 0.05, 0.277145, 0.660634
0.25, 0, 0.0309455, 0.0278907, 0.05, 0.282422, 0.658742
0.25, 0, 0.0335484, 0.0318359, 0.05, 0.269733, 0.664883
0.25, 0, 0.0343681, 0.0280146, 0.05, 0.27945, 0.658168
0.25, 0, 0.0321116, 0.0290349, 0.05, 0.282322, 0.656532
0.25, 0, 0.0315976, 0.0366644, 0.05, 0.271017, 0.660721
0.25, 0, 0.0304992, 0.0282402, 0.05, 0.27595, 0.665311
0.25, 0, 0.0355219, 0.0279978, 0.05, 0.280942, 0.655538
0.25, 0, 0.0310032, 0.0321791, 0.05, 0.276998, 0.65982
0.25, 0, 0.0279558, 0.0318971, 0.05, 0.276441, 0.663706
0.25, 0, 0.0291543, 0.0301314, 0.05, 0.274507, 0.666207
0.25, 0, 0.0348503, 0.0297347, 0.05, 0.27621, 0.659205
0.25, 0, 0.0331225, 0.0298298, 0.05, 0.273334, 0.663713
0.25, 0, 0.0335976, 0.0281918, 0.05, 0.286444, 0.651767
0.25, 0, 0.0303364, 0.0291383, 0.05, 0.267105, 0.673421
0.25, 0, 0.037911, 0.0335897, 0.05, 0.273583, 0.654916
0.25, 0, 0.0361063, 0.0287916, 0.05, 0.276719, 0.658383
0.25, 0, 0.032519, 0.0312837, 0.05, 0.27667, 0.659527
0.25, 0, 0.0329398, 0.0301097, 0.05, 0.282477, 0.654474
0.25, 0, 0.0306523, 0.0329308, 0.05, 0.282631, 0.653786
0.25, 0, 0.0321573, 0.0300718, 0.05, 0.269011, 0.66876
0.25, 0, 0.0345592, 0.028115, 0.05, 0.274168, 0.663157
0.25, 0, 0.0323953, 0.0299484, 0.05, 0.274577, 0.663079
0.25, 0, 0.0371753, 0.0305058, 0.05, 0.273053, 0.659266
0.25, 0, 0.0343967, 0.0292627, 0.05, 0.272503, 0.663838
0.25, 0, 0.034918, 0.0263844, 0.05, 0.271708, 0.666989
0.25, 0, 0.0343966, 0.0318178, 0.05, 0.271579, 0.662206
0.25, 0, 0.0266966, 0.0322111, 0.05, 0.285586, 0.655506
0.25, 0, 0.0320883, 0.0302382, 0.05, 0.276742, 0.660932
0.25, 0, 0.043303, 0.0342492, 0.055, 0.27627, 0.646178
0.25, 0, 0.0404777, 0.0352066, 0.055, 0.269814, 0.654501
0.25, 0, 0.0373714, 0.0355569, 0.055, 0.273042, 0.65403
0.25, 0, 0.0421498, 0.0385541, 0.055, 0.267617, 0.651679
0.25, 0, 0.0416431, 0.0329135, 0.055, 0.277186, 0.648257
0.25, 0, 0.0365474, 0.0377721, 0.055, 0.273257, 0.652423
0.25, 0, 0.0377714, 0.0306708, 0.055, 0.288053, 0.643504
0.25, 0, 0.0392651, 0.0353396, 0.055, 0.274001, 0.651394
0.25, 0, 0.0385288, 0.0397437, 0.055, 0.271055, 0.650673
0.25, 0, 0.0387802, 0.0361239, 0.055, 0.280479, 0.644617
0.25, 0, 0.0377289, 0.036037, 0.055, 0.273683, 0.652551
0.25, 0, 0.0394524, 0.0328881, 0.055, 0.277862, 0.649797
0.25, 0, 0.0396832, 0.0323533, 0.055, 0.279483, 0.648481
0.25, 0, 0.0452327, 0.0319413, 0.055, 0.278135, 0.644691
0.25, 0, 0.0381442, 0.0350041, 0.055, 0.277085, 0.649767
0.25, 0, 0.0434732, 0.0336907, 0.055, 0.267804, 0.655032
0.25, 0, 0.0371942, 0.033657, 0.055, 0.280443, 0.648705
0.25, 0, 0.0369059, 0.0339106, 0.055, 0.277621, 0.651562
0.25, 0, 0.0362061, 0.0368042, 0.055, 0.27461, 0.652379
0.25, 0, 0.0366836, 0.033117, 0.055, 0.29221, 0.637989
0.25, 0, 0.0375396, 0.0311818, 0.055, 0.279668, 0.65161
0.25, 0, 0.0393759, 0.0343412, 0.055, 0.287328, 0.638955
0.25, 0, 0.0405186, 0.0352231, 0.055, 0.274823, 0.649435
0.25, 0, 0.0395668, 0.0291695, 0.055, 0.284089, 0.647174
0.25, 0, 0.0388006, 0.0360132, 0.055, 0.277154, 0.648033
0.25, 0, 0.0391472, 0.0373136, 0.055, 0.289273, 0.634267
0.25, 0, 0.0417821, 0.0370875, 0.055, 0.269366, 0.651764
0.25, 0, 0.038043, 0.0361832, 0.055, 0.28339, 0.642384
0.25, 0, 0.0387208, 0.0348734, 0.055, 0.285128, 0.641278
0.25, 0, 0.0370379, 0.0346855, 0.055, 0.27286, 0.655417
0.25, 0, 0.0381239, 0.0314099, 0.055, 0.287559, 0.642907
0.25, 0, 0.0399991, 0.0354157, 0.055, 0.278731, 0.645854
0.25, 0, 0.0380983, 0.0335576, 0.055, 0.26998, 0.658364
0.25, 0, 0.0380812, 0.0378059, 0.055, 0.277662, 0.646451
0.25, 0, 0.0360788, 0.0345906, 0.055, 0.287882, 0.641449
0.25, 0, 0.0361036, 0.0402677, 0.055, 0.28718, 0.636448
0.25, 0, 0.0370853, 0.039202, 0.055, 0.275917, 0.647795
0.25, 0, 0.0405891, 0.0351566, 0.055, 0.272914, 0.651341
0.25, 0, 0.0374543, 0.034981, 0.055, 0.28281, 0.644755
0.25, 0, 0.0351458, 0.0323446, 0.055, 0.272731, 0.659779
0.25, 0, 0.0362268, 0.0349494, 0.055, 0.283033, 0.645791
0.25, 0, 0.0371164, 0.0376478, 0.055, 0.28975, 0.635485
0.25, 0, 0.0391655, 0.0337516, 0.055, 0.282226, 0.644857
0.25, 0, 0.0383095, 0.036993, 0.055, 0.276835, 0.647863
0.25, 0, 0.0367754, 0.0331314, 0.055, 0.286221, 0.643872
0.25, 0, 0.0373231, 0.0376667, 0.055, 0.283073, 0.641937
0.25, 0, 0.0381616, 0.0364406, 0.055, 0.287919, 0.637479
0.25, 0, 0.0424124, 0.0328144, 0.055, 0.2846, 0.640174
0.25, 0, 0.0424334, 0.0351785, 0.055, 0.275538, 0.64685
0.25, 0, 0.0416581, 0.0349572, 0.055, 0.277313, 0.646071
0.25, 0, 0.0395252, 0.0354836, 0.055, 0.282258, 0.642733
0.25, 0, 0.0406283, 0.035383, 0.055, 0.276433, 0.647556
0.25, 0, 0.0400051, 0.0341532, 0.055, 0.285763, 0.640079
0.25, 0, 0.0439304, 0.034519, 0.055, 0.276869, 0.644682
0.25, 0, 0.0353957, 0.0335157, 0.055, 0.283805, 0.647284
0.25, 0, 0.0389712, 0.0330517, 0.055, 0.273127, 0.65485
0.25, 0, 0.0360555, 0.0342237, 0.055, 0.285445, 0.644276
0.25, 0, 0.0339878, 0.0311063, 0.055, 0.286294, 0.648612
0.25, 0, 0.0430547, 0.0315482, 0.055, 0.279363, 0.646034
0.25, 0, 0.041334, 0.0317912, 0.055, 0.286195, 0.64068
0.25, 0, 0.0406691, 0.0347231, 0.055, 0.28384, 0.640768
0.25, 0, 0.0411664, 0.0371832, 0.055, 0.277451, 0.6442
0.25, 0, 0.0381237, 0.0335263, 0.055, 0.284761, 0.643589
0.25, 0, 0.0414581, 0.0341779, 0.055, 0.276974, 0.64739
0.25, 0, 0.039029, 0.0350046, 0.055, 0.279818, 0.646148
0.25, 0, 0.0356736, 0.0325513, 0.055, 0.272864, 0.658911
0.25, 0, 0.0361674, 0.0335214, 0.055, 0.26926, 0.661052
0.25, 0, 0.0353578, 0.0377404, 0.055, 0.281071, 0.645831
0.25, 0, 0.0393905, 0.0343482, 0.055, 0.279235, 0.647027
0.25, 0, 0.0446501, 0.0367998, 0.055, 0.289674, 0.628876
0.25, 0, 0.0350107, 0.0325666, 0.055, 0.282249, 0.650174
0.25, 0, 0.0397788, 0.0335192, 0.055, 0.2719, 0.654803
0.25, 0, 0.0384602, 0.033862, 0.055, 0.28944, 0.638237
0.25, 0, 0.0393652, 0.0354119, 0.055, 0.267573, 0.65765
0.25, 0, 0.0405498, 0.0360977, 0.055, 0.281082, 0.642271
0.25, 0, 0.0414904, 0.0348717, 0.055, 0.270786, 0.652852
0.25, 0, 0.0414229, 0.0336589, 0.055, 0.278032, 0.646886
0.25, 0, 0.0383453, 0.033436, 0.055, 0.286369, 0.64185
0.25, 0, 0.0418401, 0.033127, 0.055, 0.277114, 0.647919
0.25, 0, 0.0381145, 0.0355193, 0.055, 0.277462, 0.648904
