RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0360359, 0.0260252, 0.05, 0.282623, 0.655316
0.25, 0, 0.0324458, 0.0293771, 0.05, 0.274298, 0.663879
0.25, 0, 0.0323838, 0.031271, 0.05, 0.283451, 0.652894
0.25, 0, 0.0319063, 0.0322804, 0.05, 0.260192, 0.675622
0.25, 0, 0.0357531, 0.0251403, 0.05, 0.274844, 0.664263
0.25, 0, 0.0347284, 0.0312624, 0.05, 0.272354, 0.661656
0.25, 0, 0.0343634, 0.0275407, 0.05, 0.272492, 0.665604
0.25, 0, 0.0331102, 0.0291072, 0.05, 0.271164, 0.666619
0.25, 0, 0.0335216, 0.0258861, 0.05, 0.275117, 0.665476
0.25, 0, 0.0311105, 0.0277622, 0.05, 0.268819, 0.672308
0.25, 0, 0.0336431, 0.0310494, 0.05, 0.263892, 0.671416
0.25, 0, 0.0363969, 0.0306843, 0.05, 0.274735, 0.658184
0.25, 0, 0.0333823, 0.0285742, 0.05, 0.263545, 0.674498
0.25, 0, 0.0372299, 0.0342786, 0.05, 0.276334, 0.652157
0.25, 0, 0.0353896, 0.0287158, 0.05, 0.27427, 0.661625
0.25, 0, 0.0340652, 0.0263058, 0.05, 0.27389, 0.665739
0.25, 0, 0.0276014, 0.0283883, 0.05, 0.267017, 0.676993
0.25, 0, 0.0372254, 0.0259147, 0.05, 0.276411, 0.660449
0.25, 0, 0.031985, 0.0303702, 0.05, 0.276964, 0.660681
0.25, 0, 0.0332207, 0.0312314, 0.05, 0.27461, 0.660938
0.25, 0, 0.035858, 0.0339554, 0.05, 0.267455, 0.662732
0.25, 0, 0.0338714, 0.028294, 0.05, 0.264905, 0.672929
0.25, 0, 0.0333706, 0.0303803, 0.05, 0.287821, 0.648428
0.25, 0, 0.036135, 0.0316322, 0.05, 0.270924, 0.661309
0.25, 0, 0.034757, 0.0284956, 0.05, 0.269925, 0.666822
0.25, 0, 0.0330033, 0.0252219, 0.05, 0.281872, 0.659903
0.25, 0, 0.0347299, 0.0296337, 0.05, 0.266454, 0.669182
0.25, 0, 0.0342543, 0.0312502, 0.05, 0.268851, 0.665644
0.25, 0, 0.0328048, 0.0265439, 0.05, 0.268398, 0.672253
0.25, 0, 0.0286346, 0.0277027, 0.05, 0.281084, 0.662579
0.25, 0, 0.0301173, 0.0246486, 0.05, 0.269167, 0.676067
0.25, 0, 0.0354167, 0.0345983, 0.05, 0.277123, 0.652862
0.25, 0, 0.0344635, 0.0291615, 0.05, 0.278326, 0.658049
0.25, 0, 0.0349344, 0.027858, 0.05, 0.279707, 0.657501
0.25, 0, 0.0330759, 0.0302487, 0.05, 0.270367, 0.666308
0.25, 0, 0.0349938, 0.0247718, 0.05, 0.276987, 0.663247
0.25, 0, 0.038923, 0.0269719, 0.05, 0.272706, 0.6614
0.25, 0, 0.0324186, 0.032351, 0.05, 0.263344, 0.671886
0.25, 0, 0.0337737, 0.0320029, 0.05, 0.280465, 0.653759
0.25, 0, 0.0341243, 0.0319581, 0.05, 0.269534, 0.664383
0.25, 0, 0.0382171, 0.0301637, 0.05, 0.268754, 0.662866
0.25, 0, 0.0317718, 0.0245668, 0.05, 0.285816, 0.657845
0.25, 0, 0.0356199, 0.0319243, 0.05, 0.270392, 0.662063
0.25, 0, 0.0359415, 0.0289858, 0.05, 0.272337, 0.662735
0.25, 0, 0.0356174, 0.0319852, 0.05, 0.277092, 0.655305
0.25, 0, 0.0361926, 0.0328292, 0.05, 0.264903, 0.666075
0.25, 0, 0.0350646, 0.0298028, 0.05, 0.275723, 0.65941
0.25, 0, 0.0338198, 0.0272044, 0.05, 0.268387, 0.670589
0.25, 0, 0.0290312, 0.0235866, 0.05, 0.274823, 0.672559
0.25, 0, 0.0349939, 0.031752, 0.05, 0.263758, 0.669496
0.25, 0, 0.0340048, 0.0287305, 0.05, 0.278632, 0.658632
0.25, 0, 0.0337001, 0.0274656, 0.05, 0.277073, 0.661761
0.25, 0, 0.0322709, 0.0277681, 0.05, 0.271839, 0.668122
0.25, 0, 0.0340714, 0.0296633, 0.05, 0.27711, 0.659155
0.25, 0, 0.0344957, 0.0283673, 0.05, 0.272446, 0.664691
0.25, 0, 0.0365448, 0.0309618, 0.05, 0.27511, 0.657383
0.25, 0, 0.0336117, 0.0268191, 0.05, 0.269243, 0.670326
0.25, 0, 0.0374393, 0.0299507, 0.05, 0.274343, 0.658267
0.25, 0, 0.0421912, 0.0281091, 0.05, 0.266649, 0.663051
0.25, 0, 0.0349655, 0.0279959, 0.05, 0.266116, 0.670922
0.25, 0, 0.0310133, 0.031222, 0.05, 0.268032, 0.669732
0.25, 0, 0.033429, 0.0312684, 0.05, 0.264802, 0.6705
