RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0310071, 0.0310241, 0.05, 0.273118, 0.664851
0.25, 0, 0.0325185, 0.0314373, 0.05, 0.269839, 0.666205
0.25, 0, 0.0314351, 0.0317389, 0.05, 0.272587, 0.664239
0.25, 0, 0.0353431, 0.027689, 0.05, 0.26999, 0.666978
0.25, 0, 0.0369499, 0.0285523, 0.05, 0.275602, 0.658896
0.25, 0, 0.0341274, 0.0293768, 0.05, 0.28083, 0.655666
0.25, 0, 0.0295963, 0.0313263, 0.05, 0.267513, 0.671564
0.25, 0, 0.0348751, 0.0347231, 0.05, 0.278983, 0.651419
0.25, 0, 0.0370202, 0.0277845, 0.05, 0.255851, 0.679344
0.25, 0, 0.034453, 0.0270287, 0.05, 0.278205, 0.660313
0.25, 0, 0.0340911, 0.0287799, 0.05, 0.272531, 0.664598
0.25, 0, 0.0367406, 0.0301964, 0.05, 0.27468, 0.658383
0.25, 0, 0.0332762, 0.0295744, 0.05, 0.272211, 0.664938
0.25, 0, 0.0340164, 0.0291639, 0.05, 0.276565, 0.660255
0.25, 0, 0.0378584, 0.0300739, 0.05, 0.278462, 0.653605
0.25, 0, 0.0354411, 0.0365447, 0.05, 0.26907, 0.658944
0.25, 0, 0.0310533, 0.0333048, 0.05, 0.262742, 0.672899
0.25, 0, 0.032201, 0.0265636, 0.05, 0.275877, 0.665358
0.25, 0, 0.0327785, 0.029599, 0.05, 0.284966, 0.652656
0.25, 0, 0.0388868, 0.0320448, 0.05, 0.271428, 0.65764
0.25, 0, 0.0348049, 0.0289709, 0.05, 0.279933, 0.656291
0.25, 0, 0.0321125, 0.0310331, 0.05, 0.270326, 0.666529
0.25, 0, 0.0355522, 0.0302443, 0.05, 0.263623, 0.67058
0.25, 0, 0.0317595, 0.0315219, 0.05, 0.279137, 0.657581
0.25, 0, 0.0306566, 0.0295291, 0.05, 0.278251, 0.661564
0.25, 0, 0.0312043, 0.0324679, 0.05, 0.277803, 0.658525
0.25, 0, 0.0308391, 0.028666, 0.05, 0.275425, 0.66507
0.25, 0, 0.0314239, 0.0267792, 0.05, 0.267925, 0.673872
0.25, 0, 0.033132, 0.0300071, 0.05, 0.269109, 0.667752
0.25, 0, 0.0366158, 0.030616, 0.05, 0.27021, 0.662558
0.25, 0, 0.0324162, 0.0335021, 0.05, 0.278112, 0.65597
0.25, 0, 0.0312123, 0.0313704, 0.05, 0.268693, 0.668724
0.25, 0, 0.0309646, 0.0310495, 0.05, 0.27372, 0.664266
0.25, 0, 0.0294955, 0.032004, 0.05, 0.270745, 0.667756
0.25, 0, 0.0305101, 0.0336887, 0.05, 0.276249, 0.659552
0.25, 0, 0.0299183, 0.0351269, 0.05, 0.27504, 0.659915
0.25, 0, 0.0374575, 0.0306855, 0.05, 0.278193, 0.653664
0.25, 0, 0.0359576, 0.0299974, 0.05, 0.272178, 0.661867
0.25, 0, 0.0328838, 0.0293282, 0.05, 0.278194, 0.659594
0.25, 0, 0.0320764, 0.0336581, 0.05, 0.267949, 0.666317
0.25, 0, 0.0324097, 0.032151, 0.05, 0.277874, 0.657565
0.25, 0, 0.0295415, 0.0323615, 0.05, 0.266661, 0.671436
0.25, 0, 0.0336896, 0.0261597, 0.05, 0.271086, 0.669065
0.25, 0, 0.0307027, 0.0314263, 0.05, 0.277364, 0.660507
0.25, 0, 0.0351933, 0.0366967, 0.05, 0.264157, 0.663953
0.25, 0, 0.0352827, 0.0334606, 0.05, 0.268696, 0.662561
0.25, 0, 0.03387, 0.0261501, 0.05, 0.271334, 0.668646
0.25, 0, 0.0339598, 0.028451, 0.05, 0.268597, 0.668992
0.25, 0, 0.0345666, 0.0328024, 0.05, 0.269288, 0.663343
0.25, 0, 0.0341575, 0.0330228, 0.05, 0.272619, 0.660201
0.25, 0, 0.0351039, 0.0264204, 0.05, 0.276641, 0.661834
0.25, 0, 0.0310051, 0.0338646, 0.05, 0.282104, 0.653026
0.25, 0, 0.0330944, 0.0289414, 0.05, 0.269845, 0.668119
0.25, 0, 0.0343337, 0.0304765, 0.05, 0.269548, 0.665642
0.25, 0, 0.0336634, 0.0270351, 0.05, 0.271329, 0.667973
0.25, 0, 0.0329312, 0.0318814, 0.05, 0.265393, 0.669795
0.25, 0, 0.034718, 0.0325834, 0.05, 0.272465, 0.660234
0.25, 0, 0.0336243, 0.0328145, 0.05, 0.27546, 0.658101
0.25, 0, 0.0311369, 0.0306633, 0.05, 0.270429, 0.66777
0.25, 0, 0.0305882, 0.033146, 0.05, 0.268148, 0.668117
0.25, 0, 0.0321089, 0.0307313, 0.05, 0.270033, 0.667126
0.25, 0, 0.0314084, 0.0314619, 0.05, 0.271719, 0.66541
0.25, 0, 0.0334343, 0.0290832, 0.05, 0.270594, 0.666888
0.25, 0, 0.0348703, 0.0277881, 0.05, 0.26442, 0.672922
0.25, 0, 0.0355037, 0.0300546, 0.05, 0.273457, 0.660985
0.25, 0, 0.0316909, 0.0297846, 0.05, 0.27204, 0.666485
0.25, 0, 0.03417, 0.0291024, 0.05, 0.28042, 0.656307
0.25, 0, 0.0351266, 0.0313619, 0.05, 0.276473, 0.657038
0.25, 0, 0.03158, 0.0338551, 0.05, 0.264324, 0.670241
0.25, 0, 0.0325139, 0.029543, 0.05, 0.270139, 0.667804
0.25, 0, 0.0366663, 0.0281408, 0.05, 0.266669, 0.668523
0.25, 0, 0.0387593, 0.0314591, 0.05, 0.27293, 0.656851
0.25, 0, 0.0355047, 0.0256922, 0.05, 0.275198, 0.663605
0.25, 0, 0.037761, 0.0313478, 0.05, 0.269836, 0.661055
0.25, 0, 0.0324268, 0.0297065, 0.05, 0.267507, 0.67036
0.25, 0, 0.0309676, 0.0276126, 0.05, 0.278181, 0.663239
0.25, 0, 0.0386263, 0.0310788, 0.05, 0.277613, 0.652682
0.25, 0, 0.0357315, 0.0300183, 0.05, 0.272799, 0.661451
0.25, 0, 0.0324085, 0.0342144, 0.05, 0.265543, 0.667834
0.25, 0, 0.0404264, 0.0284962, 0.05, 0.266189, 0.664888
0.25, 0, 0.0321321, 0.0337799, 0.05, 0.27415, 0.659938
0.25, 0, 0.0339695, 0.0297993, 0.05, 0.259213, 0.677019
0.25, 0, 0.0326121, 0.0322034, 0.05, 0.283098, 0.652086
0.25, 0, 0.0327619, 0.0297377, 0.05, 0.271592, 0.665908
0.25, 0, 0.0357357, 0.0284852, 0.05, 0.266635, 0.669144
0.25, 0, 0.0339257, 0.032386, 0.05, 0.278666, 0.655022
0.25, 0, 0.0361217, 0.0324707, 0.05, 0.284894, 0.646514
0.25, 0, 0.0332481, 0.0293056, 0.05, 0.267972, 0.669474
0.25, 0, 0.0328108, 0.0297074, 0.05, 0.281159, 0.656323
0.25, 0, 0.0364465, 0.030963, 0.05, 0.264885, 0.667705
0.25, 0, 0.035036, 0.0266665, 0.05, 0.277385, 0.660912
0.25, 0, 0.0309871, 0.0311097, 0.05, 0.284099, 0.653804
0.25, 0, 0.0347928, 0.0323264, 0.05, 0.276026, 0.656855
0.25, 0, 0.0359272, 0.0335732, 0.05, 0.273672, 0.656828
0.25, 0, 0.0362054, 0.0295944, 0.05, 0.26903, 0.665171
0.25, 0, 0.0354899, 0.0295559, 0.05, 0.274256, 0.660698
0.25, 0, 0.0331737, 0.0271692, 0.05, 0.270419, 0.669238
0.25, 0, 0.0327201, 0.0287206, 0.05, 0.281485, 0.657074
0.25, 0, 0.0331674, 0.0276766, 0.05, 0.27828, 0.660876
0.25, 0, 0.0371021, 0.0323235, 0.05, 0.280765, 0.649809
0.25, 0, 0.0355098, 0.0354723, 0.055, 0.282464, 0.646554
0.25, 0, 0.0356357, 0.0307112, 0.055, 0.279664, 0.653989
0.25, 0, 0.0380687, 0.035495, 0.055, 0.286568, 0.639868
0.25, 0, 0.0356025, 0.0408148, 0.055, 0.282952, 0.640631
0.25, 0, 0.0393105, 0.0363626, 0.055, 0.272051, 0.652276
0.25, 0, 0.0378332, 0.0348981, 0.055, 0.267647, 0.659622
0.25, 0, 0.0422061, 0.038153, 0.055, 0.287228, 0.632412
0.25, 0, 0.0397617, 0.0368383, 0.055, 0.276637, 0.646763
0.25, 0, 0.0391964, 0.0364052, 0.055, 0.272548, 0.651851
0.25, 0, 0.0382522, 0.0364024, 0.055, 0.282652, 0.642693
0.25, 0, 0.0368846, 0.0367999, 0.055, 0.278859, 0.647456
0.25, 0, 0.0413076, 0.0361062, 0.055, 0.25361, 0.668976
0.25, 0, 0.0413092, 0.0350033, 0.055, 0.282156, 0.641532
0.25, 0, 0.034598, 0.0350083, 0.055, 0.274785, 0.655608
0.25, 0, 0.0426863, 0.0390097, 0.055, 0.275324, 0.64298
0.25, 0, 0.0395189, 0.0347231, 0.055, 0.2752, 0.650558
0.25, 0, 0.0387819, 0.0311104, 0.055, 0.273263, 0.656845
0.25, 0, 0.0368496, 0.0346804, 0.055, 0.282428, 0.646042
0.25, 0, 0.0330668, 0.0301306, 0.055, 0.274256, 0.662546
0.25, 0, 0.0418763, 0.039935, 0.055, 0.259643, 0.658545
0.25, 0, 0.038656, 0.0378938, 0.055, 0.278934, 0.644516
0.25, 0, 0.0380677, 0.0354368, 0.055, 0.270423, 0.656073
0.25, 0, 0.0409693, 0.0358067, 0.055, 0.267371, 0.655853
0.25, 0, 0.0405047, 0.0367861, 0.055, 0.271632, 0.651077
0.25, 0, 0.0368852, 0.0325302, 0.055, 0.277892, 0.652692
0.25, 0, 0.0332245, 0.0384583, 0.055, 0.279348, 0.648969
0.25, 0, 0.0411236, 0.0317682, 0.055, 0.278892, 0.648216
0.25, 0, 0.0407327, 0.0365201, 0.055, 0.284885, 0.637862
0.25, 0, 0.0366387, 0.0336205, 0.055, 0.282845, 0.646895
0.25, 0, 0.0388368, 0.0381072, 0.055, 0.268246, 0.65481
0.25, 0, 0.0408288, 0.0346769, 0.055, 0.284158, 0.640336
0.25, 0, 0.0422942, 0.0295314, 0.055, 0.281313, 0.646862
0.25, 0, 0.0422881, 0.03002, 0.055, 0.269014, 0.658678
0.25, 0, 0.0343941, 0.0413871, 0.055, 0.268465, 0.655754
0.25, 0, 0.0413469, 0.0318303, 0.055, 0.283331, 0.643492
0.25, 0, 0.0447039, 0.0346091, 0.055, 0.276469, 0.644218
0.25, 0, 0.0369493, 0.0342315, 0.055, 0.263987, 0.664832
0.25, 0, 0.0402757, 0.0371776, 0.055, 0.276987, 0.64556
0.25, 0, 0.0364436, 0.03415, 0.055, 0.269475, 0.659932
0.25, 0, 0.0346639, 0.0310857, 0.055, 0.27026, 0.66399
0.25, 0, 0.0414445, 0.0338812, 0.055, 0.269303, 0.655372
0.25, 0, 0.0392573, 0.0367233, 0.055, 0.277129, 0.64689
0.25, 0, 0.0381132, 0.0338689, 0.055, 0.277942, 0.650076
0.25, 0, 0.0403595, 0.0342873, 0.055, 0.277007, 0.648346
0.25, 0, 0.0365179, 0.0329071, 0.055, 0.279423, 0.651152
0.25, 0, 0.0361754, 0.0305381, 0.055, 0.278102, 0.655185
0.25, 0, 0.0378432, 0.0338445, 0.055, 0.277381, 0.650932
0.25, 0, 0.0368783, 0.0380761, 0.055, 0.27033, 0.654715
0.25, 0, 0.0391992, 0.0330462, 0.055, 0.271851, 0.655903
0.25, 0, 0.0442823, 0.0346411, 0.055, 0.282318, 0.638758
0.25, 0, 0.0377873, 0.0343119, 0.055, 0.282062, 0.645839
0.25, 0, 0.0416129, 0.0343434, 0.055, 0.277696, 0.646347
0.25, 0, 0.0328305, 0.0367209, 0.055, 0.28103, 0.649419
0.25, 0, 0.0372734, 0.0380315, 0.055, 0.279961, 0.644734
0.25, 0, 0.0373872, 0.0337611, 0.055, 0.280875, 0.647977
0.25, 0, 0.0379974, 0.033885, 0.055, 0.272687, 0.65543
0.25, 0, 0.0382169, 0.0365811, 0.055, 0.281215, 0.643987
0.25, 0, 0.0394247, 0.034495, 0.055, 0.267051, 0.65903
0.25, 0, 0.0400288, 0.0365337, 0.055, 0.27677, 0.646668
0.25, 0, 0.0338011, 0.0391661, 0.055, 0.284526, 0.642507
0.25, 0, 0.0391352, 0.0335245, 0.055, 0.279193, 0.648148
0.25, 0, 0.0369645, 0.0401661, 0.055, 0.276631, 0.646239
0.25, 0, 0.0378754, 0.0332757, 0.055, 0.272089, 0.65676
0.25, 0, 0.0397927, 0.0374618, 0.055, 0.273742, 0.649003
0.25, 0, 0.0437631, 0.0379209, 0.055, 0.273697, 0.644619
0.25, 0, 0.0404444, 0.0371958, 0.055, 0.267674, 0.654686
0.25, 0, 0.0397001, 0.0376254, 0.055, 0.272385, 0.65029
0.25, 0, 0.0423536, 0.0343639, 0.055, 0.288243, 0.635039
0.25, 0, 0.0392759, 0.0356325, 0.055, 0.28931, 0.635782
0.25, 0, 0.0359255, 0.0385774, 0.055, 0.281171, 0.644326
0.25, 0, 0.0374815, 0.0373714, 0.055, 0.276149, 0.648998
0.25, 0, 0.0393647, 0.0344417, 0.055, 0.27161, 0.654584
0.25, 0, 0.0362463, 0.0362853, 0.055, 0.285163, 0.642306
0.25, 0, 0.0364147, 0.0381362, 0.055, 0.273547, 0.651902
0.25, 0, 0.0361125, 0.0323847, 0.055, 0.269779, 0.661724
0.25, 0, 0.0341411, 0.0334504, 0.055, 0.283822, 0.648586
0.25, 0, 0.034288, 0.0358504, 0.055, 0.273266, 0.656596
0.25, 0, 0.0402353, 0.0328174, 0.055, 0.281085, 0.645862
0.25, 0, 0.0456654, 0.0338828, 0.055, 0.278164, 0.642288
0.25, 0, 0.040789, 0.035278, 0.055, 0.273442, 0.650491
0.25, 0, 0.0388495, 0.0392807, 0.055, 0.268039, 0.653831
0.25, 0, 0.0412188, 0.0354973, 0.055, 0.277068, 0.646216
0.25, 0, 0.0434327, 0.0362574, 0.055, 0.275496, 0.644814
0.25, 0, 0.037415, 0.0365166, 0.055, 0.288693, 0.637376
0.25, 0, 0.0370955, 0.03392, 0.055, 0.267084, 0.6619
0.25, 0, 0.0331024, 0.0324087, 0.055, 0.281002, 0.653487
0.25, 0, 0.0362467, 0.028849, 0.055, 0.281982, 0.652922
0.25, 0, 0.037627, 0.0364234, 0.055, 0.268645, 0.657305
0.25, 0, 0.0396463, 0.0377939, 0.055, 0.280225, 0.642335
0.25, 0, 0.0368296, 0.0359431, 0.055, 0.280144, 0.647083
0.25, 0, 0.0356632, 0.0360766, 0.055, 0.272588, 0.655672
0.25, 0, 0.0380061, 0.0371757, 0.055, 0.277674, 0.647144
0.25, 0, 0.0361069, 0.0379725, 0.055, 0.275174, 0.650747
0.25, 0, 0.0384092, 0.033008, 0.055, 0.270079, 0.658504
0.25, 0, 0.0385667, 0.0321184, 0.055, 0.269136, 0.660179
0.25, 0, 0.0382807, 0.0321324, 0.055, 0.279843, 0.649744
0.25, 0, 0.0395146, 0.0345933, 0.055, 0.269908, 0.655984
0.25, 0, 0.0407312, 0.0320233, 0.055, 0.276992, 0.650253
0.25, 0, 0.0398759, 0.0344208, 0.055, 0.266633, 0.65907
0.25, 0, 0.0418388, 0.0358184, 0.055, 0.274667, 0.647675
0.25, 0, 0.0406597, 0.0402483, 0.06, 0.279197, 0.639895
0.25, 0, 0.0447897, 0.0413196, 0.06, 0.268453, 0.645438
0.25, 0, 0.0412456, 0.0433656, 0.06, 0.273879, 0.64151
0.25, 0, 0.0444547, 0.042369, 0.06, 0.281069, 0.632107
0.25, 0, 0.0437918, 0.0429273, 0.06, 0.277019, 0.636262
0.25, 0, 0.0407408, 0.0380813, 0.06, 0.273839, 0.647339
0.25, 0, 0.0433747, 0.0406572, 0.06, 0.276463, 0.639505
0.25, 0, 0.0419261, 0.0382043, 0.06, 0.269649, 0.650221
0.25, 0, 0.0402908, 0.0429491, 0.06, 0.270633, 0.646127
0.25, 0, 0.0405108, 0.0422023, 0.06, 0.276955, 0.640332
