RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0381054, 0.031066, 0.05, 0.272233, 0.658596
0.25, 0, 0.0389319, 0.0264477, 0.05, 0.276142, 0.658478
0.25, 0, 0.0326279, 0.0342658, 0.05, 0.272985, 0.660122
0.25, 0, 0.0339048, 0.0310339, 0.05, 0.267866, 0.667195
0.25, 0, 0.0348057, 0.0311197, 0.05, 0.275414, 0.65866
0.25, 0, 0.0326682, 0.0255895, 0.05, 0.265563, 0.67618
0.25, 0, 0.0349484, 0.0270965, 0.05, 0.276102, 0.661854
0.25, 0, 0.0331897, 0.0335818, 0.05, 0.275806, 0.657422
0.25, 0, 0.0313793, 0.0327965, 0.05, 0.26805, 0.667774
0.25, 0, 0.0342003, 0.0263335, 0.05, 0.263715, 0.675751
0.25, 0, 0.0335665, 0.0308281, 0.05, 0.269252, 0.666353
0.25, 0, 0.0350311, 0.0322833, 0.05, 0.271705, 0.66098
0.25, 0, 0.0332913, 0.0330009, 0.05, 0.283263, 0.650445
0.25, 0, 0.038909, 0.0326623, 0.05, 0.267048, 0.661381
0.25, 0, 0.032539, 0.029895, 0.05, 0.268544, 0.669022
0.25, 0, 0.0335046, 0.0329653, 0.05, 0.273826, 0.659704
0.25, 0, 0.0347163, 0.0334664, 0.05, 0.279896, 0.651922
0.25, 0, 0.0313888, 0.031587, 0.05, 0.268072, 0.668952
0.25, 0, 0.034369, 0.0311709, 0.05, 0.273859, 0.660601
0.25, 0, 0.0334315, 0.0315881, 0.05, 0.26005, 0.674931
0.25, 0, 0.0282508, 0.0272348, 0.05, 0.280043, 0.664472
0.25, 0, 0.0364403, 0.0297537, 0.05, 0.28326, 0.650546
0.25, 0, 0.0300805, 0.0283847, 0.05, 0.275868, 0.665667
0.25, 0, 0.0353626, 0.0270857, 0.05, 0.277331, 0.660221
0.25, 0, 0.0337423, 0.0297025, 0.05, 0.284186, 0.65237
0.25, 0, 0.0389723, 0.0286741, 0.05, 0.271605, 0.660749
0.25, 0, 0.0337538, 0.029851, 0.05, 0.27193, 0.664465
0.25, 0, 0.031481, 0.0321742, 0.05, 0.265889, 0.670455
0.25, 0, 0.034742, 0.0301861, 0.05, 0.278284, 0.656788
0.25, 0, 0.0340903, 0.0273531, 0.05, 0.274964, 0.663593
0.25, 0, 0.0314316, 0.0302327, 0.05, 0.274842, 0.663494
0.25, 0, 0.030977, 0.0324734, 0.05, 0.272392, 0.664157
0.25, 0, 0.0372845, 0.0314017, 0.05, 0.270506, 0.660807
0.25, 0, 0.026902, 0.027639, 0.05, 0.275029, 0.67043
0.25, 0, 0.0377528, 0.029935, 0.05, 0.272626, 0.659687
0.25, 0, 0.0333112, 0.0287563, 0.05, 0.268316, 0.669616
0.25, 0, 0.0345341, 0.0300223, 0.05, 0.277849, 0.657595
0.25, 0, 0.0338106, 0.0322423, 0.05, 0.274534, 0.659413
0.25, 0, 0.0316075, 0.0304356, 0.05, 0.280514, 0.657443
0.25, 0, 0.0378534, 0.0270117, 0.05, 0.274986, 0.660149
0.25, 0, 0.031565, 0.0330944, 0.05, 0.270819, 0.664521
0.25, 0, 0.0389851, 0.0292428, 0.05, 0.276018, 0.655754
0.25, 0, 0.0351241, 0.0292752, 0.05, 0.275419, 0.660181
0.25, 0, 0.0309988, 0.031285, 0.05, 0.275224, 0.662492
0.25, 0, 0.0307241, 0.0304665, 0.05, 0.276895, 0.661915
0.25, 0, 0.0309226, 0.0311617, 0.05, 0.280445, 0.657471
0.25, 0, 0.0324187, 0.0291055, 0.05, 0.280857, 0.657619
0.25, 0, 0.034, 0.029285, 0.05, 0.276265, 0.66045
0.25, 0, 0.0366212, 0.0298858, 0.05, 0.264832, 0.668661
0.25, 0, 0.0328983, 0.0297888, 0.05, 0.277062, 0.660251
0.25, 0, 0.0370344, 0.0303959, 0.05, 0.269439, 0.66313
0.25, 0, 0.035121, 0.0328306, 0.05, 0.272027, 0.660022
0.25, 0, 0.0349613, 0.0356399, 0.05, 0.272517, 0.656882
