RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0323866, 0.0360188, 0.05, 0.285695, 0.6459
0.25, 0, 0.0329302, 0.036809, 0.05, 0.268068, 0.662193
0.25, 0, 0.0329, 0.0351826, 0.05, 0.284368, 0.647549
0.25, 0, 0.0353121, 0.0357797, 0.05, 0.290039, 0.638869
0.25, 0, 0.0361194, 0.0345669, 0.05, 0.29742, 0.631894
0.25, 0, 0.0351362, 0.0323658, 0.05, 0.292505, 0.639993
0.25, 0, 0.0343569, 0.0303724, 0.05, 0.289902, 0.645369
0.25, 0, 0.0318207, 0.0356623, 0.05, 0.285939, 0.646578
0.25, 0, 0.0362933, 0.032776, 0.05, 0.287629, 0.643302
0.25, 0, 0.0351196, 0.0349533, 0.05, 0.286382, 0.643545
0.25, 0, 0.0384058, 0.0318609, 0.05, 0.297468, 0.632265
0.25, 0, 0.0339555, 0.0307287, 0.05, 0.297371, 0.637945
0.25, 0, 0.0367831, 0.0314686, 0.05, 0.283434, 0.648314
0.25, 0, 0.0369025, 0.0347093, 0.05, 0.284816, 0.643572
0.25, 0, 0.0285289, 0.0406853, 0.05, 0.290384, 0.640402
0.25, 0, 0.0375195, 0.0329834, 0.05, 0.296877, 0.63262
0.25, 0, 0.032703, 0.0353748, 0.05, 0.284359, 0.647563
0.25, 0, 0.03745, 0.0342157, 0.05, 0.287979, 0.640355
0.25, 0, 0.0340278, 0.0341952, 0.05, 0.292537, 0.63924
0.25, 0, 0.0324071, 0.0344248, 0.05, 0.286066, 0.647102
0.25, 0, 0.0306472, 0.0332373, 0.05, 0.293436, 0.64268
0.25, 0, 0.0402751, 0.0322096, 0.05, 0.296813, 0.630702
0.25, 0, 0.0318576, 0.0295888, 0.05, 0.290549, 0.648005
0.25, 0, 0.03561, 0.0311364, 0.05, 0.289154, 0.644099
0.25, 0, 0.0358987, 0.0307022, 0.05, 0.293398, 0.640001
0.25, 0, 0.039554, 0.037168, 0.05, 0.295234, 0.628044
0.25, 0, 0.0354999, 0.0376934, 0.05, 0.287742, 0.639065
0.25, 0, 0.0296525, 0.0346026, 0.05, 0.288326, 0.647419
0.25, 0, 0.0331333, 0.0288518, 0.05, 0.292674, 0.645341
0.25, 0, 0.0321078, 0.0322039, 0.05, 0.291243, 0.644445
0.25, 0, 0.0331045, 0.0315366, 0.05, 0.287629, 0.64773
0.25, 0, 0.0384568, 0.0326304, 0.05, 0.29205, 0.636863
0.25, 0, 0.0359079, 0.0366191, 0.05, 0.284613, 0.64286
0.25, 0, 0.0330134, 0.0355267, 0.05, 0.284705, 0.646755
0.25, 0, 0.0346586, 0.0293444, 0.05, 0.299354, 0.636643
0.25, 0, 0.0336835, 0.0314289, 0.05, 0.279973, 0.654915
0.25, 0, 0.0368396, 0.0313797, 0.05, 0.290633, 0.641147
0.25, 0, 0.0356451, 0.0364537, 0.05, 0.288413, 0.639488
0.25, 0, 0.0323103, 0.032086, 0.05, 0.289564, 0.64604
0.25, 0, 0.0320715, 0.0342547, 0.05, 0.292914, 0.64076
0.25, 0, 0.0344424, 0.0302483, 0.05, 0.284022, 0.651288
0.25, 0, 0.0346866, 0.0334442, 0.05, 0.290023, 0.641846
0.25, 0, 0.036081, 0.0351943, 0.05, 0.289144, 0.639581
0.25, 0, 0.0364758, 0.0353422, 0.05, 0.278344, 0.649838
0.25, 0, 0.0376958, 0.0307261, 0.05, 0.291055, 0.640523
0.25, 0, 0.0267279, 0.0391446, 0.05, 0.279436, 0.654691
0.25, 0, 0.0361739, 0.0333692, 0.05, 0.294444, 0.636013
0.25, 0, 0.0379197, 0.0325144, 0.05, 0.282412, 0.647154
0.25, 0, 0.0328191, 0.0340924, 0.05, 0.282489, 0.6506
0.25, 0, 0.033907, 0.0356959, 0.05, 0.289033, 0.641364
0.25, 0, 0.039577, 0.0359183, 0.05, 0.283824, 0.640681
0.25, 0, 0.0329375, 0.0375092, 0.05, 0.28656, 0.642994
0.25, 0, 0.0351228, 0.0351588, 0.05, 0.285931, 0.643787
0.25, 0, 0.0364605, 0.0338026, 0.05, 0.292796, 0.636941
0.25, 0, 0.0388677, 0.0277801, 0.05, 0.290566, 0.642786
0.25, 0, 0.0342815, 0.0314426, 0.05, 0.292286, 0.64199
0.25, 0, 0.0363581, 0.0359995, 0.05, 0.282633, 0.64501
0.25, 0, 0.0341152, 0.0370789, 0.05, 0.286017, 0.642789
0.25, 0, 0.0328736, 0.0341339, 0.05, 0.281214, 0.651779
0.25, 0, 0.0321969, 0.0354096, 0.05, 0.28942, 0.642974
0.25, 0, 0.0312161, 0.0389598, 0.05, 0.292629, 0.637195
0.25, 0, 0.0342016, 0.0344014, 0.05, 0.283166, 0.648231
0.25, 0, 0.0368308, 0.0338213, 0.05, 0.289371, 0.639977
0.25, 0, 0.0332672, 0.0351914, 0.05, 0.29494, 0.636601
0.25, 0, 0.0362908, 0.0338671, 0.05, 0.286539, 0.643304
0.25, 0, 0.0317928, 0.035372, 0.05, 0.29343, 0.639405
0.25, 0, 0.0339057, 0.0308998, 0.05, 0.296351, 0.638843
0.25, 0, 0.0366817, 0.0345522, 0.05, 0.292737, 0.636029
0.25, 0, 0.0338375, 0.0273402, 0.05, 0.286564, 0.652258
0.25, 0, 0.0324627, 0.0305054, 0.05, 0.29825, 0.638782
0.25, 0, 0.0394894, 0.0358959, 0.05, 0.285698, 0.638916
0.25, 0, 0.0349888, 0.0347544, 0.05, 0.295585, 0.634672
0.25, 0, 0.0347622, 0.0362764, 0.05, 0.301919, 0.627043
0.25, 0, 0.0323406, 0.0344426, 0.05, 0.29706, 0.636157
0.25, 0, 0.0358347, 0.0338033, 0.05, 0.286449, 0.643913
0.25, 0, 0.0351597, 0.0335901, 0.05, 0.285806, 0.645444
0.25, 0, 0.0384287, 0.0341254, 0.05, 0.286195, 0.641251
0.25, 0, 0.0372492, 0.027257, 0.05, 0.29259, 0.642904
0.25, 0, 0.0352897, 0.0397822, 0.05, 0.276664, 0.648264
0.25, 0, 0.0353006, 0.0293009, 0.05, 0.285777, 0.649622
0.25, 0, 0.0391647, 0.0346294, 0.05, 0.279425, 0.646781
0.25, 0, 0.0312102, 0.0356562, 0.05, 0.290454, 0.64268
0.25, 0, 0.0310093, 0.031591, 0.05, 0.284649, 0.652751
0.25, 0, 0.0370364, 0.0322939, 0.05, 0.292399, 0.638271
0.25, 0, 0.0349119, 0.0309524, 0.05, 0.294899, 0.639237
0.25, 0, 0.0298037, 0.0349078, 0.05, 0.29732, 0.637968
0.25, 0, 0.0353472, 0.0328732, 0.05, 0.291156, 0.640623
0.25, 0, 0.0301473, 0.0307615, 0.05, 0.286892, 0.652199
0.25, 0, 0.0379142, 0.0335242, 0.05, 0.283662, 0.644899
0.25, 0, 0.0340137, 0.0352716, 0.05, 0.286124, 0.644591
0.25, 0, 0.0367578, 0.0327741, 0.05, 0.287718, 0.64275
0.25, 0, 0.0327357, 0.0321024, 0.05, 0.278215, 0.656947
0.25, 0, 0.0392451, 0.0344745, 0.05, 0.287953, 0.638328
0.25, 0, 0.0312148, 0.0307213, 0.05, 0.30276, 0.635304
0.25, 0, 0.0328885, 0.0353913, 0.05, 0.286765, 0.644956
0.25, 0, 0.0320785, 0.0301006, 0.05, 0.29626, 0.641561
0.25, 0, 0.0380151, 0.0345777, 0.05, 0.283018, 0.64439
0.25, 0, 0.0339436, 0.0359938, 0.05, 0.296983, 0.63308
0.25, 0, 0.0343427, 0.0304303, 0.05, 0.289619, 0.645608
0.25, 0, 0.0344142, 0.0338456, 0.05, 0.292119, 0.639621
0.25, 0, 0.0366516, 0.0365118, 0.055, 0.297916, 0.62892
0.25, 0, 0.041194, 0.0437221, 0.055, 0.297053, 0.618031
0.25, 0, 0.0419026, 0.035416, 0.055, 0.286899, 0.635782
0.25, 0, 0.0449633, 0.0387274, 0.055, 0.289297, 0.627012
0.25, 0, 0.0400605, 0.0435425, 0.055, 0.294826, 0.621572
0.25, 0, 0.0319466, 0.0418196, 0.055, 0.305294, 0.62094
0.25, 0, 0.0390967, 0.0382634, 0.055, 0.290193, 0.632447
0.25, 0, 0.0418179, 0.033553, 0.055, 0.301932, 0.622697
0.25, 0, 0.0402877, 0.035111, 0.055, 0.293917, 0.630684
0.25, 0, 0.0401745, 0.0416383, 0.055, 0.280628, 0.63756
0.25, 0, 0.040159, 0.043015, 0.055, 0.284066, 0.63276
0.25, 0, 0.0394737, 0.038495, 0.055, 0.302517, 0.619515
0.25, 0, 0.042266, 0.0368405, 0.055, 0.284027, 0.636867
0.25, 0, 0.0476963, 0.0383608, 0.055, 0.294756, 0.619187
