RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0383972, 0.0332044, 0.05, 0.290281, 0.638117
0.25, 0, 0.0324772, 0.0346598, 0.05, 0.295375, 0.637488
0.25, 0, 0.0342833, 0.0321111, 0.05, 0.289469, 0.644136
0.25, 0, 0.0349462, 0.0365631, 0.05, 0.277977, 0.650514
0.25, 0, 0.0344671, 0.0355523, 0.05, 0.290658, 0.639322
0.25, 0, 0.030014, 0.0352401, 0.05, 0.288332, 0.646414
0.25, 0, 0.0373951, 0.0391883, 0.05, 0.29127, 0.632146
0.25, 0, 0.0348071, 0.0337388, 0.05, 0.287529, 0.643925
0.25, 0, 0.0335345, 0.0371368, 0.05, 0.290483, 0.638845
0.25, 0, 0.0335899, 0.0367246, 0.05, 0.291172, 0.638513
0.25, 0, 0.0295554, 0.0363832, 0.05, 0.308397, 0.625665
0.25, 0, 0.0338246, 0.0396518, 0.05, 0.283681, 0.642843
0.25, 0, 0.0364865, 0.0341059, 0.05, 0.286466, 0.642942
0.25, 0, 0.0388307, 0.034268, 0.05, 0.294687, 0.632214
0.25, 0, 0.0353862, 0.031455, 0.05, 0.284769, 0.64839
0.25, 0, 0.0335291, 0.0375095, 0.05, 0.291426, 0.637535
0.25, 0, 0.0376229, 0.0329012, 0.05, 0.294177, 0.635299
0.25, 0, 0.0302854, 0.0362927, 0.05, 0.274078, 0.659344
0.25, 0, 0.0363842, 0.033043, 0.05, 0.296553, 0.63402
0.25, 0, 0.0360421, 0.0338351, 0.05, 0.295396, 0.634727
0.25, 0, 0.0304617, 0.0394717, 0.05, 0.295351, 0.634716
0.25, 0, 0.0347073, 0.0351021, 0.05, 0.282403, 0.647787
0.25, 0, 0.0322241, 0.0341203, 0.05, 0.299529, 0.634127
0.25, 0, 0.0319984, 0.0373408, 0.05, 0.287487, 0.643174
0.25, 0, 0.0333061, 0.0358112, 0.05, 0.292703, 0.638179
0.25, 0, 0.0385891, 0.0351866, 0.05, 0.284254, 0.64197
0.25, 0, 0.033373, 0.0396539, 0.05, 0.280533, 0.646441
0.25, 0, 0.0321345, 0.0349561, 0.05, 0.301287, 0.631622
0.25, 0, 0.034909, 0.0336807, 0.05, 0.293425, 0.637986
0.25, 0, 0.0313447, 0.03316, 0.05, 0.288598, 0.646897
0.25, 0, 0.0325084, 0.0330613, 0.05, 0.300441, 0.633989
0.25, 0, 0.0328491, 0.0362332, 0.05, 0.281952, 0.648966
0.25, 0, 0.0340352, 0.0353496, 0.05, 0.288206, 0.642409
0.25, 0, 0.0393639, 0.033798, 0.05, 0.280093, 0.646745
0.25, 0, 0.0335367, 0.0344774, 0.05, 0.282955, 0.649031
0.25, 0, 0.0343489, 0.0386526, 0.05, 0.300081, 0.626918
0.25, 0, 0.0318255, 0.0384507, 0.05, 0.28677, 0.642954
0.25, 0, 0.033827, 0.034503, 0.05, 0.295574, 0.636096
0.25, 0, 0.0329398, 0.037035, 0.05, 0.286945, 0.64308
0.25, 0, 0.0340213, 0.0359103, 0.05, 0.292189, 0.63788
0.25, 0, 0.0324812, 0.0366785, 0.05, 0.294582, 0.636258
0.25, 0, 0.0407727, 0.0359049, 0.05, 0.29193, 0.631392
0.25, 0, 0.0323381, 0.0343223, 0.05, 0.287246, 0.646093
0.25, 0, 0.0366882, 0.0329171, 0.05, 0.288254, 0.642141
0.25, 0, 0.0342802, 0.0328293, 0.05, 0.286283, 0.646607
0.25, 0, 0.0387739, 0.0372891, 0.05, 0.288218, 0.635719
0.25, 0, 0.0374309, 0.0371415, 0.05, 0.285317, 0.640111
0.25, 0, 0.0338079, 0.0318307, 0.05, 0.297037, 0.637325
0.25, 0, 0.0315996, 0.0374673, 0.05, 0.312038, 0.618895
0.25, 0, 0.0324907, 0.033081, 0.05, 0.284532, 0.649896
0.25, 0, 0.0363933, 0.0330937, 0.05, 0.296032, 0.634481
0.25, 0, 0.0353013, 0.0353955, 0.05, 0.288885, 0.640418
