RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0336068, 0.0292704, 0.05, 0.268454, 0.668669
0.25, 0, 0.0361353, 0.0287088, 0.05, 0.268999, 0.666157
0.25, 0, 0.0351967, 0.0251421, 0.05, 0.272261, 0.6674
0.25, 0, 0.0336276, 0.0352187, 0.05, 0.275732, 0.655422
0.25, 0, 0.0374168, 0.0259489, 0.05, 0.260941, 0.675693
0.25, 0, 0.0322131, 0.0323615, 0.05, 0.262553, 0.672873
0.25, 0, 0.0373242, 0.0253159, 0.05, 0.276268, 0.661092
0.25, 0, 0.0355542, 0.0317158, 0.05, 0.273382, 0.659348
0.25, 0, 0.0331817, 0.0264094, 0.05, 0.270783, 0.669626
0.25, 0, 0.0353599, 0.0337205, 0.05, 0.267459, 0.663461
0.25, 0, 0.0403227, 0.0296856, 0.05, 0.26459, 0.665402
0.25, 0, 0.0354436, 0.0276805, 0.05, 0.273332, 0.663544
0.25, 0, 0.0308776, 0.0273254, 0.05, 0.274324, 0.667473
0.25, 0, 0.0373647, 0.0302158, 0.05, 0.27351, 0.65891
0.25, 0, 0.0329709, 0.0286258, 0.05, 0.267785, 0.670618
0.25, 0, 0.0323206, 0.0321337, 0.05, 0.267108, 0.668438
0.25, 0, 0.0333969, 0.0305981, 0.05, 0.282826, 0.653178
0.25, 0, 0.035433, 0.0279505, 0.05, 0.263076, 0.673541
0.25, 0, 0.0349548, 0.0307211, 0.05, 0.269308, 0.665016
0.25, 0, 0.0349953, 0.0288818, 0.05, 0.271201, 0.664922
0.25, 0, 0.039707, 0.0289143, 0.05, 0.270437, 0.660942
0.25, 0, 0.0326866, 0.0306292, 0.05, 0.275009, 0.661675
0.25, 0, 0.0350687, 0.0272288, 0.05, 0.274499, 0.663204
0.25, 0, 0.0330867, 0.0277027, 0.05, 0.284564, 0.654647
0.25, 0, 0.0394857, 0.0265711, 0.05, 0.277892, 0.656051
0.25, 0, 0.0344726, 0.0273456, 0.05, 0.266081, 0.672101
0.25, 0, 0.0335927, 0.0289477, 0.05, 0.275663, 0.661797
0.25, 0, 0.0364972, 0.026174, 0.05, 0.266317, 0.671012
0.25, 0, 0.0400003, 0.0294822, 0.05, 0.265375, 0.665142
0.25, 0, 0.034883, 0.0268086, 0.05, 0.275131, 0.663177
0.25, 0, 0.0397336, 0.0300548, 0.05, 0.279281, 0.650931
0.25, 0, 0.0304233, 0.0285072, 0.05, 0.270646, 0.670423
0.25, 0, 0.0343109, 0.0307532, 0.05, 0.284261, 0.650675
0.25, 0, 0.0337652, 0.0267257, 0.05, 0.276403, 0.663106
0.25, 0, 0.0303154, 0.0271363, 0.05, 0.275543, 0.667005
0.25, 0, 0.0350403, 0.0321703, 0.05, 0.274121, 0.658669
0.25, 0, 0.0353679, 0.0269052, 0.05, 0.267817, 0.66991
0.25, 0, 0.0313718, 0.0261774, 0.05, 0.273406, 0.669045
0.25, 0, 0.0352677, 0.0278268, 0.05, 0.275463, 0.661443
0.25, 0, 0.0393748, 0.0330304, 0.05, 0.273579, 0.654016
0.25, 0, 0.034437, 0.0271784, 0.05, 0.264941, 0.673444
0.25, 0, 0.0423615, 0.0286788, 0.05, 0.269923, 0.659037
0.25, 0, 0.0323195, 0.0292707, 0.05, 0.268946, 0.669463
0.25, 0, 0.0344483, 0.0348203, 0.05, 0.276809, 0.653923
0.25, 0, 0.0362308, 0.0301863, 0.05, 0.277648, 0.655935
0.25, 0, 0.0371607, 0.0294621, 0.05, 0.274803, 0.658575
0.25, 0, 0.0336402, 0.0295009, 0.05, 0.26746, 0.669399
0.25, 0, 0.0340391, 0.0274265, 0.05, 0.266645, 0.671889
0.25, 0, 0.0313336, 0.0292727, 0.05, 0.27561, 0.663784
0.25, 0, 0.0360495, 0.0277516, 0.05, 0.278086, 0.658113
0.25, 0, 0.0342411, 0.0296941, 0.05, 0.265427, 0.670637
0.25, 0, 0.0345133, 0.0268515, 0.05, 0.266929, 0.671706
0.25, 0, 0.036123, 0.0237507, 0.05, 0.276434, 0.663692
0.25, 0, 0.0368363, 0.0280962, 0.05, 0.27632, 0.658747
0.25, 0, 0.037505, 0.0310219, 0.05, 0.263627, 0.667846
0.25, 0, 0.036754, 0.0252166, 0.05, 0.271437, 0.666592
0.25, 0, 0.0352638, 0.0274177, 0.05, 0.283944, 0.653375
0.25, 0, 0.036048, 0.0302696, 0.05, 0.28034, 0.653343
0.25, 0, 0.0345034, 0.02455, 0.05, 0.276187, 0.66476
0.25, 0, 0.0373279, 0.0301518, 0.05, 0.271696, 0.660825
0.25, 0, 0.0377031, 0.0284353, 0.05, 0.265237, 0.668624
0.25, 0, 0.0299793, 0.0284446, 0.05, 0.277306, 0.66427
0.25, 0, 0.0352055, 0.0318226, 0.05, 0.271261, 0.661711
0.25, 0, 0.0368178, 0.0295982, 0.05, 0.270117, 0.663467
0.25, 0, 0.0338821, 0.0306801, 0.05, 0.278248, 0.657189
0.25, 0, 0.0402402, 0.024164, 0.05, 0.279928, 0.655668
0.25, 0, 0.03715, 0.0265059, 0.05, 0.284974, 0.651371
0.25, 0, 0.0339351, 0.0291645, 0.05, 0.270574, 0.666327
0.25, 0, 0.0319, 0.0301956, 0.05, 0.277429, 0.660476
0.25, 0, 0.036988, 0.0301941, 0.05, 0.2702, 0.662618
0.25, 0, 0.0381816, 0.0269436, 0.05, 0.280562, 0.654313
0.25, 0, 0.0371495, 0.028587, 0.05, 0.27976, 0.654503
0.25, 0, 0.035909, 0.0319502, 0.05, 0.2798, 0.652341
0.25, 0, 0.0346739, 0.0331679, 0.05, 0.273149, 0.659009
0.25, 0, 0.0404162, 0.0298539, 0.05, 0.275215, 0.654515
0.25, 0, 0.0353111, 0.0310656, 0.05, 0.276048, 0.657575
0.25, 0, 0.0349138, 0.0271675, 0.05, 0.271768, 0.66615
0.25, 0, 0.0373475, 0.0259716, 0.05, 0.269795, 0.666886
0.25, 0, 0.0373735, 0.027357, 0.05, 0.275702, 0.659567
0.25, 0, 0.0340362, 0.0315556, 0.05, 0.286408, 0.648001
0.25, 0, 0.0375823, 0.0299413, 0.05, 0.26763, 0.664847
0.25, 0, 0.0326032, 0.0270034, 0.05, 0.262557, 0.677836
0.25, 0, 0.0341822, 0.029589, 0.05, 0.278044, 0.658185
0.25, 0, 0.0382388, 0.0263381, 0.05, 0.258679, 0.676744
0.25, 0, 0.0370575, 0.0304761, 0.05, 0.275613, 0.656854
0.25, 0, 0.0349102, 0.0302573, 0.05, 0.272445, 0.662388
0.25, 0, 0.0361545, 0.031563, 0.05, 0.274745, 0.657538
0.25, 0, 0.034102, 0.0260888, 0.05, 0.268891, 0.670918
0.25, 0, 0.0341353, 0.0295538, 0.05, 0.275678, 0.660633
0.25, 0, 0.0345647, 0.0345944, 0.05, 0.270481, 0.660359
0.25, 0, 0.0330912, 0.0274999, 0.05, 0.271036, 0.668373
0.25, 0, 0.0415001, 0.0296941, 0.05, 0.270812, 0.657994
0.25, 0, 0.0361622, 0.032627, 0.05, 0.271219, 0.659992
0.25, 0, 0.0339385, 0.031576, 0.05, 0.276719, 0.657766
0.25, 0, 0.039274, 0.0338977, 0.05, 0.275242, 0.651586
