RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0381506, 0.0307876, 0.05, 0.259803, 0.671259
0.25, 0, 0.0359067, 0.033914, 0.05, 0.265863, 0.664316
0.25, 0, 0.0378961, 0.0332033, 0.05, 0.272933, 0.655967
0.25, 0, 0.031627, 0.0299283, 0.05, 0.270683, 0.667761
0.25, 0, 0.0374574, 0.031652, 0.05, 0.270727, 0.660163
0.25, 0, 0.0378704, 0.0300003, 0.05, 0.256431, 0.675698
0.25, 0, 0.0347354, 0.0317481, 0.05, 0.276326, 0.65719
0.25, 0, 0.0359191, 0.0335854, 0.05, 0.271956, 0.658539
0.25, 0, 0.0345399, 0.0322226, 0.05, 0.262062, 0.671176
0.25, 0, 0.0306066, 0.030094, 0.05, 0.276318, 0.662982
0.25, 0, 0.0385042, 0.0306745, 0.05, 0.274914, 0.655907
0.25, 0, 0.0368099, 0.027265, 0.05, 0.27327, 0.662655
0.25, 0, 0.0314127, 0.0318037, 0.05, 0.26582, 0.670963
0.25, 0, 0.0361494, 0.0302491, 0.05, 0.274451, 0.659151
0.25, 0, 0.033221, 0.0319691, 0.05, 0.268142, 0.666668
0.25, 0, 0.0362701, 0.032737, 0.05, 0.273139, 0.657854
0.25, 0, 0.0367292, 0.0329517, 0.05, 0.275138, 0.655182
0.25, 0, 0.0398047, 0.0343974, 0.05, 0.261689, 0.664108
0.25, 0, 0.0395037, 0.0271744, 0.05, 0.271188, 0.662134
0.25, 0, 0.0326706, 0.0306312, 0.05, 0.275131, 0.661567
0.25, 0, 0.0381892, 0.0315896, 0.05, 0.266223, 0.663998
0.25, 0, 0.0383084, 0.029668, 0.05, 0.269818, 0.662206
0.25, 0, 0.0363975, 0.0323413, 0.05, 0.269754, 0.661507
0.25, 0, 0.0323572, 0.0284523, 0.05, 0.282054, 0.657136
0.25, 0, 0.0329695, 0.0317677, 0.05, 0.269685, 0.665577
0.25, 0, 0.035187, 0.0288041, 0.05, 0.272169, 0.66384
0.25, 0, 0.0364828, 0.0308752, 0.05, 0.260436, 0.672206
0.25, 0, 0.0354297, 0.0345845, 0.05, 0.263524, 0.666462
0.25, 0, 0.0378489, 0.0269807, 0.05, 0.269161, 0.66601
0.25, 0, 0.0338143, 0.0285318, 0.05, 0.274691, 0.662963
0.25, 0, 0.0357714, 0.0315056, 0.05, 0.278712, 0.654011
0.25, 0, 0.0365887, 0.029129, 0.05, 0.254052, 0.68023
0.25, 0, 0.0340507, 0.0335843, 0.05, 0.267501, 0.664864
