RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0242622, 0.0227356, 0.05, 0.249862, 0.70314
0.25, 0, 0.0285939, 0.0230946, 0.05, 0.256211, 0.6921
0.25, 0, 0.0239342, 0.0227713, 0.05, 0.262549, 0.690746
0.25, 0, 0.0282881, 0.0224961, 0.05, 0.250373, 0.698843
0.25, 0, 0.0290723, 0.0235546, 0.05, 0.252956, 0.694417
0.25, 0, 0.0260866, 0.0216593, 0.05, 0.260611, 0.691643
0.25, 0, 0.0300507, 0.0208594, 0.05, 0.253037, 0.696053
0.25, 0, 0.0278676, 0.0233185, 0.05, 0.256663, 0.692151
0.25, 0, 0.0305015, 0.0200832, 0.05, 0.260171, 0.689244
0.25, 0, 0.0251412, 0.0209134, 0.05, 0.262539, 0.691407
0.25, 0, 0.0303546, 0.0253283, 0.05, 0.256118, 0.688199
0.25, 0, 0.0265953, 0.0234235, 0.05, 0.257722, 0.692259
0.25, 0, 0.0296014, 0.0236625, 0.05, 0.248363, 0.698373
0.25, 0, 0.0252244, 0.0212203, 0.05, 0.248207, 0.705348
0.25, 0, 0.0296388, 0.0231032, 0.05, 0.252414, 0.694844
0.25, 0, 0.0234345, 0.0234695, 0.05, 0.25423, 0.698866
0.25, 0, 0.0229306, 0.0230742, 0.05, 0.257682, 0.696314
0.25, 0, 0.0269916, 0.0235811, 0.05, 0.261428, 0.688
0.25, 0, 0.0273037, 0.0207368, 0.05, 0.252378, 0.699581
0.25, 0, 0.0282086, 0.0206838, 0.05, 0.254904, 0.696204
0.25, 0, 0.0270136, 0.0208613, 0.05, 0.257631, 0.694494
0.25, 0, 0.0251735, 0.0199384, 0.05, 0.255336, 0.699552
0.25, 0, 0.0293081, 0.0209545, 0.05, 0.253129, 0.696609
0.25, 0, 0.0293012, 0.0252477, 0.05, 0.251679, 0.693773
0.25, 0, 0.0303449, 0.0191617, 0.05, 0.261873, 0.68862
0.25, 0, 0.0268891, 0.0209978, 0.05, 0.256152, 0.695961
0.25, 0, 0.0271914, 0.0233535, 0.05, 0.254344, 0.695111
0.25, 0, 0.0286408, 0.0226872, 0.05, 0.249451, 0.699221
0.25, 0, 0.0279337, 0.0229829, 0.05, 0.257371, 0.691712
0.25, 0, 0.0260347, 0.0215798, 0.05, 0.256216, 0.69617
0.25, 0, 0.0270769, 0.0222714, 0.05, 0.256293, 0.694359
0.25, 0, 0.0302831, 0.0208835, 0.05, 0.253975, 0.694859
0.25, 0, 0.0230707, 0.0206138, 0.05, 0.259576, 0.696739
0.25, 0, 0.0279067, 0.024499, 0.05, 0.250791, 0.696803
0.25, 0, 0.0268332, 0.0218142, 0.05, 0.253799, 0.697554
0.25, 0, 0.0249586, 0.0214964, 0.05, 0.258182, 0.695363
0.25, 0, 0.0235215, 0.0214477, 0.05, 0.256703, 0.698328
0.25, 0, 0.0298549, 0.0229865, 0.05, 0.25714, 0.690019
0.25, 0, 0.0268533, 0.0212514, 0.05, 0.261844, 0.690051
0.25, 0, 0.0263939, 0.0245383, 0.05, 0.25132, 0.697748
0.25, 0, 0.0285549, 0.0220699, 0.05, 0.244879, 0.704497
0.25, 0, 0.0262092, 0.0206095, 0.05, 0.249223, 0.703959
0.25, 0, 0.0278709, 0.0222465, 0.05, 0.249492, 0.70039
0.25, 0, 0.0279536, 0.021431, 0.05, 0.253023, 0.697592
0.25, 0, 0.025679, 0.0249844, 0.05, 0.256985, 0.692352
