RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0289852, 0.0278567, 0.05, 0.257227, 0.685931
0.25, 0, 0.0248844, 0.0281605, 0.05, 0.253755, 0.6932
0.25, 0, 0.0273061, 0.0268941, 0.05, 0.25379, 0.69201
0.25, 0, 0.027894, 0.0267193, 0.05, 0.254498, 0.690889
0.25, 0, 0.0252529, 0.0271478, 0.05, 0.261091, 0.686509
0.25, 0, 0.0282496, 0.027151, 0.05, 0.26014, 0.684459
0.25, 0, 0.0284133, 0.0256207, 0.05, 0.253195, 0.692771
0.25, 0, 0.0280368, 0.025383, 0.05, 0.252983, 0.693597
0.25, 0, 0.0306302, 0.0247641, 0.05, 0.258157, 0.686449
0.25, 0, 0.0257227, 0.0281316, 0.05, 0.250545, 0.6956
0.25, 0, 0.0279953, 0.0246582, 0.05, 0.260037, 0.68731
0.25, 0, 0.0266766, 0.0265411, 0.05, 0.259166, 0.687617
0.25, 0, 0.0308121, 0.0299682, 0.05, 0.264029, 0.675191
0.25, 0, 0.0318171, 0.0260295, 0.05, 0.252877, 0.689276
0.25, 0, 0.0284073, 0.0266103, 0.05, 0.262444, 0.682538
0.25, 0, 0.0322626, 0.026341, 0.05, 0.254209, 0.687188
0.25, 0, 0.0261848, 0.0261025, 0.05, 0.254194, 0.693519
0.25, 0, 0.026806, 0.0284392, 0.05, 0.259834, 0.684921
0.25, 0, 0.0260061, 0.0280239, 0.05, 0.248951, 0.697019
0.25, 0, 0.0241121, 0.027582, 0.05, 0.255178, 0.693128
0.25, 0, 0.0258838, 0.0274646, 0.05, 0.250891, 0.69576
0.25, 0, 0.0257738, 0.0269574, 0.05, 0.260508, 0.686761
0.25, 0, 0.0302292, 0.0261189, 0.05, 0.264811, 0.678841
0.25, 0, 0.0275732, 0.0296651, 0.05, 0.254548, 0.688214
0.25, 0, 0.0301759, 0.029781, 0.05, 0.257103, 0.682941
0.25, 0, 0.0270923, 0.0288682, 0.05, 0.253589, 0.69045
0.25, 0, 0.0293432, 0.0238947, 0.05, 0.259917, 0.686845
0.25, 0, 0.0286022, 0.0266918, 0.05, 0.260896, 0.68381
0.25, 0, 0.0247674, 0.0267399, 0.05, 0.255395, 0.693098
0.25, 0, 0.0263055, 0.0290549, 0.05, 0.246833, 0.697807
0.25, 0, 0.0251984, 0.028304, 0.05, 0.260478, 0.68602
0.25, 0, 0.0284472, 0.0273232, 0.05, 0.252268, 0.691962
0.25, 0, 0.0289624, 0.0299254, 0.05, 0.250176, 0.690936
0.25, 0, 0.0277724, 0.0299702, 0.05, 0.252913, 0.689344
0.25, 0, 0.0276985, 0.0262087, 0.05, 0.248373, 0.69772
0.25, 0, 0.028883, 0.0265251, 0.05, 0.249962, 0.694629
0.25, 0, 0.0277694, 0.029885, 0.05, 0.257215, 0.68513
0.25, 0, 0.0275964, 0.0270746, 0.05, 0.257582, 0.687747
0.25, 0, 0.0302192, 0.0263197, 0.05, 0.257384, 0.686077
0.25, 0, 0.0301633, 0.0278018, 0.05, 0.25922, 0.682815
0.25, 0, 0.0254786, 0.0291006, 0.05, 0.256361, 0.68906
0.25, 0, 0.0243643, 0.0277334, 0.05, 0.252279, 0.695623
0.25, 0, 0.0246917, 0.0286196, 0.05, 0.258341, 0.688347
0.25, 0, 0.0284213, 0.0273675, 0.05, 0.255194, 0.689017
0.25, 0, 0.0273367, 0.0273987, 0.05, 0.253048, 0.692216
0.25, 0, 0.0264276, 0.0254517, 0.05, 0.259464, 0.688656
0.25, 0, 0.0258838, 0.0243807, 0.05, 0.260452, 0.689283
0.25, 0, 0.0281605, 0.0280184, 0.05, 0.247234, 0.696587
0.25, 0, 0.0281805, 0.0279781, 0.05, 0.257417, 0.686424
0.25, 0, 0.0265866, 0.0253832, 0.05, 0.256234, 0.691796
0.25, 0, 0.0259964, 0.0280515, 0.05, 0.249683, 0.696269
0.25, 0, 0.024392, 0.0284448, 0.05, 0.252565, 0.694598
0.25, 0, 0.0294802, 0.0278751, 0.05, 0.246608, 0.696037
0.25, 0, 0.0275311, 0.0254676, 0.05, 0.254721, 0.69228
0.25, 0, 0.0282159, 0.0263338, 0.05, 0.259844, 0.685606
0.25, 0, 0.0270941, 0.0277212, 0.05, 0.251372, 0.693813
0.25, 0, 0.0260883, 0.0250892, 0.05, 0.253166, 0.695656
0.25, 0, 0.0298007, 0.0282193, 0.05, 0.257828, 0.684152
0.25, 0, 0.0286299, 0.0286458, 0.05, 0.257822, 0.684902
0.25, 0, 0.0315861, 0.0252144, 0.05, 0.260018, 0.683181
0.25, 0, 0.0277029, 0.0265935, 0.05, 0.252048, 0.693655
0.25, 0, 0.0272616, 0.0247564, 0.05, 0.258929, 0.689053
0.25, 0, 0.0279435, 0.0291276, 0.05, 0.245693, 0.697236
0.25, 0, 0.0269259, 0.0280589, 0.05, 0.256649, 0.688367
0.25, 0, 0.0291969, 0.0251359, 0.05, 0.261243, 0.684425
0.25, 0, 0.0277783, 0.0268192, 0.05, 0.255128, 0.690275
0.25, 0, 0.0268099, 0.0300846, 0.05, 0.260045, 0.68306
0.25, 0, 0.0281084, 0.0289048, 0.05, 0.255099, 0.687888
0.25, 0, 0.0299615, 0.0269557, 0.05, 0.25496, 0.688123
0.25, 0, 0.0273844, 0.0287832, 0.05, 0.252481, 0.691351
0.25, 0, 0.0298423, 0.0283454, 0.05, 0.258779, 0.683034
0.25, 0, 0.0272759, 0.025006, 0.05, 0.256898, 0.69082
0.25, 0, 0.0276112, 0.0284157, 0.05, 0.248496, 0.695477
0.25, 0, 0.0280754, 0.0271523, 0.05, 0.252865, 0.691907
0.25, 0, 0.0267994, 0.0294725, 0.05, 0.255771, 0.687957
0.25, 0, 0.026819, 0.0321643, 0.05, 0.246011, 0.695005
0.25, 0, 0.0276603, 0.0245706, 0.05, 0.25674, 0.691029
0.25, 0, 0.0267496, 0.0253938, 0.05, 0.263715, 0.684141
0.25, 0, 0.0277906, 0.0295145, 0.05, 0.256312, 0.686383
0.25, 0, 0.026793, 0.0304756, 0.05, 0.257201, 0.685531
0.25, 0, 0.027717, 0.0259801, 0.05, 0.254197, 0.692105
0.25, 0, 0.0282405, 0.028718, 0.05, 0.253953, 0.689088
0.25, 0, 0.0279919, 0.0274179, 0.05, 0.247245, 0.697345
0.25, 0, 0.0271054, 0.0290895, 0.05, 0.256339, 0.687466
0.25, 0, 0.0266447, 0.0286134, 0.05, 0.250403, 0.694339
0.25, 0, 0.0281089, 0.0266859, 0.05, 0.26282, 0.682385
