RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0271094, 0.0302164, 0.05, 0.248486, 0.694188
0.25, 0, 0.0249005, 0.0279381, 0.05, 0.253876, 0.693285
0.25, 0, 0.0265825, 0.0284391, 0.05, 0.250763, 0.694215
0.25, 0, 0.0296677, 0.0263106, 0.05, 0.263222, 0.680799
0.25, 0, 0.0283166, 0.0251226, 0.05, 0.255784, 0.690777
0.25, 0, 0.0266175, 0.0265014, 0.05, 0.260325, 0.686556
0.25, 0, 0.0261504, 0.0256105, 0.05, 0.256806, 0.691433
0.25, 0, 0.0304041, 0.0290758, 0.05, 0.24997, 0.69055
0.25, 0, 0.0296093, 0.0276925, 0.05, 0.248225, 0.694474
0.25, 0, 0.0290874, 0.0265475, 0.05, 0.256687, 0.687679
0.25, 0, 0.0264886, 0.0232437, 0.05, 0.261225, 0.689042
0.25, 0, 0.0268863, 0.0258828, 0.05, 0.255641, 0.691589
0.25, 0, 0.0282707, 0.0332003, 0.05, 0.255417, 0.683112
0.25, 0, 0.0313667, 0.0254303, 0.05, 0.249382, 0.693821
0.25, 0, 0.0254074, 0.0252643, 0.05, 0.257642, 0.691687
0.25, 0, 0.0283212, 0.0284127, 0.05, 0.250257, 0.693009
0.25, 0, 0.0282076, 0.0274638, 0.05, 0.251119, 0.69321
0.25, 0, 0.0288479, 0.0276806, 0.05, 0.250195, 0.693276
0.25, 0, 0.0278296, 0.0257483, 0.05, 0.243679, 0.702743
0.25, 0, 0.024391, 0.0285854, 0.05, 0.251746, 0.695278
0.25, 0, 0.0262866, 0.0255864, 0.05, 0.258426, 0.689701
0.25, 0, 0.0265135, 0.0268185, 0.05, 0.248595, 0.698073
0.25, 0, 0.0300694, 0.0246417, 0.05, 0.254005, 0.691283
0.25, 0, 0.0259009, 0.0287765, 0.05, 0.256636, 0.688687
0.25, 0, 0.0308253, 0.030441, 0.05, 0.248869, 0.689865
0.25, 0, 0.0284372, 0.0277152, 0.05, 0.251386, 0.692461
0.25, 0, 0.0263562, 0.0296816, 0.05, 0.258333, 0.685629
0.25, 0, 0.02552, 0.0272283, 0.05, 0.25111, 0.696142
0.25, 0, 0.0284764, 0.0264625, 0.05, 0.257034, 0.688027
0.25, 0, 0.0289333, 0.0260313, 0.05, 0.245625, 0.699411
0.25, 0, 0.0259716, 0.0243703, 0.05, 0.246571, 0.703087
0.25, 0, 0.0263099, 0.0261502, 0.05, 0.262505, 0.685035
0.25, 0, 0.0313381, 0.0258327, 0.05, 0.261357, 0.681472
0.25, 0, 0.0238623, 0.0251356, 0.05, 0.25628, 0.694722
0.25, 0, 0.0292661, 0.0285088, 0.05, 0.254167, 0.688058
0.25, 0, 0.0292173, 0.0265277, 0.05, 0.261052, 0.683203
0.25, 0, 0.0261151, 0.0245791, 0.05, 0.25523, 0.694076
0.25, 0, 0.0292631, 0.027878, 0.05, 0.254522, 0.688337
0.25, 0, 0.0268657, 0.0281515, 0.05, 0.248644, 0.696339
0.25, 0, 0.0282114, 0.0220263, 0.05, 0.254338, 0.695424
0.25, 0, 0.0259008, 0.0274427, 0.05, 0.251958, 0.694699
0.25, 0, 0.0276444, 0.0290255, 0.05, 0.254793, 0.688537
0.25, 0, 0.0300752, 0.028097, 0.05, 0.255151, 0.686676
0.25, 0, 0.0261995, 0.0261165, 0.05, 0.258844, 0.688841
0.25, 0, 0.0274386, 0.0250503, 0.05, 0.256722, 0.690789
0.25, 0, 0.022802, 0.028162, 0.05, 0.264236, 0.6848
0.25, 0, 0.02806, 0.0284735, 0.05, 0.25843, 0.685036
0.25, 0, 0.0306956, 0.0268953, 0.05, 0.256688, 0.685721
0.25, 0, 0.025848, 0.0297512, 0.05, 0.245125, 0.699276
0.25, 0, 0.0262673, 0.0295167, 0.05, 0.258083, 0.686133
0.25, 0, 0.0257941, 0.0278074, 0.05, 0.251176, 0.695223
0.25, 0, 0.0322206, 0.0267968, 0.05, 0.260098, 0.680884
0.25, 0, 0.0282401, 0.0278057, 0.05, 0.254734, 0.68922
0.25, 0, 0.0315634, 0.0284738, 0.05, 0.256563, 0.6834
0.25, 0, 0.0258226, 0.0259515, 0.05, 0.260751, 0.687475
0.25, 0, 0.0254541, 0.0247021, 0.05, 0.253601, 0.696243
0.25, 0, 0.025026, 0.0310701, 0.05, 0.250502, 0.693402
0.25, 0, 0.0281795, 0.0258921, 0.05, 0.260489, 0.68544
0.25, 0, 0.0251179, 0.0234463, 0.05, 0.255854, 0.695581
0.25, 0, 0.0269835, 0.0269693, 0.05, 0.26268, 0.683367
0.25, 0, 0.0287794, 0.0313151, 0.05, 0.256409, 0.683496
0.25, 0, 0.0265983, 0.0249068, 0.05, 0.253879, 0.694616
0.25, 0, 0.030403, 0.0296685, 0.05, 0.249852, 0.690076
0.25, 0, 0.0267465, 0.0232313, 0.05, 0.256215, 0.693808
0.25, 0, 0.0279127, 0.0288123, 0.05, 0.250671, 0.692604
0.25, 0, 0.0284699, 0.0249884, 0.05, 0.258734, 0.687808
0.25, 0, 0.0281865, 0.0280624, 0.05, 0.257934, 0.685817
0.25, 0, 0.02917, 0.0272121, 0.05, 0.263938, 0.67968
0.25, 0, 0.0277805, 0.02842, 0.05, 0.257676, 0.686124
0.25, 0, 0.0288739, 0.025395, 0.05, 0.251567, 0.694164
0.25, 0, 0.026035, 0.029667, 0.05, 0.249549, 0.694749
0.25, 0, 0.0247307, 0.0258908, 0.05, 0.252487, 0.696892
0.25, 0, 0.0260686, 0.02594, 0.05, 0.241053, 0.706939
