RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0237835, 0.020679, 0.05, 0.255317, 0.700221
0.25, 0, 0.0185614, 0.0229067, 0.05, 0.25193, 0.706602
0.25, 0, 0.0221126, 0.0216499, 0.05, 0.256592, 0.699646
0.25, 0, 0.0219085, 0.0235631, 0.05, 0.26171, 0.692818
0.25, 0, 0.0239321, 0.0208103, 0.05, 0.250378, 0.704879
0.25, 0, 0.024026, 0.0198324, 0.05, 0.261874, 0.694268
0.25, 0, 0.0192936, 0.0215938, 0.05, 0.254515, 0.704598
0.25, 0, 0.0208801, 0.0218684, 0.05, 0.26678, 0.690471
0.25, 0, 0.0222083, 0.0215299, 0.05, 0.26081, 0.695452
0.25, 0, 0.022484, 0.0245131, 0.05, 0.256336, 0.696667
0.25, 0, 0.0209799, 0.0204961, 0.05, 0.253817, 0.704707
0.25, 0, 0.0212692, 0.0247491, 0.05, 0.267725, 0.686257
0.25, 0, 0.0222166, 0.021563, 0.05, 0.257744, 0.698476
0.25, 0, 0.0228653, 0.0225087, 0.05, 0.247717, 0.706909
0.25, 0, 0.0222191, 0.0230389, 0.05, 0.24835, 0.706392
0.25, 0, 0.021606, 0.0213017, 0.05, 0.259623, 0.697469
0.25, 0, 0.0203055, 0.0225868, 0.05, 0.252265, 0.704843
0.25, 0, 0.022352, 0.0214675, 0.05, 0.244614, 0.711567
0.25, 0, 0.022221, 0.0206524, 0.05, 0.253649, 0.703478
0.25, 0, 0.0225003, 0.0208106, 0.05, 0.255588, 0.701101
0.25, 0, 0.0235561, 0.0185049, 0.05, 0.260523, 0.697416
0.25, 0, 0.0221879, 0.0203085, 0.05, 0.26075, 0.696754
0.25, 0, 0.0241363, 0.0223336, 0.05, 0.262403, 0.691127
0.25, 0, 0.0240385, 0.0203548, 0.05, 0.253357, 0.702249
0.25, 0, 0.0189611, 0.0234457, 0.05, 0.258616, 0.698978
0.25, 0, 0.0221137, 0.0238454, 0.05, 0.252212, 0.701829
0.25, 0, 0.0181901, 0.0205594, 0.05, 0.251838, 0.709413
0.25, 0, 0.021863, 0.0207973, 0.05, 0.251151, 0.706189
0.25, 0, 0.0227844, 0.0224, 0.05, 0.259208, 0.695608
0.25, 0, 0.0240925, 0.0236048, 0.05, 0.258021, 0.694281
0.25, 0, 0.0206647, 0.0220057, 0.05, 0.259068, 0.698261
0.25, 0, 0.0212196, 0.024031, 0.05, 0.266744, 0.688006
0.25, 0, 0.0191207, 0.0245391, 0.05, 0.247916, 0.708424
0.25, 0, 0.0209859, 0.0222389, 0.05, 0.25498, 0.701795
0.25, 0, 0.02311, 0.0227823, 0.05, 0.257539, 0.696569
0.25, 0, 0.0210324, 0.0255931, 0.05, 0.251461, 0.701914
0.25, 0, 0.0226367, 0.0215193, 0.05, 0.263148, 0.692696
