RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0219407, 0.0250931, 0.05, 0.252686, 0.70028
0.25, 0, 0.0250959, 0.0265325, 0.05, 0.25406, 0.694312
0.25, 0, 0.0212954, 0.0251668, 0.05, 0.251947, 0.70159
0.25, 0, 0.0227649, 0.0286683, 0.05, 0.260692, 0.687875
0.25, 0, 0.0222138, 0.0326603, 0.05, 0.244855, 0.700271
0.25, 0, 0.0219336, 0.0304897, 0.05, 0.25654, 0.691037
0.25, 0, 0.0223239, 0.0281206, 0.05, 0.269918, 0.679637
0.25, 0, 0.0196962, 0.0281852, 0.05, 0.25122, 0.700898
0.25, 0, 0.0219517, 0.0273208, 0.05, 0.260002, 0.690725
0.25, 0, 0.0240966, 0.0303508, 0.05, 0.255692, 0.689861
0.25, 0, 0.0219221, 0.0274499, 0.05, 0.254852, 0.695776
0.25, 0, 0.0233056, 0.0274074, 0.05, 0.260537, 0.68875
0.25, 0, 0.0252257, 0.0257171, 0.05, 0.2591, 0.689958
0.25, 0, 0.0213589, 0.031674, 0.05, 0.255009, 0.691958
0.25, 0, 0.0227927, 0.0284886, 0.05, 0.250316, 0.698402
0.25, 0, 0.0216388, 0.0248754, 0.05, 0.248996, 0.70449
0.25, 0, 0.0205384, 0.0268885, 0.05, 0.257911, 0.694662
0.25, 0, 0.0244109, 0.0293466, 0.05, 0.264041, 0.682202
0.25, 0, 0.0249266, 0.0265843, 0.05, 0.254654, 0.693835
0.25, 0, 0.0208234, 0.0239704, 0.05, 0.268425, 0.686781
0.25, 0, 0.021194, 0.0258696, 0.05, 0.25804, 0.694896
0.25, 0, 0.0224884, 0.0283651, 0.05, 0.256207, 0.692939
0.25, 0, 0.0217805, 0.0260575, 0.05, 0.260076, 0.692086
0.25, 0, 0.0258709, 0.0293282, 0.05, 0.259413, 0.685387
0.25, 0, 0.025906, 0.0278856, 0.05, 0.256492, 0.689716
0.25, 0, 0.0248945, 0.0296825, 0.05, 0.257259, 0.688164
0.25, 0, 0.0249813, 0.0277616, 0.05, 0.254679, 0.692578
0.25, 0, 0.0244045, 0.0278922, 0.05, 0.251094, 0.69661
0.25, 0, 0.0242509, 0.0294034, 0.05, 0.259289, 0.687056
0.25, 0, 0.0253081, 0.0273933, 0.05, 0.259047, 0.688252
0.25, 0, 0.0225243, 0.0294297, 0.05, 0.251229, 0.696817
0.25, 0, 0.0211686, 0.0289329, 0.05, 0.258032, 0.691866
0.25, 0, 0.0227599, 0.0279531, 0.05, 0.256778, 0.692509
0.25, 0, 0.0237443, 0.0302862, 0.05, 0.258399, 0.687571
0.25, 0, 0.0247685, 0.0243266, 0.05, 0.255958, 0.694947
0.25, 0, 0.0237097, 0.028507, 0.05, 0.25708, 0.690703
0.25, 0, 0.0240951, 0.0276033, 0.05, 0.257567, 0.690735
0.25, 0, 0.0255268, 0.0263414, 0.05, 0.252969, 0.695163
0.25, 0, 0.0251646, 0.0288146, 0.05, 0.250125, 0.695896
0.25, 0, 0.0225171, 0.0264251, 0.05, 0.257162, 0.693896
0.25, 0, 0.0234958, 0.0280634, 0.05, 0.259444, 0.688997
0.25, 0, 0.0205044, 0.0278017, 0.05, 0.253452, 0.698241
0.25, 0, 0.0227752, 0.0300324, 0.05, 0.259699, 0.687493
0.25, 0, 0.0224963, 0.0291684, 0.05, 0.257673, 0.690662
0.25, 0, 0.0214239, 0.0261865, 0.05, 0.254831, 0.697559
0.25, 0, 0.0276861, 0.0277561, 0.05, 0.255353, 0.689204
0.25, 0, 0.0201218, 0.0264112, 0.05, 0.253952, 0.699515
0.25, 0, 0.0214517, 0.026108, 0.05, 0.255527, 0.696913
0.25, 0, 0.0203748, 0.0293881, 0.05, 0.260411, 0.689826
0.25, 0, 0.0244359, 0.0269892, 0.05, 0.251292, 0.697283
0.25, 0, 0.0234962, 0.0274984, 0.05, 0.252708, 0.696297
0.25, 0, 0.0223744, 0.0293588, 0.05, 0.256927, 0.691339
0.25, 0, 0.0233703, 0.0263793, 0.05, 0.255613, 0.694638
0.25, 0, 0.0201999, 0.0295349, 0.05, 0.250804, 0.699461
0.25, 0, 0.0229201, 0.0282515, 0.05, 0.252539, 0.69629
0.25, 0, 0.0235153, 0.0264112, 0.05, 0.259307, 0.690767
0.25, 0, 0.0200857, 0.0264225, 0.05, 0.262011, 0.691481
0.25, 0, 0.0220346, 0.0262814, 0.05, 0.262555, 0.689129
0.25, 0, 0.0211106, 0.0285446, 0.05, 0.259329, 0.691016
0.25, 0, 0.0244836, 0.026225, 0.05, 0.246225, 0.703067
0.25, 0, 0.0242698, 0.030855, 0.05, 0.253972, 0.690903
0.25, 0, 0.0231631, 0.0301232, 0.05, 0.258155, 0.688559
0.25, 0, 0.0228173, 0.0285113, 0.05, 0.256578, 0.692094
0.25, 0, 0.0225615, 0.0340647, 0.05, 0.246924, 0.69645
0.25, 0, 0.0225777, 0.0261594, 0.05, 0.253164, 0.698099
0.25, 0, 0.0235705, 0.0265135, 0.05, 0.256631, 0.693285
0.25, 0, 0.0225623, 0.025936, 0.05, 0.252198, 0.699303
0.25, 0, 0.0242212, 0.0240752, 0.05, 0.256412, 0.695292
0.25, 0, 0.0215198, 0.0273253, 0.05, 0.263117, 0.688038
0.25, 0, 0.0236652, 0.0284179, 0.05, 0.252099, 0.695818
0.25, 0, 0.0225348, 0.0290986, 0.05, 0.257289, 0.691078
0.25, 0, 0.0200094, 0.0257132, 0.05, 0.259202, 0.695075
0.25, 0, 0.021404, 0.0247242, 0.05, 0.244638, 0.709234
0.25, 0, 0.0219136, 0.0267646, 0.05, 0.251116, 0.700206
0.25, 0, 0.0222774, 0.0266369, 0.05, 0.242507, 0.708579
0.25, 0, 0.0210847, 0.0234073, 0.05, 0.255246, 0.700262
0.25, 0, 0.0243815, 0.023924, 0.05, 0.260311, 0.691384
0.25, 0, 0.0244419, 0.0276933, 0.05, 0.252942, 0.694923
0.25, 0, 0.0215427, 0.0281133, 0.05, 0.254617, 0.695727
0.25, 0, 0.0212935, 0.0282029, 0.05, 0.249781, 0.700723
0.25, 0, 0.0226417, 0.0245226, 0.05, 0.257205, 0.69563
0.25, 0, 0.0224988, 0.0275759, 0.05, 0.262054, 0.687871
0.25, 0, 0.0215961, 0.0278645, 0.05, 0.255801, 0.694739
0.25, 0, 0.0220827, 0.0285578, 0.05, 0.25891, 0.690449
0.25, 0, 0.0227409, 0.0288372, 0.05, 0.252008, 0.696414
0.25, 0, 0.0243481, 0.0236038, 0.05, 0.255128, 0.69692
0.25, 0, 0.0226199, 0.0285046, 0.05, 0.257616, 0.691259
0.25, 0, 0.0245398, 0.0287308, 0.05, 0.263354, 0.683376
0.25, 0, 0.023409, 0.0274267, 0.05, 0.253249, 0.695916
0.25, 0, 0.0232348, 0.0306073, 0.05, 0.257826, 0.688332
0.25, 0, 0.0222996, 0.0311559, 0.05, 0.251443, 0.695102
0.25, 0, 0.023667, 0.025305, 0.05, 0.251132, 0.699896
0.25, 0, 0.0263813, 0.0254623, 0.05, 0.255117, 0.693039
0.25, 0, 0.023482, 0.0282366, 0.05, 0.250783, 0.697498
0.25, 0, 0.020131, 0.0264199, 0.05, 0.254606, 0.698844
0.25, 0, 0.0221343, 0.0300034, 0.05, 0.263616, 0.684246
0.25, 0, 0.0237397, 0.0280903, 0.05, 0.250888, 0.697282
0.25, 0, 0.023008, 0.0275988, 0.05, 0.256167, 0.693226
0.25, 0, 0.0237347, 0.0304598, 0.05, 0.262401, 0.683404
0.25, 0, 0.0216546, 0.0263348, 0.05, 0.254119, 0.697892
0.25, 0, 0.0250647, 0.0325987, 0.055, 0.262345, 0.679992
0.25, 0, 0.025635, 0.0337802, 0.055, 0.261594, 0.678991
0.25, 0, 0.0261409, 0.0316414, 0.055, 0.258609, 0.683608
0.25, 0, 0.0250614, 0.0311411, 0.055, 0.268374, 0.675423
0.25, 0, 0.0225216, 0.0296865, 0.055, 0.255551, 0.692241
0.25, 0, 0.0260502, 0.0326276, 0.055, 0.259502, 0.68182
0.25, 0, 0.0283626, 0.0307136, 0.055, 0.258162, 0.682761
0.25, 0, 0.023674, 0.0312699, 0.055, 0.256845, 0.688211
0.25, 0, 0.0259094, 0.0327089, 0.055, 0.255643, 0.685738
0.25, 0, 0.0256571, 0.0295939, 0.055, 0.260939, 0.68381
0.25, 0, 0.0257203, 0.030919, 0.055, 0.257517, 0.685844
0.25, 0, 0.0275168, 0.0300627, 0.055, 0.254855, 0.687566
0.25, 0, 0.0245843, 0.032342, 0.055, 0.254906, 0.688167
0.25, 0, 0.0269439, 0.0300412, 0.055, 0.263869, 0.679146
0.25, 0, 0.0258218, 0.0326037, 0.055, 0.254682, 0.686892
0.25, 0, 0.0277904, 0.029687, 0.055, 0.253751, 0.688772
0.25, 0, 0.0206628, 0.0345442, 0.055, 0.260267, 0.684526
0.25, 0, 0.0262781, 0.0316932, 0.055, 0.255363, 0.686666
0.25, 0, 0.027242, 0.0318169, 0.055, 0.257507, 0.683434
0.25, 0, 0.0251419, 0.0296952, 0.055, 0.258911, 0.686252
0.25, 0, 0.026108, 0.0290386, 0.055, 0.253874, 0.690979
