RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0212963, 0.0230225, 0.05, 0.248707, 0.706974
0.25, 0, 0.02068, 0.0283207, 0.05, 0.251478, 0.699522
0.25, 0, 0.0220036, 0.0261082, 0.05, 0.260263, 0.691625
0.25, 0, 0.0254129, 0.0282151, 0.05, 0.245021, 0.701351
0.25, 0, 0.0217113, 0.0262804, 0.05, 0.258357, 0.693651
0.25, 0, 0.0213385, 0.0287598, 0.05, 0.245542, 0.70436
0.25, 0, 0.0241175, 0.0265535, 0.05, 0.255659, 0.69367
0.25, 0, 0.0188166, 0.0279092, 0.05, 0.251569, 0.701705
0.25, 0, 0.0226579, 0.0261975, 0.05, 0.256506, 0.694639
0.25, 0, 0.0248766, 0.0262019, 0.05, 0.258154, 0.690768
0.25, 0, 0.0204216, 0.0253669, 0.05, 0.251261, 0.70295
0.25, 0, 0.0209244, 0.0249767, 0.05, 0.258146, 0.695953
0.25, 0, 0.0224801, 0.0278847, 0.05, 0.262831, 0.686804
0.25, 0, 0.0227338, 0.0262828, 0.05, 0.25659, 0.694393
0.25, 0, 0.0235005, 0.0244862, 0.05, 0.259519, 0.692494
0.25, 0, 0.0232788, 0.0296763, 0.05, 0.257759, 0.689286
0.25, 0, 0.0230076, 0.0278773, 0.05, 0.263387, 0.685728
0.25, 0, 0.019446, 0.0310272, 0.05, 0.251337, 0.69819
0.25, 0, 0.0235285, 0.025497, 0.05, 0.247414, 0.70356
0.25, 0, 0.0207494, 0.0229518, 0.05, 0.253409, 0.70289
0.25, 0, 0.0219723, 0.0272873, 0.05, 0.25497, 0.69577
0.25, 0, 0.0230171, 0.0291631, 0.05, 0.259302, 0.688517
0.25, 0, 0.0206957, 0.0321174, 0.05, 0.255388, 0.691799
0.25, 0, 0.0199259, 0.0270777, 0.05, 0.253701, 0.699295
0.25, 0, 0.0217961, 0.0288593, 0.05, 0.24845, 0.700895
0.25, 0, 0.0256394, 0.0316271, 0.05, 0.246244, 0.69649
0.25, 0, 0.0219717, 0.0301508, 0.05, 0.252907, 0.69497
0.25, 0, 0.0217289, 0.024583, 0.05, 0.257159, 0.696529
0.25, 0, 0.0261902, 0.0279813, 0.05, 0.256334, 0.689495
0.25, 0, 0.0219579, 0.0326206, 0.05, 0.253567, 0.691854
0.25, 0, 0.0232413, 0.0238591, 0.05, 0.254352, 0.698547
0.25, 0, 0.0220231, 0.0240074, 0.05, 0.262461, 0.691509
0.25, 0, 0.0202657, 0.0298932, 0.05, 0.253338, 0.696503
0.25, 0, 0.0244255, 0.0239871, 0.05, 0.259966, 0.691621
0.25, 0, 0.024541, 0.0270525, 0.05, 0.251034, 0.697372
0.25, 0, 0.0217095, 0.0293243, 0.05, 0.256748, 0.692218
0.25, 0, 0.0204566, 0.0272235, 0.05, 0.258486, 0.693834
0.25, 0, 0.0244265, 0.0258787, 0.05, 0.249808, 0.699886
0.25, 0, 0.0229949, 0.0291732, 0.05, 0.253824, 0.694008
0.25, 0, 0.0231369, 0.029125, 0.05, 0.252122, 0.695616
0.25, 0, 0.0232478, 0.0248651, 0.05, 0.254168, 0.697719
0.25, 0, 0.0206812, 0.0300525, 0.05, 0.250003, 0.699264
0.25, 0, 0.025953, 0.0264033, 0.05, 0.260946, 0.686698
0.25, 0, 0.02144, 0.0318465, 0.05, 0.264725, 0.681989
0.25, 0, 0.0228138, 0.0294688, 0.05, 0.256099, 0.691618
0.25, 0, 0.0240607, 0.0276926, 0.05, 0.254906, 0.69334
0.25, 0, 0.0217805, 0.0290704, 0.05, 0.260377, 0.688772
0.25, 0, 0.020013, 0.0274312, 0.05, 0.255902, 0.696654
0.25, 0, 0.0245876, 0.0289301, 0.05, 0.259861, 0.686621
0.25, 0, 0.0196227, 0.0303456, 0.05, 0.259649, 0.690382
0.25, 0, 0.0224338, 0.0292696, 0.05, 0.253401, 0.694895
0.25, 0, 0.0229877, 0.0255259, 0.05, 0.258759, 0.692727
0.25, 0, 0.0207748, 0.0277507, 0.05, 0.261332, 0.690143
0.25, 0, 0.0210596, 0.0227233, 0.05, 0.26115, 0.695067
0.25, 0, 0.0220762, 0.0259835, 0.05, 0.259693, 0.692247
0.25, 0, 0.0227607, 0.0269889, 0.05, 0.262534, 0.687716
0.25, 0, 0.0266487, 0.0283875, 0.05, 0.256823, 0.688141
0.25, 0, 0.0231063, 0.0281493, 0.05, 0.259221, 0.689523
0.25, 0, 0.0223624, 0.0282569, 0.05, 0.260885, 0.688496
0.25, 0, 0.0209133, 0.0269982, 0.05, 0.254219, 0.697869
0.25, 0, 0.0223874, 0.0281638, 0.05, 0.257318, 0.692131
0.25, 0, 0.0213081, 0.0248212, 0.05, 0.256019, 0.697851
0.25, 0, 0.0226696, 0.0257283, 0.05, 0.258078, 0.693524
0.25, 0, 0.0244052, 0.0238882, 0.05, 0.256135, 0.695572
0.25, 0, 0.0243388, 0.025505, 0.05, 0.254469, 0.695688
0.25, 0, 0.0220382, 0.0272877, 0.05, 0.262622, 0.688052
0.25, 0, 0.0222007, 0.0251645, 0.05, 0.258383, 0.694252
0.25, 0, 0.0252701, 0.0287896, 0.05, 0.263364, 0.682576
0.25, 0, 0.0253115, 0.0284658, 0.05, 0.262232, 0.683991
0.25, 0, 0.0208615, 0.0266774, 0.05, 0.251769, 0.700692
0.25, 0, 0.0209624, 0.0278629, 0.05, 0.251926, 0.699248
0.25, 0, 0.0204286, 0.025514, 0.05, 0.253252, 0.700806
0.25, 0, 0.0209439, 0.02831, 0.05, 0.265158, 0.685588
0.25, 0, 0.0205026, 0.0267861, 0.05, 0.262229, 0.690483
0.25, 0, 0.0225687, 0.0249933, 0.05, 0.256664, 0.695774
0.25, 0, 0.0196234, 0.0272254, 0.05, 0.248303, 0.704848
0.25, 0, 0.0252111, 0.0253206, 0.05, 0.252893, 0.696575
0.25, 0, 0.0205672, 0.0265962, 0.05, 0.259952, 0.692885
0.25, 0, 0.0241183, 0.0270802, 0.05, 0.262305, 0.686496
0.25, 0, 0.0193557, 0.0253471, 0.05, 0.262742, 0.692555
0.25, 0, 0.0217371, 0.0243396, 0.05, 0.252113, 0.70181
0.25, 0, 0.020864, 0.0292072, 0.05, 0.254424, 0.695504
0.25, 0, 0.0227484, 0.0259007, 0.05, 0.25935, 0.692001
0.25, 0, 0.0245043, 0.0243477, 0.05, 0.256942, 0.694206
0.25, 0, 0.0234524, 0.0281082, 0.05, 0.257782, 0.690658
0.25, 0, 0.0221102, 0.0274031, 0.05, 0.252869, 0.697618
0.25, 0, 0.0240558, 0.0286896, 0.05, 0.253803, 0.693451
0.25, 0, 0.0210419, 0.0257165, 0.05, 0.258888, 0.694354
0.25, 0, 0.0221461, 0.0275223, 0.05, 0.250827, 0.699504
0.25, 0, 0.0234479, 0.0281761, 0.05, 0.269187, 0.67919
0.25, 0, 0.0225071, 0.02705, 0.05, 0.259176, 0.691267
0.25, 0, 0.0225477, 0.0270465, 0.05, 0.253988, 0.696418
0.25, 0, 0.0253331, 0.0293619, 0.05, 0.252997, 0.692308
0.25, 0, 0.0258149, 0.0274633, 0.05, 0.258772, 0.68795
0.25, 0, 0.0214032, 0.0270087, 0.05, 0.263261, 0.688327
0.25, 0, 0.0221639, 0.0254598, 0.05, 0.252797, 0.69958
0.25, 0, 0.0257984, 0.0275416, 0.05, 0.245464, 0.701196
0.25, 0, 0.0210163, 0.0266563, 0.05, 0.263283, 0.689045
0.25, 0, 0.0220553, 0.0272759, 0.05, 0.246226, 0.704443
0.25, 0, 0.0219091, 0.0290279, 0.05, 0.261546, 0.687517
0.25, 0, 0.0270732, 0.0349359, 0.055, 0.255975, 0.682016
0.25, 0, 0.0232978, 0.0295887, 0.055, 0.255976, 0.691138
0.25, 0, 0.0267588, 0.0282846, 0.055, 0.252933, 0.692023
0.25, 0, 0.0259663, 0.0281734, 0.055, 0.251188, 0.694673
0.25, 0, 0.0294645, 0.0326066, 0.055, 0.258776, 0.679153
0.25, 0, 0.0255729, 0.032577, 0.055, 0.248842, 0.693008
0.25, 0, 0.0276824, 0.0271705, 0.055, 0.264127, 0.68102
0.25, 0, 0.0254075, 0.0266359, 0.055, 0.258534, 0.689423
0.25, 0, 0.0251642, 0.0334504, 0.055, 0.259275, 0.68211
0.25, 0, 0.028872, 0.0323973, 0.055, 0.247524, 0.691207
0.25, 0, 0.0267842, 0.030008, 0.055, 0.263403, 0.679805
0.25, 0, 0.0264424, 0.0275589, 0.055, 0.258352, 0.687647
0.25, 0, 0.0231272, 0.0315769, 0.055, 0.255189, 0.690107
0.25, 0, 0.0271821, 0.0288715, 0.055, 0.252847, 0.6911
0.25, 0, 0.025424, 0.0311186, 0.055, 0.259948, 0.68351
0.25, 0, 0.0259176, 0.0309647, 0.055, 0.256412, 0.686706
0.25, 0, 0.0249318, 0.0325724, 0.055, 0.264648, 0.677848
0.25, 0, 0.0234495, 0.0325417, 0.055, 0.26043, 0.683579
0.25, 0, 0.0234694, 0.0285981, 0.055, 0.252984, 0.694949
0.25, 0, 0.0266399, 0.0316296, 0.055, 0.259856, 0.681875
0.25, 0, 0.0258138, 0.030041, 0.055, 0.259257, 0.684888
0.25, 0, 0.0220739, 0.0320915, 0.055, 0.264783, 0.681051
0.25, 0, 0.0257202, 0.0309492, 0.055, 0.259385, 0.683946
0.25, 0, 0.0261031, 0.0310877, 0.055, 0.253628, 0.689181
0.25, 0, 0.0209214, 0.0256781, 0.055, 0.267345, 0.686056
0.25, 0, 0.0266126, 0.0287527, 0.055, 0.257002, 0.687633
0.25, 0, 0.0257653, 0.0286503, 0.055, 0.257709, 0.687876
0.25, 0, 0.0259846, 0.0276256, 0.055, 0.264593, 0.681797
0.25, 0, 0.0247835, 0.0268503, 0.055, 0.255165, 0.693201
0.25, 0, 0.0273776, 0.0282311, 0.055, 0.256988, 0.687403
0.25, 0, 0.025696, 0.0300408, 0.055, 0.259009, 0.685255
0.25, 0, 0.0234201, 0.0298054, 0.055, 0.249004, 0.69777
0.25, 0, 0.0236755, 0.0294046, 0.055, 0.253772, 0.693148
0.25, 0, 0.026512, 0.0311259, 0.055, 0.259667, 0.682695
0.25, 0, 0.023842, 0.0294569, 0.055, 0.249119, 0.697582
0.25, 0, 0.0250291, 0.0301064, 0.055, 0.254866, 0.689999
0.25, 0, 0.0221043, 0.0283649, 0.055, 0.259412, 0.690119
0.25, 0, 0.0271404, 0.0283357, 0.055, 0.255712, 0.688812
