RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0304096, 0.0306999, 0.05, 0.259642, 0.679248
0.25, 0, 0.0291761, 0.0267276, 0.05, 0.25373, 0.690366
0.25, 0, 0.0282178, 0.0273833, 0.05, 0.257879, 0.68652
0.25, 0, 0.0308467, 0.0285265, 0.05, 0.258535, 0.682092
0.25, 0, 0.0262776, 0.0274206, 0.05, 0.253186, 0.693116
0.25, 0, 0.0267945, 0.029216, 0.05, 0.251981, 0.692009
0.25, 0, 0.0301044, 0.0279612, 0.05, 0.25257, 0.689364
0.25, 0, 0.0298689, 0.0304845, 0.05, 0.25487, 0.684777
0.25, 0, 0.0286306, 0.0307138, 0.05, 0.265579, 0.675077
0.25, 0, 0.0299351, 0.0275432, 0.05, 0.247619, 0.694903
0.25, 0, 0.0298678, 0.0307029, 0.05, 0.252168, 0.687262
0.25, 0, 0.0286942, 0.0307058, 0.05, 0.260187, 0.680413
0.25, 0, 0.0277618, 0.0297648, 0.05, 0.254346, 0.688127
0.25, 0, 0.0288072, 0.0287591, 0.05, 0.251146, 0.691288
0.25, 0, 0.028693, 0.0280827, 0.05, 0.256405, 0.686819
0.25, 0, 0.0305812, 0.0284063, 0.05, 0.255839, 0.685174
0.25, 0, 0.0301747, 0.0280401, 0.05, 0.262182, 0.679604
0.25, 0, 0.0330031, 0.0270011, 0.05, 0.252432, 0.687564
0.25, 0, 0.0289302, 0.0307099, 0.05, 0.251977, 0.688383
0.25, 0, 0.0297196, 0.0282144, 0.05, 0.249727, 0.692339
0.25, 0, 0.0292008, 0.0304116, 0.05, 0.250439, 0.689949
0.25, 0, 0.0302612, 0.0324669, 0.05, 0.246465, 0.690807
0.25, 0, 0.0274881, 0.0266895, 0.05, 0.251392, 0.69443
0.25, 0, 0.0321529, 0.0317128, 0.05, 0.244985, 0.691149
0.25, 0, 0.0273949, 0.0267224, 0.05, 0.260701, 0.685182
0.25, 0, 0.0256843, 0.0313631, 0.05, 0.251415, 0.691537
0.25, 0, 0.0306474, 0.0299563, 0.05, 0.253757, 0.685639
0.25, 0, 0.0298884, 0.0305125, 0.05, 0.254177, 0.685422
0.25, 0, 0.0303591, 0.0286857, 0.05, 0.247378, 0.693577
0.25, 0, 0.0282086, 0.0312986, 0.05, 0.258459, 0.682033
0.25, 0, 0.0301154, 0.0293951, 0.05, 0.258488, 0.682002
0.25, 0, 0.0322702, 0.0260053, 0.05, 0.25562, 0.686104
0.25, 0, 0.029139, 0.03127, 0.05, 0.251342, 0.688249
0.25, 0, 0.0266541, 0.0314219, 0.05, 0.253117, 0.688807
0.25, 0, 0.0289825, 0.0277926, 0.05, 0.260101, 0.683124
0.25, 0, 0.028181, 0.0268157, 0.05, 0.253201, 0.691802
0.25, 0, 0.0294495, 0.0313764, 0.05, 0.250715, 0.688459
0.25, 0, 0.0284259, 0.0292827, 0.05, 0.251764, 0.690528
0.25, 0, 0.0285811, 0.0303668, 0.05, 0.247315, 0.693737
0.25, 0, 0.0291336, 0.0273267, 0.05, 0.253896, 0.689644
0.25, 0, 0.0308247, 0.0314055, 0.05, 0.251947, 0.685823
0.25, 0, 0.0298692, 0.0284492, 0.05, 0.255018, 0.686664
0.25, 0, 0.031238, 0.0286572, 0.05, 0.250522, 0.689582
