RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.01954, 0.0291676, 0.05, 0.257834, 0.693459
0.25, 0, 0.0221232, 0.0306619, 0.05, 0.255022, 0.692192
0.25, 0, 0.0220018, 0.028788, 0.05, 0.257868, 0.691342
0.25, 0, 0.0237497, 0.0301866, 0.05, 0.256116, 0.689947
0.25, 0, 0.0232476, 0.0302891, 0.05, 0.260278, 0.686185
0.25, 0, 0.0233478, 0.0294032, 0.05, 0.258833, 0.688416
0.25, 0, 0.0195204, 0.0268577, 0.05, 0.252266, 0.701356
0.25, 0, 0.0228919, 0.0253512, 0.05, 0.252663, 0.699094
0.25, 0, 0.0219952, 0.0301077, 0.05, 0.24072, 0.707177
0.25, 0, 0.023525, 0.0292832, 0.05, 0.258008, 0.689184
0.25, 0, 0.0198441, 0.0314042, 0.05, 0.252768, 0.695983
0.25, 0, 0.0245936, 0.0302612, 0.05, 0.255405, 0.689741
0.25, 0, 0.0244877, 0.0282539, 0.05, 0.251254, 0.696004
0.25, 0, 0.0240285, 0.0330328, 0.05, 0.249181, 0.693758
0.25, 0, 0.0192059, 0.0341713, 0.05, 0.252399, 0.694224
0.25, 0, 0.020389, 0.0315383, 0.05, 0.25871, 0.689363
0.25, 0, 0.0275383, 0.0299165, 0.05, 0.259872, 0.682674
0.25, 0, 0.021757, 0.029674, 0.05, 0.255797, 0.692772
0.25, 0, 0.0192087, 0.0295426, 0.05, 0.264063, 0.687186
0.25, 0, 0.0221948, 0.031372, 0.05, 0.2527, 0.693734
0.25, 0, 0.0241005, 0.0314083, 0.05, 0.251512, 0.692979
0.25, 0, 0.0235683, 0.027216, 0.05, 0.258784, 0.690432
0.25, 0, 0.0243206, 0.0290445, 0.05, 0.249514, 0.697121
0.25, 0, 0.0214796, 0.030836, 0.05, 0.250416, 0.697269
0.25, 0, 0.0251468, 0.0282669, 0.05, 0.252571, 0.694016
0.25, 0, 0.0217023, 0.0236919, 0.05, 0.260377, 0.694228
0.25, 0, 0.0198463, 0.027865, 0.05, 0.252557, 0.699732
0.25, 0, 0.0238677, 0.0275205, 0.05, 0.248112, 0.7005
0.25, 0, 0.0239512, 0.0266819, 0.05, 0.251914, 0.697453
0.25, 0, 0.020436, 0.0302796, 0.05, 0.25388, 0.695404
0.25, 0, 0.0216958, 0.0311034, 0.05, 0.255792, 0.691409
0.25, 0, 0.0213594, 0.029346, 0.05, 0.247136, 0.702159
0.25, 0, 0.0211453, 0.0275809, 0.05, 0.265717, 0.685557
0.25, 0, 0.0226927, 0.0272114, 0.05, 0.258349, 0.691747
0.25, 0, 0.0211895, 0.0286763, 0.05, 0.254621, 0.695514
0.25, 0, 0.0225122, 0.0291194, 0.05, 0.25407, 0.694298
0.25, 0, 0.0219856, 0.0286853, 0.05, 0.258012, 0.691317
0.25, 0, 0.0205258, 0.0273707, 0.05, 0.25873, 0.693373
0.25, 0, 0.0229499, 0.0265857, 0.05, 0.262764, 0.6877
