RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0226589, 0.0327674, 0.05, 0.259719, 0.684854
0.25, 0, 0.0229585, 0.0303899, 0.05, 0.249378, 0.697274
0.25, 0, 0.0225252, 0.028984, 0.05, 0.258465, 0.690026
0.25, 0, 0.0201964, 0.0286104, 0.05, 0.255574, 0.69562
0.25, 0, 0.0240461, 0.0288038, 0.05, 0.258964, 0.688186
0.25, 0, 0.0222185, 0.0281179, 0.05, 0.241659, 0.708005
0.25, 0, 0.0226685, 0.0293171, 0.05, 0.248926, 0.699089
0.25, 0, 0.024315, 0.0320054, 0.05, 0.259211, 0.684468
0.25, 0, 0.0233803, 0.0321237, 0.05, 0.263945, 0.680551
0.25, 0, 0.0210201, 0.0282412, 0.05, 0.254511, 0.696228
0.25, 0, 0.0213607, 0.0299111, 0.05, 0.260199, 0.688529
0.25, 0, 0.0218819, 0.025735, 0.05, 0.252652, 0.699731
0.25, 0, 0.0233931, 0.0280862, 0.05, 0.256388, 0.692133
0.25, 0, 0.0221142, 0.0311973, 0.05, 0.254332, 0.692357
0.25, 0, 0.0274465, 0.0259374, 0.05, 0.256065, 0.690551
0.25, 0, 0.0215498, 0.0282316, 0.05, 0.266464, 0.683755
0.25, 0, 0.0199457, 0.0319246, 0.05, 0.253044, 0.695086
0.25, 0, 0.0248917, 0.0290848, 0.05, 0.257531, 0.688492
0.25, 0, 0.0252255, 0.0295719, 0.05, 0.255169, 0.690034
0.25, 0, 0.0217487, 0.0284828, 0.05, 0.25301, 0.696759
0.25, 0, 0.0218229, 0.0260036, 0.05, 0.263623, 0.688551
0.25, 0, 0.0216213, 0.0295803, 0.05, 0.259433, 0.689365
0.25, 0, 0.0245483, 0.0283384, 0.05, 0.256751, 0.690362
0.25, 0, 0.0214235, 0.030892, 0.05, 0.247475, 0.70021
0.25, 0, 0.0207179, 0.0285848, 0.05, 0.259076, 0.691621
0.25, 0, 0.0231572, 0.0274265, 0.05, 0.258094, 0.691323
0.25, 0, 0.020972, 0.0295077, 0.05, 0.258128, 0.691392
0.25, 0, 0.023401, 0.0266504, 0.05, 0.254543, 0.695406
