RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0243981, 0.0282564, 0.05, 0.252188, 0.695158
0.25, 0, 0.0228609, 0.0295207, 0.05, 0.258883, 0.688735
0.25, 0, 0.0231021, 0.0277296, 0.05, 0.250038, 0.69913
0.25, 0, 0.0245102, 0.0318551, 0.05, 0.261671, 0.681963
0.25, 0, 0.0238925, 0.0271145, 0.05, 0.254118, 0.694875
0.25, 0, 0.0223515, 0.0275943, 0.05, 0.2578, 0.692254
0.25, 0, 0.0222862, 0.029824, 0.05, 0.256755, 0.691135
0.25, 0, 0.0236368, 0.0305148, 0.05, 0.256835, 0.689013
0.25, 0, 0.02278, 0.027919, 0.05, 0.255503, 0.693798
0.25, 0, 0.0272581, 0.0292714, 0.05, 0.248321, 0.69515
0.25, 0, 0.0193156, 0.0297418, 0.05, 0.262041, 0.688901
0.25, 0, 0.0217045, 0.0258581, 0.05, 0.241815, 0.710622
0.25, 0, 0.0205489, 0.0279598, 0.05, 0.260791, 0.6907
0.25, 0, 0.0253268, 0.0265945, 0.05, 0.244995, 0.703084
0.25, 0, 0.0212718, 0.0279509, 0.05, 0.254437, 0.69634
0.25, 0, 0.0258107, 0.0287465, 0.05, 0.256971, 0.688472
0.25, 0, 0.0224433, 0.0315838, 0.05, 0.25311, 0.692863
0.25, 0, 0.0226097, 0.0297037, 0.05, 0.254441, 0.693245
0.25, 0, 0.0218291, 0.0314643, 0.05, 0.257429, 0.689277
0.25, 0, 0.021878, 0.0279877, 0.05, 0.257842, 0.692292
0.25, 0, 0.0226875, 0.0289767, 0.05, 0.248891, 0.699445
0.25, 0, 0.0233269, 0.0285414, 0.05, 0.257474, 0.690658
0.25, 0, 0.0202011, 0.0291386, 0.05, 0.259954, 0.690706
0.25, 0, 0.0243409, 0.0262261, 0.05, 0.260065, 0.689368
0.25, 0, 0.0250407, 0.0332299, 0.05, 0.253466, 0.688263
0.25, 0, 0.020599, 0.0271903, 0.05, 0.258422, 0.693788
0.25, 0, 0.0210732, 0.0305697, 0.05, 0.257048, 0.691309
0.25, 0, 0.0231727, 0.0297517, 0.05, 0.255944, 0.691131
0.25, 0, 0.0216059, 0.0280105, 0.05, 0.262531, 0.687853
0.25, 0, 0.0240801, 0.0275583, 0.05, 0.251404, 0.696958
0.25, 0, 0.022021, 0.0284024, 0.05, 0.256305, 0.693272
0.25, 0, 0.0245793, 0.030417, 0.05, 0.260421, 0.684582
0.25, 0, 0.0256818, 0.0292057, 0.05, 0.262524, 0.682588
0.25, 0, 0.0242335, 0.0290869, 0.05, 0.251603, 0.695077
0.25, 0, 0.023658, 0.0327923, 0.05, 0.245808, 0.697742
0.25, 0, 0.0236028, 0.0292598, 0.05, 0.257575, 0.689562
0.25, 0, 0.0209019, 0.025386, 0.05, 0.260429, 0.693283
0.25, 0, 0.0190023, 0.02859, 0.05, 0.263668, 0.688739
0.25, 0, 0.0233656, 0.0261265, 0.05, 0.248243, 0.702265
0.25, 0, 0.0204887, 0.0314211, 0.05, 0.256311, 0.69178
0.25, 0, 0.0246959, 0.0257051, 0.05, 0.257243, 0.692356
0.25, 0, 0.0227186, 0.0291042, 0.05, 0.250913, 0.697264
0.25, 0, 0.0240635, 0.0326105, 0.05, 0.247717, 0.695609
0.25, 0, 0.0235707, 0.0283281, 0.05, 0.248375, 0.699726
0.25, 0, 0.0242933, 0.0303771, 0.05, 0.255995, 0.689334
0.25, 0, 0.0241861, 0.0309143, 0.05, 0.247931, 0.696968
0.25, 0, 0.0242418, 0.0267651, 0.05, 0.266146, 0.682848
0.25, 0, 0.023221, 0.0251045, 0.05, 0.246832, 0.704842
0.25, 0, 0.0257171, 0.0267867, 0.05, 0.253424, 0.694073
0.25, 0, 0.0234078, 0.0294828, 0.05, 0.253716, 0.693393
0.25, 0, 0.0215219, 0.0263809, 0.05, 0.258827, 0.69327
0.25, 0, 0.0245532, 0.0281236, 0.05, 0.257381, 0.689943
0.25, 0, 0.025304, 0.0302363, 0.05, 0.257983, 0.686477
0.25, 0, 0.0205055, 0.0309853, 0.05, 0.256268, 0.692242
0.25, 0, 0.0208771, 0.0276218, 0.05, 0.257669, 0.693832
0.25, 0, 0.0225698, 0.0290362, 0.05, 0.256596, 0.691798
0.25, 0, 0.0251424, 0.0286884, 0.05, 0.258687, 0.687482
0.25, 0, 0.0265296, 0.0298093, 0.05, 0.25847, 0.685191
0.25, 0, 0.023037, 0.0278223, 0.05, 0.262744, 0.686397
0.25, 0, 0.0243007, 0.0323575, 0.05, 0.261457, 0.681884
0.25, 0, 0.024606, 0.0317437, 0.05, 0.258271, 0.68538
0.25, 0, 0.0216542, 0.02808, 0.05, 0.258564, 0.691702
0.25, 0, 0.0212838, 0.0287909, 0.05, 0.258062, 0.691863
0.25, 0, 0.0215769, 0.0272741, 0.05, 0.263057, 0.688092
0.25, 0, 0.0234958, 0.0251461, 0.05, 0.254237, 0.697121
0.25, 0, 0.0237985, 0.0307849, 0.05, 0.249234, 0.696183
0.25, 0, 0.022131, 0.0273717, 0.05, 0.259318, 0.69118
0.25, 0, 0.0224157, 0.0280245, 0.05, 0.259795, 0.689765
0.25, 0, 0.0249987, 0.0282707, 0.05, 0.258565, 0.688166
0.25, 0, 0.0207087, 0.0309786, 0.05, 0.243989, 0.704323
0.25, 0, 0.025391, 0.0333459, 0.05, 0.257885, 0.683378
0.25, 0, 0.0220482, 0.0308778, 0.05, 0.25697, 0.690104
0.25, 0, 0.0220036, 0.0307158, 0.05, 0.260415, 0.686866
0.25, 0, 0.0214984, 0.0307468, 0.05, 0.25445, 0.693305
0.25, 0, 0.020743, 0.0285582, 0.05, 0.255797, 0.694902
0.25, 0, 0.0225817, 0.0263966, 0.05, 0.255262, 0.69576
0.25, 0, 0.0217688, 0.0274464, 0.05, 0.254025, 0.69676
