RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.02634, 0.0304723, 0.05, 0.255934, 0.687254
0.25, 0, 0.0283969, 0.0281788, 0.05, 0.262448, 0.680976
0.25, 0, 0.0254339, 0.0249844, 0.05, 0.259068, 0.690514
0.25, 0, 0.0282552, 0.025853, 0.05, 0.260861, 0.68503
0.25, 0, 0.0258831, 0.0254023, 0.05, 0.260811, 0.687903
0.25, 0, 0.0275967, 0.0286443, 0.05, 0.260214, 0.683545
0.25, 0, 0.0296297, 0.0276282, 0.05, 0.249499, 0.693244
0.25, 0, 0.026043, 0.025231, 0.05, 0.259298, 0.689428
0.25, 0, 0.0289954, 0.0279019, 0.05, 0.252147, 0.690956
0.25, 0, 0.0255408, 0.0269553, 0.05, 0.255923, 0.691581
0.25, 0, 0.0333279, 0.0253839, 0.05, 0.262784, 0.678504
0.25, 0, 0.0293754, 0.0243765, 0.05, 0.250146, 0.696102
0.25, 0, 0.0278641, 0.0275346, 0.05, 0.254063, 0.690539
0.25, 0, 0.0316557, 0.0253129, 0.05, 0.257089, 0.685942
0.25, 0, 0.0243997, 0.025855, 0.05, 0.243392, 0.706353
0.25, 0, 0.0285122, 0.0282654, 0.05, 0.259455, 0.683768
0.25, 0, 0.0279291, 0.0282273, 0.05, 0.255927, 0.687916
0.25, 0, 0.0282941, 0.0296414, 0.05, 0.258917, 0.683147
0.25, 0, 0.0262576, 0.0255778, 0.05, 0.261024, 0.68714
0.25, 0, 0.0302203, 0.0245329, 0.05, 0.255659, 0.689587
0.25, 0, 0.0271732, 0.0231488, 0.05, 0.259893, 0.689785
0.25, 0, 0.0295679, 0.0291793, 0.05, 0.250347, 0.690906
0.25, 0, 0.0253774, 0.0285634, 0.05, 0.256041, 0.690018
0.25, 0, 0.0285014, 0.0261755, 0.05, 0.252326, 0.692997
0.25, 0, 0.0284276, 0.0273385, 0.05, 0.250956, 0.693278
0.25, 0, 0.0279911, 0.0285101, 0.05, 0.255238, 0.688261
0.25, 0, 0.028997, 0.027039, 0.05, 0.254076, 0.689888
0.25, 0, 0.0266862, 0.0261427, 0.05, 0.256161, 0.69101
0.25, 0, 0.0270404, 0.0279619, 0.05, 0.259124, 0.685873
0.25, 0, 0.02712, 0.0279983, 0.05, 0.251406, 0.693475
0.25, 0, 0.0300391, 0.0307749, 0.05, 0.260089, 0.679097
0.25, 0, 0.0282209, 0.0295137, 0.05, 0.256386, 0.68588
0.25, 0, 0.0226735, 0.0266036, 0.05, 0.24694, 0.703783
0.25, 0, 0.0257073, 0.0285138, 0.05, 0.265055, 0.680723
0.25, 0, 0.0306564, 0.0257766, 0.05, 0.245556, 0.698011
0.25, 0, 0.0272722, 0.0255464, 0.05, 0.257787, 0.689394
0.25, 0, 0.0275428, 0.0250422, 0.05, 0.251425, 0.69599
0.25, 0, 0.0266623, 0.0269396, 0.05, 0.259226, 0.687172
0.25, 0, 0.0306335, 0.0268789, 0.05, 0.253901, 0.688587
0.25, 0, 0.029365, 0.0259579, 0.05, 0.253074, 0.691603
0.25, 0, 0.0284145, 0.0307475, 0.05, 0.25685, 0.683988
0.25, 0, 0.0244299, 0.0266664, 0.05, 0.257763, 0.691141
0.25, 0, 0.0266221, 0.0307108, 0.05, 0.250097, 0.69257
0.25, 0, 0.0217689, 0.0252838, 0.05, 0.249689, 0.703258
0.25, 0, 0.0271671, 0.0277649, 0.05, 0.252922, 0.692146
0.25, 0, 0.02751, 0.0250746, 0.05, 0.252697, 0.694718
0.25, 0, 0.0251158, 0.0295548, 0.05, 0.248094, 0.697235
0.25, 0, 0.0285014, 0.028084, 0.05, 0.252753, 0.690662
0.25, 0, 0.0234349, 0.0265725, 0.05, 0.265704, 0.684289
0.25, 0, 0.0279665, 0.0280972, 0.05, 0.260533, 0.683403
0.25, 0, 0.0277347, 0.0284126, 0.05, 0.244824, 0.699028
0.25, 0, 0.0252782, 0.0281692, 0.05, 0.252117, 0.694436
0.25, 0, 0.030328, 0.0288708, 0.05, 0.260782, 0.680019
0.25, 0, 0.0253444, 0.0269323, 0.05, 0.254282, 0.693441
0.25, 0, 0.0283628, 0.025697, 0.05, 0.252204, 0.693736
0.25, 0, 0.0258779, 0.0289613, 0.05, 0.258253, 0.686908
0.25, 0, 0.0280356, 0.0254988, 0.05, 0.254615, 0.69185
0.25, 0, 0.0268904, 0.0261399, 0.05, 0.248583, 0.698387
0.25, 0, 0.0259501, 0.0255826, 0.05, 0.248798, 0.699669
0.25, 0, 0.0265427, 0.0251484, 0.05, 0.25645, 0.691859
0.25, 0, 0.0279156, 0.0242369, 0.05, 0.25792, 0.689927
0.25, 0, 0.0268108, 0.0255816, 0.05, 0.25418, 0.693427
0.25, 0, 0.0295473, 0.0281626, 0.05, 0.249933, 0.692357
0.25, 0, 0.0279768, 0.0249291, 0.05, 0.258675, 0.688419
0.25, 0, 0.0300697, 0.026888, 0.05, 0.253714, 0.689328
0.25, 0, 0.0273695, 0.0221853, 0.05, 0.259042, 0.691403
0.25, 0, 0.0269054, 0.027943, 0.05, 0.259549, 0.685603
0.25, 0, 0.0280888, 0.0256193, 0.05, 0.263679, 0.682613
0.25, 0, 0.0303604, 0.0298494, 0.05, 0.249469, 0.690322
0.25, 0, 0.0249016, 0.0291243, 0.05, 0.260637, 0.685337
0.25, 0, 0.0265265, 0.028225, 0.05, 0.255696, 0.689552
0.25, 0, 0.0267562, 0.0301721, 0.05, 0.254612, 0.688459
0.25, 0, 0.029469, 0.029116, 0.05, 0.250572, 0.690843
0.25, 0, 0.025517, 0.0287652, 0.05, 0.261478, 0.68424
0.25, 0, 0.0287068, 0.0272356, 0.05, 0.251362, 0.692696
0.25, 0, 0.0293233, 0.027945, 0.05, 0.247647, 0.695085
0.25, 0, 0.0251791, 0.0308036, 0.05, 0.258118, 0.685899
