RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.028531, 0.0229523, 0.05, 0.25649, 0.692027
0.25, 0, 0.0265719, 0.0212355, 0.05, 0.25471, 0.697482
0.25, 0, 0.0264066, 0.0221715, 0.05, 0.252432, 0.69899
0.25, 0, 0.032625, 0.0241141, 0.05, 0.257437, 0.685823
0.25, 0, 0.0311506, 0.0207526, 0.05, 0.26007, 0.688027
0.25, 0, 0.0275121, 0.0212902, 0.05, 0.251556, 0.699641
0.25, 0, 0.0316792, 0.0215422, 0.05, 0.259574, 0.687204
0.25, 0, 0.0344862, 0.021185, 0.05, 0.257542, 0.686787
0.25, 0, 0.0305641, 0.024022, 0.05, 0.253792, 0.691621
0.25, 0, 0.0272883, 0.0238491, 0.05, 0.248179, 0.700684
0.25, 0, 0.0287015, 0.0255174, 0.05, 0.262207, 0.683574
0.25, 0, 0.0310082, 0.0232996, 0.05, 0.255054, 0.690638
0.25, 0, 0.0306527, 0.0229454, 0.05, 0.249869, 0.696533
0.25, 0, 0.0306217, 0.0191623, 0.05, 0.254001, 0.696215
0.25, 0, 0.0288951, 0.0229321, 0.05, 0.251339, 0.696834
0.25, 0, 0.0282336, 0.0214238, 0.05, 0.254642, 0.695701
0.25, 0, 0.0324092, 0.0262866, 0.05, 0.24992, 0.691385
0.25, 0, 0.0297453, 0.0221373, 0.05, 0.244552, 0.703565
0.25, 0, 0.0296045, 0.021066, 0.05, 0.251534, 0.697796
0.25, 0, 0.0272958, 0.0223057, 0.05, 0.2548, 0.695598
0.25, 0, 0.0289215, 0.0246126, 0.05, 0.257447, 0.689019
0.25, 0, 0.0314142, 0.0223444, 0.05, 0.26057, 0.685671
0.25, 0, 0.028625, 0.0206358, 0.05, 0.264142, 0.686597
0.25, 0, 0.0264085, 0.0226136, 0.05, 0.25686, 0.694118
0.25, 0, 0.0302412, 0.0257795, 0.05, 0.256453, 0.687526
0.25, 0, 0.0273215, 0.0256144, 0.05, 0.260738, 0.686326
0.25, 0, 0.0314739, 0.0228322, 0.05, 0.253154, 0.69254
0.25, 0, 0.0316377, 0.0239826, 0.05, 0.261157, 0.683223
0.25, 0, 0.0294138, 0.0201796, 0.05, 0.256734, 0.693673
0.25, 0, 0.0278927, 0.0228235, 0.05, 0.258679, 0.690604
0.25, 0, 0.0303405, 0.0216793, 0.05, 0.255641, 0.692339
0.25, 0, 0.0284663, 0.0235601, 0.05, 0.257096, 0.690877
0.25, 0, 0.0287689, 0.0229233, 0.05, 0.250167, 0.698141
0.25, 0, 0.0281831, 0.0236055, 0.05, 0.253074, 0.695138
0.25, 0, 0.0297043, 0.0220884, 0.05, 0.25694, 0.691268
0.25, 0, 0.0285342, 0.0227345, 0.05, 0.264372, 0.684359
0.25, 0, 0.0347532, 0.0199624, 0.05, 0.244885, 0.7004
0.25, 0, 0.0362298, 0.027603, 0.05, 0.252908, 0.683259
0.25, 0, 0.0307873, 0.0235164, 0.05, 0.252633, 0.693063
0.25, 0, 0.0311294, 0.0225441, 0.05, 0.255056, 0.691271
0.25, 0, 0.0236371, 0.0205707, 0.05, 0.258619, 0.697173
0.25, 0, 0.0319541, 0.021103, 0.05, 0.255695, 0.691248
0.25, 0, 0.0293343, 0.0218979, 0.05, 0.26105, 0.687718
0.25, 0, 0.0303076, 0.0216771, 0.05, 0.25786, 0.690156
0.25, 0, 0.0287911, 0.0238229, 0.05, 0.26289, 0.684496
0.25, 0, 0.0294726, 0.0222853, 0.05, 0.254685, 0.693557
0.25, 0, 0.0289833, 0.0233485, 0.05, 0.253972, 0.693696
0.25, 0, 0.0288355, 0.0261027, 0.05, 0.24719, 0.697872
0.25, 0, 0.0300233, 0.0241905, 0.05, 0.252198, 0.693588
0.25, 0, 0.0316263, 0.0225406, 0.05, 0.257192, 0.688641
0.25, 0, 0.0287666, 0.0254813, 0.05, 0.26289, 0.682862
0.25, 0, 0.0290735, 0.0237049, 0.05, 0.257764, 0.689457
0.25, 0, 0.0328922, 0.0242522, 0.05, 0.259048, 0.683808
0.25, 0, 0.0273622, 0.021771, 0.05, 0.257958, 0.692909
0.25, 0, 0.0312106, 0.01871, 0.05, 0.26664, 0.683439
0.25, 0, 0.0307593, 0.0226147, 0.05, 0.255642, 0.690984
0.25, 0, 0.030173, 0.0241623, 0.05, 0.250303, 0.695361
0.25, 0, 0.0315593, 0.0233411, 0.05, 0.252678, 0.692422
0.25, 0, 0.0292182, 0.0237193, 0.05, 0.253949, 0.693114
0.25, 0, 0.029484, 0.0252004, 0.05, 0.252293, 0.693023
0.25, 0, 0.0314618, 0.0262289, 0.05, 0.255571, 0.686738
0.25, 0, 0.0271346, 0.0222488, 0.05, 0.256221, 0.694395
0.25, 0, 0.0281334, 0.0217853, 0.05, 0.258683, 0.691398
0.25, 0, 0.0315728, 0.019417, 0.05, 0.257913, 0.691098
0.25, 0, 0.030752, 0.0255394, 0.05, 0.257803, 0.685905
0.25, 0, 0.0300593, 0.0222244, 0.05, 0.24983, 0.697886
0.25, 0, 0.0284304, 0.0215824, 0.05, 0.257249, 0.692738
0.25, 0, 0.0285364, 0.0265704, 0.05, 0.262838, 0.682055
0.25, 0, 0.029591, 0.0220736, 0.05, 0.262756, 0.68558
0.25, 0, 0.0286266, 0.023242, 0.05, 0.256779, 0.691353
0.25, 0, 0.0301657, 0.0217742, 0.05, 0.259759, 0.688301
0.25, 0, 0.0301691, 0.0244273, 0.05, 0.249264, 0.69614
0.25, 0, 0.030481, 0.0254519, 0.05, 0.258853, 0.685215
0.25, 0, 0.0309227, 0.0228958, 0.05, 0.252894, 0.693288
0.25, 0, 0.0310323, 0.0231312, 0.05, 0.259571, 0.686266
0.25, 0, 0.0278004, 0.0231702, 0.05, 0.257621, 0.691408
0.25, 0, 0.0306948, 0.024405, 0.05, 0.256452, 0.688448
0.25, 0, 0.0274529, 0.0228714, 0.05, 0.261268, 0.688408
0.25, 0, 0.030227, 0.0220171, 0.05, 0.249758, 0.697998
0.25, 0, 0.0313901, 0.0237563, 0.05, 0.254574, 0.690279
0.25, 0, 0.0284858, 0.0232867, 0.05, 0.260328, 0.6879
0.25, 0, 0.0302073, 0.0195496, 0.05, 0.244787, 0.705456
0.25, 0, 0.0275814, 0.0215578, 0.05, 0.257369, 0.693492
0.25, 0, 0.0293648, 0.0240588, 0.05, 0.250802, 0.695774
0.25, 0, 0.0271827, 0.0251856, 0.05, 0.25578, 0.691851
0.25, 0, 0.0316585, 0.0243047, 0.05, 0.255977, 0.68806
0.25, 0, 0.0296058, 0.0227086, 0.05, 0.25196, 0.695726
0.25, 0, 0.0293357, 0.0247777, 0.05, 0.254367, 0.691519
0.25, 0, 0.0275996, 0.0247909, 0.05, 0.250967, 0.696642
0.25, 0, 0.0287691, 0.0207182, 0.05, 0.247873, 0.702639
0.25, 0, 0.0281761, 0.0200729, 0.05, 0.253703, 0.698048
0.25, 0, 0.028114, 0.0250406, 0.05, 0.254863, 0.691982
0.25, 0, 0.0268663, 0.0226307, 0.05, 0.252564, 0.697939
0.25, 0, 0.029899, 0.0225233, 0.05, 0.255128, 0.692449
0.25, 0, 0.0289272, 0.0192592, 0.05, 0.260427, 0.691387
0.25, 0, 0.0259139, 0.0220415, 0.05, 0.263122, 0.688922
0.25, 0, 0.0316595, 0.0272561, 0.05, 0.260782, 0.680302
0.25, 0, 0.0265653, 0.0199877, 0.05, 0.254479, 0.698968
0.25, 0, 0.0289176, 0.0253557, 0.05, 0.24808, 0.697647
0.25, 0, 0.0296066, 0.0258951, 0.05, 0.257663, 0.686836
0.25, 0, 0.0337988, 0.0267262, 0.055, 0.263912, 0.675563
0.25, 0, 0.0284379, 0.0247828, 0.055, 0.255818, 0.690961
0.25, 0, 0.0319325, 0.0249675, 0.055, 0.259514, 0.683586
0.25, 0, 0.0291957, 0.026911, 0.055, 0.259321, 0.684573
0.25, 0, 0.0345643, 0.0281251, 0.055, 0.260465, 0.676846
0.25, 0, 0.0326692, 0.0236752, 0.055, 0.25913, 0.684525
0.25, 0, 0.0312216, 0.0263268, 0.055, 0.252049, 0.690403
0.25, 0, 0.0364843, 0.0230913, 0.055, 0.258283, 0.682141
0.25, 0, 0.0325021, 0.0247995, 0.055, 0.265473, 0.677225
0.25, 0, 0.0337788, 0.0258741, 0.055, 0.25867, 0.681678
0.25, 0, 0.0331377, 0.0279961, 0.055, 0.249306, 0.68956
0.25, 0, 0.0327189, 0.0243227, 0.055, 0.254917, 0.688042
0.25, 0, 0.0306094, 0.0306708, 0.055, 0.257591, 0.681128
0.25, 0, 0.0356419, 0.0276814, 0.055, 0.257809, 0.678868
0.25, 0, 0.0321458, 0.0255405, 0.055, 0.256501, 0.685813
0.25, 0, 0.029165, 0.0236494, 0.055, 0.261135, 0.686051
0.25, 0, 0.03237, 0.025488, 0.055, 0.256416, 0.685726
0.25, 0, 0.0319591, 0.0223836, 0.055, 0.260439, 0.685218
0.25, 0, 0.0357157, 0.0265535, 0.055, 0.251576, 0.686155
0.25, 0, 0.0322021, 0.0245684, 0.055, 0.250799, 0.692431
0.25, 0, 0.0353707, 0.0252468, 0.055, 0.250733, 0.688649
0.25, 0, 0.0350306, 0.0238693, 0.055, 0.251869, 0.689231
0.25, 0, 0.0353649, 0.0275411, 0.055, 0.255009, 0.682085
0.25, 0, 0.0300399, 0.026033, 0.055, 0.254234, 0.689693
0.25, 0, 0.0353133, 0.0233971, 0.055, 0.262274, 0.679015
0.25, 0, 0.0313612, 0.0240145, 0.055, 0.263514, 0.681111
0.25, 0, 0.0328443, 0.025114, 0.055, 0.254446, 0.687596
0.25, 0, 0.0305773, 0.0270057, 0.055, 0.257061, 0.685356
0.25, 0, 0.037306, 0.0258662, 0.055, 0.252366, 0.684461
0.25, 0, 0.0358791, 0.0253472, 0.055, 0.251727, 0.687046
0.25, 0, 0.0347878, 0.0258441, 0.055, 0.255485, 0.683883
0.25, 0, 0.0361022, 0.0250043, 0.055, 0.251467, 0.687427
0.25, 0, 0.0341447, 0.0266731, 0.055, 0.257999, 0.681183
0.25, 0, 0.0364312, 0.0236323, 0.055, 0.252167, 0.68777
0.25, 0, 0.0358054, 0.0269323, 0.055, 0.251579, 0.685683
0.25, 0, 0.0331291, 0.0262037, 0.055, 0.249056, 0.691611
0.25, 0, 0.0327145, 0.0272409, 0.055, 0.254267, 0.685777
0.25, 0, 0.0335128, 0.0244152, 0.055, 0.262606, 0.679466
0.25, 0, 0.0296398, 0.0246339, 0.055, 0.259842, 0.685885
0.25, 0, 0.0348019, 0.0276412, 0.055, 0.249268, 0.688289
0.25, 0, 0.031473, 0.025577, 0.055, 0.260618, 0.682332
0.25, 0, 0.0332422, 0.0270131, 0.055, 0.259732, 0.680012
0.25, 0, 0.0323824, 0.0226905, 0.055, 0.260827, 0.6841
0.25, 0, 0.035204, 0.0262764, 0.055, 0.254602, 0.683918
0.25, 0, 0.0357064, 0.0223367, 0.055, 0.256817, 0.68514
0.25, 0, 0.0332898, 0.0243431, 0.055, 0.26096, 0.681407
0.25, 0, 0.0307269, 0.0249812, 0.055, 0.257669, 0.686623
0.25, 0, 0.0323087, 0.0227412, 0.055, 0.240566, 0.704384
0.25, 0, 0.0337023, 0.0251153, 0.055, 0.251795, 0.689387
0.25, 0, 0.034772, 0.0265303, 0.055, 0.252439, 0.686259
0.25, 0, 0.0326016, 0.0244802, 0.055, 0.250573, 0.692345
0.25, 0, 0.03205, 0.0243601, 0.055, 0.252325, 0.691265
0.25, 0, 0.0327426, 0.0295032, 0.055, 0.249556, 0.688198
0.25, 0, 0.0347864, 0.0260891, 0.055, 0.251022, 0.688103
0.25, 0, 0.0320892, 0.0252487, 0.055, 0.257878, 0.684785
0.25, 0, 0.0345923, 0.0244513, 0.055, 0.255848, 0.685109
0.25, 0, 0.034861, 0.0269542, 0.055, 0.256465, 0.681719
0.25, 0, 0.0372316, 0.0267481, 0.055, 0.25751, 0.67851
0.25, 0, 0.0326585, 0.0252675, 0.055, 0.263091, 0.678983
0.25, 0, 0.0363531, 0.0249936, 0.055, 0.251896, 0.686757
0.25, 0, 0.0336895, 0.0258688, 0.055, 0.269356, 0.671086
0.25, 0, 0.0300389, 0.0286058, 0.055, 0.257311, 0.684044
0.25, 0, 0.0331497, 0.0239919, 0.055, 0.249975, 0.692883
0.25, 0, 0.0337696, 0.0264248, 0.055, 0.257741, 0.682064
0.25, 0, 0.0335976, 0.0244909, 0.055, 0.260973, 0.680939
0.25, 0, 0.0328533, 0.0257405, 0.055, 0.2497, 0.691706
0.25, 0, 0.0313012, 0.0276144, 0.055, 0.265576, 0.675509
0.25, 0, 0.0315183, 0.0253127, 0.055, 0.263405, 0.679764
0.25, 0, 0.0337329, 0.0276015, 0.055, 0.26228, 0.676386
0.25, 0, 0.0309762, 0.0213087, 0.055, 0.247064, 0.700651
0.25, 0, 0.0314707, 0.0252914, 0.055, 0.261324, 0.681914
0.25, 0, 0.0357519, 0.0254913, 0.055, 0.258353, 0.680404
0.25, 0, 0.0348443, 0.0253264, 0.055, 0.257842, 0.681987
0.25, 0, 0.0320103, 0.0234206, 0.055, 0.258845, 0.685725
0.25, 0, 0.0300317, 0.026105, 0.055, 0.258634, 0.685229
0.25, 0, 0.0341269, 0.0246689, 0.055, 0.249592, 0.691612
0.25, 0, 0.0341495, 0.0244493, 0.055, 0.25003, 0.691371
0.25, 0, 0.0362707, 0.0262601, 0.055, 0.262232, 0.675237
0.25, 0, 0.0311392, 0.0289734, 0.055, 0.258632, 0.681256
0.25, 0, 0.0304175, 0.0255535, 0.055, 0.262443, 0.681586
0.25, 0, 0.0308831, 0.0243086, 0.055, 0.244133, 0.700676
0.25, 0, 0.0350623, 0.0273712, 0.055, 0.255293, 0.682274
0.25, 0, 0.0320829, 0.0269661, 0.055, 0.25258, 0.688371
