RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0287862, 0.029136, 0.05, 0.255158, 0.68692
0.25, 0, 0.0310326, 0.0248156, 0.05, 0.257385, 0.686767
0.25, 0, 0.0271516, 0.0269498, 0.05, 0.253546, 0.692352
0.25, 0, 0.0269449, 0.0273928, 0.05, 0.254413, 0.691249
0.25, 0, 0.0333216, 0.026679, 0.05, 0.262278, 0.677722
0.25, 0, 0.0292928, 0.02863, 0.05, 0.256345, 0.685732
0.25, 0, 0.0324996, 0.0280383, 0.05, 0.246803, 0.692659
0.25, 0, 0.0340133, 0.0266286, 0.05, 0.260281, 0.679078
0.25, 0, 0.0288409, 0.0282177, 0.05, 0.255537, 0.687404
0.25, 0, 0.0254403, 0.0299708, 0.05, 0.255617, 0.688971
0.25, 0, 0.0266072, 0.0264772, 0.05, 0.250836, 0.69608
0.25, 0, 0.0289334, 0.0280053, 0.05, 0.256628, 0.686433
0.25, 0, 0.0313782, 0.0286651, 0.05, 0.250978, 0.688978
0.25, 0, 0.0261852, 0.0272839, 0.05, 0.258082, 0.688449
0.25, 0, 0.0297217, 0.0303006, 0.05, 0.252101, 0.687877
0.25, 0, 0.0294924, 0.0271399, 0.05, 0.25973, 0.683638
0.25, 0, 0.0294094, 0.0289009, 0.05, 0.256383, 0.685307
0.25, 0, 0.0315778, 0.0246567, 0.05, 0.267995, 0.675771
0.25, 0, 0.0265854, 0.0276538, 0.05, 0.264491, 0.681269
0.25, 0, 0.029911, 0.025377, 0.05, 0.253159, 0.691553
0.25, 0, 0.0301971, 0.0280546, 0.05, 0.251147, 0.690602
0.25, 0, 0.0264739, 0.0262902, 0.05, 0.256451, 0.690785
0.25, 0, 0.0295935, 0.0282719, 0.05, 0.25205, 0.690084
0.25, 0, 0.0267556, 0.0248328, 0.05, 0.257352, 0.691059
0.25, 0, 0.0274629, 0.0268886, 0.05, 0.257345, 0.688304
0.25, 0, 0.0293047, 0.0286545, 0.05, 0.251425, 0.690616
0.25, 0, 0.0267545, 0.0320626, 0.05, 0.254886, 0.686297
0.25, 0, 0.0264709, 0.028214, 0.05, 0.25671, 0.688605
0.25, 0, 0.0274583, 0.0276575, 0.05, 0.253014, 0.69187
0.25, 0, 0.0288973, 0.0292438, 0.05, 0.260947, 0.680912
0.25, 0, 0.0294317, 0.0260927, 0.05, 0.24446, 0.700016
0.25, 0, 0.02812, 0.0290367, 0.05, 0.257827, 0.685016
0.25, 0, 0.0280522, 0.0264619, 0.05, 0.25918, 0.686306
