RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0305051, 0.0260798, 0.05, 0.259096, 0.684319
0.25, 0, 0.0281566, 0.0297838, 0.05, 0.252954, 0.689105
0.25, 0, 0.028406, 0.026132, 0.05, 0.258209, 0.687253
0.25, 0, 0.0272915, 0.0268368, 0.05, 0.251838, 0.694034
0.25, 0, 0.0298931, 0.0272202, 0.05, 0.260634, 0.682252
0.25, 0, 0.0312901, 0.0283107, 0.05, 0.257692, 0.682707
0.25, 0, 0.0310661, 0.0295721, 0.05, 0.249611, 0.68975
0.25, 0, 0.0302573, 0.0291815, 0.05, 0.264355, 0.676206
0.25, 0, 0.0303025, 0.0264953, 0.05, 0.254856, 0.688347
0.25, 0, 0.0307003, 0.02583, 0.05, 0.249172, 0.694298
0.25, 0, 0.0284274, 0.0289467, 0.05, 0.251077, 0.691549
0.25, 0, 0.0280645, 0.0279915, 0.05, 0.254948, 0.688996
0.25, 0, 0.0303351, 0.0269764, 0.05, 0.247468, 0.69522
0.25, 0, 0.0292775, 0.0272853, 0.05, 0.2592, 0.684238
0.25, 0, 0.0248455, 0.0286495, 0.05, 0.256062, 0.690443
0.25, 0, 0.027998, 0.0248327, 0.05, 0.253395, 0.693774
0.25, 0, 0.0338554, 0.0291428, 0.05, 0.251085, 0.685916
0.25, 0, 0.0287546, 0.0273234, 0.05, 0.26012, 0.683802
0.25, 0, 0.0315018, 0.0284465, 0.05, 0.253207, 0.686845
0.25, 0, 0.0312808, 0.0312556, 0.05, 0.254784, 0.682679
0.25, 0, 0.0303158, 0.0306374, 0.05, 0.251829, 0.687218
0.25, 0, 0.031246, 0.0273706, 0.05, 0.255701, 0.685683
0.25, 0, 0.0325237, 0.0250251, 0.05, 0.255179, 0.687272
0.25, 0, 0.0310976, 0.0269776, 0.05, 0.261628, 0.680297
0.25, 0, 0.0324984, 0.0272166, 0.05, 0.254651, 0.685634
0.25, 0, 0.0311001, 0.0254349, 0.05, 0.262839, 0.680626
0.25, 0, 0.0352803, 0.028654, 0.05, 0.252915, 0.683151
0.25, 0, 0.027184, 0.0257262, 0.05, 0.262058, 0.685032
0.25, 0, 0.0316701, 0.0268897, 0.05, 0.257472, 0.683968
0.25, 0, 0.0253374, 0.0282211, 0.05, 0.258383, 0.688059
0.25, 0, 0.0268245, 0.0281675, 0.05, 0.256369, 0.688639
0.25, 0, 0.0313629, 0.0285632, 0.05, 0.255059, 0.685015
0.25, 0, 0.0288556, 0.0253681, 0.05, 0.260163, 0.685614
0.25, 0, 0.03184, 0.0241537, 0.05, 0.25292, 0.691086
0.25, 0, 0.0293542, 0.0265265, 0.05, 0.252365, 0.691754
0.25, 0, 0.031327, 0.0285894, 0.05, 0.253904, 0.686179
0.25, 0, 0.0286496, 0.0246447, 0.05, 0.240092, 0.706614
0.25, 0, 0.0298718, 0.0269881, 0.05, 0.258325, 0.684815
0.25, 0, 0.0288888, 0.025804, 0.05, 0.2452, 0.700107
0.25, 0, 0.0314082, 0.0286551, 0.05, 0.256072, 0.683864
0.25, 0, 0.0280334, 0.0282215, 0.05, 0.258498, 0.685247
0.25, 0, 0.0280152, 0.0274773, 0.05, 0.264764, 0.679744
0.25, 0, 0.0308996, 0.0270726, 0.05, 0.245761, 0.696267
0.25, 0, 0.0285312, 0.0281675, 0.05, 0.259024, 0.684277
0.25, 0, 0.0299557, 0.0254201, 0.05, 0.255307, 0.689317
0.25, 0, 0.0317784, 0.0271439, 0.05, 0.253029, 0.688049
0.25, 0, 0.0321866, 0.0273862, 0.05, 0.258258, 0.682169
0.25, 0, 0.0310869, 0.026164, 0.05, 0.254335, 0.688414
0.25, 0, 0.0304015, 0.0263393, 0.05, 0.252308, 0.690951
0.25, 0, 0.0295172, 0.0280197, 0.05, 0.253182, 0.689281
0.25, 0, 0.0294914, 0.0283051, 0.05, 0.253075, 0.689128
0.25, 0, 0.0271359, 0.029375, 0.05, 0.248437, 0.695052
0.25, 0, 0.0281746, 0.0248996, 0.05, 0.251183, 0.695742
0.25, 0, 0.0320268, 0.0265618, 0.05, 0.254302, 0.68711
0.25, 0, 0.0282171, 0.0255428, 0.05, 0.255792, 0.690448
0.25, 0, 0.0261185, 0.0267268, 0.05, 0.247841, 0.699314
0.25, 0, 0.0285607, 0.0263071, 0.05, 0.258981, 0.686151
0.25, 0, 0.03143, 0.0272351, 0.05, 0.249792, 0.691543
0.25, 0, 0.0304273, 0.0293976, 0.05, 0.252026, 0.688149
0.25, 0, 0.0327249, 0.0265023, 0.05, 0.250234, 0.690539
0.25, 0, 0.0322993, 0.02836, 0.05, 0.250397, 0.688943
0.25, 0, 0.0291925, 0.0298376, 0.05, 0.259272, 0.681697
0.25, 0, 0.0290431, 0.0296914, 0.05, 0.256684, 0.684582
0.25, 0, 0.0319801, 0.0291695, 0.05, 0.249421, 0.689429
0.25, 0, 0.0291035, 0.025283, 0.05, 0.251696, 0.693917
0.25, 0, 0.0304206, 0.0243138, 0.05, 0.251507, 0.693759
0.25, 0, 0.0287616, 0.0314972, 0.05, 0.256304, 0.683437
0.25, 0, 0.0314637, 0.0281954, 0.05, 0.261644, 0.678697
0.25, 0, 0.0289914, 0.0258895, 0.05, 0.256282, 0.688837
0.25, 0, 0.0293452, 0.0290638, 0.05, 0.253599, 0.687992
0.25, 0, 0.0251522, 0.0271128, 0.05, 0.2543, 0.693435
0.25, 0, 0.0298621, 0.0279006, 0.05, 0.254728, 0.68751
0.25, 0, 0.0273501, 0.0266576, 0.05, 0.258548, 0.687445
0.25, 0, 0.0255224, 0.0252879, 0.05, 0.256111, 0.693079
0.25, 0, 0.0274873, 0.0275383, 0.05, 0.25508, 0.689895
0.25, 0, 0.0287576, 0.0268011, 0.05, 0.258305, 0.686136
0.25, 0, 0.0291254, 0.0291989, 0.05, 0.255212, 0.686464
0.25, 0, 0.0290157, 0.0275283, 0.05, 0.25613, 0.687326
0.25, 0, 0.0282157, 0.0258093, 0.05, 0.257449, 0.688526
0.25, 0, 0.0261448, 0.0282986, 0.05, 0.248279, 0.697278
0.25, 0, 0.0296299, 0.0272153, 0.05, 0.258407, 0.684747
0.25, 0, 0.0293408, 0.0251924, 0.05, 0.250072, 0.695394
0.25, 0, 0.0322806, 0.0283058, 0.05, 0.25977, 0.679643
0.25, 0, 0.0317387, 0.0271307, 0.05, 0.256367, 0.684764
0.25, 0, 0.031886, 0.023732, 0.05, 0.257456, 0.686926
0.25, 0, 0.0322123, 0.0268709, 0.05, 0.254508, 0.686409
0.25, 0, 0.0340931, 0.0264273, 0.05, 0.266099, 0.673381
0.25, 0, 0.0284163, 0.0277091, 0.05, 0.260386, 0.683488
0.25, 0, 0.0298616, 0.0273979, 0.05, 0.259937, 0.682803
0.25, 0, 0.0280755, 0.0245315, 0.05, 0.25571, 0.691683
0.25, 0, 0.0339749, 0.027762, 0.05, 0.250895, 0.687368
0.25, 0, 0.0310922, 0.0292108, 0.05, 0.25954, 0.680157
0.25, 0, 0.0279994, 0.0278308, 0.05, 0.255749, 0.68842
