RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0274101, 0.0282405, 0.05, 0.257261, 0.687088
0.25, 0, 0.0257742, 0.0315553, 0.05, 0.260293, 0.682377
0.25, 0, 0.0308827, 0.029827, 0.05, 0.253515, 0.685775
0.25, 0, 0.0323687, 0.0285976, 0.05, 0.250439, 0.688595
0.25, 0, 0.0307716, 0.0277881, 0.05, 0.257348, 0.684093
0.25, 0, 0.0289479, 0.0291317, 0.05, 0.250418, 0.691502
0.25, 0, 0.03012, 0.0287019, 0.05, 0.261358, 0.67982
0.25, 0, 0.0277602, 0.0273733, 0.05, 0.264157, 0.68071
0.25, 0, 0.0267934, 0.0299803, 0.05, 0.254922, 0.688304
0.25, 0, 0.0316378, 0.0290545, 0.05, 0.254405, 0.684902
0.25, 0, 0.0268354, 0.0298045, 0.05, 0.259151, 0.684209
0.25, 0, 0.0310302, 0.0268892, 0.05, 0.253473, 0.688607
0.25, 0, 0.027216, 0.0305551, 0.05, 0.249199, 0.69303
0.25, 0, 0.0330337, 0.0307026, 0.05, 0.255356, 0.680908
0.25, 0, 0.026743, 0.0286681, 0.05, 0.246606, 0.697983
0.25, 0, 0.0290383, 0.0294779, 0.05, 0.253362, 0.688122
0.25, 0, 0.0297898, 0.0317282, 0.05, 0.263182, 0.6753
0.25, 0, 0.0301734, 0.0280673, 0.05, 0.251599, 0.690161
0.25, 0, 0.0311612, 0.027432, 0.05, 0.2573, 0.684106
0.25, 0, 0.0297448, 0.0268396, 0.05, 0.257406, 0.68601
0.25, 0, 0.0305375, 0.0302158, 0.05, 0.254132, 0.685115
0.25, 0, 0.0272066, 0.0299796, 0.05, 0.248895, 0.693919
0.25, 0, 0.0297853, 0.028668, 0.05, 0.261568, 0.679979
0.25, 0, 0.0308212, 0.024833, 0.05, 0.26077, 0.683575
0.25, 0, 0.0254918, 0.0272577, 0.05, 0.263838, 0.683413
0.25, 0, 0.028551, 0.0321618, 0.05, 0.255375, 0.683913
0.25, 0, 0.0270102, 0.0297138, 0.05, 0.26444, 0.678836
0.25, 0, 0.0266336, 0.0295739, 0.05, 0.259862, 0.683931
0.25, 0, 0.030762, 0.0283129, 0.05, 0.252066, 0.688859
0.25, 0, 0.0284983, 0.0273175, 0.05, 0.262863, 0.681321
0.25, 0, 0.0333292, 0.0301959, 0.05, 0.251097, 0.685378
0.25, 0, 0.0262588, 0.0294873, 0.05, 0.258749, 0.685505
0.25, 0, 0.0299023, 0.0257551, 0.05, 0.253434, 0.690908
0.25, 0, 0.0290828, 0.0303567, 0.05, 0.255108, 0.685453
0.25, 0, 0.0297883, 0.0281354, 0.05, 0.25265, 0.689427
0.25, 0, 0.0298281, 0.0281319, 0.05, 0.248325, 0.693715
0.25, 0, 0.0307246, 0.0310485, 0.05, 0.259832, 0.678395
0.25, 0, 0.0295069, 0.0312865, 0.05, 0.248528, 0.690679
0.25, 0, 0.0259761, 0.0275272, 0.05, 0.262145, 0.684352
0.25, 0, 0.0286974, 0.0272683, 0.05, 0.247439, 0.696596
0.25, 0, 0.0266906, 0.0298347, 0.05, 0.257315, 0.686159
0.25, 0, 0.0309605, 0.0261332, 0.05, 0.249429, 0.693477
0.25, 0, 0.0310468, 0.0268403, 0.05, 0.265827, 0.676286
0.25, 0, 0.0294729, 0.0298269, 0.05, 0.260565, 0.680135
0.25, 0, 0.0292846, 0.0290232, 0.05, 0.253686, 0.688006
0.25, 0, 0.0256632, 0.0274315, 0.05, 0.250535, 0.69637
0.25, 0, 0.0308743, 0.0257565, 0.05, 0.253286, 0.690083
0.25, 0, 0.0310626, 0.0273907, 0.05, 0.258878, 0.682669
0.25, 0, 0.0291974, 0.0276193, 0.05, 0.251926, 0.691257
0.25, 0, 0.029348, 0.0263957, 0.05, 0.251366, 0.69289
0.25, 0, 0.0334767, 0.0313168, 0.05, 0.256958, 0.678248
0.25, 0, 0.031045, 0.0288006, 0.05, 0.252075, 0.688079
0.25, 0, 0.0244776, 0.0284374, 0.05, 0.24878, 0.698305
0.25, 0, 0.0305731, 0.0281406, 0.05, 0.245279, 0.696007
0.25, 0, 0.028783, 0.0287898, 0.05, 0.249076, 0.693351
0.25, 0, 0.0284315, 0.0319558, 0.05, 0.253918, 0.685695
0.25, 0, 0.0295783, 0.0284249, 0.05, 0.257875, 0.684121
0.25, 0, 0.0277641, 0.0303949, 0.05, 0.254799, 0.687042
0.25, 0, 0.0300463, 0.0282233, 0.05, 0.254037, 0.687694
0.25, 0, 0.0318453, 0.0310106, 0.05, 0.260702, 0.676442
0.25, 0, 0.0316395, 0.027484, 0.05, 0.255963, 0.684913
0.25, 0, 0.0274955, 0.0283374, 0.05, 0.258987, 0.68518
0.25, 0, 0.0311618, 0.0318695, 0.05, 0.249476, 0.687492
0.25, 0, 0.0303322, 0.0277291, 0.05, 0.253119, 0.68882
0.25, 0, 0.0248544, 0.0290482, 0.05, 0.253791, 0.692306
0.25, 0, 0.0272392, 0.0294827, 0.05, 0.251522, 0.691756
0.25, 0, 0.0284436, 0.028283, 0.05, 0.256929, 0.686345
0.25, 0, 0.0269575, 0.0286771, 0.05, 0.253974, 0.690392
0.25, 0, 0.0340363, 0.0305625, 0.05, 0.257605, 0.677796
0.25, 0, 0.0301582, 0.0288003, 0.05, 0.249608, 0.691434
0.25, 0, 0.0293954, 0.0301934, 0.05, 0.257756, 0.682655
0.25, 0, 0.0316962, 0.0310943, 0.05, 0.252127, 0.685082
0.25, 0, 0.0317638, 0.0298019, 0.05, 0.259039, 0.679396
0.25, 0, 0.0269809, 0.0241863, 0.05, 0.252261, 0.696572
0.25, 0, 0.0295424, 0.0306087, 0.05, 0.259434, 0.680415
0.25, 0, 0.0270589, 0.0308654, 0.05, 0.248537, 0.693539
0.25, 0, 0.0294311, 0.0291786, 0.05, 0.252305, 0.689085
0.25, 0, 0.027541, 0.0295877, 0.05, 0.25265, 0.690222
0.25, 0, 0.0292261, 0.0281346, 0.05, 0.259839, 0.6828
0.25, 0, 0.0311737, 0.0264283, 0.05, 0.250233, 0.692165
0.25, 0, 0.0280521, 0.0302356, 0.05, 0.259824, 0.681888
0.25, 0, 0.0268947, 0.029272, 0.05, 0.259616, 0.684217
0.25, 0, 0.0275077, 0.0269463, 0.05, 0.259591, 0.685955
0.25, 0, 0.03019, 0.0298612, 0.05, 0.258027, 0.681922
0.25, 0, 0.0318306, 0.0329842, 0.05, 0.252398, 0.682787
0.25, 0, 0.0305843, 0.0306895, 0.05, 0.250086, 0.68864
0.25, 0, 0.0280514, 0.0288849, 0.05, 0.255124, 0.68794
0.25, 0, 0.0274325, 0.0307286, 0.05, 0.252969, 0.68887
0.25, 0, 0.0298097, 0.0312161, 0.05, 0.254675, 0.684299
0.25, 0, 0.027063, 0.0274017, 0.05, 0.257875, 0.68766
0.25, 0, 0.0281184, 0.0297303, 0.05, 0.254002, 0.688149
0.25, 0, 0.0273172, 0.0307764, 0.05, 0.259176, 0.682731
0.25, 0, 0.0297752, 0.0313826, 0.05, 0.253253, 0.685589
0.25, 0, 0.0283059, 0.029674, 0.05, 0.248696, 0.693324
0.25, 0, 0.0298756, 0.0279127, 0.05, 0.252431, 0.689781
0.25, 0, 0.0273921, 0.0300095, 0.05, 0.243366, 0.699233
0.25, 0, 0.0283028, 0.0315167, 0.05, 0.257735, 0.682446
0.25, 0, 0.0271646, 0.0272195, 0.05, 0.262596, 0.68302
0.25, 0, 0.0287929, 0.0288673, 0.05, 0.254048, 0.688292
0.25, 0, 0.0279239, 0.0299155, 0.05, 0.249091, 0.693069
0.25, 0, 0.0320014, 0.0347806, 0.055, 0.255093, 0.678125
0.25, 0, 0.0335451, 0.030546, 0.055, 0.268404, 0.667505
0.25, 0, 0.0331942, 0.033952, 0.055, 0.265401, 0.667453
0.25, 0, 0.0326225, 0.032511, 0.055, 0.256811, 0.678055
0.25, 0, 0.0348194, 0.033536, 0.055, 0.259381, 0.672263
0.25, 0, 0.0316864, 0.0319851, 0.055, 0.261078, 0.67525
0.25, 0, 0.0326233, 0.0387837, 0.055, 0.25363, 0.674963
0.25, 0, 0.0304338, 0.0285878, 0.055, 0.255581, 0.685397
0.25, 0, 0.0343972, 0.0314445, 0.055, 0.257876, 0.676283
0.25, 0, 0.0337465, 0.0348269, 0.055, 0.248373, 0.683054
0.25, 0, 0.0373976, 0.037554, 0.055, 0.255825, 0.669224
0.25, 0, 0.0326854, 0.0316144, 0.055, 0.259302, 0.676398
0.25, 0, 0.0347408, 0.0339066, 0.055, 0.256876, 0.674477
0.25, 0, 0.0331947, 0.0338265, 0.055, 0.24872, 0.684259
0.25, 0, 0.0337927, 0.034954, 0.055, 0.255766, 0.675488
0.25, 0, 0.031578, 0.0326559, 0.055, 0.252909, 0.682857
0.25, 0, 0.0311238, 0.0321288, 0.055, 0.254586, 0.682161
0.25, 0, 0.0327394, 0.0340225, 0.055, 0.25148, 0.681758
0.25, 0, 0.0326593, 0.0359652, 0.055, 0.257954, 0.673422
0.25, 0, 0.030433, 0.0386449, 0.055, 0.252902, 0.67802
0.25, 0, 0.0333886, 0.0311154, 0.055, 0.249349, 0.686147
0.25, 0, 0.0325412, 0.0338908, 0.055, 0.250278, 0.68329
0.25, 0, 0.0316333, 0.0320965, 0.055, 0.258097, 0.678173
0.25, 0, 0.0321924, 0.0341843, 0.055, 0.258617, 0.675007
0.25, 0, 0.0330282, 0.0332659, 0.055, 0.263948, 0.669758
0.25, 0, 0.0348055, 0.0318385, 0.055, 0.25551, 0.677846
0.25, 0, 0.030859, 0.0366336, 0.055, 0.251938, 0.68057
0.25, 0, 0.0335203, 0.033023, 0.055, 0.252104, 0.681353
0.25, 0, 0.0346063, 0.0326998, 0.055, 0.251086, 0.681608
0.25, 0, 0.0322738, 0.0314562, 0.055, 0.247977, 0.688293
0.25, 0, 0.033843, 0.0350421, 0.055, 0.252828, 0.678287
0.25, 0, 0.0305798, 0.0334633, 0.055, 0.257394, 0.678563
0.25, 0, 0.0298971, 0.0323941, 0.055, 0.246865, 0.690844
0.25, 0, 0.0316877, 0.0323748, 0.055, 0.254589, 0.681349
0.25, 0, 0.0329642, 0.0310414, 0.055, 0.265151, 0.670844
0.25, 0, 0.0324081, 0.0355279, 0.055, 0.254063, 0.678001
0.25, 0, 0.030068, 0.0300876, 0.055, 0.25567, 0.684174
0.25, 0, 0.0335524, 0.0332045, 0.055, 0.250082, 0.683161
0.25, 0, 0.0331304, 0.0334089, 0.055, 0.255422, 0.678038
0.25, 0, 0.0303814, 0.0347823, 0.055, 0.256491, 0.678345
0.25, 0, 0.0373896, 0.0347391, 0.055, 0.2541, 0.673771
0.25, 0, 0.0342247, 0.0311351, 0.055, 0.259203, 0.675437
0.25, 0, 0.031701, 0.0337788, 0.055, 0.251993, 0.682528
0.25, 0, 0.0322685, 0.0367278, 0.055, 0.253564, 0.67744
0.25, 0, 0.0288635, 0.0303651, 0.055, 0.260011, 0.680761
0.25, 0, 0.0319373, 0.0337212, 0.055, 0.261367, 0.672975
0.25, 0, 0.0327489, 0.0329002, 0.055, 0.258331, 0.67602
0.25, 0, 0.0330986, 0.0304266, 0.055, 0.262143, 0.674332
0.25, 0, 0.0326015, 0.034714, 0.055, 0.251048, 0.681637
0.25, 0, 0.033466, 0.0320251, 0.055, 0.251235, 0.683274
0.25, 0, 0.0334187, 0.0349823, 0.055, 0.260816, 0.670783
0.25, 0, 0.0335885, 0.0320606, 0.055, 0.261932, 0.672419
0.25, 0, 0.0327901, 0.0317551, 0.055, 0.256042, 0.679413
0.25, 0, 0.0328994, 0.0313269, 0.055, 0.25631, 0.679464
0.25, 0, 0.0350347, 0.0331929, 0.055, 0.257676, 0.674096
0.25, 0, 0.0307688, 0.0309761, 0.055, 0.251776, 0.686479
0.25, 0, 0.0315383, 0.0335883, 0.055, 0.258751, 0.676122
0.25, 0, 0.0363174, 0.029398, 0.055, 0.256818, 0.677466
0.25, 0, 0.0367139, 0.0351776, 0.055, 0.257051, 0.671058
0.25, 0, 0.0304051, 0.0379613, 0.055, 0.260354, 0.671279
0.25, 0, 0.0319437, 0.0290037, 0.055, 0.256695, 0.682358
0.25, 0, 0.0315649, 0.0323948, 0.055, 0.249512, 0.686528
0.25, 0, 0.0326505, 0.0360001, 0.055, 0.264344, 0.667006
0.25, 0, 0.0333246, 0.0342141, 0.055, 0.25319, 0.679271
0.25, 0, 0.033889, 0.0367062, 0.055, 0.256049, 0.673356
0.25, 0, 0.0336581, 0.0363386, 0.055, 0.263512, 0.666492
0.25, 0, 0.0342427, 0.0351648, 0.055, 0.260159, 0.670433
0.25, 0, 0.0300924, 0.0335765, 0.055, 0.255838, 0.680494
0.25, 0, 0.0329938, 0.0324295, 0.055, 0.260167, 0.674409
0.25, 0, 0.0338836, 0.0329231, 0.055, 0.257327, 0.675866
0.25, 0, 0.0327109, 0.0351566, 0.055, 0.256405, 0.675728
0.25, 0, 0.0333236, 0.0329735, 0.055, 0.263019, 0.670684
0.25, 0, 0.0351241, 0.0304227, 0.055, 0.249135, 0.685318
0.25, 0, 0.0316402, 0.0326265, 0.055, 0.264447, 0.671287
0.25, 0, 0.0365712, 0.03367, 0.055, 0.255361, 0.674398
0.25, 0, 0.0354647, 0.0316757, 0.055, 0.260646, 0.672214
0.25, 0, 0.0320233, 0.0320786, 0.055, 0.248921, 0.686977
0.25, 0, 0.0299225, 0.0334191, 0.055, 0.249421, 0.687237
0.25, 0, 0.0339287, 0.0325027, 0.055, 0.253062, 0.680506
0.25, 0, 0.0314132, 0.0377304, 0.055, 0.251469, 0.679387
0.25, 0, 0.029636, 0.0317445, 0.055, 0.260726, 0.677893
0.25, 0, 0.0347519, 0.0292842, 0.055, 0.257257, 0.678707
0.25, 0, 0.032975, 0.0363952, 0.055, 0.251393, 0.679237
0.25, 0, 0.0337064, 0.034041, 0.055, 0.256583, 0.675669
0.25, 0, 0.0320827, 0.0344238, 0.055, 0.250403, 0.68309
0.25, 0, 0.0329918, 0.0357697, 0.055, 0.262729, 0.66851
0.25, 0, 0.034757, 0.0364718, 0.055, 0.258203, 0.670568
0.25, 0, 0.0319246, 0.031847, 0.055, 0.252154, 0.684075
0.25, 0, 0.0300082, 0.029715, 0.055, 0.260352, 0.679925
0.25, 0, 0.0390931, 0.0331589, 0.055, 0.252203, 0.675545
0.25, 0, 0.0309315, 0.0349999, 0.055, 0.256809, 0.677259
0.25, 0, 0.0378753, 0.0318049, 0.055, 0.246751, 0.683569
0.25, 0, 0.0345979, 0.0323665, 0.055, 0.252423, 0.680613
0.25, 0, 0.0313068, 0.032355, 0.055, 0.259821, 0.676517
0.25, 0, 0.0325587, 0.0322869, 0.055, 0.262814, 0.67234
0.25, 0, 0.0328744, 0.0323437, 0.055, 0.248201, 0.686581
0.25, 0, 0.0324305, 0.0334917, 0.055, 0.254067, 0.680011
0.25, 0, 0.0352037, 0.0340491, 0.055, 0.260205, 0.670542
0.25, 0, 0.0321883, 0.0328253, 0.055, 0.25704, 0.677946
0.25, 0, 0.0292343, 0.0348987, 0.055, 0.245138, 0.690729
0.25, 0, 0.0385326, 0.040921, 0.06, 0.256188, 0.664359
0.25, 0, 0.0404006, 0.0396157, 0.06, 0.248157, 0.671827
0.25, 0, 0.0356871, 0.0389724, 0.06, 0.255747, 0.669593
0.25, 0, 0.0393976, 0.0400161, 0.06, 0.253587, 0.667
0.25, 0, 0.0326047, 0.0338368, 0.06, 0.261776, 0.671783
0.25, 0, 0.0380611, 0.0361904, 0.06, 0.259766, 0.665982
0.25, 0, 0.0372343, 0.0353318, 0.06, 0.265166, 0.662267
0.25, 0, 0.0382667, 0.0406492, 0.06, 0.257542, 0.663542
0.25, 0, 0.0369189, 0.0400421, 0.06, 0.250414, 0.672625
0.25, 0, 0.0391704, 0.0336639, 0.06, 0.247823, 0.679343
0.25, 0, 0.0407762, 0.0368031, 0.06, 0.251986, 0.670435
0.25, 0, 0.0364841, 0.0388474, 0.06, 0.253179, 0.671489
0.25, 0, 0.0367606, 0.0315072, 0.06, 0.255902, 0.67583
0.25, 0, 0.0384726, 0.0311614, 0.06, 0.251832, 0.678533
0.25, 0, 0.0389202, 0.0363618, 0.06, 0.253917, 0.670801
0.25, 0, 0.035901, 0.0354426, 0.06, 0.267274, 0.661382
