RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0283357, 0.029582, 0.05, 0.260572, 0.68151
0.25, 0, 0.0303128, 0.0300946, 0.05, 0.251953, 0.68764
0.25, 0, 0.0297712, 0.0250743, 0.05, 0.257172, 0.687982
0.25, 0, 0.0281488, 0.030687, 0.05, 0.253877, 0.687287
0.25, 0, 0.0304703, 0.0320811, 0.05, 0.251534, 0.685915
0.25, 0, 0.0306851, 0.029356, 0.05, 0.259476, 0.680483
0.25, 0, 0.0312282, 0.0304578, 0.05, 0.258127, 0.680187
0.25, 0, 0.028122, 0.0293096, 0.05, 0.25263, 0.689938
0.25, 0, 0.0295707, 0.0279011, 0.05, 0.255195, 0.687333
0.25, 0, 0.0289432, 0.0313374, 0.05, 0.256689, 0.683031
0.25, 0, 0.0289016, 0.0274958, 0.05, 0.25828, 0.685323
0.25, 0, 0.0298647, 0.0293559, 0.05, 0.255002, 0.685778
0.25, 0, 0.031756, 0.0301798, 0.05, 0.256446, 0.681618
0.25, 0, 0.0272735, 0.0298955, 0.05, 0.258959, 0.683872
0.25, 0, 0.0297353, 0.0278566, 0.05, 0.262358, 0.68005
0.25, 0, 0.0329387, 0.0307283, 0.05, 0.252362, 0.683971
0.25, 0, 0.0278289, 0.0300186, 0.05, 0.258601, 0.683552
0.25, 0, 0.0287163, 0.027494, 0.05, 0.253329, 0.690461
0.25, 0, 0.0285328, 0.0303706, 0.05, 0.252888, 0.688209
0.25, 0, 0.0315184, 0.0301095, 0.05, 0.266718, 0.671654
0.25, 0, 0.0256627, 0.0293679, 0.05, 0.251713, 0.693256
0.25, 0, 0.0306578, 0.0292953, 0.05, 0.256096, 0.683951
0.25, 0, 0.0286097, 0.0243351, 0.05, 0.254786, 0.692269
0.25, 0, 0.0288525, 0.0334675, 0.05, 0.256221, 0.681459
0.25, 0, 0.0279501, 0.0279198, 0.05, 0.256011, 0.688119
0.25, 0, 0.0289333, 0.0280279, 0.05, 0.258589, 0.68445
0.25, 0, 0.0332858, 0.0276642, 0.05, 0.254086, 0.684964
0.25, 0, 0.0291785, 0.0303646, 0.05, 0.262317, 0.67814
0.25, 0, 0.0271518, 0.028478, 0.05, 0.252, 0.69237
0.25, 0, 0.0278209, 0.0291793, 0.05, 0.249079, 0.69392
0.25, 0, 0.0310731, 0.027576, 0.05, 0.255753, 0.685597
0.25, 0, 0.0284854, 0.0273095, 0.05, 0.245433, 0.698772
0.25, 0, 0.026876, 0.0279313, 0.05, 0.258781, 0.686412
0.25, 0, 0.0283544, 0.0286081, 0.05, 0.252519, 0.690519
0.25, 0, 0.0289956, 0.027224, 0.05, 0.247346, 0.696434
0.25, 0, 0.0296407, 0.0313285, 0.05, 0.259535, 0.679496
0.25, 0, 0.0275685, 0.0282548, 0.05, 0.251289, 0.692888
0.25, 0, 0.0337123, 0.0270566, 0.05, 0.260307, 0.678924
0.25, 0, 0.0280418, 0.0262711, 0.05, 0.258227, 0.68746
0.25, 0, 0.0316159, 0.0315816, 0.05, 0.253603, 0.6832
0.25, 0, 0.0290853, 0.029358, 0.05, 0.253886, 0.687671
