RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0293595, 0.0295316, 0.05, 0.254722, 0.686387
0.25, 0, 0.0292018, 0.0330507, 0.05, 0.250232, 0.687515
0.25, 0, 0.0283723, 0.0276833, 0.05, 0.262984, 0.680961
0.25, 0, 0.030758, 0.0273813, 0.05, 0.264615, 0.677246
0.25, 0, 0.0282164, 0.0297408, 0.05, 0.259882, 0.68216
0.25, 0, 0.0307637, 0.0285255, 0.05, 0.251524, 0.689187
0.25, 0, 0.0303581, 0.0288835, 0.05, 0.252422, 0.688336
0.25, 0, 0.0252624, 0.0245225, 0.05, 0.2562, 0.694016
0.25, 0, 0.0297825, 0.0290937, 0.05, 0.243848, 0.697275
0.25, 0, 0.030567, 0.0255022, 0.05, 0.253118, 0.690812
0.25, 0, 0.0307864, 0.0303054, 0.05, 0.25579, 0.683119
0.25, 0, 0.0303228, 0.0264249, 0.05, 0.25118, 0.692073
0.25, 0, 0.0290056, 0.0295103, 0.05, 0.253854, 0.68763
0.25, 0, 0.0272524, 0.0262651, 0.05, 0.255015, 0.691467
0.25, 0, 0.0320857, 0.0286218, 0.05, 0.266014, 0.673279
0.25, 0, 0.030878, 0.0310424, 0.05, 0.250431, 0.687649
0.25, 0, 0.0290381, 0.0295889, 0.05, 0.256704, 0.684669
0.25, 0, 0.0280319, 0.0271688, 0.05, 0.254122, 0.690677
0.25, 0, 0.0305025, 0.0321575, 0.05, 0.249263, 0.688077
0.25, 0, 0.0305689, 0.0301501, 0.05, 0.260244, 0.679037
0.25, 0, 0.0300103, 0.0266363, 0.05, 0.257024, 0.68633
0.25, 0, 0.0312783, 0.0300321, 0.05, 0.258326, 0.680363
0.25, 0, 0.0306377, 0.029076, 0.05, 0.258043, 0.682244
0.25, 0, 0.0312259, 0.0299521, 0.05, 0.25184, 0.686982
0.25, 0, 0.0256749, 0.0279106, 0.05, 0.250194, 0.69622
0.25, 0, 0.0337898, 0.0269032, 0.05, 0.254797, 0.68451
0.25, 0, 0.0296565, 0.0301142, 0.05, 0.258692, 0.681537
0.25, 0, 0.0288431, 0.0276951, 0.05, 0.252515, 0.690947
0.25, 0, 0.0279422, 0.0323935, 0.05, 0.245516, 0.694148
0.25, 0, 0.0335634, 0.024248, 0.05, 0.259801, 0.682387
0.25, 0, 0.0267879, 0.0269215, 0.05, 0.256525, 0.689766
0.25, 0, 0.0282706, 0.029105, 0.05, 0.258975, 0.68365
0.25, 0, 0.0321896, 0.027398, 0.05, 0.258786, 0.681626
0.25, 0, 0.030839, 0.0295856, 0.05, 0.256843, 0.682732
0.25, 0, 0.0310486, 0.0261008, 0.05, 0.248845, 0.694006
0.25, 0, 0.0302314, 0.030234, 0.05, 0.258872, 0.680663
0.25, 0, 0.0262834, 0.0293164, 0.05, 0.253647, 0.690753
0.25, 0, 0.030697, 0.0297026, 0.05, 0.260863, 0.678737
0.25, 0, 0.0305834, 0.0262829, 0.05, 0.259955, 0.683179
0.25, 0, 0.0291033, 0.0289396, 0.05, 0.248297, 0.69366
0.25, 0, 0.0291586, 0.0271526, 0.05, 0.253312, 0.690377
0.25, 0, 0.0252633, 0.0263065, 0.05, 0.256004, 0.692427
0.25, 0, 0.0317163, 0.0285229, 0.05, 0.256498, 0.683262
0.25, 0, 0.026624, 0.0294339, 0.05, 0.249878, 0.694064
0.25, 0, 0.0319177, 0.0255781, 0.05, 0.249336, 0.693168
0.25, 0, 0.0321957, 0.026548, 0.05, 0.256845, 0.684412
