RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.029655, 0.02028, 0.05, 0.258877, 0.691188
0.25, 0, 0.0288439, 0.0209164, 0.05, 0.256917, 0.693323
0.25, 0, 0.0292233, 0.0229811, 0.05, 0.254339, 0.693457
0.25, 0, 0.0293772, 0.0245893, 0.05, 0.254934, 0.691099
0.25, 0, 0.0255888, 0.0208154, 0.05, 0.258375, 0.69522
0.25, 0, 0.0314023, 0.0231365, 0.05, 0.253524, 0.691938
0.25, 0, 0.0323635, 0.0215578, 0.05, 0.255486, 0.690592
0.25, 0, 0.030541, 0.0234377, 0.05, 0.252566, 0.693456
0.25, 0, 0.0278671, 0.0251688, 0.05, 0.248039, 0.698925
0.25, 0, 0.0309643, 0.0204326, 0.05, 0.25371, 0.694893
0.25, 0, 0.0257299, 0.0210886, 0.05, 0.262485, 0.690696
0.25, 0, 0.0301551, 0.0231455, 0.05, 0.257957, 0.688743
0.25, 0, 0.0303876, 0.025256, 0.05, 0.259202, 0.685154
0.25, 0, 0.027952, 0.0211639, 0.05, 0.263066, 0.687818
0.25, 0, 0.0302093, 0.0230488, 0.05, 0.254263, 0.692479
0.25, 0, 0.031425, 0.0175509, 0.05, 0.255107, 0.695917
0.25, 0, 0.0296472, 0.0215806, 0.05, 0.26332, 0.685452
0.25, 0, 0.0292084, 0.0214147, 0.05, 0.251379, 0.697998
0.25, 0, 0.0300976, 0.0227821, 0.05, 0.268417, 0.678703
0.25, 0, 0.0311291, 0.023411, 0.05, 0.25228, 0.69318
0.25, 0, 0.0303771, 0.0216297, 0.05, 0.254755, 0.693238
0.25, 0, 0.0291458, 0.0248657, 0.05, 0.259196, 0.686793
0.25, 0, 0.028868, 0.022749, 0.05, 0.258197, 0.690187
0.25, 0, 0.0287226, 0.022631, 0.05, 0.257266, 0.691381
0.25, 0, 0.031203, 0.023642, 0.05, 0.257208, 0.687947
0.25, 0, 0.0285085, 0.0232444, 0.05, 0.256213, 0.692035
0.25, 0, 0.0276644, 0.0222616, 0.05, 0.256997, 0.693077
0.25, 0, 0.031029, 0.0216599, 0.05, 0.254972, 0.692339
0.25, 0, 0.0282763, 0.0227395, 0.05, 0.255047, 0.693937
0.25, 0, 0.0304653, 0.0239923, 0.05, 0.2613, 0.684242
0.25, 0, 0.0275652, 0.024356, 0.05, 0.253244, 0.694835
0.25, 0, 0.0280728, 0.0231651, 0.05, 0.259979, 0.688783
0.25, 0, 0.0260398, 0.0230263, 0.05, 0.254492, 0.696442
0.25, 0, 0.0306501, 0.0224555, 0.05, 0.24996, 0.696934
0.25, 0, 0.0294645, 0.0236279, 0.05, 0.253873, 0.693035
0.25, 0, 0.0296711, 0.0244859, 0.05, 0.258012, 0.687831
0.25, 0, 0.0307202, 0.0226469, 0.05, 0.255926, 0.690707
0.25, 0, 0.0269917, 0.0218933, 0.05, 0.252874, 0.698241
0.25, 0, 0.0306992, 0.0231005, 0.05, 0.260757, 0.685443
0.25, 0, 0.0314126, 0.023497, 0.05, 0.26125, 0.683841
0.25, 0, 0.0267776, 0.0226501, 0.05, 0.2446, 0.705972
0.25, 0, 0.0310567, 0.0216515, 0.05, 0.250923, 0.696369
0.25, 0, 0.0301848, 0.0227994, 0.05, 0.255443, 0.691573
0.25, 0, 0.0324041, 0.0253349, 0.05, 0.253815, 0.688446
0.25, 0, 0.0278463, 0.0217909, 0.05, 0.257176, 0.693187
0.25, 0, 0.0299398, 0.0242527, 0.05, 0.260311, 0.685497
0.25, 0, 0.0248566, 0.0217635, 0.05, 0.253923, 0.699457
0.25, 0, 0.0291513, 0.022639, 0.05, 0.255416, 0.692794
0.25, 0, 0.0306685, 0.0224956, 0.05, 0.257481, 0.689355
0.25, 0, 0.0278107, 0.0247539, 0.05, 0.249159, 0.698276
