RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0268596, 0.0281522, 0.05, 0.251408, 0.69358
0.25, 0, 0.0299653, 0.0286637, 0.05, 0.253989, 0.687382
0.25, 0, 0.029669, 0.026707, 0.05, 0.255259, 0.688365
0.25, 0, 0.0276131, 0.0298692, 0.05, 0.261126, 0.681391
0.25, 0, 0.02802, 0.0295877, 0.05, 0.258924, 0.683468
0.25, 0, 0.0287275, 0.0252274, 0.05, 0.249835, 0.696211
0.25, 0, 0.0277451, 0.0286966, 0.05, 0.249149, 0.694409
0.25, 0, 0.0303366, 0.02704, 0.05, 0.251121, 0.691502
0.25, 0, 0.0282254, 0.0237141, 0.05, 0.254845, 0.693215
0.25, 0, 0.030152, 0.0246268, 0.05, 0.250599, 0.694622
0.25, 0, 0.0325023, 0.0268146, 0.05, 0.253639, 0.687044
0.25, 0, 0.0308517, 0.0273476, 0.05, 0.251736, 0.690065
0.25, 0, 0.0322714, 0.0258134, 0.05, 0.260768, 0.681147
0.25, 0, 0.0337561, 0.0267491, 0.05, 0.247843, 0.691652
0.25, 0, 0.0316537, 0.0237673, 0.05, 0.245958, 0.698621
0.25, 0, 0.0287644, 0.0265764, 0.05, 0.26427, 0.680389
0.25, 0, 0.0302078, 0.0262769, 0.05, 0.260361, 0.683154
0.25, 0, 0.0284564, 0.0274294, 0.05, 0.261889, 0.682225
0.25, 0, 0.027625, 0.0282649, 0.05, 0.257561, 0.686549
0.25, 0, 0.0276916, 0.0265423, 0.05, 0.258804, 0.686962
0.25, 0, 0.0284755, 0.0292256, 0.05, 0.257249, 0.68505
0.25, 0, 0.0289401, 0.0269581, 0.05, 0.254035, 0.690066
0.25, 0, 0.028197, 0.0267715, 0.05, 0.256894, 0.688138
0.25, 0, 0.0312953, 0.0313932, 0.05, 0.256738, 0.680573
0.25, 0, 0.0285446, 0.0260492, 0.05, 0.245467, 0.69994
0.25, 0, 0.0318155, 0.0282927, 0.05, 0.247767, 0.692124
0.25, 0, 0.0306258, 0.0254313, 0.05, 0.256238, 0.687705
0.25, 0, 0.0278697, 0.0283567, 0.05, 0.249407, 0.694367
0.25, 0, 0.0288527, 0.028755, 0.05, 0.254785, 0.687608
0.25, 0, 0.0296464, 0.0271412, 0.05, 0.258559, 0.684653
0.25, 0, 0.0276607, 0.0302836, 0.05, 0.252761, 0.689295
