RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0293888, 0.0263793, 0.05, 0.255556, 0.688676
0.25, 0, 0.0277996, 0.0254258, 0.05, 0.253953, 0.692822
0.25, 0, 0.0289444, 0.0267878, 0.05, 0.263062, 0.681206
0.25, 0, 0.0304587, 0.0258595, 0.05, 0.255152, 0.688529
0.25, 0, 0.0297202, 0.0264469, 0.05, 0.251008, 0.692824
0.25, 0, 0.0295144, 0.024396, 0.05, 0.256588, 0.689501
0.25, 0, 0.0279642, 0.0228793, 0.05, 0.253889, 0.695268
0.25, 0, 0.0323989, 0.0255644, 0.05, 0.254999, 0.687038
0.25, 0, 0.029201, 0.0241354, 0.05, 0.256314, 0.69035
0.25, 0, 0.0284974, 0.0308541, 0.05, 0.253811, 0.686837
0.25, 0, 0.031366, 0.0264499, 0.05, 0.264152, 0.678032
0.25, 0, 0.0258452, 0.0241364, 0.05, 0.251549, 0.698469
0.25, 0, 0.0306071, 0.0266102, 0.05, 0.258611, 0.684172
0.25, 0, 0.0314821, 0.0266691, 0.05, 0.254682, 0.687166
0.25, 0, 0.0303021, 0.0309992, 0.05, 0.254437, 0.684261
0.25, 0, 0.0267237, 0.0297054, 0.05, 0.25298, 0.69059
0.25, 0, 0.0261805, 0.0290637, 0.05, 0.258444, 0.686312
0.25, 0, 0.0266644, 0.0284255, 0.05, 0.258662, 0.686248
0.25, 0, 0.0305325, 0.0254235, 0.05, 0.252342, 0.691702
0.25, 0, 0.0259418, 0.0277519, 0.05, 0.254867, 0.691439
0.25, 0, 0.027045, 0.0273646, 0.05, 0.258531, 0.687059
0.25, 0, 0.0273018, 0.0292077, 0.05, 0.253223, 0.690267
0.25, 0, 0.0327523, 0.0263149, 0.05, 0.259181, 0.681752
0.25, 0, 0.0300452, 0.0254623, 0.05, 0.256283, 0.68821
0.25, 0, 0.0288846, 0.0249802, 0.05, 0.260298, 0.685837
0.25, 0, 0.0292644, 0.0280402, 0.05, 0.260393, 0.682302
0.25, 0, 0.0317674, 0.028477, 0.05, 0.252431, 0.687325
0.25, 0, 0.0320252, 0.0275484, 0.05, 0.25914, 0.681286
0.25, 0, 0.0306079, 0.0305401, 0.05, 0.249856, 0.688996
0.25, 0, 0.0276954, 0.0258819, 0.05, 0.253229, 0.693194
0.25, 0, 0.02919, 0.0276998, 0.05, 0.259057, 0.684053
0.25, 0, 0.0293064, 0.0260611, 0.05, 0.247557, 0.697076
0.25, 0, 0.0272134, 0.0290968, 0.05, 0.25477, 0.68892
0.25, 0, 0.027195, 0.0218272, 0.05, 0.260424, 0.690554
0.25, 0, 0.0292146, 0.0251939, 0.05, 0.271221, 0.67437
0.25, 0, 0.0281285, 0.0299648, 0.05, 0.251559, 0.690348
0.25, 0, 0.0308243, 0.0272498, 0.05, 0.254277, 0.687649
0.25, 0, 0.0299613, 0.0242527, 0.05, 0.251951, 0.693835
0.25, 0, 0.0280368, 0.0256775, 0.05, 0.261448, 0.684838
0.25, 0, 0.0315465, 0.0263901, 0.05, 0.254119, 0.687944
0.25, 0, 0.0311256, 0.0282402, 0.05, 0.262418, 0.678216
0.25, 0, 0.0322727, 0.0276989, 0.05, 0.247161, 0.692867
0.25, 0, 0.0300417, 0.0251015, 0.05, 0.248248, 0.696608
0.25, 0, 0.0274898, 0.0282154, 0.05, 0.257507, 0.686788
0.25, 0, 0.0273252, 0.0270669, 0.05, 0.254135, 0.691473
0.25, 0, 0.0312775, 0.0257066, 0.05, 0.26236, 0.680656
0.25, 0, 0.0266217, 0.0271484, 0.05, 0.254215, 0.692015
0.25, 0, 0.028808, 0.0255669, 0.05, 0.247346, 0.698279
0.25, 0, 0.0307445, 0.0289765, 0.05, 0.257227, 0.683052
0.25, 0, 0.0317647, 0.0217764, 0.05, 0.26065, 0.685809
0.25, 0, 0.0283293, 0.0250495, 0.05, 0.251477, 0.695144
0.25, 0, 0.026921, 0.0254146, 0.05, 0.249733, 0.697931
0.25, 0, 0.0275297, 0.030057, 0.05, 0.255579, 0.686835
0.25, 0, 0.0256491, 0.0289531, 0.05, 0.254693, 0.690705
0.25, 0, 0.024884, 0.0245036, 0.05, 0.255571, 0.695041
0.25, 0, 0.028475, 0.0254645, 0.05, 0.258765, 0.687295
0.25, 0, 0.0295991, 0.0264738, 0.05, 0.26422, 0.679708
0.25, 0, 0.0328849, 0.0273259, 0.05, 0.260843, 0.678946
0.25, 0, 0.0290524, 0.0262889, 0.05, 0.261395, 0.683264
0.25, 0, 0.0269039, 0.0288447, 0.05, 0.263346, 0.680906
0.25, 0, 0.0284971, 0.030989, 0.05, 0.257182, 0.683332
0.25, 0, 0.0295494, 0.025981, 0.05, 0.254021, 0.690448
0.25, 0, 0.0275469, 0.0271164, 0.05, 0.253005, 0.692332
0.25, 0, 0.0323769, 0.0299264, 0.05, 0.260555, 0.677141
0.25, 0, 0.025989, 0.0253978, 0.05, 0.247742, 0.700871
0.25, 0, 0.029736, 0.0276948, 0.05, 0.259977, 0.682592
0.25, 0, 0.0320347, 0.0297276, 0.05, 0.2579, 0.680338
0.25, 0, 0.0293544, 0.0269852, 0.05, 0.253039, 0.690622
0.25, 0, 0.0311042, 0.0261456, 0.05, 0.261724, 0.681026
0.25, 0, 0.0318461, 0.02612, 0.05, 0.258764, 0.68327
0.25, 0, 0.0330915, 0.0288495, 0.05, 0.255444, 0.682615
0.25, 0, 0.0302614, 0.0269702, 0.05, 0.255454, 0.687315
0.25, 0, 0.0332628, 0.0257777, 0.05, 0.25258, 0.68838
0.25, 0, 0.0290192, 0.0274972, 0.05, 0.255004, 0.68848
0.25, 0, 0.0279931, 0.0261758, 0.05, 0.258794, 0.687037
0.25, 0, 0.0271123, 0.0261745, 0.05, 0.26788, 0.678833
0.25, 0, 0.0273514, 0.0260692, 0.05, 0.259812, 0.686768
0.25, 0, 0.0304078, 0.0269836, 0.05, 0.257134, 0.685474
0.25, 0, 0.0318413, 0.0269342, 0.05, 0.254298, 0.686927
0.25, 0, 0.0310334, 0.0260781, 0.05, 0.252885, 0.690004
0.25, 0, 0.0314256, 0.027722, 0.05, 0.261358, 0.679494
0.25, 0, 0.0269843, 0.0271312, 0.05, 0.25139, 0.694495
0.25, 0, 0.0349958, 0.0289326, 0.05, 0.257027, 0.679045
0.25, 0, 0.0310739, 0.0256378, 0.05, 0.251736, 0.691552
0.25, 0, 0.0287164, 0.0260718, 0.05, 0.261109, 0.684103
0.25, 0, 0.0340064, 0.0218768, 0.05, 0.262489, 0.681628
0.25, 0, 0.0291594, 0.0260057, 0.05, 0.258875, 0.68596
0.25, 0, 0.0297389, 0.0285984, 0.05, 0.254227, 0.687435
0.25, 0, 0.0292331, 0.0238347, 0.05, 0.252342, 0.69459
0.25, 0, 0.0332681, 0.0288004, 0.05, 0.265238, 0.672694
0.25, 0, 0.0306009, 0.0252007, 0.05, 0.258371, 0.685827
0.25, 0, 0.0315929, 0.0251498, 0.05, 0.250608, 0.692649
0.25, 0, 0.029395, 0.0285138, 0.05, 0.249601, 0.69249
0.25, 0, 0.0287575, 0.0296787, 0.05, 0.260563, 0.681001
0.25, 0, 0.0336505, 0.0263981, 0.05, 0.259841, 0.680111
0.25, 0, 0.0274549, 0.0266685, 0.05, 0.254002, 0.691874
0.25, 0, 0.0312601, 0.0267114, 0.05, 0.264122, 0.677907
0.25, 0, 0.0294838, 0.0256398, 0.05, 0.258669, 0.686208
0.25, 0, 0.02637, 0.0244794, 0.05, 0.250109, 0.699041
0.25, 0, 0.0262625, 0.0296768, 0.05, 0.254542, 0.689519
0.25, 0, 0.0326513, 0.0326807, 0.055, 0.257153, 0.677515
0.25, 0, 0.0312158, 0.0323541, 0.055, 0.251269, 0.685161
0.25, 0, 0.0310676, 0.0325084, 0.055, 0.254172, 0.682252
0.25, 0, 0.0357235, 0.0285827, 0.055, 0.250888, 0.684806
0.25, 0, 0.0362216, 0.0327058, 0.055, 0.261275, 0.669797
0.25, 0, 0.0314784, 0.0307199, 0.055, 0.245617, 0.692185
0.25, 0, 0.0291956, 0.0296675, 0.055, 0.259979, 0.681158
0.25, 0, 0.0328848, 0.0313216, 0.055, 0.258541, 0.677253
0.25, 0, 0.0366515, 0.0280398, 0.055, 0.257826, 0.677483
0.25, 0, 0.0302135, 0.0308263, 0.055, 0.260692, 0.678268
0.25, 0, 0.0321972, 0.0285617, 0.055, 0.252797, 0.686444
