RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0323816, 0.02734, 0.05, 0.256033, 0.684246
0.25, 0, 0.0268101, 0.0284568, 0.05, 0.254853, 0.68988
0.25, 0, 0.0290353, 0.0296352, 0.05, 0.25544, 0.685889
0.25, 0, 0.0316136, 0.0314328, 0.05, 0.254204, 0.68275
0.25, 0, 0.0275667, 0.0285313, 0.05, 0.249074, 0.694828
0.25, 0, 0.0288543, 0.0317399, 0.05, 0.251821, 0.687585
0.25, 0, 0.0297173, 0.0281518, 0.05, 0.250583, 0.691547
0.25, 0, 0.0297899, 0.0262482, 0.05, 0.265279, 0.678683
0.25, 0, 0.0305562, 0.0291276, 0.05, 0.257721, 0.682595
0.25, 0, 0.0310129, 0.0304332, 0.05, 0.263915, 0.674639
0.25, 0, 0.0295291, 0.0315176, 0.05, 0.254236, 0.684717
0.25, 0, 0.0277323, 0.0325702, 0.05, 0.255197, 0.6845
0.25, 0, 0.0316678, 0.0335119, 0.05, 0.2563, 0.67852
0.25, 0, 0.0312365, 0.0295056, 0.05, 0.246876, 0.692382
0.25, 0, 0.0275263, 0.0334733, 0.05, 0.251696, 0.687304
0.25, 0, 0.0303645, 0.0290995, 0.05, 0.2507, 0.689836
0.25, 0, 0.02824, 0.0271644, 0.05, 0.257448, 0.687148
0.25, 0, 0.024488, 0.0257211, 0.05, 0.259609, 0.690182
0.25, 0, 0.0298257, 0.0284003, 0.05, 0.258306, 0.683468
0.25, 0, 0.0300275, 0.0281445, 0.05, 0.252356, 0.689472
0.25, 0, 0.0290194, 0.0275451, 0.05, 0.246415, 0.69702
0.25, 0, 0.0329632, 0.0329081, 0.05, 0.253168, 0.680961
0.25, 0, 0.0290153, 0.0281554, 0.05, 0.249989, 0.692841
0.25, 0, 0.0296851, 0.0277795, 0.05, 0.253681, 0.688855
0.25, 0, 0.0269679, 0.0321028, 0.05, 0.252448, 0.688481
