RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0294937, 0.022907, 0.05, 0.253021, 0.694578
0.25, 0, 0.0262645, 0.0227468, 0.05, 0.250125, 0.700864
0.25, 0, 0.0322115, 0.0220628, 0.05, 0.249528, 0.696198
0.25, 0, 0.0305957, 0.0213833, 0.05, 0.250815, 0.697206
0.25, 0, 0.0297936, 0.0229272, 0.05, 0.254701, 0.692578
0.25, 0, 0.0307462, 0.0243199, 0.05, 0.253207, 0.691727
0.25, 0, 0.0299053, 0.0210111, 0.05, 0.259056, 0.690028
0.25, 0, 0.0287435, 0.0231297, 0.05, 0.256452, 0.691675
0.25, 0, 0.0265434, 0.0219507, 0.05, 0.255538, 0.695968
0.25, 0, 0.0271468, 0.0238004, 0.05, 0.256294, 0.692759
0.25, 0, 0.0280803, 0.0223506, 0.05, 0.260005, 0.689564
0.25, 0, 0.0312833, 0.0194642, 0.05, 0.24838, 0.700872
0.25, 0, 0.0290015, 0.0224856, 0.05, 0.25894, 0.689573
0.25, 0, 0.0276401, 0.0246566, 0.05, 0.266538, 0.681165
0.25, 0, 0.0243739, 0.0223521, 0.05, 0.251964, 0.70131
0.25, 0, 0.0245615, 0.0231719, 0.05, 0.257441, 0.694825
0.25, 0, 0.027513, 0.023655, 0.05, 0.256685, 0.692147
0.25, 0, 0.0262866, 0.0223223, 0.05, 0.256261, 0.69513
0.25, 0, 0.0267918, 0.024693, 0.05, 0.264485, 0.68403
0.25, 0, 0.0281964, 0.0234995, 0.05, 0.257867, 0.690438
0.25, 0, 0.0318445, 0.0247629, 0.05, 0.263024, 0.680369
0.25, 0, 0.028483, 0.023246, 0.05, 0.248042, 0.700229
0.25, 0, 0.0277543, 0.0228428, 0.05, 0.257991, 0.691412
0.25, 0, 0.0252375, 0.0214117, 0.05, 0.244819, 0.708532
0.25, 0, 0.0307038, 0.0249157, 0.05, 0.247803, 0.696578
0.25, 0, 0.0337319, 0.0224531, 0.05, 0.259845, 0.68397
0.25, 0, 0.0267595, 0.0236269, 0.05, 0.256497, 0.693116
0.25, 0, 0.0298297, 0.0227288, 0.05, 0.247156, 0.700286
0.25, 0, 0.0274195, 0.0205787, 0.05, 0.258767, 0.693234
0.25, 0, 0.0265585, 0.0240223, 0.05, 0.25699, 0.692429
