RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0305949, 0.0267668, 0.05, 0.251427, 0.691211
0.25, 0, 0.0295449, 0.0297365, 0.05, 0.266678, 0.674041
0.25, 0, 0.0298601, 0.0301696, 0.05, 0.253688, 0.686283
0.25, 0, 0.0262346, 0.0272168, 0.05, 0.25467, 0.691878
0.25, 0, 0.031963, 0.0278277, 0.05, 0.259273, 0.680937
0.25, 0, 0.0313902, 0.0306912, 0.05, 0.251476, 0.686443
0.25, 0, 0.0319371, 0.0311014, 0.05, 0.247158, 0.689804
0.25, 0, 0.0283512, 0.0316103, 0.05, 0.254785, 0.685254
0.25, 0, 0.0309259, 0.0303777, 0.05, 0.248872, 0.689825
0.25, 0, 0.0298678, 0.0259218, 0.05, 0.25116, 0.693051
0.25, 0, 0.0257657, 0.0257498, 0.05, 0.260538, 0.687946
0.25, 0, 0.0267077, 0.0312517, 0.05, 0.252358, 0.689683
0.25, 0, 0.02842, 0.02956, 0.05, 0.25457, 0.68745
0.25, 0, 0.0311342, 0.0310659, 0.05, 0.257222, 0.680577
0.25, 0, 0.0279039, 0.0284676, 0.05, 0.265545, 0.678083
0.25, 0, 0.0304271, 0.0260402, 0.05, 0.261274, 0.682259
0.25, 0, 0.0252647, 0.0278381, 0.05, 0.246711, 0.700186
0.25, 0, 0.0278033, 0.0256917, 0.05, 0.261461, 0.685044
0.25, 0, 0.0286289, 0.0256264, 0.05, 0.256834, 0.688911
0.25, 0, 0.0277612, 0.0268572, 0.05, 0.254233, 0.691149
0.25, 0, 0.0272433, 0.0269639, 0.05, 0.252878, 0.692915
0.25, 0, 0.026707, 0.0265203, 0.05, 0.257312, 0.689461
0.25, 0, 0.0252855, 0.0298974, 0.05, 0.255572, 0.689245
0.25, 0, 0.0270832, 0.0272977, 0.05, 0.255669, 0.68995
0.25, 0, 0.0279887, 0.0265532, 0.05, 0.249674, 0.695784
0.25, 0, 0.0297273, 0.030557, 0.05, 0.258967, 0.680749
0.25, 0, 0.0320065, 0.0272951, 0.05, 0.261869, 0.67883
0.25, 0, 0.028735, 0.0278559, 0.05, 0.262921, 0.680488
0.25, 0, 0.0303908, 0.0287457, 0.05, 0.251302, 0.689561
0.25, 0, 0.0322271, 0.026018, 0.05, 0.252173, 0.689582
0.25, 0, 0.0267355, 0.0271851, 0.05, 0.252762, 0.693318
0.25, 0, 0.030393, 0.0314474, 0.05, 0.255202, 0.682957
0.25, 0, 0.0262842, 0.0268472, 0.05, 0.251317, 0.695551
0.25, 0, 0.0285826, 0.0264402, 0.05, 0.257554, 0.687424
0.25, 0, 0.0327501, 0.0295435, 0.05, 0.252771, 0.684935
0.25, 0, 0.0264814, 0.0269534, 0.05, 0.260401, 0.686164
0.25, 0, 0.0286375, 0.0298845, 0.05, 0.254031, 0.687447
0.25, 0, 0.0273968, 0.0258374, 0.05, 0.262374, 0.684391
0.25, 0, 0.0289959, 0.0263279, 0.05, 0.252212, 0.692464
0.25, 0, 0.024096, 0.0300659, 0.05, 0.255586, 0.690252
0.25, 0, 0.031311, 0.0254614, 0.05, 0.251197, 0.692031
0.25, 0, 0.0290788, 0.0280391, 0.05, 0.264143, 0.678739
0.25, 0, 0.0282922, 0.027049, 0.05, 0.256242, 0.688417
0.25, 0, 0.0314568, 0.0253837, 0.05, 0.251878, 0.691281
0.25, 0, 0.0286487, 0.0281182, 0.05, 0.251911, 0.691322
0.25, 0, 0.0264723, 0.0268211, 0.05, 0.263636, 0.68307
0.25, 0, 0.0304338, 0.0255726, 0.05, 0.257329, 0.686665
0.25, 0, 0.0255155, 0.0260871, 0.05, 0.247843, 0.700555
0.25, 0, 0.0272211, 0.0312959, 0.05, 0.256866, 0.684617
0.25, 0, 0.0317485, 0.0308241, 0.05, 0.250903, 0.686525
0.25, 0, 0.0294672, 0.0285139, 0.05, 0.253165, 0.688854
0.25, 0, 0.0292022, 0.0260804, 0.05, 0.257394, 0.687324
0.25, 0, 0.0316912, 0.0269836, 0.05, 0.249425, 0.6919
0.25, 0, 0.0262315, 0.0248038, 0.05, 0.254666, 0.694299
0.25, 0, 0.0281489, 0.0292429, 0.05, 0.257005, 0.685604
0.25, 0, 0.0312498, 0.0294492, 0.05, 0.254619, 0.684682
0.25, 0, 0.0296937, 0.027545, 0.05, 0.255841, 0.68692
0.25, 0, 0.0296971, 0.0263779, 0.05, 0.261452, 0.682473
0.25, 0, 0.0300806, 0.0289977, 0.05, 0.251982, 0.688939
0.25, 0, 0.0287444, 0.0280916, 0.05, 0.248882, 0.694282
0.25, 0, 0.0287652, 0.027475, 0.05, 0.258167, 0.685593
0.25, 0, 0.0294284, 0.0298618, 0.05, 0.26244, 0.67827
0.25, 0, 0.0272222, 0.0256658, 0.05, 0.251299, 0.695813
0.25, 0, 0.0277482, 0.0271571, 0.05, 0.259733, 0.685361
0.25, 0, 0.0252242, 0.0275908, 0.05, 0.25099, 0.696195
0.25, 0, 0.0297301, 0.02817, 0.05, 0.245617, 0.696483
0.25, 0, 0.0275228, 0.0257483, 0.05, 0.262143, 0.684586
0.25, 0, 0.0312715, 0.0243289, 0.05, 0.251914, 0.692486
0.25, 0, 0.0289672, 0.031851, 0.05, 0.26099, 0.678191
0.25, 0, 0.0257349, 0.0277159, 0.05, 0.253637, 0.692912
0.25, 0, 0.0320019, 0.0291213, 0.05, 0.253776, 0.6851
0.25, 0, 0.0274362, 0.0271043, 0.05, 0.257052, 0.688408
0.25, 0, 0.0293277, 0.028107, 0.05, 0.260306, 0.682259
0.25, 0, 0.031229, 0.0289938, 0.05, 0.257054, 0.682724
0.25, 0, 0.025368, 0.0273979, 0.05, 0.260542, 0.686692
0.25, 0, 0.0307554, 0.0244699, 0.05, 0.26093, 0.683845
0.25, 0, 0.0293514, 0.0277697, 0.05, 0.252756, 0.690123
0.25, 0, 0.027954, 0.0294972, 0.05, 0.258477, 0.684071
0.25, 0, 0.0283994, 0.0285392, 0.05, 0.253369, 0.689693
0.25, 0, 0.0285934, 0.0267756, 0.05, 0.244828, 0.699803
0.25, 0, 0.0277201, 0.0264849, 0.05, 0.258435, 0.68736
0.25, 0, 0.0290331, 0.026125, 0.05, 0.26033, 0.684512
0.25, 0, 0.029597, 0.0255444, 0.05, 0.250534, 0.694324
0.25, 0, 0.0279733, 0.0303, 0.05, 0.25877, 0.682957
0.25, 0, 0.0297491, 0.0287132, 0.05, 0.247017, 0.694521
0.25, 0, 0.0262533, 0.025076, 0.05, 0.247564, 0.701107
0.25, 0, 0.0309349, 0.0270404, 0.05, 0.258767, 0.683258
0.25, 0, 0.0242911, 0.0279683, 0.05, 0.261748, 0.685992
0.25, 0, 0.0305179, 0.0300145, 0.05, 0.25609, 0.683378
0.25, 0, 0.0290615, 0.0290483, 0.05, 0.254307, 0.687583
0.25, 0, 0.0267967, 0.0271169, 0.05, 0.254822, 0.691265
0.25, 0, 0.0299994, 0.0285798, 0.05, 0.261557, 0.679864
0.25, 0, 0.0270822, 0.0261007, 0.05, 0.255022, 0.691795
0.25, 0, 0.0315928, 0.0300621, 0.05, 0.252431, 0.685914
0.25, 0, 0.0288928, 0.0301115, 0.05, 0.255584, 0.685412
0.25, 0, 0.030743, 0.0259514, 0.05, 0.254475, 0.68883
0.25, 0, 0.0314608, 0.0274978, 0.05, 0.25821, 0.682832
0.25, 0, 0.0280042, 0.0300393, 0.05, 0.252665, 0.689291
0.25, 0, 0.0272262, 0.031503, 0.05, 0.252846, 0.688425
0.25, 0, 0.0304946, 0.0269545, 0.05, 0.259769, 0.682782
0.25, 0, 0.0312756, 0.032147, 0.055, 0.251311, 0.685266
0.25, 0, 0.0301448, 0.0346345, 0.055, 0.25058, 0.684641
0.25, 0, 0.0354938, 0.0265075, 0.055, 0.263047, 0.674951
0.25, 0, 0.0299297, 0.0301646, 0.055, 0.248344, 0.691561
0.25, 0, 0.0335776, 0.0337377, 0.055, 0.253709, 0.678976
0.25, 0, 0.0331371, 0.0310573, 0.055, 0.254404, 0.681402
