RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0284872, 0.0283602, 0.05, 0.255907, 0.687245
0.25, 0, 0.0323709, 0.0269479, 0.05, 0.248901, 0.69178
0.25, 0, 0.028147, 0.0285019, 0.05, 0.256108, 0.687243
0.25, 0, 0.0277899, 0.0280094, 0.05, 0.251504, 0.692697
0.25, 0, 0.029807, 0.0262485, 0.05, 0.250932, 0.693012
0.25, 0, 0.0326958, 0.024491, 0.05, 0.256622, 0.686192
0.25, 0, 0.0279159, 0.0293579, 0.05, 0.253356, 0.68937
0.25, 0, 0.0295451, 0.0285885, 0.05, 0.257495, 0.684371
0.25, 0, 0.0290872, 0.0258193, 0.05, 0.258029, 0.687064
0.25, 0, 0.0304704, 0.0279047, 0.05, 0.253869, 0.687756
0.25, 0, 0.0267838, 0.0274875, 0.05, 0.262528, 0.683201
0.25, 0, 0.031423, 0.0282978, 0.05, 0.255571, 0.684708
0.25, 0, 0.025873, 0.027772, 0.05, 0.257167, 0.689188
0.25, 0, 0.0283174, 0.0238996, 0.05, 0.253503, 0.69428
0.25, 0, 0.0262436, 0.0260674, 0.05, 0.256881, 0.690808
0.25, 0, 0.0275694, 0.0272268, 0.05, 0.254786, 0.690417
0.25, 0, 0.0267054, 0.024996, 0.05, 0.254533, 0.693766
0.25, 0, 0.030541, 0.0297266, 0.05, 0.255937, 0.683796
0.25, 0, 0.0278737, 0.0300864, 0.05, 0.251716, 0.690324
0.25, 0, 0.0256301, 0.025973, 0.05, 0.258158, 0.690239
0.25, 0, 0.0288827, 0.0294944, 0.05, 0.258798, 0.682825
0.25, 0, 0.0271441, 0.0277849, 0.05, 0.257132, 0.687939
0.25, 0, 0.027665, 0.0301556, 0.05, 0.254726, 0.687453
0.25, 0, 0.0295448, 0.0283504, 0.05, 0.25571, 0.686395
0.25, 0, 0.0292141, 0.0274847, 0.05, 0.242595, 0.700706
0.25, 0, 0.0296838, 0.0274244, 0.05, 0.257052, 0.685839
0.25, 0, 0.0268609, 0.0280401, 0.05, 0.255941, 0.689158
0.25, 0, 0.0308055, 0.0273531, 0.05, 0.263035, 0.678806
0.25, 0, 0.0263385, 0.0242939, 0.05, 0.260058, 0.689309
0.25, 0, 0.0263853, 0.0258948, 0.05, 0.247534, 0.700186
0.25, 0, 0.0283661, 0.0275877, 0.05, 0.253447, 0.690599
0.25, 0, 0.0303935, 0.0270925, 0.05, 0.253909, 0.688605
0.25, 0, 0.0267346, 0.0284945, 0.05, 0.254225, 0.690546
0.25, 0, 0.0304878, 0.0261534, 0.05, 0.26389, 0.679469
0.25, 0, 0.0287007, 0.0247354, 0.05, 0.260031, 0.686533
0.25, 0, 0.028937, 0.028295, 0.05, 0.258655, 0.684113
0.25, 0, 0.0309934, 0.0281628, 0.05, 0.25531, 0.685534
0.25, 0, 0.0257649, 0.0268204, 0.05, 0.252121, 0.695294
0.25, 0, 0.0272499, 0.025468, 0.05, 0.257191, 0.690091
0.25, 0, 0.027966, 0.0280283, 0.05, 0.254317, 0.689689
0.25, 0, 0.0313084, 0.0274655, 0.05, 0.253492, 0.687734
0.25, 0, 0.0231831, 0.0259272, 0.05, 0.255394, 0.695496
0.25, 0, 0.0275404, 0.0266564, 0.05, 0.256187, 0.689616
0.25, 0, 0.032296, 0.0270378, 0.05, 0.242843, 0.697823
0.25, 0, 0.0325309, 0.0277871, 0.05, 0.252172, 0.68751
0.25, 0, 0.0267881, 0.0279173, 0.05, 0.257779, 0.687515
0.25, 0, 0.0294952, 0.023911, 0.05, 0.252728, 0.693866
0.25, 0, 0.0293423, 0.0256767, 0.05, 0.255753, 0.689228
0.25, 0, 0.0271741, 0.0263082, 0.05, 0.25524, 0.691278
0.25, 0, 0.0311425, 0.0274156, 0.05, 0.257773, 0.683669
0.25, 0, 0.0294228, 0.0285174, 0.05, 0.263546, 0.678514
0.25, 0, 0.0258201, 0.0275721, 0.05, 0.265837, 0.680771
0.25, 0, 0.0278445, 0.0291686, 0.05, 0.252065, 0.690922
0.25, 0, 0.0286883, 0.0273011, 0.05, 0.259274, 0.684736
0.25, 0, 0.0273278, 0.026246, 0.05, 0.256339, 0.690087
0.25, 0, 0.0272822, 0.0290825, 0.05, 0.253772, 0.689863
0.25, 0, 0.0266358, 0.0270897, 0.05, 0.25261, 0.693665
0.25, 0, 0.0266304, 0.0236507, 0.05, 0.260783, 0.688936
0.25, 0, 0.0264096, 0.0274489, 0.05, 0.259798, 0.686343
0.25, 0, 0.0293513, 0.0278425, 0.05, 0.255637, 0.687169
0.25, 0, 0.0323724, 0.0276521, 0.05, 0.258143, 0.681833
0.25, 0, 0.0268466, 0.0265124, 0.05, 0.257963, 0.688678
0.25, 0, 0.027407, 0.0258634, 0.05, 0.254465, 0.692265
0.25, 0, 0.0282837, 0.0260618, 0.05, 0.252493, 0.693161
0.25, 0, 0.0279096, 0.0269493, 0.05, 0.25663, 0.688511
0.25, 0, 0.0315275, 0.0247955, 0.05, 0.251263, 0.692414
0.25, 0, 0.0276271, 0.027446, 0.05, 0.262537, 0.68239
0.25, 0, 0.0294684, 0.0284882, 0.05, 0.256459, 0.685584
0.25, 0, 0.0264559, 0.023149, 0.05, 0.258984, 0.691411
0.25, 0, 0.0254454, 0.0268835, 0.05, 0.253227, 0.694444
0.25, 0, 0.02877, 0.0274114, 0.05, 0.257395, 0.686424
0.25, 0, 0.028841, 0.0270664, 0.05, 0.252944, 0.691148
0.25, 0, 0.0306208, 0.0290457, 0.05, 0.254339, 0.685994
0.25, 0, 0.0263, 0.0300511, 0.05, 0.254671, 0.688978
0.25, 0, 0.0311432, 0.0265222, 0.05, 0.26551, 0.676824
0.25, 0, 0.0271297, 0.0251563, 0.05, 0.258506, 0.689208
0.25, 0, 0.0260405, 0.028071, 0.05, 0.251993, 0.693896
0.25, 0, 0.0251751, 0.0267278, 0.05, 0.25725, 0.690847
0.25, 0, 0.029065, 0.0285844, 0.05, 0.253535, 0.688815
0.25, 0, 0.0273351, 0.0276957, 0.05, 0.260755, 0.684214
0.25, 0, 0.0295935, 0.0264587, 0.05, 0.261808, 0.682139
0.25, 0, 0.0345853, 0.0243429, 0.05, 0.257436, 0.683636
0.25, 0, 0.0273887, 0.0254008, 0.05, 0.256596, 0.690614
0.25, 0, 0.0280393, 0.0280576, 0.05, 0.252344, 0.691559
0.25, 0, 0.0281904, 0.0270828, 0.05, 0.249726, 0.695001
0.25, 0, 0.0311196, 0.0315587, 0.05, 0.252428, 0.684893
