RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0294772, 0.0298155, 0.05, 0.257445, 0.683262
0.25, 0, 0.0283889, 0.0303325, 0.05, 0.257921, 0.683357
0.25, 0, 0.0301267, 0.0294334, 0.05, 0.260591, 0.679848
0.25, 0, 0.0261124, 0.0285375, 0.05, 0.260865, 0.684485
0.25, 0, 0.0241421, 0.0270084, 0.05, 0.254952, 0.693897
0.25, 0, 0.0251195, 0.0264652, 0.05, 0.256519, 0.691896
0.25, 0, 0.0274053, 0.0246822, 0.05, 0.266351, 0.681562
0.25, 0, 0.0259372, 0.0278149, 0.05, 0.255819, 0.690429
0.25, 0, 0.0281116, 0.0293822, 0.05, 0.258281, 0.684226
0.25, 0, 0.0260667, 0.0288822, 0.05, 0.257658, 0.687393
0.25, 0, 0.0268279, 0.0287787, 0.05, 0.25437, 0.690023
0.25, 0, 0.0298486, 0.0314421, 0.05, 0.253066, 0.685643
0.25, 0, 0.0293723, 0.0325766, 0.05, 0.255685, 0.682366
0.25, 0, 0.0256836, 0.0281477, 0.05, 0.254126, 0.692042
0.25, 0, 0.027256, 0.0312742, 0.05, 0.258213, 0.683257
0.25, 0, 0.0291032, 0.0292752, 0.05, 0.253398, 0.688223
0.25, 0, 0.0291155, 0.0320764, 0.05, 0.26068, 0.678128
0.25, 0, 0.0282452, 0.026242, 0.05, 0.26495, 0.680563
0.25, 0, 0.031119, 0.0294382, 0.05, 0.253341, 0.686102
0.25, 0, 0.0276458, 0.0298931, 0.05, 0.248544, 0.693917
0.25, 0, 0.0307081, 0.0251677, 0.05, 0.257818, 0.686306
0.25, 0, 0.0244754, 0.0286317, 0.05, 0.249912, 0.696981
0.25, 0, 0.0250707, 0.0269888, 0.05, 0.258914, 0.689026
0.25, 0, 0.0273376, 0.0288999, 0.05, 0.253326, 0.690437
0.25, 0, 0.0305854, 0.0309891, 0.05, 0.253137, 0.685289
0.25, 0, 0.0275441, 0.0299509, 0.05, 0.250697, 0.691808
0.25, 0, 0.0273928, 0.0304563, 0.05, 0.250689, 0.691461
0.25, 0, 0.028183, 0.0307396, 0.05, 0.25254, 0.688537
0.25, 0, 0.0287764, 0.0284982, 0.05, 0.242548, 0.700178
0.25, 0, 0.0288687, 0.0275614, 0.05, 0.249925, 0.693645
0.25, 0, 0.0299951, 0.0291781, 0.05, 0.251688, 0.689139
0.25, 0, 0.0287911, 0.0284091, 0.05, 0.26152, 0.68128
0.25, 0, 0.0279394, 0.0235734, 0.05, 0.260956, 0.687531
0.25, 0, 0.0273397, 0.0274234, 0.05, 0.25719, 0.688046
0.25, 0, 0.0306573, 0.0302446, 0.05, 0.258922, 0.680176
0.25, 0, 0.0281205, 0.0298567, 0.05, 0.253106, 0.688917
0.25, 0, 0.0295568, 0.0285444, 0.05, 0.260515, 0.681384
0.25, 0, 0.0269918, 0.0295679, 0.05, 0.259826, 0.683614
0.25, 0, 0.0275648, 0.0256384, 0.05, 0.255362, 0.691434
0.25, 0, 0.0262495, 0.0313003, 0.05, 0.255918, 0.686532
0.25, 0, 0.0307316, 0.0263471, 0.05, 0.249837, 0.693085
0.25, 0, 0.0343478, 0.0298934, 0.05, 0.255144, 0.680615
0.25, 0, 0.0242122, 0.0277729, 0.05, 0.255094, 0.692921
0.25, 0, 0.0269352, 0.0317993, 0.05, 0.262619, 0.678646
0.25, 0, 0.0240655, 0.0309984, 0.05, 0.253454, 0.691482
0.25, 0, 0.0235872, 0.0316669, 0.05, 0.260681, 0.684064
0.25, 0, 0.0251937, 0.0297726, 0.05, 0.256926, 0.688108
0.25, 0, 0.0282696, 0.0322779, 0.05, 0.244768, 0.694684
0.25, 0, 0.026751, 0.0314284, 0.05, 0.256026, 0.685795
0.25, 0, 0.026455, 0.0314775, 0.05, 0.254037, 0.688031
0.25, 0, 0.0271336, 0.0277451, 0.05, 0.248472, 0.696649
0.25, 0, 0.0321628, 0.0253622, 0.05, 0.25206, 0.690415
0.25, 0, 0.0240236, 0.0293841, 0.05, 0.263326, 0.683266
0.25, 0, 0.0293224, 0.0291674, 0.05, 0.26746, 0.674051
0.25, 0, 0.0300036, 0.0265493, 0.05, 0.252812, 0.690635
0.25, 0, 0.0271554, 0.0315965, 0.05, 0.246141, 0.695107
0.25, 0, 0.0279164, 0.0255549, 0.05, 0.257328, 0.689201
0.25, 0, 0.0256042, 0.0273307, 0.05, 0.264944, 0.682121
0.25, 0, 0.0240087, 0.0275301, 0.05, 0.25586, 0.692601
0.25, 0, 0.0278351, 0.0270133, 0.05, 0.258203, 0.686949
0.25, 0, 0.023731, 0.0274099, 0.05, 0.254141, 0.694718
0.25, 0, 0.0282761, 0.0277088, 0.05, 0.253273, 0.690742
0.25, 0, 0.025703, 0.0303561, 0.05, 0.259798, 0.684143
0.25, 0, 0.0289762, 0.0294124, 0.05, 0.258311, 0.6833
0.25, 0, 0.0283332, 0.0282106, 0.05, 0.256648, 0.686808
0.25, 0, 0.0280304, 0.0291641, 0.05, 0.262043, 0.680762
0.25, 0, 0.0263438, 0.0249347, 0.05, 0.252907, 0.695815
0.25, 0, 0.0276349, 0.0276465, 0.05, 0.253262, 0.691456
0.25, 0, 0.0294155, 0.0306012, 0.05, 0.261893, 0.67809
0.25, 0, 0.0314861, 0.0274024, 0.05, 0.247718, 0.693393
0.25, 0, 0.0278522, 0.0317538, 0.05, 0.253495, 0.686899
0.25, 0, 0.0274483, 0.027445, 0.05, 0.25092, 0.694186
0.25, 0, 0.0287951, 0.0271458, 0.05, 0.256112, 0.687947
0.25, 0, 0.0291369, 0.0279138, 0.05, 0.25743, 0.685519
0.25, 0, 0.0285685, 0.029546, 0.05, 0.259708, 0.682178
0.25, 0, 0.0303375, 0.0263016, 0.05, 0.254284, 0.689077
0.25, 0, 0.0246302, 0.0264144, 0.05, 0.252765, 0.69619
0.25, 0, 0.0266322, 0.030697, 0.05, 0.24823, 0.694441
0.25, 0, 0.0276151, 0.0293373, 0.05, 0.25651, 0.686538
0.25, 0, 0.0273462, 0.0334188, 0.05, 0.256282, 0.682953
0.25, 0, 0.0258812, 0.0311657, 0.05, 0.262431, 0.680522
0.25, 0, 0.025466, 0.030587, 0.05, 0.250481, 0.693466
0.25, 0, 0.0289487, 0.0306569, 0.05, 0.249083, 0.691311
0.25, 0, 0.0263537, 0.0284685, 0.05, 0.252666, 0.692512
0.25, 0, 0.0289945, 0.0282318, 0.05, 0.258132, 0.684642
0.25, 0, 0.0275941, 0.028826, 0.05, 0.253736, 0.689844
0.25, 0, 0.0251627, 0.0321116, 0.05, 0.259089, 0.683637
0.25, 0, 0.0300549, 0.0247527, 0.05, 0.258, 0.687192
0.25, 0, 0.0289395, 0.026078, 0.05, 0.253445, 0.691537
0.25, 0, 0.0290187, 0.0287569, 0.05, 0.265643, 0.676581
0.25, 0, 0.0281777, 0.028593, 0.05, 0.255009, 0.688221
0.25, 0, 0.0272393, 0.0282545, 0.05, 0.250545, 0.693962
0.25, 0, 0.0274402, 0.0279065, 0.05, 0.264873, 0.67978
0.25, 0, 0.0278216, 0.0311216, 0.05, 0.258232, 0.682825
0.25, 0, 0.0288479, 0.0304208, 0.05, 0.258565, 0.682167
0.25, 0, 0.0272345, 0.0304633, 0.05, 0.260837, 0.681465
0.25, 0, 0.0260385, 0.0311804, 0.05, 0.252612, 0.690169
0.25, 0, 0.0272407, 0.0313829, 0.05, 0.255367, 0.686009
0.25, 0, 0.0271456, 0.0277475, 0.05, 0.262516, 0.682591
0.25, 0, 0.0292729, 0.0326704, 0.05, 0.254922, 0.683135
0.25, 0, 0.0332054, 0.035924, 0.055, 0.253416, 0.677454
0.25, 0, 0.0270086, 0.0303555, 0.055, 0.255489, 0.687147
0.25, 0, 0.0334413, 0.033679, 0.055, 0.252965, 0.679915
0.25, 0, 0.0322399, 0.035318, 0.055, 0.262097, 0.670346
0.25, 0, 0.029884, 0.0344483, 0.055, 0.260102, 0.675565
0.25, 0, 0.02907, 0.0335609, 0.055, 0.251099, 0.68627
0.25, 0, 0.0310021, 0.0303917, 0.055, 0.257668, 0.680938
0.25, 0, 0.0315499, 0.0346675, 0.055, 0.253596, 0.680186
0.25, 0, 0.031715, 0.0332979, 0.055, 0.258837, 0.67615
0.25, 0, 0.0329152, 0.0338039, 0.055, 0.258753, 0.674528
0.25, 0, 0.0285703, 0.031792, 0.055, 0.250281, 0.689357
0.25, 0, 0.0292916, 0.0328439, 0.055, 0.250613, 0.687252
0.25, 0, 0.0305592, 0.0320263, 0.055, 0.259715, 0.6777
0.25, 0, 0.0330206, 0.0366338, 0.055, 0.250837, 0.679509
0.25, 0, 0.029784, 0.0348477, 0.055, 0.257994, 0.677375
0.25, 0, 0.0363517, 0.0329358, 0.055, 0.256097, 0.674616
0.25, 0, 0.0340016, 0.0285723, 0.055, 0.26216, 0.675266
0.25, 0, 0.0328964, 0.0311076, 0.055, 0.254793, 0.681203
0.25, 0, 0.0322439, 0.0313676, 0.055, 0.259405, 0.676984
0.25, 0, 0.0318075, 0.0297222, 0.055, 0.261109, 0.677361
0.25, 0, 0.0319119, 0.0290127, 0.055, 0.258697, 0.680379
0.25, 0, 0.0297638, 0.0280054, 0.055, 0.256334, 0.685897
0.25, 0, 0.0305533, 0.0335834, 0.055, 0.265229, 0.670635
0.25, 0, 0.0357866, 0.0334033, 0.055, 0.247984, 0.682826
0.25, 0, 0.0293474, 0.0327362, 0.055, 0.253542, 0.684374
0.25, 0, 0.0310772, 0.0286907, 0.055, 0.250455, 0.689777
0.25, 0, 0.030329, 0.0317893, 0.055, 0.250772, 0.68711
0.25, 0, 0.0308909, 0.0353747, 0.055, 0.259754, 0.67398
0.25, 0, 0.0298803, 0.0329853, 0.055, 0.253165, 0.68397
0.25, 0, 0.0273294, 0.0321496, 0.055, 0.265873, 0.674648
0.25, 0, 0.0291785, 0.0359964, 0.055, 0.250655, 0.68417
0.25, 0, 0.0297039, 0.0383994, 0.055, 0.250114, 0.681782
0.25, 0, 0.0332358, 0.0318583, 0.055, 0.263, 0.671906
0.25, 0, 0.0347952, 0.0315402, 0.055, 0.257854, 0.67581
0.25, 0, 0.0291691, 0.0338275, 0.055, 0.263763, 0.67324
