RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0282946, 0.0291629, 0.05, 0.253485, 0.689057
0.25, 0, 0.025892, 0.0259148, 0.05, 0.261323, 0.68687
0.25, 0, 0.0295385, 0.0260534, 0.05, 0.259734, 0.684675
0.25, 0, 0.0241771, 0.0292224, 0.05, 0.25963, 0.686971
0.25, 0, 0.0281462, 0.0232031, 0.05, 0.25202, 0.69663
0.25, 0, 0.026505, 0.0346264, 0.05, 0.255042, 0.683827
0.25, 0, 0.0292932, 0.0268693, 0.05, 0.257315, 0.686522
0.25, 0, 0.0320713, 0.0273857, 0.05, 0.255874, 0.684669
0.25, 0, 0.0244953, 0.0279867, 0.05, 0.254148, 0.69337
0.25, 0, 0.0286892, 0.0256211, 0.05, 0.257469, 0.688221
0.25, 0, 0.0258293, 0.0299862, 0.05, 0.253816, 0.690368
0.25, 0, 0.0271831, 0.0261171, 0.05, 0.255478, 0.691222
0.25, 0, 0.0280834, 0.0257781, 0.05, 0.257177, 0.688962
0.25, 0, 0.0252034, 0.0297961, 0.05, 0.246901, 0.6981
0.25, 0, 0.0294818, 0.0273348, 0.05, 0.25741, 0.685773
0.25, 0, 0.0270899, 0.0273198, 0.05, 0.265757, 0.679833
0.25, 0, 0.0293413, 0.0282477, 0.05, 0.256206, 0.686206
0.25, 0, 0.0267763, 0.0283516, 0.05, 0.250943, 0.693929
0.25, 0, 0.0302351, 0.0280986, 0.05, 0.25563, 0.686037
0.25, 0, 0.0294722, 0.027138, 0.05, 0.255557, 0.687833
0.25, 0, 0.0266316, 0.0272954, 0.05, 0.253424, 0.692649
0.25, 0, 0.0286233, 0.026539, 0.05, 0.260931, 0.683907
0.25, 0, 0.02969, 0.0314686, 0.05, 0.251063, 0.687778
0.25, 0, 0.0306321, 0.0284678, 0.05, 0.24692, 0.69398
0.25, 0, 0.0256234, 0.0256036, 0.05, 0.2636, 0.685173
0.25, 0, 0.0289961, 0.0278181, 0.05, 0.25574, 0.687446
0.25, 0, 0.0282029, 0.0253974, 0.05, 0.250526, 0.695873
0.25, 0, 0.0262342, 0.0280753, 0.05, 0.259068, 0.686623
0.25, 0, 0.0271353, 0.028181, 0.05, 0.259626, 0.685058
0.25, 0, 0.0299234, 0.0277847, 0.05, 0.258917, 0.683374
0.25, 0, 0.0282556, 0.0274233, 0.05, 0.251454, 0.692867
0.25, 0, 0.0291125, 0.0283406, 0.05, 0.256129, 0.686418
0.25, 0, 0.0264812, 0.0287103, 0.05, 0.256448, 0.688361
0.25, 0, 0.0273033, 0.0290768, 0.05, 0.255632, 0.687988
0.25, 0, 0.0242662, 0.0263757, 0.05, 0.251084, 0.698274
