Gamma, Publish N Profit, Publish N Hash Rate, Honest Hash Rate
0, 0.000161083, 0.005, 0.999839
0, 0, 0.005, 1
0, 0.000150722, 0.005, 0.999849
0, 0.000257826, 0.005, 0.999742
0, 0.000427494, 0.005, 0.999573
0, 0.000236643, 0.005, 0.999763
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000164913, 0.005, 0.999835
0, 7.62489e-05, 0.005, 0.999924
0, 9.24989e-05, 0.005, 0.999908
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000154414, 0.005, 0.999846
0, 0.000123832, 0.005, 0.999876
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000292658, 0.005, 0.999707
0, 0.000129317, 0.005, 0.999871
0, 0.000244885, 0.005, 0.999755
0, 9.49073e-05, 0.005, 0.999905
0, 7.39994e-05, 0.005, 0.999926
0, 0.000413909, 0.005, 0.999586
0, 0, 0.005, 1
0, 0.000725247, 0.005, 0.999275
0, 0.0001293, 0.005, 0.999871
0, 0, 0.005, 1
0, 0.000142325, 0.005, 0.999858
0, 0.000227958, 0.005, 0.999772
0, 0, 0.005, 1
0, 7.88283e-05, 0.005, 0.999921
0, 0.000150061, 0.005, 0.99985
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000382748, 0.005, 0.999617
0, 0, 0.005, 1
0, 0.000434079, 0.005, 0.999566
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000118414, 0.005, 0.999882
0, 0, 0.005, 1
0, 0.000273058, 0.005, 0.999727
0, 0.000109327, 0.005, 0.999891
0, 0, 0.005, 1
0, 0.000231477, 0.005, 0.999769
0, 0, 0.005, 1
0, 3.90829e-05, 0.005, 0.999961
0, 0.000124326, 0.005, 0.999876
0, 0, 0.005, 1
0, 6.85831e-05, 0.005, 0.999931
0, 0, 0.005, 1
0, 0.000419952, 0.005, 0.99958
0, 0, 0.005, 1
0, 0.000242079, 0.005, 0.999758
0, 0, 0.005, 1
0, 0.000115829, 0.005, 0.999884
0, 0.000215482, 0.005, 0.999785
0, 0, 0.005, 1
0, 9.69127e-05, 0.005, 0.999903
0, 0.000115999, 0.005, 0.999884
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 5.41664e-05, 0.005, 0.999946
0, 6.39989e-05, 0.005, 0.999936
0, 0.000421578, 0.005, 0.999578
0, 2.5999e-05, 0.005, 0.999974
0, 0, 0.005, 1
0, 0.000252579, 0.005, 0.999747
0, 5.44112e-05, 0.005, 0.999946
0, 0.000129167, 0.005, 0.999871
0, 0.000126831, 0.005, 0.999873
0, 0.000186055, 0.005, 0.999814
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000147656, 0.005, 0.999852
0, 0.000175398, 0.005, 0.999825
0, 0.000473823, 0.005, 0.999526
0, 0.000229825, 0.005, 0.99977
0, 0.00040039, 0.005, 0.9996
0, 3.61634e-05, 0.005, 0.999964
0, 0, 0.005, 1
0, 0.000114333, 0.005, 0.999886
0, 0, 0.005, 1
0, 0.000158995, 0.005, 0.999841
0, 0, 0.005, 1
0, 0.00049423, 0.005, 0.999506
0, 0, 0.005, 1
0, 7.33331e-05, 0.005, 0.999927
0, 0, 0.005, 1
0, 0, 0.005, 1
0, 0.000167411, 0.005, 0.999833
0, 0.000202413, 0.005, 0.999798
0, 0.0005089, 0.01, 0.999491
0, 0.000365247, 0.01, 0.999635
0, 0.000668526, 0.01, 0.999331
0, 0.000548635, 0.01, 0.999451
0, 0.000258904, 0.01, 0.999741
0, 0.000299884, 0.01, 0.9997
0, 0.000385381, 0.01, 0.999615
0, 0.000383575, 0.01, 0.999616
0, 0.000445647, 0.01, 0.999554
0, 0.000774337, 0.01, 0.999226
0, 9.96653e-05, 0.01, 0.9999
0, 0.000918498, 0.01, 0.999082
0, 0.000782474, 0.01, 0.999218
0, 0.000144665, 0.01, 0.999855
0, 0.000524987, 0.01, 0.999475
0, 0.000828562, 0.01, 0.999171
0, 0.000989625, 0.01, 0.99901
0, 0.000447163, 0.01, 0.999553
0, 0.000327324, 0.01, 0.999673
0, 0.000731825, 0.01, 0.999268
0, 0.00039427, 0.01, 0.999606
0, 0.000254991, 0.01, 0.999745
0, 0.000261999, 0.01, 0.999738
0, 0.000317649, 0.01, 0.999682
0, 0.00121011, 0.01, 0.99879
0, 0.00124476, 0.01, 0.998755
0, 0.00018075, 0.01, 0.999819
0, 0.000731173, 0.01, 0.999269
0, 9.97468e-05, 0.01, 0.9999
0, 0.000230905, 0.01, 0.999769
0, 0.000262326, 0.01, 0.999738
0, 0.000877217, 0.01, 0.999123
0, 0.000140583, 0.01, 0.999859
0, 0.000271824, 0.01, 0.999728
0, 0.000481995, 0.01, 0.999518
0, 0.000693235, 0.01, 0.999307
0, 0.000801332, 0.01, 0.999199
0, 0.000581683, 0.01, 0.999418
0, 0.00102407, 0.01, 0.998976
0, 0.000409813, 0.01, 0.99959
0, 0.000518747, 0.01, 0.999481
0, 0.000317155, 0.01, 0.999683
0, 0.00071497, 0.01, 0.999285
0, 0.000216071, 0.01, 0.999784
0, 0.000468748, 0.01, 0.999531
0, 0.000990137, 0.01, 0.99901
0, 0.000154333, 0.01, 0.999846
