Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00100383, 0.246046, 0.005, 0.75295
0.25, 0, 0.00149761, 0.244824, 0.005, 0.753679
0.25, 0, 0.00160497, 0.262152, 0.005, 0.736243
0.25, 0, 0.00183411, 0.257095, 0.005, 0.741071
0.25, 0, 0.000756325, 0.250025, 0.005, 0.749218
0.25, 0, 0.00292358, 0.257632, 0.005, 0.739444
0.25, 0, 0.00281312, 0.258643, 0.005, 0.738544
0.25, 0, 0.00158761, 0.248611, 0.005, 0.749801
0.25, 0, 0.00191899, 0.244106, 0.005, 0.753975
0.25, 0, 0.00117664, 0.249078, 0.005, 0.749746
0.25, 0, 0.00196109, 0.250596, 0.005, 0.747443
0.25, 0, 0.00132846, 0.248836, 0.005, 0.749836
0.25, 0, 0.00290538, 0.253498, 0.005, 0.743596
0.25, 0, 0.00208845, 0.245262, 0.005, 0.75265
0.25, 0, 0.00135091, 0.241877, 0.005, 0.756772
0.25, 0, 0.00130188, 0.261088, 0.005, 0.73761
0.25, 0, 0.002238, 0.246369, 0.005, 0.751393
0.25, 0, 0.00184427, 0.255843, 0.005, 0.742313
0.25, 0, 0.00121109, 0.252569, 0.005, 0.74622
0.25, 0, 0.00198434, 0.25125, 0.005, 0.746766
0.25, 0, 0.00158329, 0.247191, 0.005, 0.751226
0.25, 0, 0.00212016, 0.239251, 0.005, 0.758628
0.25, 0, 0.00173188, 0.246588, 0.005, 0.75168
0.25, 0, 0.0017576, 0.242533, 0.005, 0.75571
0.25, 0, 0.00163329, 0.246695, 0.005, 0.751671
0.25, 0, 0.00160978, 0.25709, 0.005, 0.7413
0.25, 0, 0.00183898, 0.253008, 0.005, 0.745153
0.25, 0, 0.00271126, 0.252664, 0.005, 0.744625
0.25, 0, 0.00304161, 0.243925, 0.005, 0.753034
0.25, 0, 0.00185749, 0.249928, 0.005, 0.748214
0.25, 0, 0.00183136, 0.241056, 0.005, 0.757112
0.25, 0, 0.00177658, 0.256392, 0.005, 0.741831
0.25, 0, 0.00213904, 0.249629, 0.005, 0.748232
0.25, 0, 0.00206736, 0.247817, 0.005, 0.750115
0.25, 0, 0.00243376, 0.243322, 0.005, 0.754244
0.25, 0, 0.00184227, 0.243245, 0.005, 0.754912
0.25, 0, 0.00167391, 0.24898, 0.005, 0.749346
0.25, 0, 0.00127827, 0.256253, 0.005, 0.742468
0.25, 0, 0.00203366, 0.253711, 0.005, 0.744255
0.25, 0, 0.00075014, 0.247304, 0.005, 0.751946
0.25, 0, 0.00205363, 0.24783, 0.005, 0.750116
0.25, 0, 0.00267362, 0.258304, 0.005, 0.739022
0.25, 0, 0.00188859, 0.252445, 0.005, 0.745666
0.25, 0, 0.00236815, 0.245095, 0.005, 0.752537
0.25, 0, 0.00243709, 0.248966, 0.005, 0.748597
0.25, 0, 0.00197828, 0.25194, 0.005, 0.746082
0.25, 0, 0.00134941, 0.246878, 0.005, 0.751773
0.25, 0, 0.00290828, 0.24924, 0.005, 0.747852
0.25, 0, 0.00265651, 0.25028, 0.005, 0.747064
0.25, 0, 0.00115262, 0.256583, 0.005, 0.742264
0.25, 0, 0.00192562, 0.251896, 0.005, 0.746179
0.25, 0, 0.00119849, 0.242756, 0.005, 0.756045
0.25, 0, 0.00189677, 0.249233, 0.005, 0.74887
0.25, 0, 0.00109448, 0.255474, 0.005, 0.743431
0.25, 0, 0.00230908, 0.238013, 0.005, 0.759678
0.25, 0, 0.00279808, 0.245774, 0.005, 0.751428
0.25, 0, 0.00190973, 0.244114, 0.005, 0.753976
0.25, 0, 0.00117965, 0.250841, 0.005, 0.747979
0.25, 0, 0.00160253, 0.239366, 0.005, 0.759032
0.25, 0, 0.00158065, 0.245482, 0.005, 0.752937
0.25, 0, 0.00256939, 0.254552, 0.005, 0.742879
0.25, 0, 0.00228477, 0.241771, 0.005, 0.755945
0.25, 0, 0.00110192, 0.26154, 0.005, 0.737358
0.25, 0, 0.0016231, 0.252333, 0.005, 0.746044
0.25, 0, 0.00262851, 0.258215, 0.005, 0.739157
0.25, 0, 0.00223705, 0.252306, 0.005, 0.745457
0.25, 0, 0.00174533, 0.2441, 0.005, 0.754154
0.25, 0, 0.00198664, 0.255, 0.005, 0.743013
0.25, 0, 0.00388905, 0.2542, 0.005, 0.741911
0.25, 0, 0.00121366, 0.240262, 0.005, 0.758525
0.25, 0, 0.00207379, 0.254343, 0.005, 0.743583
0.25, 0, 0.00190385, 0.249803, 0.005, 0.748293
0.25, 0, 0.00223908, 0.251294, 0.005, 0.746467
0.25, 0, 0.00188884, 0.247112, 0.005, 0.750999
0.25, 0, 0.00208404, 0.247973, 0.005, 0.749943
0.25, 0, 0.00226732, 0.237056, 0.005, 0.760677
0.25, 0, 0.00168253, 0.251531, 0.005, 0.746787
0.25, 0, 0.00261259, 0.249909, 0.005, 0.747478
0.25, 0, 0.00116336, 0.250226, 0.005, 0.74861
0.25, 0, 0.00120097, 0.240436, 0.005, 0.758363
0.25, 0, 0.00142747, 0.247856, 0.005, 0.750717
0.25, 0, 0.00244968, 0.2557, 0.005, 0.741851
0.25, 0, 0.00169511, 0.254454, 0.005, 0.74385
0.25, 0, 0.00116675, 0.235343, 0.005, 0.763491
0.25, 0, 0.00108876, 0.249947, 0.005, 0.748965
0.25, 0, 0.00285926, 0.252428, 0.005, 0.744713
0.25, 0, 0.00312941, 0.255448, 0.005, 0.741423
0.25, 0, 0.00103806, 0.260604, 0.005, 0.738358
0.25, 0, 0.00186131, 0.249531, 0.005, 0.748607
0.25, 0, 0.00264996, 0.247799, 0.005, 0.749551
0.25, 0, 0.00249708, 0.254481, 0.005, 0.743022
0.25, 0, 0.00240554, 0.2508, 0.005, 0.746795
