Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00274337, 0.253358, 0.005, 0.743899
0.25, 0, 0.00266389, 0.240819, 0.005, 0.756517
0.25, 0, 0.00144833, 0.247738, 0.005, 0.750814
0.25, 0, 0.000791758, 0.249611, 0.005, 0.749597
0.25, 0, 0.0014683, 0.255578, 0.005, 0.742954
0.25, 0, 0.00161916, 0.267427, 0.005, 0.730953
0.25, 0, 0.00309713, 0.2628, 0.005, 0.734103
0.25, 0, 0.00266923, 0.237639, 0.005, 0.759692
0.25, 0, 0.000969985, 0.24387, 0.005, 0.75516
0.25, 0, 0.00250533, 0.245996, 0.005, 0.751499
0.25, 0, 0.002079, 0.252825, 0.005, 0.745096
0.25, 0, 0.00107771, 0.253291, 0.005, 0.745632
0.25, 0, 0.00374895, 0.240475, 0.005, 0.755776
0.25, 0, 0.00290309, 0.25131, 0.005, 0.745787
0.25, 0, 0.00129131, 0.242036, 0.005, 0.756673
0.25, 0, 0.00225995, 0.251968, 0.005, 0.745772
0.25, 0, 0.00101384, 0.257185, 0.005, 0.741801
0.25, 0, 0.00264149, 0.254149, 0.005, 0.743209
0.25, 0, 0.00251897, 0.242288, 0.005, 0.755193
0.25, 0, 0.00121816, 0.247265, 0.005, 0.751517
0.25, 0, 0.00133816, 0.243401, 0.005, 0.755261
0.25, 0, 0.00219797, 0.246517, 0.005, 0.751285
0.25, 0, 0.00269749, 0.253692, 0.005, 0.74361
0.25, 0, 0.00194046, 0.247597, 0.005, 0.750463
0.25, 0, 0.00179505, 0.250002, 0.005, 0.748202
0.25, 0, 0.000974959, 0.246109, 0.005, 0.752916
0.25, 0, 0.00169715, 0.255106, 0.005, 0.743197
0.25, 0, 0.00186086, 0.249614, 0.005, 0.748525
0.25, 0, 0.0024613, 0.249579, 0.005, 0.747959
0.25, 0, 0.00239228, 0.254516, 0.005, 0.743092
0.25, 0, 0.00193627, 0.244728, 0.005, 0.753335
0.25, 0, 0.00192099, 0.243809, 0.005, 0.75427
0.25, 0, 0.00136677, 0.247689, 0.005, 0.750944
0.25, 0, 0.00284562, 0.245494, 0.005, 0.75166
0.25, 0, 0.00157549, 0.260473, 0.005, 0.737952
0.25, 0, 0.0013265, 0.249245, 0.005, 0.749428
0.25, 0, 0.00189188, 0.2504, 0.005, 0.747708
0.25, 0, 0.0016305, 0.245694, 0.005, 0.752676
0.25, 0, 0.00129382, 0.244592, 0.005, 0.754114
0.25, 0, 0.00106066, 0.239803, 0.005, 0.759137
0.25, 0, 0.003573, 0.247127, 0.005, 0.7493
0.25, 0, 0.00125794, 0.252207, 0.005, 0.746535
0.25, 0, 0.00233245, 0.25402, 0.005, 0.743648
0.25, 0, 0.00115455, 0.251635, 0.005, 0.74721
0.25, 0, 0.0015368, 0.248092, 0.005, 0.750372
0.25, 0, 0.00216864, 0.250535, 0.005, 0.747296
0.25, 0, 0.00133425, 0.263978, 0.005, 0.734688
0.25, 0, 0.00181442, 0.249896, 0.005, 0.74829
0.25, 0, 0.00246766, 0.253402, 0.005, 0.74413
0.25, 0, 0.000655645, 0.264823, 0.005, 0.734522
0.25, 0, 0.001932, 0.236594, 0.005, 0.761474
0.25, 0, 0.00174142, 0.249565, 0.005, 0.748693
0.25, 0, 0.00192849, 0.245545, 0.005, 0.752526
0.25, 0, 0.00292556, 0.255667, 0.005, 0.741408
0.25, 0, 0.0017061, 0.251716, 0.005, 0.746578
0.25, 0, 0.00270465, 0.252766, 0.005, 0.74453
0.25, 0, 0.00198517, 0.261434, 0.005, 0.736581
0.25, 0, 0.00129329, 0.248727, 0.005, 0.74998
0.25, 0, 0.00154778, 0.25416, 0.005, 0.744292
0.25, 0, 0.00213457, 0.245024, 0.005, 0.752841
0.25, 0, 0.00398872, 0.254356, 0.005, 0.741655
0.25, 0, 0.00178744, 0.256158, 0.005, 0.742054
0.25, 0, 0.00125183, 0.254842, 0.005, 0.743906
0.25, 0, 0.00294148, 0.258772, 0.005, 0.738287
0.25, 0, 0.000958638, 0.256233, 0.005, 0.742809
0.25, 0, 0.00137311, 0.241199, 0.005, 0.757428
0.25, 0, 0.00197732, 0.237343, 0.005, 0.76068
0.25, 0, 0.00136518, 0.243546, 0.005, 0.755088
0.25, 0, 0.00227449, 0.242362, 0.005, 0.755364
0.25, 0, 0.00132829, 0.248871, 0.005, 0.749801
0.25, 0, 0.00242265, 0.251609, 0.005, 0.745968
0.25, 0, 0.00135535, 0.252969, 0.005, 0.745676
0.25, 0, 0.00223526, 0.250184, 0.005, 0.747581
0.25, 0, 0.00211626, 0.24843, 0.005, 0.749454
0.25, 0, 0.00181228, 0.241505, 0.005, 0.756682
0.25, 0, 0.00251012, 0.245338, 0.005, 0.752152
0.25, 0, 0.00216462, 0.242554, 0.005, 0.755282
0.25, 0, 0.00124041, 0.25133, 0.005, 0.74743
0.25, 0, 0.00156237, 0.259317, 0.005, 0.739121
0.25, 0, 0.00131856, 0.253784, 0.005, 0.744897
0.25, 0, 0.00155148, 0.255355, 0.005, 0.743094
0.25, 0, 0.00208694, 0.250558, 0.005, 0.747355
0.25, 0, 0.00262244, 0.268846, 0.005, 0.728532
0.25, 0, 0.00120817, 0.251488, 0.005, 0.747303
0.25, 0, 0.00168747, 0.249637, 0.005, 0.748675
0.25, 0, 0.00162564, 0.259292, 0.005, 0.739083
0.25, 0, 0.00139041, 0.253811, 0.005, 0.744799
0.25, 0, 0.00137161, 0.255965, 0.005, 0.742664
0.25, 0, 0.0024344, 0.248469, 0.005, 0.749097
0.25, 0, 0.00180849, 0.257885, 0.005, 0.740306
0.25, 0, 0.00213248, 0.255251, 0.005, 0.742616
0.25, 0, 0.00204799, 0.241905, 0.005, 0.756047
0.25, 0, 0.00261599, 0.25524, 0.005, 0.742144
0.25, 0, 0.00177294, 0.255689, 0.005, 0.742538
0.25, 0, 0.00128343, 0.251861, 0.005, 0.746856
0.25, 0, 0.00141842, 0.246407, 0.005, 0.752175
0.25, 0, 0.00240831, 0.248408, 0.005, 0.749183
0.25, 0, 0.0020234, 0.259383, 0.005, 0.738593
0.25, 0, 0.00288208, 0.254636, 0.005, 0.742482
0.25, 0, 0.00148149, 0.237438, 0.005, 0.76108
0.25, 0, 0.00400078, 0.253181, 0.01, 0.742819
0.25, 0, 0.00492997, 0.242294, 0.01, 0.752776
0.25, 0, 0.00370038, 0.260691, 0.01, 0.735609
0.25, 0, 0.00314861, 0.250266, 0.01, 0.746585
0.25, 0, 0.00420735, 0.245692, 0.01, 0.750101
0.25, 0, 0.00517863, 0.255751, 0.01, 0.73907
0.25, 0, 0.00536201, 0.242672, 0.01, 0.751966
0.25, 0, 0.00409195, 0.252342, 0.01, 0.743566
0.25, 0, 0.00608888, 0.239006, 0.01, 0.754905
0.25, 0, 0.00347346, 0.254577, 0.01, 0.741949
0.25, 0, 0.00430973, 0.249845, 0.01, 0.745845
0.25, 0, 0.00587427, 0.252289, 0.01, 0.741837
0.25, 0, 0.00422458, 0.248342, 0.01, 0.747434
0.25, 0, 0.00412001, 0.252841, 0.01, 0.743039
0.25, 0, 0.00441278, 0.246332, 0.01, 0.749255
0.25, 0, 0.00288885, 0.25574, 0.01, 0.741371
0.25, 0, 0.00349125, 0.255274, 0.01, 0.741235
0.25, 0, 0.0049493, 0.258295, 0.01, 0.736756
0.25, 0, 0.00367751, 0.247748, 0.01, 0.748575
0.25, 0, 0.00472982, 0.248158, 0.01, 0.747112
0.25, 0, 0.00285365, 0.24782, 0.01, 0.749326
0.25, 0, 0.00512898, 0.255092, 0.01, 0.739779
0.25, 0, 0.00322649, 0.245708, 0.01, 0.751065
0.25, 0, 0.00319024, 0.249642, 0.01, 0.747167
0.25, 0, 0.00270711, 0.240913, 0.01, 0.75638
0.25, 0, 0.00432733, 0.243624, 0.01, 0.752049
0.25, 0, 0.00436595, 0.253432, 0.01, 0.742202
0.25, 0, 0.00433057, 0.245724, 0.01, 0.749945
0.25, 0, 0.00418421, 0.247183, 0.01, 0.748633
0.25, 0, 0.00455626, 0.246586, 0.01, 0.748858
0.25, 0, 0.00267151, 0.253901, 0.01, 0.743428
0.25, 0, 0.00560781, 0.249505, 0.01, 0.744888
0.25, 0, 0.0050233, 0.24747, 0.01, 0.747507
0.25, 0, 0.00370993, 0.24057, 0.01, 0.75572
0.25, 0, 0.00386632, 0.242575, 0.01, 0.753559
0.25, 0, 0.00353114, 0.246033, 0.01, 0.750436
0.25, 0, 0.00428932, 0.25371, 0.01, 0.742
0.25, 0, 0.00471572, 0.243205, 0.01, 0.75208
0.25, 0, 0.00412343, 0.246389, 0.01, 0.749488
0.25, 0, 0.00450929, 0.252414, 0.01, 0.743077
0.25, 0, 0.00340962, 0.257702, 0.01, 0.738889
0.25, 0, 0.00400383, 0.249222, 0.01, 0.746774
0.25, 0, 0.00326565, 0.25407, 0.01, 0.742664
0.25, 0, 0.00609206, 0.25664, 0.01, 0.737268
0.25, 0, 0.00375205, 0.252827, 0.01, 0.743421
0.25, 0, 0.00551131, 0.260625, 0.01, 0.733864
0.25, 0, 0.00484464, 0.253248, 0.01, 0.741907
0.25, 0, 0.00502452, 0.243774, 0.01, 0.751202
0.25, 0, 0.0042707, 0.247746, 0.01, 0.747984
0.25, 0, 0.00439685, 0.23875, 0.01, 0.756854
0.25, 0, 0.00440102, 0.25709, 0.01, 0.738509
0.25, 0, 0.00267106, 0.258724, 0.01, 0.738605
0.25, 0, 0.00317797, 0.24851, 0.01, 0.748312
0.25, 0, 0.00595903, 0.243451, 0.01, 0.75059
