Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00342835, 0.249228, 0.005, 0.747343
0.25, 0, 0.00203051, 0.251779, 0.005, 0.74619
0.25, 0, 0.00180806, 0.253989, 0.005, 0.744203
0.25, 0, 0.00129956, 0.252111, 0.005, 0.74659
0.25, 0, 0.00255637, 0.235915, 0.005, 0.761528
0.25, 0, 0.0015161, 0.252968, 0.005, 0.745516
0.25, 0, 0.00178944, 0.245717, 0.005, 0.752494
0.25, 0, 0.0015321, 0.256205, 0.005, 0.742263
0.25, 0, 0.00214555, 0.271903, 0.005, 0.725951
0.25, 0, 0.00180175, 0.250667, 0.005, 0.747532
0.25, 0, 0.00118683, 0.247878, 0.005, 0.750935
0.25, 0, 0.00259128, 0.253212, 0.005, 0.744196
0.25, 0, 0.00166813, 0.240803, 0.005, 0.757529
0.25, 0, 0.00354751, 0.250723, 0.005, 0.74573
0.25, 0, 0.00163833, 0.260523, 0.005, 0.737838
0.25, 0, 0.00212289, 0.250583, 0.005, 0.747294
0.25, 0, 0.00217347, 0.261898, 0.005, 0.735928
0.25, 0, 0.00165148, 0.249852, 0.005, 0.748496
0.25, 0, 0.00255758, 0.245039, 0.005, 0.752404
0.25, 0, 0.00262305, 0.237129, 0.005, 0.760248
0.25, 0, 0.00233999, 0.252249, 0.005, 0.745411
0.25, 0, 0.00127845, 0.246238, 0.005, 0.752484
0.25, 0, 0.00173902, 0.252213, 0.005, 0.746048
0.25, 0, 0.00208348, 0.260224, 0.005, 0.737693
0.25, 0, 0.00159516, 0.253054, 0.005, 0.745351
0.25, 0, 0.00101765, 0.253474, 0.005, 0.745508
0.25, 0, 0.00198348, 0.249844, 0.005, 0.748173
0.25, 0, 0.00220088, 0.240626, 0.005, 0.757173
0.25, 0, 0.00300416, 0.260901, 0.005, 0.736095
0.25, 0, 0.00206602, 0.255785, 0.005, 0.742149
0.25, 0, 0.00110981, 0.248138, 0.005, 0.750752
0.25, 0, 0.00116283, 0.249613, 0.005, 0.749224
0.25, 0, 0.00115272, 0.250851, 0.005, 0.747996
0.25, 0, 0.00233244, 0.235886, 0.005, 0.761782
