Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00138872, 0.247479, 0.005, 0.751133
0.25, 0, 0.00253296, 0.250024, 0.005, 0.747443
0.25, 0, 0.00144882, 0.25597, 0.005, 0.742581
0.25, 0, 0.00186523, 0.242348, 0.005, 0.755786
0.25, 0, 0.00249824, 0.246281, 0.005, 0.751221
0.25, 0, 0.00152876, 0.253227, 0.005, 0.745245
0.25, 0, 0.000807658, 0.255524, 0.005, 0.743668
0.25, 0, 0.00275737, 0.25611, 0.005, 0.741133
0.25, 0, 0.00287155, 0.258003, 0.005, 0.739125
0.25, 0, 0.00196437, 0.242239, 0.005, 0.755797
0.25, 0, 0.00173337, 0.258797, 0.005, 0.73947
0.25, 0, 0.00171131, 0.253696, 0.005, 0.744592
0.25, 0, 0.0014551, 0.252877, 0.005, 0.745668
0.25, 0, 0.00271833, 0.251263, 0.005, 0.746018
0.25, 0, 0.00130872, 0.243226, 0.005, 0.755465
0.25, 0, 0.002795, 0.251595, 0.005, 0.74561
0.25, 0, 0.00195828, 0.258562, 0.005, 0.73948
0.25, 0, 0.0017686, 0.249825, 0.005, 0.748407
0.25, 0, 0.00194547, 0.264156, 0.005, 0.733899
0.25, 0, 0.000994947, 0.247077, 0.005, 0.751928
0.25, 0, 0.0011318, 0.247303, 0.005, 0.751565
0.25, 0, 0.00175515, 0.257698, 0.005, 0.740546
0.25, 0, 0.00165145, 0.25503, 0.005, 0.743319
0.25, 0, 0.00243709, 0.249045, 0.005, 0.748518
0.25, 0, 0.000987583, 0.248645, 0.005, 0.750367
0.25, 0, 0.00224461, 0.247028, 0.005, 0.750727
0.25, 0, 0.00205082, 0.249094, 0.005, 0.748855
0.25, 0, 0.00229551, 0.246149, 0.005, 0.751555
0.25, 0, 0.00211738, 0.255517, 0.005, 0.742366
0.25, 0, 0.00232557, 0.243294, 0.005, 0.75438
0.25, 0, 0.00214976, 0.251245, 0.005, 0.746605
0.25, 0, 0.00150366, 0.247869, 0.005, 0.750627
0.25, 0, 0.00231261, 0.248786, 0.005, 0.748901
0.25, 0, 0.00185148, 0.25258, 0.005, 0.745568
0.25, 0, 0.00160663, 0.251549, 0.005, 0.746844
0.25, 0, 0.00165618, 0.25662, 0.005, 0.741724
0.25, 0, 0.00176834, 0.246104, 0.005, 0.752128
0.25, 0, 0.00220201, 0.238501, 0.005, 0.759297
0.25, 0, 0.00105346, 0.25993, 0.005, 0.739016
0.25, 0, 0.000847493, 0.244341, 0.005, 0.754811
0.25, 0, 0.00187591, 0.247209, 0.005, 0.750915
0.25, 0, 0.00100695, 0.243313, 0.005, 0.75568
0.25, 0, 0.00131214, 0.243742, 0.005, 0.754946
0.25, 0, 0.00227594, 0.246568, 0.005, 0.751156
0.25, 0, 0.00156433, 0.263391, 0.005, 0.735045
0.25, 0, 0.00212748, 0.251808, 0.005, 0.746064
0.25, 0, 0.00103664, 0.262397, 0.005, 0.736566
0.25, 0, 0.00125694, 0.259994, 0.005, 0.738749
0.25, 0, 0.00225146, 0.248819, 0.005, 0.74893
0.25, 0, 0.00343007, 0.252577, 0.005, 0.743993
0.25, 0, 0.00319662, 0.253273, 0.005, 0.74353
0.25, 0, 0.00182201, 0.24573, 0.005, 0.752448
0.25, 0, 0.00154321, 0.251974, 0.005, 0.746483
0.25, 0, 0.000978288, 0.250516, 0.005, 0.748506
0.25, 0, 0.00196858, 0.256203, 0.005, 0.741829
0.25, 0, 0.00232453, 0.253864, 0.005, 0.743812
0.25, 0, 0.00208331, 0.239939, 0.005, 0.757977
0.25, 0, 0.00130185, 0.247327, 0.005, 0.751371
0.25, 0, 0.00220537, 0.251667, 0.005, 0.746127
0.25, 0, 0.00258789, 0.25593, 0.005, 0.741483
0.25, 0, 0.00120215, 0.262848, 0.005, 0.73595
0.25, 0, 0.00269968, 0.253537, 0.005, 0.743764
0.25, 0, 0.0022315, 0.240038, 0.005, 0.757731
0.25, 0, 0.00212798, 0.258925, 0.005, 0.738947
0.25, 0, 0.0020041, 0.241902, 0.005, 0.756094
0.25, 0, 0.0019211, 0.247067, 0.005, 0.751012
0.25, 0, 0.00261963, 0.250357, 0.005, 0.747024
0.25, 0, 0.00144797, 0.239379, 0.005, 0.759173
0.25, 0, 0.00198823, 0.251066, 0.005, 0.746946
0.25, 0, 0.00336045, 0.251945, 0.005, 0.744695
0.25, 0, 0.00182519, 0.239605, 0.005, 0.75857
0.25, 0, 0.00160762, 0.255281, 0.005, 0.743111
0.25, 0, 0.00131564, 0.247518, 0.005, 0.751167
0.25, 0, 0.00179466, 0.250234, 0.005, 0.747971
0.25, 0, 0.00211675, 0.244513, 0.005, 0.75337
0.25, 0, 0.00188401, 0.245606, 0.005, 0.75251
0.25, 0, 0.00190161, 0.241865, 0.005, 0.756233
0.25, 0, 0.00159074, 0.250122, 0.005, 0.748287
0.25, 0, 0.00171397, 0.245674, 0.005, 0.752612
0.25, 0, 0.00121326, 0.247401, 0.005, 0.751386
0.25, 0, 0.00203937, 0.244571, 0.005, 0.75339
0.25, 0, 0.00198243, 0.246803, 0.005, 0.751215
0.25, 0, 0.000726434, 0.255251, 0.005, 0.744022
0.25, 0, 0.00244819, 0.250515, 0.005, 0.747037
0.25, 0, 0.00192308, 0.258137, 0.005, 0.73994
0.25, 0, 0.00202382, 0.25656, 0.005, 0.741416
0.25, 0, 0.000588802, 0.259497, 0.005, 0.739914
0.25, 0, 0.00132333, 0.240859, 0.005, 0.757818
