Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00215934, 0.242672, 0.005, 0.755169
0.25, 0, 0.0018775, 0.247184, 0.005, 0.750938
0.25, 0, 0.00184108, 0.250874, 0.005, 0.747285
0.25, 0, 0.00247243, 0.234468, 0.005, 0.76306
0.25, 0, 0.00311007, 0.256773, 0.005, 0.740117
0.25, 0, 0.00111228, 0.255042, 0.005, 0.743846
0.25, 0, 0.00305755, 0.24315, 0.005, 0.753793
0.25, 0, 0.00141839, 0.255425, 0.005, 0.743157
0.25, 0, 0.0016958, 0.249428, 0.005, 0.748876
0.25, 0, 0.00179029, 0.257394, 0.005, 0.740816
0.25, 0, 0.00133799, 0.255402, 0.005, 0.74326
0.25, 0, 0.00177642, 0.25344, 0.005, 0.744784
0.25, 0, 0.00236227, 0.254587, 0.005, 0.743051
0.25, 0, 0.00168216, 0.250186, 0.005, 0.748132
0.25, 0, 0.0024653, 0.254839, 0.005, 0.742696
0.25, 0, 0.00238211, 0.253608, 0.005, 0.744009
0.25, 0, 0.00320243, 0.247969, 0.005, 0.748829
0.25, 0, 0.00207994, 0.250074, 0.005, 0.747846
0.25, 0, 0.00150817, 0.250892, 0.005, 0.7476
0.25, 0, 0.00153124, 0.256992, 0.005, 0.741477
0.25, 0, 0.00100299, 0.256965, 0.005, 0.742032
0.25, 0, 0.00278619, 0.257377, 0.005, 0.739837
0.25, 0, 0.00139954, 0.250864, 0.005, 0.747736
0.25, 0, 0.00291995, 0.244665, 0.005, 0.752415
0.25, 0, 0.00161603, 0.246075, 0.005, 0.752309
0.25, 0, 0.00172616, 0.250197, 0.005, 0.748076
0.25, 0, 0.00158659, 0.256863, 0.005, 0.74155
0.25, 0, 0.00226076, 0.255381, 0.005, 0.742358
0.25, 0, 0.00293675, 0.247451, 0.005, 0.749612
0.25, 0, 0.00103214, 0.243265, 0.005, 0.755703
0.25, 0, 0.00255831, 0.254599, 0.005, 0.742843
0.25, 0, 0.00223373, 0.248211, 0.005, 0.749556
0.25, 0, 0.00181395, 0.253924, 0.005, 0.744262
0.25, 0, 0.00179721, 0.242893, 0.005, 0.75531
0.25, 0, 0.0018175, 0.255332, 0.005, 0.74285
0.25, 0, 0.00272692, 0.252415, 0.005, 0.744858
0.25, 0, 0.00227387, 0.252652, 0.005, 0.745074
0.25, 0, 0.00122172, 0.2598, 0.005, 0.738978
0.25, 0, 0.00178948, 0.237732, 0.005, 0.760478
0.25, 0, 0.001425, 0.256003, 0.005, 0.742572
0.25, 0, 0.00102632, 0.261133, 0.005, 0.737841
0.25, 0, 0.00165844, 0.245829, 0.005, 0.752512
0.25, 0, 0.00105244, 0.251184, 0.005, 0.747763
0.25, 0, 0.00220217, 0.256157, 0.005, 0.741641
0.25, 0, 0.00227524, 0.251054, 0.005, 0.746671
0.25, 0, 0.00222203, 0.25356, 0.005, 0.744218
0.25, 0, 0.00279883, 0.257639, 0.005, 0.739562
0.25, 0, 0.00379082, 0.244629, 0.005, 0.751581
0.25, 0, 0.00136093, 0.250326, 0.005, 0.748313
0.25, 0, 0.00183448, 0.251696, 0.005, 0.746469
0.25, 0, 0.00267621, 0.258305, 0.005, 0.739019
0.25, 0, 0.00217895, 0.24581, 0.005, 0.752011
