Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00163413, 0.25289, 0.005, 0.745476
0.25, 0, 0.00157406, 0.246219, 0.005, 0.752207
0.25, 0, 0.00123714, 0.254238, 0.005, 0.744525
0.25, 0, 0.00183064, 0.246152, 0.005, 0.752017
0.25, 0, 0.00302404, 0.235269, 0.005, 0.761707
0.25, 0, 0.00403955, 0.251501, 0.005, 0.74446
0.25, 0, 0.00188776, 0.24097, 0.005, 0.757142
0.25, 0, 0.00318958, 0.256477, 0.005, 0.740333
0.25, 0, 0.00175674, 0.248999, 0.005, 0.749244
0.25, 0, 0.00191444, 0.236639, 0.005, 0.761447
0.25, 0, 0.00312078, 0.247924, 0.005, 0.748955
0.25, 0, 0.00175526, 0.24303, 0.005, 0.755215
0.25, 0, 0.00312099, 0.255988, 0.005, 0.740891
0.25, 0, 0.00173127, 0.252417, 0.005, 0.745852
0.25, 0, 0.00229948, 0.250607, 0.005, 0.747094
0.25, 0, 0.00190923, 0.253772, 0.005, 0.744319
0.25, 0, 0.00173208, 0.250858, 0.005, 0.74741
0.25, 0, 0.00175096, 0.256014, 0.005, 0.742235
0.25, 0, 0.00186638, 0.255302, 0.005, 0.742831
0.25, 0, 0.0019169, 0.246283, 0.005, 0.7518
0.25, 0, 0.00176501, 0.252909, 0.005, 0.745326
0.25, 0, 0.00221142, 0.252463, 0.005, 0.745325
0.25, 0, 0.00145363, 0.239712, 0.005, 0.758834
0.25, 0, 0.00109877, 0.25005, 0.005, 0.748851
0.25, 0, 0.00192397, 0.245771, 0.005, 0.752305
0.25, 0, 0.00108129, 0.259466, 0.005, 0.739453
0.25, 0, 0.00152717, 0.251282, 0.005, 0.747191
0.25, 0, 0.00282305, 0.254697, 0.005, 0.74248
0.25, 0, 0.00145815, 0.251985, 0.005, 0.746557
0.25, 0, 0.00210093, 0.25127, 0.005, 0.746629
0.25, 0, 0.001631, 0.248768, 0.005, 0.749601
0.25, 0, 0.00155248, 0.241428, 0.005, 0.757019
0.25, 0, 0.00143532, 0.260488, 0.005, 0.738077
0.25, 0, 0.00100396, 0.250498, 0.005, 0.748498
0.25, 0, 0.00252028, 0.239892, 0.005, 0.757587
0.25, 0, 0.00388479, 0.240994, 0.005, 0.755121
0.25, 0, 0.0026521, 0.25765, 0.005, 0.739698
0.25, 0, 0.0024079, 0.247146, 0.005, 0.750446
0.25, 0, 0.0010445, 0.241112, 0.005, 0.757843
0.25, 0, 0.00199227, 0.250088, 0.005, 0.74792
0.25, 0, 0.00180837, 0.247652, 0.005, 0.75054
0.25, 0, 0.00165859, 0.242404, 0.005, 0.755937
0.25, 0, 0.00198781, 0.246097, 0.005, 0.751915
0.25, 0, 0.00115861, 0.245539, 0.005, 0.753302
0.25, 0, 0.00263375, 0.24255, 0.005, 0.754816
0.25, 0, 0.00236046, 0.256624, 0.005, 0.741015
0.25, 0, 0.00272046, 0.251251, 0.005, 0.746029
0.25, 0, 0.00269348, 0.253453, 0.005, 0.743854
0.25, 0, 0.00128123, 0.246762, 0.005, 0.751957
0.25, 0, 0.00172116, 0.255484, 0.005, 0.742795
0.25, 0, 0.00186414, 0.253928, 0.005, 0.744207
0.25, 0, 0.00168064, 0.252335, 0.005, 0.745984
0.25, 0, 0.00265999, 0.25724, 0.005, 0.7401
0.25, 0, 0.00155061, 0.253503, 0.005, 0.744946
0.25, 0, 0.00120882, 0.252278, 0.005, 0.746513
0.25, 0, 0.00307171, 0.262625, 0.005, 0.734303
0.25, 0, 0.00170662, 0.25828, 0.005, 0.740014
0.25, 0, 0.00150888, 0.249197, 0.005, 0.749294
0.25, 0, 0.0024003, 0.250512, 0.005, 0.747088
0.25, 0, 0.00275349, 0.255218, 0.005, 0.742028
0.25, 0, 0.00178505, 0.262636, 0.005, 0.735579
0.25, 0, 0.00235761, 0.253363, 0.005, 0.744279
0.25, 0, 0.00227723, 0.247634, 0.005, 0.750088
0.25, 0, 0.000980901, 0.241913, 0.005, 0.757106
0.25, 0, 0.00422294, 0.253242, 0.005, 0.742535
0.25, 0, 0.00196964, 0.262034, 0.005, 0.735996
0.25, 0, 0.00155697, 0.257386, 0.005, 0.741057
0.25, 0, 0.00171152, 0.254889, 0.005, 0.743399
0.25, 0, 0.0021383, 0.249526, 0.005, 0.748335
0.25, 0, 0.00115332, 0.256963, 0.005, 0.741883
0.25, 0, 0.00144637, 0.239396, 0.005, 0.759158
0.25, 0, 0.00172109, 0.247017, 0.005, 0.751262
0.25, 0, 0.00171974, 0.241746, 0.005, 0.756534
0.25, 0, 0.00272418, 0.241415, 0.005, 0.755861
0.25, 0, 0.00141545, 0.258563, 0.005, 0.740022
0.25, 0, 0.00247615, 0.254, 0.005, 0.743524
0.25, 0, 0.00276229, 0.256577, 0.005, 0.740661
0.25, 0, 0.00218499, 0.258275, 0.005, 0.73954
0.25, 0, 0.00284262, 0.245134, 0.005, 0.752024
0.25, 0, 0.00283568, 0.250666, 0.005, 0.746499
0.25, 0, 0.000993905, 0.242909, 0.005, 0.756097
0.25, 0, 0.00186394, 0.250781, 0.005, 0.747355
0.25, 0, 0.00123504, 0.25165, 0.005, 0.747115
0.25, 0, 0.00307389, 0.24489, 0.005, 0.752036
0.25, 0, 0.0023654, 0.24828, 0.005, 0.749354
0.25, 0, 0.00350911, 0.242675, 0.005, 0.753816
0.25, 0, 0.00128256, 0.2512, 0.005, 0.747517
0.25, 0, 0.00285032, 0.264673, 0.005, 0.732477
0.25, 0, 0.00103728, 0.245172, 0.005, 0.753791
0.25, 0, 0.00237906, 0.258482, 0.005, 0.739139
0.25, 0, 0.00276187, 0.242548, 0.005, 0.75469
0.25, 0, 0.00189017, 0.25547, 0.005, 0.74264
0.25, 0, 0.0016968, 0.249075, 0.005, 0.749228
0.25, 0, 0.00294517, 0.245016, 0.005, 0.752039
0.25, 0, 0.00113966, 0.251273, 0.005, 0.747587
0.25, 0, 0.00321741, 0.24461, 0.005, 0.752172
0.25, 0, 0.00240928, 0.253859, 0.005, 0.743731
0.25, 0, 0.00126545, 0.246993, 0.005, 0.751741
0.25, 0, 0.00238033, 0.246173, 0.005, 0.751447
0.25, 0, 0.00195465, 0.248985, 0.005, 0.74906
0.25, 0, 0.00525338, 0.256109, 0.01, 0.738637
0.25, 0, 0.00357007, 0.249844, 0.01, 0.746586
0.25, 0, 0.00387402, 0.254459, 0.01, 0.741667
0.25, 0, 0.00548347, 0.24469, 0.01, 0.749826
0.25, 0, 0.00479246, 0.249095, 0.01, 0.746112
0.25, 0, 0.00390598, 0.259158, 0.01, 0.736936
0.25, 0, 0.00397698, 0.248139, 0.01, 0.747884
0.25, 0, 0.00289799, 0.257658, 0.01, 0.739444
0.25, 0, 0.00505108, 0.249033, 0.01, 0.745916
0.25, 0, 0.00450842, 0.246645, 0.01, 0.748846
0.25, 0, 0.00342831, 0.248913, 0.01, 0.747659
0.25, 0, 0.00491784, 0.256939, 0.01, 0.738143
0.25, 0, 0.00366179, 0.245558, 0.01, 0.75078
0.25, 0, 0.00270633, 0.254871, 0.01, 0.742422
0.25, 0, 0.00537909, 0.249948, 0.01, 0.744673
0.25, 0, 0.00415948, 0.24519, 0.01, 0.75065
0.25, 0, 0.00352442, 0.244779, 0.01, 0.751696
0.25, 0, 0.0036114, 0.248343, 0.01, 0.748046
0.25, 0, 0.00479207, 0.256501, 0.01, 0.738707
0.25, 0, 0.0051618, 0.258898, 0.01, 0.735941
0.25, 0, 0.00465255, 0.247251, 0.01, 0.748097
0.25, 0, 0.004688, 0.250966, 0.01, 0.744346
0.25, 0, 0.00283639, 0.248617, 0.01, 0.748546
0.25, 0, 0.00346207, 0.26154, 0.01, 0.734998
0.25, 0, 0.00277851, 0.250893, 0.01, 0.746329
0.25, 0, 0.00546342, 0.256008, 0.01, 0.738529
0.25, 0, 0.00355191, 0.257747, 0.01, 0.738701
0.25, 0, 0.00348654, 0.256211, 0.01, 0.740303
0.25, 0, 0.00566097, 0.251903, 0.01, 0.742436
0.25, 0, 0.00327638, 0.248881, 0.01, 0.747842
0.25, 0, 0.00451734, 0.238217, 0.01, 0.757266
0.25, 0, 0.0056996, 0.247674, 0.01, 0.746626
0.25, 0, 0.00489751, 0.251018, 0.01, 0.744085
0.25, 0, 0.00426442, 0.252142, 0.01, 0.743594
0.25, 0, 0.00243884, 0.259054, 0.01, 0.738507
0.25, 0, 0.00234632, 0.25535, 0.01, 0.742304
0.25, 0, 0.00282829, 0.256528, 0.01, 0.740644
0.25, 0, 0.00530623, 0.242051, 0.01, 0.752643
0.25, 0, 0.00453038, 0.249405, 0.01, 0.746065
0.25, 0, 0.00496496, 0.245433, 0.01, 0.749602
0.25, 0, 0.00627006, 0.23515, 0.01, 0.75858
0.25, 0, 0.0038652, 0.243431, 0.01, 0.752704
0.25, 0, 0.00301908, 0.255933, 0.01, 0.741048
0.25, 0, 0.00542927, 0.252432, 0.01, 0.742138
0.25, 0, 0.00358213, 0.266594, 0.01, 0.729824
0.25, 0, 0.00421719, 0.257543, 0.01, 0.738239
0.25, 0, 0.00323567, 0.24053, 0.01, 0.756235
0.25, 0, 0.00589714, 0.241664, 0.01, 0.752439
0.25, 0, 0.00327796, 0.25315, 0.01, 0.743572
0.25, 0, 0.00373954, 0.261433, 0.01, 0.734827
0.25, 0, 0.0044019, 0.254208, 0.01, 0.74139
0.25, 0, 0.00344928, 0.266484, 0.01, 0.730066
0.25, 0, 0.00649589, 0.246452, 0.01, 0.747052
0.25, 0, 0.00366962, 0.252325, 0.01, 0.744006
0.25, 0, 0.00343848, 0.248024, 0.01, 0.748538
0.25, 0, 0.00457271, 0.243955, 0.01, 0.751472
0.25, 0, 0.0043137, 0.240542, 0.01, 0.755144
0.25, 0, 0.00446695, 0.245975, 0.01, 0.749558
0.25, 0, 0.00410028, 0.254352, 0.01, 0.741548
0.25, 0, 0.00449284, 0.251128, 0.01, 0.744379
0.25, 0, 0.00366814, 0.257093, 0.01, 0.739238
0.25, 0, 0.00352706, 0.244633, 0.01, 0.75184
0.25, 0, 0.00358175, 0.247767, 0.01, 0.748651
0.25, 0, 0.00827529, 0.264615, 0.01, 0.727109
0.25, 0, 0.0048574, 0.251524, 0.01, 0.743618
0.25, 0, 0.00386765, 0.243717, 0.01, 0.752416
0.25, 0, 0.00648197, 0.259382, 0.01, 0.734136
0.25, 0, 0.00572207, 0.251384, 0.01, 0.742894
