Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00115826, 0.247045, 0.005, 0.751796
0.25, 0, 0.00252896, 0.250358, 0.005, 0.747113
0.25, 0, 0.00185659, 0.254042, 0.005, 0.744101
0.25, 0, 0.00134425, 0.247189, 0.005, 0.751466
0.25, 0, 0.00203618, 0.255081, 0.005, 0.742883
0.25, 0, 0.00182428, 0.258469, 0.005, 0.739707
0.25, 0, 0.00247883, 0.257861, 0.005, 0.73966
0.25, 0, 0.00258252, 0.248173, 0.005, 0.749244
0.25, 0, 0.00215847, 0.26153, 0.005, 0.736311
0.25, 0, 0.00244532, 0.250922, 0.005, 0.746632
0.25, 0, 0.0010788, 0.260591, 0.005, 0.738331
0.25, 0, 0.00217058, 0.256752, 0.005, 0.741077
0.25, 0, 0.0025068, 0.243501, 0.005, 0.753993
0.25, 0, 0.00233479, 0.26101, 0.005, 0.736655
0.25, 0, 0.00299505, 0.250235, 0.005, 0.74677
0.25, 0, 0.00288488, 0.244178, 0.005, 0.752937
0.25, 0, 0.00240314, 0.254411, 0.005, 0.743186
0.25, 0, 0.00235371, 0.259337, 0.005, 0.73831
0.25, 0, 0.00120715, 0.253578, 0.005, 0.745215
0.25, 0, 0.00281943, 0.256802, 0.005, 0.740379
0.25, 0, 0.00138895, 0.256193, 0.005, 0.742419
0.25, 0, 0.00155905, 0.255606, 0.005, 0.742835
0.25, 0, 0.00198919, 0.246378, 0.005, 0.751633
0.25, 0, 0.00180496, 0.241649, 0.005, 0.756546
0.25, 0, 0.00123465, 0.253291, 0.005, 0.745474
0.25, 0, 0.00271893, 0.249775, 0.005, 0.747506
0.25, 0, 0.00290439, 0.260103, 0.005, 0.736993
0.25, 0, 0.001828, 0.253856, 0.005, 0.744316
0.25, 0, 0.000969938, 0.246545, 0.005, 0.752485
0.25, 0, 0.00223177, 0.249024, 0.005, 0.748744
0.25, 0, 0.0010821, 0.256408, 0.005, 0.74251
0.25, 0, 0.00160129, 0.257898, 0.005, 0.7405
0.25, 0, 0.00223961, 0.253037, 0.005, 0.744723
0.25, 0, 0.00126033, 0.255495, 0.005, 0.743244
0.25, 0, 0.00189261, 0.239866, 0.005, 0.758241
0.25, 0, 0.00151732, 0.26425, 0.005, 0.734233
0.25, 0, 0.00234223, 0.248349, 0.005, 0.749308
0.25, 0, 0.00116225, 0.244085, 0.005, 0.754753
0.25, 0, 0.0018713, 0.251512, 0.005, 0.746616
