Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00278839, 0.251084, 0.005, 0.746127
0.25, 0, 0.00153547, 0.243583, 0.005, 0.754882
0.25, 0, 0.00234157, 0.260864, 0.005, 0.736795
0.25, 0, 0.00207652, 0.247303, 0.005, 0.75062
0.25, 0, 0.00246473, 0.237216, 0.005, 0.760319
0.25, 0, 0.002277, 0.243971, 0.005, 0.753752
0.25, 0, 0.0017483, 0.263386, 0.005, 0.734866
0.25, 0, 0.00103696, 0.255303, 0.005, 0.74366
0.25, 0, 0.00268929, 0.24908, 0.005, 0.74823
0.25, 0, 0.00127578, 0.254094, 0.005, 0.74463
0.25, 0, 0.00199698, 0.238279, 0.005, 0.759724
0.25, 0, 0.00159649, 0.254769, 0.005, 0.743635
0.25, 0, 0.00200579, 0.250676, 0.005, 0.747319
0.25, 0, 0.00189755, 0.261662, 0.005, 0.736441
0.25, 0, 0.00224113, 0.249808, 0.005, 0.747951
0.25, 0, 0.0016168, 0.248448, 0.005, 0.749935
0.25, 0, 0.00230422, 0.251553, 0.005, 0.746143
0.25, 0, 0.00107991, 0.23745, 0.005, 0.76147
0.25, 0, 0.00168693, 0.249988, 0.005, 0.748325
0.25, 0, 0.00265731, 0.246833, 0.005, 0.75051
0.25, 0, 0.001753, 0.254096, 0.005, 0.744151
0.25, 0, 0.00218114, 0.239038, 0.005, 0.758781
0.25, 0, 0.00196374, 0.251922, 0.005, 0.746114
0.25, 0, 0.00103787, 0.252328, 0.005, 0.746634
0.25, 0, 0.00110393, 0.250293, 0.005, 0.748603
0.25, 0, 0.000801398, 0.249065, 0.005, 0.750134
0.25, 0, 0.00308335, 0.245856, 0.005, 0.751061
0.25, 0, 0.00170297, 0.252034, 0.005, 0.746263
0.25, 0, 0.00243763, 0.245053, 0.005, 0.75251
0.25, 0, 0.00319211, 0.243706, 0.005, 0.753102
0.25, 0, 0.00222799, 0.242187, 0.005, 0.755585
0.25, 0, 0.00222409, 0.249465, 0.005, 0.748311
0.25, 0, 0.00277317, 0.251178, 0.005, 0.746048
0.25, 0, 0.00241382, 0.263536, 0.005, 0.73405
0.25, 0, 0.00258191, 0.247516, 0.005, 0.749903
0.25, 0, 0.00263517, 0.250792, 0.005, 0.746573
0.25, 0, 0.00194014, 0.251224, 0.005, 0.746836
0.25, 0, 0.00179117, 0.25152, 0.005, 0.746689
0.25, 0, 0.00190146, 0.254395, 0.005, 0.743703
0.25, 0, 0.00176092, 0.258747, 0.005, 0.739492
0.25, 0, 0.00272733, 0.251787, 0.005, 0.745486
0.25, 0, 0.00227238, 0.253704, 0.005, 0.744024
0.25, 0, 0.00106469, 0.245748, 0.005, 0.753188
0.25, 0, 0.00188786, 0.258864, 0.005, 0.739249
0.25, 0, 0.00190034, 0.247387, 0.005, 0.750712
0.25, 0, 0.00170936, 0.248511, 0.005, 0.74978
0.25, 0, 0.00196224, 0.250775, 0.005, 0.747263
0.25, 0, 0.00310375, 0.252342, 0.005, 0.744555
0.25, 0, 0.00182181, 0.240537, 0.005, 0.757642
0.25, 0, 0.0027623, 0.254167, 0.005, 0.743071
0.25, 0, 0.00401837, 0.254325, 0.005, 0.741656
0.25, 0, 0.00167949, 0.245892, 0.005, 0.752429
0.25, 0, 0.00216104, 0.260401, 0.005, 0.737438
0.25, 0, 0.000835164, 0.248608, 0.005, 0.750557
0.25, 0, 0.00190382, 0.248253, 0.005, 0.749843
0.25, 0, 0.00221673, 0.24709, 0.005, 0.750693
0.25, 0, 0.0017559, 0.256266, 0.005, 0.741978
0.25, 0, 0.00198898, 0.259116, 0.005, 0.738895
0.25, 0, 0.0033496, 0.247964, 0.005, 0.748686
0.25, 0, 0.00147941, 0.255795, 0.005, 0.742725
0.25, 0, 0.00215796, 0.246817, 0.005, 0.751025
0.25, 0, 0.00183608, 0.24416, 0.005, 0.754004
0.25, 0, 0.00235658, 0.253404, 0.005, 0.74424
0.25, 0, 0.00162715, 0.24148, 0.005, 0.756893
0.25, 0, 0.00209432, 0.254322, 0.005, 0.743584
0.25, 0, 0.00120277, 0.245659, 0.005, 0.753138
0.25, 0, 0.000970594, 0.248562, 0.005, 0.750467
0.25, 0, 0.00137548, 0.258217, 0.005, 0.740407
0.25, 0, 0.00148308, 0.255872, 0.005, 0.742645
0.25, 0, 0.00113843, 0.26615, 0.005, 0.732712
0.25, 0, 0.00192722, 0.255315, 0.005, 0.742758
0.25, 0, 0.00271844, 0.241886, 0.005, 0.755396
0.25, 0, 0.00189011, 0.249725, 0.005, 0.748385
0.25, 0, 0.000709073, 0.247726, 0.005, 0.751565
0.25, 0, 0.00222242, 0.252707, 0.005, 0.74507
0.25, 0, 0.00185782, 0.245977, 0.005, 0.752165
0.25, 0, 0.00126733, 0.254945, 0.005, 0.743788
0.25, 0, 0.00174596, 0.254678, 0.005, 0.743576
0.25, 0, 0.00126136, 0.249953, 0.005, 0.748786
0.25, 0, 0.00210799, 0.25611, 0.005, 0.741782
0.25, 0, 0.00125696, 0.2555, 0.005, 0.743243
0.25, 0, 0.00211896, 0.257984, 0.005, 0.739897
0.25, 0, 0.00179112, 0.249037, 0.005, 0.749172
0.25, 0, 0.00253449, 0.253984, 0.005, 0.743482
0.25, 0, 0.0022311, 0.253811, 0.005, 0.743958
0.25, 0, 0.00183989, 0.245801, 0.005, 0.752359
0.25, 0, 0.00283614, 0.24544, 0.005, 0.751724
0.25, 0, 0.0027227, 0.248739, 0.005, 0.748538
0.25, 0, 0.00189013, 0.241382, 0.005, 0.756728
0.25, 0, 0.00120728, 0.249555, 0.005, 0.749238
0.25, 0, 0.00156377, 0.255183, 0.005, 0.743254
0.25, 0, 0.00187194, 0.248502, 0.005, 0.749626
0.25, 0, 0.00305066, 0.248719, 0.005, 0.748231
0.25, 0, 0.00267705, 0.25034, 0.005, 0.746983
0.25, 0, 0.00255136, 0.254711, 0.005, 0.742738
0.25, 0, 0.0015945, 0.255715, 0.005, 0.742691
0.25, 0, 0.00224195, 0.252681, 0.005, 0.745077
0.25, 0, 0.00148005, 0.252701, 0.005, 0.745819
0.25, 0, 0.00212055, 0.246883, 0.005, 0.750997
0.25, 0, 0.00260074, 0.250331, 0.005, 0.747068
0.25, 0, 0.00318649, 0.252246, 0.01, 0.744568
0.25, 0, 0.0051894, 0.248179, 0.01, 0.746631
0.25, 0, 0.0046044, 0.254414, 0.01, 0.740982
0.25, 0, 0.00350601, 0.247248, 0.01, 0.749246
0.25, 0, 0.00338831, 0.245678, 0.01, 0.750933
0.25, 0, 0.00431059, 0.247341, 0.01, 0.748349
0.25, 0, 0.00302134, 0.241975, 0.01, 0.755004
0.25, 0, 0.00305572, 0.250883, 0.01, 0.746062
0.25, 0, 0.00281498, 0.248371, 0.01, 0.748814
0.25, 0, 0.00382151, 0.256562, 0.01, 0.739617
0.25, 0, 0.00261684, 0.242087, 0.01, 0.755296
0.25, 0, 0.004073, 0.241593, 0.01, 0.754334
0.25, 0, 0.0030122, 0.240896, 0.01, 0.756092
0.25, 0, 0.00386446, 0.267227, 0.01, 0.728909
0.25, 0, 0.00350894, 0.251823, 0.01, 0.744668
0.25, 0, 0.00473954, 0.254111, 0.01, 0.74115
0.25, 0, 0.00282931, 0.248291, 0.01, 0.74888
0.25, 0, 0.00359661, 0.235136, 0.01, 0.761268
0.25, 0, 0.00534043, 0.25012, 0.01, 0.74454
0.25, 0, 0.00330229, 0.256717, 0.01, 0.739981
0.25, 0, 0.00441501, 0.257959, 0.01, 0.737626
0.25, 0, 0.00405197, 0.242586, 0.01, 0.753362
0.25, 0, 0.00536119, 0.254988, 0.01, 0.739651
0.25, 0, 0.00420554, 0.255108, 0.01, 0.740686
0.25, 0, 0.00368359, 0.251211, 0.01, 0.745105
0.25, 0, 0.00487463, 0.251558, 0.01, 0.743567
0.25, 0, 0.00380978, 0.252777, 0.01, 0.743414
0.25, 0, 0.00557481, 0.255011, 0.01, 0.739414
0.25, 0, 0.00382002, 0.24818, 0.01, 0.748
0.25, 0, 0.00283493, 0.252734, 0.01, 0.744431
0.25, 0, 0.0034887, 0.257586, 0.01, 0.738925
0.25, 0, 0.00311596, 0.248557, 0.01, 0.748327
0.25, 0, 0.00448745, 0.248029, 0.01, 0.747484
0.25, 0, 0.00337479, 0.248345, 0.01, 0.74828
0.25, 0, 0.00331287, 0.247207, 0.01, 0.74948
0.25, 0, 0.00410615, 0.252627, 0.01, 0.743267
0.25, 0, 0.00337549, 0.259594, 0.01, 0.737031
0.25, 0, 0.00426491, 0.242415, 0.01, 0.75332
0.25, 0, 0.00402024, 0.254081, 0.01, 0.741898
0.25, 0, 0.00439644, 0.241505, 0.01, 0.754099
0.25, 0, 0.00377767, 0.240746, 0.01, 0.755476
0.25, 0, 0.00321699, 0.259368, 0.01, 0.737415
0.25, 0, 0.0025834, 0.253845, 0.01, 0.743571
0.25, 0, 0.00171538, 0.248937, 0.01, 0.749348
0.25, 0, 0.00392257, 0.251979, 0.01, 0.744099
0.25, 0, 0.00530741, 0.253842, 0.01, 0.74085
0.25, 0, 0.00391777, 0.254981, 0.01, 0.741101
0.25, 0, 0.00379422, 0.261683, 0.01, 0.734523
0.25, 0, 0.0033073, 0.264395, 0.01, 0.732297
0.25, 0, 0.00357444, 0.246122, 0.01, 0.750304
0.25, 0, 0.00366298, 0.252908, 0.01, 0.743429
0.25, 0, 0.00494646, 0.256381, 0.01, 0.738673
0.25, 0, 0.00527496, 0.24568, 0.01, 0.749045
0.25, 0, 0.00446249, 0.243722, 0.01, 0.751816
0.25, 0, 0.00432911, 0.249426, 0.01, 0.746245
0.25, 0, 0.00637057, 0.245247, 0.01, 0.748382
0.25, 0, 0.00758648, 0.253321, 0.01, 0.739092
0.25, 0, 0.00343843, 0.249951, 0.01, 0.746611
0.25, 0, 0.00286212, 0.246201, 0.01, 0.750937
0.25, 0, 0.00372899, 0.242711, 0.01, 0.75356
0.25, 0, 0.00437686, 0.25269, 0.01, 0.742933
0.25, 0, 0.00433361, 0.247907, 0.01, 0.747759
0.25, 0, 0.00282579, 0.248588, 0.01, 0.748586
0.25, 0, 0.00511839, 0.258329, 0.01, 0.736553
