Kappa,Gamma, Selfish Profit 1, Rational Profit 2,  Individual Miner Hash Rate, Honest Profit
0.25, 0, 0.00159121, 0.246508, 0.005, 0.751901
0.25, 0, 0.00148133, 0.244806, 0.005, 0.753713
0.25, 0, 0.00256866, 0.248992, 0.005, 0.748439
0.25, 0, 0.0010042, 0.245714, 0.005, 0.753282
0.25, 0, 0.00264162, 0.250015, 0.005, 0.747343
0.25, 0, 0.00106118, 0.251666, 0.005, 0.747273
0.25, 0, 0.00174907, 0.248966, 0.005, 0.749285
0.25, 0, 0.00176765, 0.242715, 0.005, 0.755517
0.25, 0, 0.00166833, 0.256324, 0.005, 0.742008
0.25, 0, 0.00220597, 0.252171, 0.005, 0.745623
0.25, 0, 0.00188714, 0.259182, 0.005, 0.738931
0.25, 0, 0.000809383, 0.266249, 0.005, 0.732942
0.25, 0, 0.0023343, 0.249527, 0.005, 0.748139
0.25, 0, 0.00140138, 0.242015, 0.005, 0.756584
0.25, 0, 0.0022903, 0.249468, 0.005, 0.748242
0.25, 0, 0.0027324, 0.245398, 0.005, 0.75187
0.25, 0, 0.00282933, 0.250672, 0.005, 0.746499
0.25, 0, 0.00270089, 0.249394, 0.005, 0.747905
0.25, 0, 0.00213895, 0.244244, 0.005, 0.753617
0.25, 0, 0.004039, 0.25769, 0.005, 0.738271
0.25, 0, 0.000608498, 0.254892, 0.005, 0.7445
0.25, 0, 0.00161617, 0.254625, 0.005, 0.743759
0.25, 0, 0.00139492, 0.242139, 0.005, 0.756466
0.25, 0, 0.00156278, 0.254435, 0.005, 0.744002
0.25, 0, 0.00358145, 0.241642, 0.005, 0.754777
0.25, 0, 0.00171196, 0.251495, 0.005, 0.746793
0.25, 0, 0.00233275, 0.255549, 0.005, 0.742118
0.25, 0, 0.00157431, 0.235476, 0.005, 0.76295
0.25, 0, 0.00161628, 0.249344, 0.005, 0.74904
0.25, 0, 0.0020623, 0.262012, 0.005, 0.735926
0.25, 0, 0.00230641, 0.253198, 0.005, 0.744496
0.25, 0, 0.0022525, 0.25029, 0.005, 0.747458
0.25, 0, 0.00163049, 0.255145, 0.005, 0.743224
0.25, 0, 0.00140326, 0.249509, 0.005, 0.749087
0.25, 0, 0.00222964, 0.253999, 0.005, 0.743771
0.25, 0, 0.000903243, 0.254424, 0.005, 0.744673
