Gamma, Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.01, 0.00113803, 0.01, 0.998862
0.01, 0.00204447, 0.01, 0.997956
0.01, 0.00169091, 0.01, 0.998309
0.01, 0.00378517, 0.01, 0.996215
0.01, 0.00260985, 0.01, 0.99739
0.01, 0.00126102, 0.01, 0.998739
0.01, 0.00277692, 0.01, 0.997223
0.01, 0.00171935, 0.01, 0.998281
0.01, 0.00193222, 0.01, 0.998068
0.01, 0.00148543, 0.01, 0.998515
0.01, 0.00182541, 0.01, 0.998175
0.01, 0.00288515, 0.01, 0.997115
0.01, 0.00221262, 0.01, 0.997787
0.01, 0.000601574, 0.01, 0.999398
0.01, 0.00274192, 0.01, 0.997258
0.01, 0.0017429, 0.01, 0.998257
0.01, 0.00146674, 0.01, 0.998533
0.01, 0.0011179, 0.01, 0.998882
0.01, 0.00351723, 0.01, 0.996483
0.01, 0.00204615, 0.01, 0.997954
0.01, 0.00148073, 0.01, 0.998519
0.01, 0.00171307, 0.01, 0.998287
0.01, 0.00365639, 0.01, 0.996344
0.01, 0.00172564, 0.01, 0.998274
0.01, 0.00170134, 0.01, 0.998299
0.01, 0.00324988, 0.01, 0.99675
0.01, 0.00314447, 0.01, 0.996856
0.01, 0.0019149, 0.01, 0.998085
0.01, 0.00226444, 0.01, 0.997736
0.01, 0.00139547, 0.01, 0.998605
0.01, 0.00315848, 0.01, 0.996842
0.01, 0.00198898, 0.01, 0.998011
0.01, 0.00251166, 0.01, 0.997488
0.01, 0.00396192, 0.01, 0.996038
0.01, 0.00242653, 0.01, 0.997573
0.01, 0.00168426, 0.01, 0.998316
0.01, 0.0031847, 0.01, 0.996815
0.01, 0.00267925, 0.01, 0.997321
0.01, 0.00198228, 0.01, 0.998018
0.01, 0.00353953, 0.01, 0.99646
0.01, 0.00220151, 0.01, 0.997798
0.01, 0.00299953, 0.01, 0.997
0.01, 0.00216244, 0.01, 0.997838
0.01, 0.000471319, 0.01, 0.999529
0.01, 0.00127617, 0.01, 0.998724
0.01, 0.00116466, 0.01, 0.998835
0.01, 0.00330954, 0.01, 0.99669
0.01, 0.00164667, 0.01, 0.998353
0.01, 0.00286604, 0.01, 0.997134
0.01, 0.00283818, 0.01, 0.997162
0.01, 0.00200342, 0.01, 0.997997
0.01, 0.00193851, 0.01, 0.998061
0.01, 0.00172791, 0.01, 0.998272
0.01, 0.00391804, 0.01, 0.996082
0.01, 0.000801389, 0.01, 0.999199
0.01, 0.00265146, 0.01, 0.997349
0.01, 0.00260984, 0.01, 0.99739
0.01, 0.00173174, 0.01, 0.998268
0.01, 0.00160086, 0.01, 0.998399
0.01, 0.00261466, 0.01, 0.997385
0.01, 0.00444109, 0.01, 0.995559
0.01, 0.00225388, 0.01, 0.997746
0.01, 0.00127699, 0.01, 0.998723
0.01, 0.00252899, 0.01, 0.997471
0.01, 0.00278284, 0.01, 0.997217
0.01, 0.00174972, 0.01, 0.99825
0.01, 0.00146812, 0.01, 0.998532
