Gamma, Stubborn Fork Profit, Stubborn Lead Trail Fork Hash Rate, Honest Profit
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 6.27466e-05, 0.01, 0.999937
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0.000262166, 0.01, 0.999738
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
