Gamma, Stubborn Fork Profit, Stubborn Lead Trail Hash Rate, Honest Profit
0, 8.61653e-05, 0.01, 0.999914
0, 0.000320908, 0.01, 0.999679
0, 0.000139165, 0.01, 0.999861
0, 0.000749037, 0.01, 0.999251
0, 0.000302243, 0.01, 0.999698
0, 0.000372658, 0.01, 0.999627
0, 0.000705645, 0.01, 0.999294
0, 0.000214583, 0.01, 0.999785
0, 0.000505164, 0.01, 0.999495
0, 0.000278743, 0.01, 0.999721
0, 0.000479386, 0.01, 0.999521
0, 0.000174663, 0.01, 0.999825
0, 0.00029046, 0.01, 0.99971
0, 0.000576249, 0.01, 0.999424
0, 0.00029416, 0.01, 0.999706
0, 0.00010025, 0.01, 0.9999
0, 0, 0.01, 1
0, 5.70823e-05, 0.01, 0.999943
0, 0.000617235, 0.01, 0.999383
0, 0.00101025, 0.01, 0.99899
0, 0.000980687, 0.01, 0.999019
0, 3.44999e-05, 0.01, 0.999966
0, 0.000140243, 0.01, 0.99986
0, 0, 0.01, 1
0, 0.000406999, 0.01, 0.999593
0, 0.000629212, 0.01, 0.999371
0, 0.000135408, 0.01, 0.999865
0, 0, 0.01, 1
0, 0.000390659, 0.01, 0.999609
0, 0.000604391, 0.01, 0.999396
0, 0, 0.01, 1
0, 0.000599318, 0.01, 0.999401
0, 0.00037841, 0.01, 0.999622
0, 0, 0.01, 1
0, 0.000158742, 0.01, 0.999841
0, 8.30735e-05, 0.01, 0.999917
0, 0.000441999, 0.01, 0.999558
0, 0.000598707, 0.01, 0.999401
0, 0.000155573, 0.01, 0.999844
0, 0.000257248, 0.01, 0.999743
0, 0.000234991, 0.01, 0.999765
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 5.37491e-05, 0.01, 0.999946
0, 0.000149915, 0.01, 0.99985
0, 0.000137648, 0.01, 0.999862
0, 0.000280559, 0.01, 0.999719
0, 0.000252738, 0.01, 0.999747
0, 0.000432987, 0.01, 0.999567
0, 0.000662772, 0.01, 0.999337
0, 0.000467811, 0.01, 0.999532
0, 0.000881319, 0.01, 0.999119
0, 0.000503497, 0.01, 0.999497
0, 0.000375713, 0.01, 0.999624
0, 0, 0.01, 1
0, 4.25821e-05, 0.01, 0.999957
0, 0, 0.01, 1
0, 0.000826322, 0.01, 0.999174
0, 0, 0.01, 1
0, 0.000534746, 0.01, 0.999465
0, 0, 0.01, 1
0, 0.000734249, 0.01, 0.999266
0, 0.00018514, 0.01, 0.999815
0, 0.000330666, 0.01, 0.999669
0, 0, 0.01, 1
0, 0.000223661, 0.01, 0.999776
0, 0.000536332, 0.01, 0.999464
0, 0.000245248, 0.01, 0.999755
0, 0, 0.01, 1
0, 0.000141166, 0.01, 0.999859
0, 0.000250249, 0.01, 0.99975
0, 0.000254989, 0.01, 0.999745
0, 0.000273896, 0.01, 0.999726
0, 0.000641232, 0.01, 0.999359
0, 0.00062191, 0.01, 0.999378
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0.000165245, 0.01, 0.999835
0, 0.000520592, 0.01, 0.999479
0, 0, 0.01, 1
0, 0.000302162, 0.01, 0.999698
0, 0.0005759, 0.01, 0.999424
0, 3.09991e-05, 0.01, 0.999969
0, 0, 0.01, 1
0, 0.000230165, 0.01, 0.99977
0, 0.000505983, 0.01, 0.999494
0, 0.000415313, 0.01, 0.999585
0, 0.00044466, 0.01, 0.999555
0, 0.000758228, 0.01, 0.999242
0, 0.000470163, 0.01, 0.99953
0, 0, 0.01, 1
0, 0.000350821, 0.01, 0.999649
0, 0.00062157, 0.01, 0.999378
0, 0, 0.01, 1
0, 0.000401159, 0.01, 0.999599
0, 0.000989698, 0.01, 0.99901
0, 0.000173745, 0.01, 0.999826
0, 0.00040553, 0.01, 0.999594
0, 0.000427163, 0.01, 0.999573
0, 0.00105323, 0.02, 0.998947
0, 0.000998409, 0.02, 0.999002
0, 0.000830641, 0.02, 0.999169
0, 0.00163091, 0.02, 0.998369
0, 0.00129675, 0.02, 0.998703
0, 0.00125783, 0.02, 0.998742
0, 0.00143625, 0.02, 0.998564
0, 0.00128672, 0.02, 0.998713
0, 0.00108589, 0.02, 0.998914
0, 0.000392734, 0.02, 0.999607
0, 0.000872992, 0.02, 0.999127
0, 0.0016563, 0.02, 0.998344
0, 0.00156192, 0.02, 0.998438
0, 0.000832454, 0.02, 0.999168
0, 0.00154569, 0.02, 0.998454
0, 0.000613117, 0.02, 0.999387
0, 0.00091497, 0.02, 0.999085
0, 0.00150292, 0.02, 0.998497
0, 0.000846164, 0.02, 0.999154
0, 0.00104318, 0.02, 0.998957
0, 0.00151148, 0.02, 0.998489
0, 0.00157664, 0.02, 0.998423
0, 0.00164046, 0.02, 0.99836
0, 0.00135594, 0.02, 0.998644
