Gamma, Selfish Profit, Selfish Hash Rate, Honest Profit
0, 0.000450377, 0.01, 0.99955
0, 0.000750473, 0.01, 0.99925
0, 0.000148913, 0.01, 0.999851
0, 0.000368567, 0.01, 0.999631
0, 0.00056755, 0.01, 0.999432
0, 0.000434773, 0.01, 0.999565
0, 0.00035725, 0.01, 0.999643
0, 0.000370899, 0.01, 0.999629
0, 0.000343901, 0.01, 0.999656
0, 0.000922547, 0.01, 0.999077
0, 0.000876181, 0.01, 0.999124
0, 0.000400581, 0.01, 0.999599
0, 0.000257917, 0.01, 0.999742
0, 0.000484044, 0.01, 0.999516
0, 0.00021375, 0.01, 0.999786
0, 0.000316732, 0.01, 0.999683
0, 0.000618707, 0.01, 0.999381
0, 0, 0.01, 1
0, 0.000764162, 0.01, 0.999236
0, 0.000160313, 0.01, 0.99984
0, 0.000453811, 0.01, 0.999546
0, 0.00036957, 0.01, 0.99963
0, 0.000686577, 0.01, 0.999313
0, 0.000368583, 0.01, 0.999631
0, 0.000264733, 0.01, 0.999735
0, 0.000162499, 0.01, 0.999838
0, 0.000792153, 0.01, 0.999208
0, 0.000412749, 0.01, 0.999587
0, 0.000718655, 0.01, 0.999281
0, 0.00137437, 0.01, 0.998626
0, 0.000601988, 0.01, 0.999398
0, 0.000708486, 0.01, 0.999292
0, 0.000522353, 0.01, 0.999478
0, 0.000489493, 0.01, 0.999511
0, 0.000106914, 0.01, 0.999893
0, 0.000428203, 0.01, 0.999572
0, 0.000370403, 0.01, 0.99963
0, 0.000116749, 0.01, 0.999883
0, 5.27481e-05, 0.01, 0.999947
0, 0.000217248, 0.01, 0.999783
0, 0.00061041, 0.01, 0.99939
0, 0.000755415, 0.01, 0.999245
0, 0.000276148, 0.01, 0.999724
0, 0.000105831, 0.01, 0.999894
0, 0.000387757, 0.01, 0.999612
0, 0.000181581, 0.01, 0.999818
0, 0.000727382, 0.01, 0.999273
0, 0.000626793, 0.01, 0.999373
0, 0.000592401, 0.01, 0.999408
0, 0.000525165, 0.01, 0.999475
0, 0.000521618, 0.01, 0.999478
0, 0.000164229, 0.01, 0.999836
0, 0.000720911, 0.01, 0.999279
0, 0.000224901, 0.01, 0.999775
0, 9.89941e-05, 0.01, 0.999901
0, 0.00100515, 0.01, 0.998995
0, 0.000781352, 0.01, 0.999219
0, 0.000526582, 0.01, 0.999473
0, 0.000465315, 0.01, 0.999535
0, 0.000960884, 0.01, 0.999039
0, 0.00106716, 0.01, 0.998933
0, 0.000347329, 0.01, 0.999653
0, 0.000157581, 0.01, 0.999842
0, 0.000610442, 0.01, 0.99939
0, 0.000417455, 0.01, 0.999583
0, 0.000378601, 0.01, 0.999621
0, 0.000198866, 0.01, 0.999801
0, 0.000361302, 0.01, 0.999639
0, 0.000805796, 0.01, 0.999194
0, 0.000221486, 0.01, 0.999779
0, 0.000535204, 0.01, 0.999465
0, 0.000528371, 0.01, 0.999472
0, 0, 0.01, 1
0, 0.000746325, 0.01, 0.999254
