Gamma,HashRate,Freq1,Freq2,Difference,PercentDiff,HashRateRange
0.95,0.15,0.15869787999999999,0.1582692,-0.00042867999999998685,-0.27012333120013127,15-20%
0.95,0.16,0.1708174,0.17042056,-0.0003968400000000094,-0.23231825329270284,15-20%
0.95,0.17,0.18266188,0.18400288,0.0013410000000000089,0.7341433253615964,15-20%
0.95,0.18,0.19614572,0.19436604,-0.0017796800000000057,-0.907325431317087,15-20%
0.95,0.19,0.20820108,0.20582524,-0.002375840000000018,-1.1411276060623787,15-20%
0.95,0.2,0.22117640000000002,0.22177755999999998,0.0006011599999999617,0.27180115057481796,15-20%
0.95,0.21,0.23186424,0.23435804000000002,0.0024938000000000182,1.0755431712971428,20-25%
0.95,0.22,0.24703312,0.24602848000000002,-0.0010046399999999733,-0.4066823104529358,20-25%
0.95,0.23,0.26034444,0.26177888,0.0014344399999999813,0.5509777739059767,20-25%
0.95,0.24,0.2714896,0.2741732,0.002683600000000008,0.9884724866072249,20-25%
0.95,0.25,0.28881332,0.288598,-0.00021531999999996332,-0.07455334816273824,20-25%
0.95,0.26,0.30230324,0.30406392,0.0017606800000000145,0.5824218093064483,25-30%
0.95,0.27,0.31732340000000003,0.31739312,6.971999999993983e-05,0.021971275991603464,25-30%
0.95,0.28,0.33038516,0.33375584,0.0033706800000000148,1.02022742183699,25-30%
0.95,0.29,0.34772416,0.34766612,-5.803999999998144e-05,-0.01669139124528518,25-30%
0.95,0.3,0.36487768000000004,0.36369832,-0.0011793600000000182,-0.32322064753317276,25-30%
