HashRate,FixedGamma,VaryingGamma,Difference,PercentDiff,HashRateRange
0.15,0.161528208,0.15995547999999998,-0.0015727280000000232,-0.9736553258858807,15-20%
0.16,0.174651632,0.17262652,-0.0020251119999999956,-1.1595150739845337,15-20%
0.17,0.186887832,0.18658560000000002,-0.0003022319999999856,-0.16171839373683014,15-20%
0.18,0.199793128,0.19582036,-0.003972767999999988,-1.988440763588219,15-20%
0.19,0.213191376,0.21249348,-0.0006978959999999756,-0.32735658125306893,15-20%
0.2,0.2267824,0.2252028,-0.0015795999999999866,-0.6965267145951303,15-20%
0.21,0.24175432,0.23861808,-0.0031362399999999846,-1.2972839533953249,20-25%
0.22,0.255227144,0.25433364,-0.0008935039999999894,-0.3500818862745999,20-25%
0.23,0.27071584000000004,0.26864684,-0.002069000000000043,-0.7642700183336308,20-25%
0.24,0.284812944,0.28237776,-0.0024351840000000347,-0.8550117019962529,20-25%
0.25,0.29955864000000004,0.29805996,-0.00149868000000003,-0.5002960355274779,20-25%
0.26,0.315857104,0.31357704,-0.002280064000000026,-0.7218656699898148,25-30%
0.27,0.33128504,0.32956828,-0.0017167599999999839,-0.5182123527219895,25-30%
0.28,0.34778828,0.34720464,-0.0005836399999999964,-0.167814740623231,25-30%
0.29,0.364242976,0.36300352,-0.0012394559999999721,-0.34028274576802603,25-30%
0.3,0.38166099200000003,0.37971696,-0.00194403200000004,-0.509360935686097,25-30%
