BlockHeight, Miner0_Strategy, Miner0_CumulativeProfit, Miner0_CumulativeBlocks, Miner1_Strategy, Miner1_CumulativeProfit, Miner1_CumulativeBlocks
10, default, 3416666120, 2, default, 27662495574, 5
20, default, 6833332240, 4, default, 55324991148, 10
30, default, 10249998360, 6, default, 82987486722, 15
40, default, 13666664480, 8, default, 110649982296, 20
50, default, 17083330600, 10, default, 138312477870, 25
60, default, 20499996720, 12, default, 165974973444, 30
70, default, 23916662840, 14, default, 193637469018, 35
80, default, 27333328960, 16, default, 221299964592, 40
90, default, 30749995080, 18, default, 248962460166, 45
100, default, 34166661200, 20, default, 276624955740, 50
