Gamma,HashRate,Honest,Selfish,Stubborn-Lead,Rotation,BestPure,WorstPure,AvgPure,RotationVsBest,RotationVsWorst,RotationVsAvg,Category,HashRateRange
0.8,0.15,0.14962148,0.15081123999999999,0.15289708000000002,0.15180408,0.15289708000000002,0.14962148,0.15110993333333333,-0.0010930000000000106,0.0021826000000000068,0.0006941466666666729,MODERATE,15-20%
0.8,0.16,0.16024028,0.1625684,0.16852076,0.16325064,0.16852076,0.16024028,0.16377648,-0.005270119999999989,0.0030103599999999897,-0.0005258399999999996,MODERATE,15-20%
0.8,0.17,0.17146999999999998,0.17484904,0.17929692,0.1756446,0.17929692,0.17146999999999998,0.17520532,-0.0036523199999999867,0.004174600000000028,0.0004392800000000141,MODERATE,15-20%
0.8,0.18,0.1802474,0.18721872,0.1917606,0.18647296000000002,0.1917606,0.1802474,0.18640890666666668,-0.005287639999999982,0.006225560000000019,6.405333333334151e-05,MODERATE,15-20%
0.8,0.19,0.19217208,0.201238,0.20634112000000002,0.19950212,0.20634112000000002,0.19217208,0.19991706666666667,-0.006839000000000012,0.00733004000000001,-0.0004149466666666657,MODERATE,15-20%
0.8,0.2,0.20014836,0.21303676,0.22139203999999998,0.21110136000000002,0.22139203999999998,0.20014836,0.21152572,-0.010290679999999969,0.010953000000000018,-0.00042435999999998475,MODERATE,15-20%
0.8,0.21,0.20979384,0.22678352000000002,0.23454104,0.22381247999999998,0.23454104,0.20979384,0.22370613333333333,-0.010728560000000026,0.014018639999999971,0.00010634666666664572,MODERATE,20-25%
0.8,0.22,0.21940188,0.23845808000000002,0.25288284,0.23605452,0.25288284,0.21940188,0.23691426666666668,-0.016828320000000008,0.016652639999999996,-0.0008597466666666886,MODERATE,20-25%
0.8,0.23,0.23059408,0.25328452,0.26334484,0.24881436,0.26334484,0.23059408,0.24907448000000001,-0.014530480000000012,0.018220280000000005,-0.00026012000000000257,MODERATE,20-25%
0.8,0.24,0.24000728,0.2656224,0.27936252,0.26284036,0.27936252,0.24000728,0.2616640666666667,-0.016522160000000008,0.022833080000000006,0.0011762933333333003,MODERATE,20-25%
0.8,0.25,0.25061068,0.2794284,0.29701836,0.27495384,0.29701836,0.25061068,0.2756858133333333,-0.022064519999999976,0.02434316000000003,-0.0007319733333333023,MODERATE,20-25%
0.8,0.26,0.26056052,0.29428544,0.31255272,0.29105684,0.31255272,0.26056052,0.2891328933333333,-0.021495880000000023,0.030496319999999966,0.001923946666666676,MODERATE,25-30%
0.8,0.27,0.26967076,0.30826576,0.32970008,0.30532696000000004,0.32970008,0.26967076,0.30254553333333334,-0.02437311999999997,0.03565620000000003,0.0027814266666666976,MODERATE,25-30%
0.8,0.28,0.27899411999999996,0.32440095999999996,0.34751584,0.31896324,0.34751584,0.27899411999999996,0.31697030666666665,-0.02855260000000004,0.039969120000000025,0.0019929333333333354,MODERATE,25-30%
0.8,0.29,0.2909152,0.3409208,0.36419455999999994,0.33480072,0.36419455999999994,0.2909152,0.33201018666666665,-0.02939383999999995,0.04388552000000001,0.002790533333333345,MODERATE,25-30%
0.8,0.3,0.29939744,0.35732264,0.38508856,0.34821316,0.38508856,0.29939744,0.3472695466666667,-0.0368754,0.04881572000000001,0.0009436133333333152,MODERATE,25-30%
0.85,0.15,0.14975476000000001,0.1553092,0.15919332,0.15516544,0.15919332,0.14975476000000001,0.15475242666666666,-0.0040278800000000115,0.005410679999999973,0.000413013333333323,MODERATE,15-20%
0.85,0.16,0.16116812,0.16736804,0.17053792,0.1662428,0.17053792,0.16116812,0.16635802666666666,-0.004295120000000013,0.005074679999999998,-0.00011522666666666237,MODERATE,15-20%
0.85,0.17,0.16896148,0.18077072000000002,0.18517796,0.17873764,0.18517796,0.16896148,0.17830338666666667,-0.006440319999999999,0.009776160000000006,0.0004342533333333287,MODERATE,15-20%
0.85,0.18,0.17996099999999998,0.19317312,0.19835684,0.19151772,0.19835684,0.17996099999999998,0.19049698666666667,-0.006839120000000004,0.01155672000000002,0.001020733333333329,MODERATE,15-20%
0.85,0.19,0.18805752,0.203971,0.21146792,0.20214644,0.21146792,0.18805752,0.20116548,-0.009321479999999993,0.014088920000000005,0.000980960000000003,MODERATE,15-20%
0.85,0.2,0.20101023999999998,0.21784196,0.2265462,0.21662508,0.2265462,0.20101023999999998,0.2151328,-0.009921120000000005,0.015614840000000019,0.0014922799999999847,MODERATE,15-20%
0.85,0.21,0.2101364,0.23264772,0.24064688,0.22614968000000002,0.24064688,0.2101364,0.22781033333333334,-0.014497199999999988,0.01601328000000002,-0.0016606533333333173,MODERATE,20-25%
0.85,0.22,0.22097055999999998,0.24471204,0.25837196,0.24277088,0.25837196,0.22097055999999998,0.24135151999999996,-0.015601080000000017,0.021800320000000012,0.0014193600000000361,MODERATE,20-25%
0.85,0.23,0.23100795999999998,0.25661656,0.27116076,0.25375416,0.27116076,0.23100795999999998,0.25292842666666665,-0.017406599999999994,0.022746200000000022,0.0008257333333333561,MODERATE,20-25%
0.85,0.24,0.24068812,0.26963984,0.2873564,0.26663472,0.2873564,0.24068812,0.2658947866666667,-0.02072168000000002,0.025946599999999986,0.0007399333333332758,MODERATE,20-25%
0.85,0.25,0.24814264000000003,0.28526428,0.30467624,0.28164972,0.30467624,0.24814264000000003,0.27936105333333333,-0.023026519999999995,0.03350707999999997,0.002288666666666661,MODERATE,20-25%
0.85,0.26,0.26034368,0.30064948,0.32157455999999995,0.29503376,0.32157455999999995,0.26034368,0.29418923999999996,-0.026540799999999976,0.034690079999999957,0.0008445200000000153,MODERATE,25-30%
0.85,0.27,0.2700322,0.31572764,0.33752288,0.3090334,0.33752288,0.2700322,0.30776090666666667,-0.02848948000000001,0.039001200000000014,0.0012724933333333466,MODERATE,25-30%
0.85,0.28,0.27928472,0.33070155999999995,0.35474592,0.32440460000000004,0.35474592,0.27928472,0.3215774,-0.03034131999999995,0.04511988000000006,0.0028272000000000297,MODERATE,25-30%
0.85,0.29,0.29029588,0.34608792,0.37254608,0.33812208,0.37254608,0.29029588,0.33630995999999996,-0.03442400000000001,0.047826199999999985,0.0018121200000000282,MODERATE,25-30%
0.85,0.3,0.29974872,0.35947476,0.39192259999999995,0.35295956000000006,0.39192259999999995,0.29974872,0.3503820266666667,-0.03896303999999989,0.05321084000000004,0.0025775333333333816,MODERATE,25-30%
0.9,0.15,0.14977548000000002,0.15979356,0.16429844,0.16001104,0.16429844,0.14977548000000002,0.15795582666666666,-0.004287399999999997,0.010235559999999977,0.0020552133333333333,MODERATE,15-20%
0.9,0.16,0.16016324,0.17198464000000002,0.17692836,0.1703438,0.17692836,0.16016324,0.16969208000000002,-0.006584560000000017,0.010180559999999977,0.0006517199999999668,MODERATE,15-20%
