Gamma,HashRate,Fork,TrailFork,Dynamic,BestStatic,WorstStatic,DynamicVsBest,DynamicVsWorst,Category,HashRateRange
0.8,0.15,0.15081123999999999,0.1495834,0.1506852,0.15081123999999999,0.1495834,-0.00012603999999999393,0.0011017999999999861,MODERATE,15-20%
0.8,0.16,0.1625684,0.16025528,0.16179984,0.1625684,0.16025528,-0.0007685600000000015,0.0015445600000000004,MODERATE,15-20%
0.8,0.17,0.17484904,0.16829508,0.17365912000000003,0.17484904,0.16829508,-0.0011899199999999832,0.005364040000000014,MODERATE,15-20%
0.8,0.18,0.18721872,0.180674,0.18348872,0.18721872,0.180674,-0.003730000000000011,0.002814719999999993,MODERATE,15-20%
0.8,0.19,0.201238,0.19036976,0.19481784000000002,0.201238,0.19036976,-0.00642015999999998,0.004448080000000021,MODERATE,15-20%
0.8,0.2,0.21303676,0.1992536,0.20868488,0.21303676,0.1992536,-0.004351880000000002,0.009431279999999986,MODERATE,15-20%
0.8,0.21,0.22678352000000002,0.20947032,0.21905159999999999,0.22678352000000002,0.20947032,-0.007731920000000031,0.009581279999999998,MODERATE,20-25%
0.8,0.22,0.23845808000000002,0.22027588,0.2294264,0.23845808000000002,0.22027588,-0.009031680000000014,0.009150519999999995,MODERATE,20-25%
0.8,0.23,0.25328452,0.2312092,0.24151596,0.25328452,0.2312092,-0.011768560000000011,0.010306759999999998,MODERATE,20-25%
0.8,0.24,0.2656224,0.24025791999999999,0.25336732,0.2656224,0.24025791999999999,-0.012255079999999974,0.013109400000000021,MODERATE,20-25%
0.8,0.25,0.2794284,0.2507758,0.26660124,0.2794284,0.2507758,-0.012827160000000004,0.015825440000000024,MODERATE,20-25%
0.8,0.26,0.29428544,0.25989624,0.27891044,0.29428544,0.25989624,-0.015375000000000028,0.01901419999999998,MODERATE,25-30%
0.8,0.27,0.30826576,0.27003312,0.2925118,0.30826576,0.27003312,-0.01575396000000001,0.022478679999999973,MODERATE,25-30%
0.8,0.28,0.32440095999999996,0.280803,0.304217,0.32440095999999996,0.280803,-0.020183959999999945,0.02341399999999999,MODERATE,25-30%
0.8,0.29,0.3409208,0.2904336,0.31796251999999997,0.3409208,0.2904336,-0.022958280000000053,0.027528919999999957,MODERATE,25-30%
0.8,0.3,0.35732264,0.30002512,0.33122692,0.35732264,0.30002512,-0.026095720000000044,0.031201800000000002,MODERATE,25-30%
0.85,0.15,0.1553092,0.15016256,0.15234667999999998,0.1553092,0.15016256,-0.002962520000000024,0.002184119999999984,MODERATE,15-20%
0.85,0.16,0.16736804,0.16106992,0.16514736,0.16736804,0.16106992,-0.0022206800000000027,0.004077439999999988,MODERATE,15-20%
0.85,0.17,0.18077072000000002,0.16974699999999998,0.17596440000000002,0.18077072000000002,0.16974699999999998,-0.004806320000000003,0.0062174000000000396,MODERATE,15-20%
0.85,0.18,0.19317312,0.18031088,0.18601624,0.19317312,0.18031088,-0.007156880000000004,0.005705359999999993,MODERATE,15-20%
0.85,0.19,0.203971,0.1895242,0.19863316,0.203971,0.1895242,-0.00533784000000001,0.00910896,MODERATE,15-20%
0.85,0.2,0.21784196,0.19969764,0.21003928,0.21784196,0.19969764,-0.007802680000000006,0.010341639999999985,MODERATE,15-20%
0.85,0.21,0.23264772,0.21091572,0.22291232,0.23264772,0.21091572,-0.009735400000000005,0.011996599999999996,MODERATE,20-25%
0.85,0.22,0.24471204,0.22102156,0.23312439999999998,0.24471204,0.22102156,-0.01158764000000001,0.012102839999999976,MODERATE,20-25%
0.85,0.23,0.25661656,0.22983144,0.24385932,0.25661656,0.22983144,-0.012757240000000003,0.014027879999999993,MODERATE,20-25%
0.85,0.24,0.26963984,0.2403746,0.2580816,0.26963984,0.2403746,-0.011558239999999997,0.01770700000000003,MODERATE,20-25%
0.85,0.25,0.28526428,0.25138172000000003,0.27108920000000003,0.28526428,0.25138172000000003,-0.014175079999999951,0.01970748,MODERATE,20-25%
0.85,0.26,0.30064948,0.25939252,0.28109768,0.30064948,0.25939252,-0.019551800000000008,0.02170516,MODERATE,25-30%
0.85,0.27,0.31572764,0.26965292,0.29353684,0.31572764,0.26965292,-0.022190799999999955,0.023883920000000003,MODERATE,25-30%
0.85,0.28,0.33070155999999995,0.28092492,0.30658472,0.33070155999999995,0.28092492,-0.024116839999999973,0.025659799999999955,MODERATE,25-30%
0.85,0.29,0.34608792,0.28881716,0.32052440000000004,0.34608792,0.28881716,-0.02556351999999995,0.031707240000000025,MODERATE,25-30%
0.85,0.3,0.35947476,0.29832528,0.33471908,0.35947476,0.29832528,-0.024755680000000002,0.036393799999999976,MODERATE,25-30%
0.9,0.15,0.15979356,0.14994632000000002,0.15588216000000002,0.15979356,0.14994632000000002,-0.0039113999999999816,0.005935839999999998,MODERATE,15-20%
0.9,0.16,0.17198464000000002,0.16019524000000002,0.16633140000000002,0.17198464000000002,0.16019524000000002,-0.005653240000000004,0.006136160000000002,MODERATE,15-20%
0.9,0.17,0.18301852,0.17197132,0.17817592000000002,0.18301852,0.17197132,-0.004842599999999975,0.0062046000000000046,MODERATE,15-20%
0.9,0.18,0.19817768000000002,0.17948976000000003,0.1894386,0.19817768000000002,0.17948976000000003,-0.00873908000000001,0.009948839999999987,MODERATE,15-20%
0.9,0.19,0.20895568,0.19123927999999998,0.20079868,0.20895568,0.19123927999999998,-0.008156999999999998,0.009559400000000023,MODERATE,15-20%
0.9,0.2,0.22367724,0.19954664,0.21301472,0.22367724,0.19954664,-0.010662520000000009,0.013468079999999993,MODERATE,15-20%
0.9,0.21,0.2342276,0.21072772,0.22265952,0.2342276,0.21072772,-0.011568080000000008,0.011931799999999992,MODERATE,20-25%
0.9,0.22,0.2497438,0.21935108,0.23637747999999997,0.2497438,0.21935108,-0.013366320000000015,0.01702639999999997,MODERATE,20-25%
0.9,0.23,0.2613804,0.23039248,0.24884076,0.2613804,0.23039248,-0.012539640000000019,0.018448279999999984,MODERATE,20-25%
0.9,0.24,0.27620716,0.24048844,0.26078284,0.27620716,0.24048844,-0.015424319999999991,0.020294400000000018,MODERATE,20-25%
0.9,0.25,0.28982104,0.24931148,0.27340180000000003,0.28982104,0.24931148,-0.016419239999999946,0.024090320000000026,MODERATE,20-25%
0.9,0.26,0.30644279999999996,0.25892084,0.28500168,0.30644279999999996,0.25892084,-0.02144111999999998,0.026080839999999994,MODERATE,25-30%
0.9,0.27,0.32014856,0.26987424,0.29681312000000004,0.32014856,0.26987424,-0.023335439999999985,0.026938880000000054,MODERATE,25-30%
0.9,0.28,0.33273980000000003,0.28178964,0.31107516,0.33273980000000003,0.28178964,-0.021664640000000013,0.02928552000000001,MODERATE,25-30%
0.9,0.29,0.35047207999999996,0.28992988000000003,0.32395472,0.35047207999999996,0.28992988000000003,-0.02651735999999999,0.034024839999999945,MODERATE,25-30%
0.9,0.3,0.36659884,0.29926832000000003,0.33627496,0.36659884,0.29926832000000003,-0.03032387999999997,0.03700663999999998,MODERATE,25-30%
0.95,0.15,0.162998,0.14963824,0.15820724,0.162998,0.14963824,-0.004790760000000005,0.008568999999999993,MODERATE,15-20%
0.95,0.16,0.17754567999999998,0.16048548,0.16822204,0.17754567999999998,0.16048548,-0.009323639999999994,0.007736559999999976,MODERATE,15-20%
0.95,0.17,0.18760836,0.16889456,0.18011787999999998,0.18760836,0.16889456,-0.0074904800000000216,0.011223319999999981,MODERATE,15-20%
0.95,0.18,0.20144496,0.1798544,0.1925656,0.20144496,0.1798544,-0.008879360000000003,0.012711200000000006,MODERATE,15-20%
0.95,0.19,0.21478652,0.19039332,0.20371112,0.21478652,0.19039332,-0.011075400000000013,0.01331779999999999,MODERATE,15-20%
0.95,0.2,0.22792311999999998,0.20108236,0.21411291999999998,0.22792311999999998,0.20108236,-0.013810199999999995,0.013030559999999997,MODERATE,15-20%
0.95,0.21,0.24115231999999998,0.21008079999999998,0.22610824000000002,0.24115231999999998,0.21008079999999998,-0.01504407999999996,0.01602744000000003,MODERATE,20-25%
0.95,0.22,0.251935,0.21860248,0.23748615999999997,0.251935,0.21860248,-0.014448840000000046,0.018883679999999986,MODERATE,20-25%
0.95,0.23,0.26771164,0.22997831999999999,0.25043144,0.26771164,0.22997831999999999,-0.017280199999999968,0.02045312000000002,MODERATE,20-25%
0.95,0.24,0.28092432,0.24000952,0.26341823999999997,0.28092432,0.24000952,-0.017506080000000035,0.023408719999999966,MODERATE,20-25%
0.95,0.25,0.29547348,0.25013616,0.2754162,0.29547348,0.25013616,-0.02005728000000001,0.025280040000000004,MODERATE,20-25%
0.95,0.26,0.30853976,0.25887215999999996,0.28755968,0.30853976,0.25887215999999996,-0.020980080000000012,0.028687520000000022,MODERATE,25-30%
