# Dynamic Strategy Switching Simulation Results
# Schedule file: example_schedule.txt
# Miner 0: selfish (0-6666), stubborn-trail (6667-13333), petty (13334-19999)
# Miner 1: default-selfish (0-19999)
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0, 0.000896331, 0.005, 0.995, 0.00146169
0, 0.00316526, 0.005, 0.995, 0.00235825
0, 0.00175369, 0.005, 0.995, 0.00218027
0, 0.00122955, 0.005, 0.995, 0.0016053
0, 0.00201824, 0.005, 0.995, 0.00176518
0, 0.00174356, 0.005, 0.995, 0.00189479
0, 0.00146772, 0.005, 0.995, 0.00144949
0, 0.00171764, 0.005, 0.995, 0.00162908
0, 0.00138938, 0.005, 0.995, 0.00170298
0, 0.000974159, 0.005, 0.995, 0.00131579
0, 0.00217322, 0.005, 0.995, 0.00150981
0, 0.00137228, 0.005, 0.995, 0.00220651
0, 0.00164154, 0.005, 0.995, 0.00218492
0, 0.00167252, 0.005, 0.995, 0.00185139
0, 0.00103098, 0.005, 0.995, 0.0013751
0, 0.00198045, 0.005, 0.995, 0.00159681
0, 0.00251136, 0.005, 0.995, 0.00203899
0, 0.00134888, 0.005, 0.995, 0.00136102
0, 0.00155305, 0.005, 0.995, 0.00142534
0, 0.00229291, 0.005, 0.995, 0.0019975
0, 0.00208538, 0.005, 0.995, 0.00156843
0, 0.00160023, 0.005, 0.995, 0.00186737
0, 0.00220562, 0.005, 0.995, 0.00250903
0, 0.00214299, 0.005, 0.995, 0.00208673
0, 0.0012841, 0.005, 0.995, 0.00132552
0, 0.00298964, 0.01, 0.99, 0.0034609
0, 0.00391975, 0.01, 0.99, 0.00419099
0, 0.00328863, 0.01, 0.99, 0.00367056
0, 0.00437591, 0.01, 0.99, 0.00369225
0, 0.0035194, 0.01, 0.99, 0.00358295
0, 0.00424075, 0.01, 0.99, 0.00390467
0, 0.00464911, 0.01, 0.99, 0.0043842
0, 0.00386461, 0.01, 0.99, 0.00392236
0, 0.00365007, 0.01, 0.99, 0.0036904
0, 0.00388679, 0.01, 0.99, 0.00388911
0, 0.00256983, 0.01, 0.99, 0.00279046
0, 0.00368969, 0.01, 0.99, 0.00362355
0, 0.00327715, 0.01, 0.99, 0.00342259
0, 0.00367162, 0.01, 0.99, 0.00380019
0, 0.00465698, 0.01, 0.99, 0.00386004
0, 0.00345343, 0.01, 0.99, 0.0034766
0, 0.00308453, 0.01, 0.99, 0.00326633
0, 0.00348909, 0.01, 0.99, 0.00350556
0, 0.00531477, 0.01, 0.99, 0.00461929
0, 0.00305888, 0.01, 0.99, 0.00285285
