Gamma,HashRate,Freq1,Freq2,Difference,PercentDiff,HashRateRange
0.8,0.15,0.15103904,0.15033308,-0.0007059600000000055,-0.4674023351843374,15-20%
0.8,0.16,0.16258712,0.16203696,-0.000550159999999994,-0.33837858743053817,15-20%
0.8,0.17,0.17374844,0.17274252,-0.0010059199999999935,-0.5789519606622042,15-20%
0.8,0.18,0.18464616,0.18291884,-0.0017273200000000044,-0.9354757228636676,15-20%
0.8,0.19,0.19598175999999998,0.1947514,-0.001230359999999986,-0.6277931170737451,15-20%
0.8,0.2,0.20519472,0.20675696,0.0015622399999999925,0.7613451262293652,15-20%
0.8,0.21,0.22067408,0.22001308000000003,-0.0006609999999999672,-0.2995367648071614,20-25%
0.8,0.22,0.22890076,0.23052028,0.0016195199999999854,0.7075205866507326,20-25%
0.8,0.23,0.24242287999999998,0.24123436,-0.0011885199999999707,-0.49026725530196275,20-25%
0.8,0.24,0.25326368,0.25529004,0.002026360000000005,0.8000989324643806,20-25%
0.8,0.25,0.26613244,0.26748,0.00134755999999997,0.5063493950605833,20-25%
0.8,0.26,0.27844432,0.27775484,-0.0006894800000000201,-0.24761862623019928,25-30%
0.8,0.27,0.29094076,0.29073776,-0.00020300000000000873,-0.0697736542655655,25-30%
0.8,0.28,0.30766644,0.30430503999999997,-0.0033614000000000144,-1.092546850413719,25-30%
0.8,0.29,0.3165566,0.3167886,0.00023199999999995446,0.07328863148010639,25-30%
0.8,0.3,0.32903852,0.331783,0.0027444799999999936,0.8340907927740477,25-30%
0.85,0.15,0.15263388,0.15225932,-0.000374559999999996,-0.24539767972877058,15-20%
0.85,0.16,0.16357831999999997,0.16371967999999998,0.00014136000000000704,0.0864173198502143,15-20%
0.85,0.17,0.17605032,0.17563244,-0.00041788000000000936,-0.2373639536696152,15-20%
0.85,0.18,0.18772808000000002,0.18574336,-0.001984720000000023,-1.0572312890005708,15-20%
0.85,0.19,0.19839204,0.19743987999999998,-0.0009521600000000074,-0.479938610440221,15-20%
0.85,0.2,0.21026044,0.20882943999999998,-0.0014310000000000156,-0.6805845169923622,15-20%
0.85,0.21,0.22197344000000002,0.22007063999999998,-0.0019028000000000378,-0.8572196745700916,20-25%
0.85,0.22,0.23258856000000003,0.2326712,8.263999999996718e-05,0.035530552319498074,20-25%
0.85,0.23,0.24580876,0.2436996,-0.002109159999999999,-0.8580491598427977,20-25%
0.85,0.24,0.25559504,0.25806091999999997,0.002465879999999976,0.9647605055246674,20-25%
0.85,0.25,0.26749300000000004,0.26870732,0.001214319999999991,0.45396328128212354,20-25%
0.85,0.26,0.27892448000000003,0.28204976,0.0031252799999999525,1.120475334398742,25-30%
0.85,0.27,0.2925912,0.29478676,0.0021955599999999853,0.7503848372746635,25-30%
0.85,0.28,0.30621444,0.30700700000000003,0.0007925600000000532,0.2588251553388708,25-30%
0.85,0.29,0.31901196,0.3215276,0.002515640000000041,0.7885723155959549,25-30%
0.85,0.3,0.33440835999999996,0.33440011999999997,-8.239999999992698e-06,-0.0024640532312029217,25-30%
0.9,0.15,0.15558976,0.15470348,-0.0008862799999999893,-0.5696261759128552,15-20%
0.9,0.16,0.16682048000000002,0.1650568,-0.0017636800000000175,-1.0572323014536449,15-20%
0.9,0.17,0.17694548000000002,0.17824552000000002,0.0013000400000000023,0.7347121836624492,15-20%
0.9,0.18,0.18921236,0.18901816,-0.00019420000000000548,-0.10263600115764397,15-20%
0.9,0.19,0.20021624,0.19996276000000002,-0.0002534799999999726,-0.12660311671019925,15-20%
0.9,0.2,0.21248716,0.21278556,0.0002984000000000042,0.1404320148097439,15-20%
0.9,0.21,0.22465392,0.22367356000000002,-0.0009803599999999857,-0.43638677660286795,20-25%
0.9,0.22,0.23480060000000003,0.23407608,-0.000724520000000034,-0.3085682063844956,20-25%
0.9,0.23,0.249047,0.24683056,-0.002216439999999986,-0.8899685601512912,20-25%
0.9,0.24,0.25961952,0.26063835999999996,0.0010188399999999653,0.39243582300744,20-25%
0.9,0.25,0.27201516000000003,0.2722096,0.00019443999999996242,0.07148131008579169,20-25%
0.9,0.26,0.282365,0.2837112,0.0013462000000000196,0.47675880509270613,25-30%
0.9,0.27,0.2970802,0.29734436,0.00026415999999995776,0.08891874988638009,25-30%
0.9,0.28,0.30875912,0.31070268,0.0019435600000000108,0.6294745236999026,25-30%
0.9,0.29,0.32243984,0.32468435999999995,0.002244519999999972,0.6961050470686166,25-30%
0.9,0.3,0.3359444,0.33544608,-0.0004983199999999965,-0.14833406956627246,25-30%
0.95,0.15,0.15581944,0.15674848,0.0009290399999999921,0.5962285578744168,15-20%
0.95,0.16,0.16905732,0.1686364,-0.00042092000000001906,-0.24898064159541808,15-20%
0.95,0.17,0.17908564,0.17838695999999998,-0.0006986800000000071,-0.39013736668110693,15-20%
0.95,0.18,0.19184784,0.19044844000000002,-0.0013993999999999673,-0.7294322417182114,15-20%
0.95,0.19,0.2024084,0.20191140000000002,-0.0004969999999999697,-0.2455431691569963,15-20%
0.95,0.2,0.21439312000000002,0.21406055999999998,-0.00033256000000003727,-0.1551169179309659,15-20%
0.95,0.21,0.2251298,0.22629224,0.0011624400000000146,0.5163421279635191,20-25%
0.95,0.22,0.2386104,0.23817968,-0.00043071999999999555,-0.18051183016331038,20-25%
0.95,0.23,0.251333,0.25039372,-0.0009392799999999868,-0.37371932854021833,20-25%
0.95,0.24,0.26146944,0.26165836,0.00018891999999998133,0.07225318568777343,20-25%
0.95,0.25,0.27572084,0.27511044,-0.0006104000000000109,-0.22138333830696688,20-25%
0.95,0.26,0.2872932,0.28828835999999997,0.0009951599999999394,0.3463917698017006,25-30%
0.95,0.27,0.29946964000000004,0.29783992000000004,-0.0016297200000000012,-0.5442020767113491,25-30%
0.95,0.28,0.31174096,0.31174792,6.960000000000299e-06,0.0022326228802273204,25-30%
0.95,0.29,0.32372512,0.32549064,0.0017655200000000204,0.5453762747852315,25-30%
0.95,0.3,0.3394572,0.3359398,-0.003517400000000004,-1.0361836484835212,25-30%
1.0,0.15,0.15890096,0.15910792,0.00020696000000000603,0.1302446505043179,15-20%
1.0,0.16,0.170961,0.16983484000000001,-0.0011261599999999872,-0.6587233345616762,15-20%
1.0,0.17,0.18281784,0.18195931999999998,-0.0008585200000000293,-0.4696040605227746,15-20%
1.0,0.18,0.19366808,0.19335512000000002,-0.00031295999999997326,-0.16159606683763958,15-20%
1.0,0.19,0.20521456000000002,0.20338156000000002,-0.0018330000000000013,-0.8932114758329044,15-20%
1.0,0.2,0.2166862,0.21614832,-0.0005378799999999906,-0.24822992880949069,15-20%
1.0,0.21,0.22869816,0.22884028,0.00014211999999999558,0.062143044788814904,20-25%
1.0,0.22,0.24044596,0.24080612,0.000360160000000026,0.1497883349755704,20-25%
1.0,0.23,0.25328208,0.25286487999999996,-0.00041720000000006197,-0.16471753548457196,20-25%
1.0,0.24,0.2646078,0.2669614,0.0023536000000000112,0.8894673550817517,20-25%
1.0,0.25,0.27680484,0.27831104,0.001506200000000013,0.5441378842942245,20-25%
1.0,0.26,0.2888268,0.2903514,0.001524599999999987,0.5278596030562216,25-30%
1.0,0.27,0.30484688,0.30508944,0.00024256000000000277,0.0795678145041218,25-30%
1.0,0.28,0.31474512,0.31640747999999996,0.0016623599999999739,0.5281606907836963,25-30%
1.0,0.29,0.32953908,0.32720903999999995,-0.002330040000000033,-0.7070602976739613,25-30%
1.0,0.3,0.34136152000000003,0.3424826,0.0011210799999999965,0.32841428641400366,25-30%
