# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_honest_selfish_stubborn_lead_1000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.152959, 0.15, 0.85, 0.155201
0.8, 0.147098, 0.15, 0.85, 0.148292
0.8, 0.152917, 0.15, 0.85, 0.152614
0.8, 0.151941, 0.15, 0.85, 0.149187
0.8, 0.155024, 0.15, 0.85, 0.154324
0.8, 0.156366, 0.15, 0.85, 0.151927
0.8, 0.151894, 0.15, 0.85, 0.151938
0.8, 0.153862, 0.15, 0.85, 0.156023
0.8, 0.152246, 0.15, 0.85, 0.150491
0.8, 0.147282, 0.15, 0.85, 0.14841
0.8, 0.145811, 0.15, 0.85, 0.146397
0.8, 0.145367, 0.15, 0.85, 0.14618
0.8, 0.15338, 0.15, 0.85, 0.15481
0.8, 0.154702, 0.15, 0.85, 0.148668
0.8, 0.151878, 0.15, 0.85, 0.150107
0.8, 0.156421, 0.15, 0.85, 0.154687
0.8, 0.15295, 0.15, 0.85, 0.151729
0.8, 0.152296, 0.15, 0.85, 0.144978
0.8, 0.151465, 0.15, 0.85, 0.151723
0.8, 0.148858, 0.15, 0.85, 0.146189
0.8, 0.149243, 0.15, 0.85, 0.149229
0.8, 0.14855, 0.15, 0.85, 0.148442
0.8, 0.159273, 0.15, 0.85, 0.153643
0.8, 0.154302, 0.15, 0.85, 0.152611
0.8, 0.149017, 0.15, 0.85, 0.150074
0.8, 0.169824, 0.16, 0.84, 0.165783
0.8, 0.165394, 0.16, 0.84, 0.162494
0.8, 0.167099, 0.16, 0.84, 0.162623
0.8, 0.16423, 0.16, 0.84, 0.167579
0.8, 0.164834, 0.16, 0.84, 0.163294
0.8, 0.1638, 0.16, 0.84, 0.160569
0.8, 0.160094, 0.16, 0.84, 0.159485
0.8, 0.169881, 0.16, 0.84, 0.165356
0.8, 0.171418, 0.16, 0.84, 0.166685
0.8, 0.159252, 0.16, 0.84, 0.161017
0.8, 0.159854, 0.16, 0.84, 0.16397
0.8, 0.161599, 0.16, 0.84, 0.160686
0.8, 0.166079, 0.16, 0.84, 0.164352
0.8, 0.15988, 0.16, 0.84, 0.161761
0.8, 0.158864, 0.16, 0.84, 0.161725
0.8, 0.15585, 0.16, 0.84, 0.160824
0.8, 0.1556, 0.16, 0.84, 0.156029
0.8, 0.160609, 0.16, 0.84, 0.160213
0.8, 0.160009, 0.16, 0.84, 0.159958
0.8, 0.159695, 0.16, 0.84, 0.162039
0.8, 0.16752, 0.16, 0.84, 0.159971
0.8, 0.161093, 0.16, 0.84, 0.157875
0.8, 0.166559, 0.16, 0.84, 0.162158
0.8, 0.166335, 0.16, 0.84, 0.162126
0.8, 0.165894, 0.16, 0.84, 0.165027
0.8, 0.170092, 0.17, 0.83, 0.170658
0.8, 0.177287, 0.17, 0.83, 0.173037
0.8, 0.170375, 0.17, 0.83, 0.173533
0.8, 0.169143, 0.17, 0.83, 0.171545
0.8, 0.172755, 0.17, 0.83, 0.174112
0.8, 0.181232, 0.17, 0.83, 0.17469
0.8, 0.170867, 0.17, 0.83, 0.169355
0.8, 0.171348, 0.17, 0.83, 0.171773
0.8, 0.176702, 0.17, 0.83, 0.17633
0.8, 0.178733, 0.17, 0.83, 0.175739
0.8, 0.180539, 0.17, 0.83, 0.172789
0.8, 0.173251, 0.17, 0.83, 0.171245
0.8, 0.176375, 0.17, 0.83, 0.176295
0.8, 0.168408, 0.17, 0.83, 0.174678
0.8, 0.181081, 0.17, 0.83, 0.175345
0.8, 0.17591, 0.17, 0.83, 0.174654
0.8, 0.18383, 0.17, 0.83, 0.179817
0.8, 0.184055, 0.17, 0.83, 0.178167
0.8, 0.175153, 0.17, 0.83, 0.177426
0.8, 0.172073, 0.17, 0.83, 0.17094
0.8, 0.174567, 0.17, 0.83, 0.174562
0.8, 0.181001, 0.17, 0.83, 0.176143
0.8, 0.169556, 0.17, 0.83, 0.167592
0.8, 0.179622, 0.17, 0.83, 0.173759
0.8, 0.17716, 0.17, 0.83, 0.179067
0.8, 0.1816, 0.18, 0.82, 0.18453
0.8, 0.188463, 0.18, 0.82, 0.186556
0.8, 0.184293, 0.18, 0.82, 0.184793
0.8, 0.18672, 0.18, 0.82, 0.189846
0.8, 0.180794, 0.18, 0.82, 0.177418
0.8, 0.187305, 0.18, 0.82, 0.186479
0.8, 0.185142, 0.18, 0.82, 0.181244
0.8, 0.189626, 0.18, 0.82, 0.184683
0.8, 0.193166, 0.18, 0.82, 0.189307
0.8, 0.185281, 0.18, 0.82, 0.18267
0.8, 0.193663, 0.18, 0.82, 0.188721
0.8, 0.186436, 0.18, 0.82, 0.18721
0.8, 0.184524, 0.18, 0.82, 0.182842
0.8, 0.186402, 0.18, 0.82, 0.183131
0.8, 0.195949, 0.18, 0.82, 0.188763
0.8, 0.196119, 0.18, 0.82, 0.18819
0.8, 0.184943, 0.18, 0.82, 0.183686
0.8, 0.183988, 0.18, 0.82, 0.184702
0.8, 0.179853, 0.18, 0.82, 0.183143
0.8, 0.180623, 0.18, 0.82, 0.17866
0.8, 0.183106, 0.18, 0.82, 0.183956
0.8, 0.189638, 0.18, 0.82, 0.190287
0.8, 0.19445, 0.18, 0.82, 0.187615
0.8, 0.180461, 0.18, 0.82, 0.185226
0.8, 0.179279, 0.18, 0.82, 0.181013
0.8, 0.198016, 0.19, 0.81, 0.194699
0.8, 0.205121, 0.19, 0.81, 0.199504
0.8, 0.187666, 0.19, 0.81, 0.192155
0.8, 0.200245, 0.19, 0.81, 0.197621
0.8, 0.203484, 0.19, 0.81, 0.199099
