# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedules/schedule_b5_honest_selfish_asymmetric_2000_1000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.150586, 0.15, 0.85, 0.150071
0.8, 0.157208, 0.15, 0.85, 0.156483
0.8, 0.147928, 0.15, 0.85, 0.147666
0.8, 0.148454, 0.15, 0.85, 0.15133
0.8, 0.153243, 0.15, 0.85, 0.154023
0.8, 0.149683, 0.15, 0.85, 0.151172
0.8, 0.145548, 0.15, 0.85, 0.143367
0.8, 0.146102, 0.15, 0.85, 0.147143
0.8, 0.149556, 0.15, 0.85, 0.150674
0.8, 0.153433, 0.15, 0.85, 0.147901
0.8, 0.14904, 0.15, 0.85, 0.150902
0.8, 0.149579, 0.15, 0.85, 0.149765
0.8, 0.15201, 0.15, 0.85, 0.153412
0.8, 0.152087, 0.15, 0.85, 0.156923
0.8, 0.153058, 0.15, 0.85, 0.154775
0.8, 0.154205, 0.15, 0.85, 0.149606
0.8, 0.151446, 0.15, 0.85, 0.150318
0.8, 0.151399, 0.15, 0.85, 0.147718
0.8, 0.154259, 0.15, 0.85, 0.149329
0.8, 0.151293, 0.15, 0.85, 0.150572
0.8, 0.151242, 0.15, 0.85, 0.149184
0.8, 0.154913, 0.15, 0.85, 0.150967
0.8, 0.152157, 0.15, 0.85, 0.149847
0.8, 0.148966, 0.15, 0.85, 0.152252
0.8, 0.140934, 0.15, 0.85, 0.144777
0.8, 0.164202, 0.16, 0.84, 0.161113
0.8, 0.1692, 0.16, 0.84, 0.165131
0.8, 0.163902, 0.16, 0.84, 0.162467
0.8, 0.159779, 0.16, 0.84, 0.158031
0.8, 0.162735, 0.16, 0.84, 0.160305
0.8, 0.164009, 0.16, 0.84, 0.165239
0.8, 0.159669, 0.16, 0.84, 0.158168
