# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_fork_stubborn_trail_fork_5000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.147404, 0.15, 0.85, 0.147949
0.8, 0.143854, 0.15, 0.85, 0.145314
0.8, 0.139069, 0.15, 0.85, 0.144648
0.8, 0.153945, 0.15, 0.85, 0.15013
0.8, 0.154637, 0.15, 0.85, 0.152602
0.8, 0.150639, 0.15, 0.85, 0.14931
0.8, 0.142893, 0.15, 0.85, 0.146183
0.8, 0.148275, 0.15, 0.85, 0.148761
0.8, 0.148594, 0.15, 0.85, 0.14945
0.8, 0.154527, 0.15, 0.85, 0.153498
0.8, 0.151197, 0.15, 0.85, 0.147064
0.8, 0.143101, 0.15, 0.85, 0.147282
0.8, 0.148632, 0.15, 0.85, 0.151769
0.8, 0.152151, 0.15, 0.85, 0.154459
0.8, 0.148115, 0.15, 0.85, 0.152063
0.8, 0.14777, 0.15, 0.85, 0.149827
0.8, 0.148491, 0.15, 0.85, 0.146784
0.8, 0.151467, 0.15, 0.85, 0.153397
0.8, 0.147732, 0.15, 0.85, 0.149176
0.8, 0.155474, 0.15, 0.85, 0.150946
0.8, 0.151784, 0.15, 0.85, 0.1535
0.8, 0.149736, 0.15, 0.85, 0.149205
0.8, 0.150273, 0.15, 0.85, 0.153438
0.8, 0.152385, 0.15, 0.85, 0.152893
0.8, 0.150988, 0.15, 0.85, 0.149341
0.8, 0.162479, 0.16, 0.84, 0.159198
0.8, 0.156731, 0.16, 0.84, 0.158282
0.8, 0.152664, 0.16, 0.84, 0.155153
0.8, 0.15662, 0.16, 0.84, 0.159374
0.8, 0.158797, 0.16, 0.84, 0.159425
0.8, 0.172103, 0.16, 0.84, 0.170519
0.8, 0.16376, 0.16, 0.84, 0.161031
0.8, 0.161778, 0.16, 0.84, 0.163004
0.8, 0.158455, 0.16, 0.84, 0.158267
0.8, 0.165394, 0.16, 0.84, 0.16277
0.8, 0.168238, 0.16, 0.84, 0.164773
0.8, 0.158921, 0.16, 0.84, 0.156555
0.8, 0.161089, 0.16, 0.84, 0.157714
0.8, 0.167861, 0.16, 0.84, 0.163634
0.8, 0.162375, 0.16, 0.84, 0.162851
0.8, 0.165098, 0.16, 0.84, 0.16121
0.8, 0.168565, 0.16, 0.84, 0.170014
0.8, 0.15229, 0.16, 0.84, 0.158055
0.8, 0.153946, 0.16, 0.84, 0.159918
0.8, 0.158877, 0.16, 0.84, 0.159845
0.8, 0.153265, 0.16, 0.84, 0.159453
0.8, 0.163277, 0.16, 0.84, 0.162226
0.8, 0.159716, 0.16, 0.84, 0.160985
0.8, 0.158839, 0.16, 0.84, 0.158453
0.8, 0.154772, 0.16, 0.84, 0.162115
0.8, 0.185181, 0.17, 0.83, 0.182014
0.8, 0.182081, 0.17, 0.83, 0.181742
0.8, 0.177951, 0.17, 0.83, 0.177215
0.8, 0.165275, 0.17, 0.83, 0.173453
0.8, 0.172505, 0.17, 0.83, 0.172333
