# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_fork_stubborn_trail_fork_1000.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.146499, 0.15, 0.85, 0.147582
0.8, 0.138165, 0.15, 0.85, 0.143593
0.8, 0.144234, 0.15, 0.85, 0.144767
0.8, 0.148528, 0.15, 0.85, 0.146799
0.8, 0.151256, 0.15, 0.85, 0.151138
0.8, 0.152448, 0.15, 0.85, 0.153922
0.8, 0.144601, 0.15, 0.85, 0.150732
0.8, 0.146858, 0.15, 0.85, 0.148892
0.8, 0.143092, 0.15, 0.85, 0.144858
0.8, 0.142067, 0.15, 0.85, 0.144895
0.8, 0.155489, 0.15, 0.85, 0.155032
0.8, 0.152595, 0.15, 0.85, 0.150606
0.8, 0.145816, 0.15, 0.85, 0.147968
0.8, 0.138408, 0.15, 0.85, 0.139745
0.8, 0.153637, 0.15, 0.85, 0.151724
0.8, 0.150217, 0.15, 0.85, 0.149744
0.8, 0.145562, 0.15, 0.85, 0.146921
0.8, 0.151724, 0.15, 0.85, 0.150759
0.8, 0.146491, 0.15, 0.85, 0.152879
0.8, 0.148549, 0.15, 0.85, 0.156065
0.8, 0.141214, 0.15, 0.85, 0.145953
0.8, 0.144473, 0.15, 0.85, 0.150957
0.8, 0.152976, 0.15, 0.85, 0.151319
0.8, 0.150094, 0.15, 0.85, 0.157379
0.8, 0.142161, 0.15, 0.85, 0.146522
0.8, 0.162685, 0.16, 0.84, 0.163006
0.8, 0.165579, 0.16, 0.84, 0.165666
0.8, 0.16245, 0.16, 0.84, 0.160881
0.8, 0.162223, 0.16, 0.84, 0.160604
0.8, 0.159627, 0.16, 0.84, 0.161943
0.8, 0.155991, 0.16, 0.84, 0.154942
0.8, 0.163532, 0.16, 0.84, 0.160338
0.8, 0.156332, 0.16, 0.84, 0.158766
0.8, 0.160312, 0.16, 0.84, 0.159883
0.8, 0.158767, 0.16, 0.84, 0.163219
0.8, 0.152257, 0.16, 0.84, 0.154844
0.8, 0.161177, 0.16, 0.84, 0.163113
0.8, 0.160594, 0.16, 0.84, 0.165945
0.8, 0.156853, 0.16, 0.84, 0.162529
0.8, 0.160249, 0.16, 0.84, 0.163347
0.8, 0.157218, 0.16, 0.84, 0.158146
0.8, 0.157405, 0.16, 0.84, 0.159148
0.8, 0.163292, 0.16, 0.84, 0.162803
0.8, 0.161647, 0.16, 0.84, 0.16579
0.8, 0.157014, 0.16, 0.84, 0.155255
0.8, 0.17033, 0.16, 0.84, 0.164552
0.8, 0.166553, 0.16, 0.84, 0.164733
0.8, 0.157199, 0.16, 0.84, 0.159055
0.8, 0.156014, 0.16, 0.84, 0.157707
0.8, 0.15141, 0.16, 0.84, 0.15666
0.8, 0.173367, 0.17, 0.83, 0.173378
0.8, 0.171783, 0.17, 0.83, 0.172758
0.8, 0.168508, 0.17, 0.83, 0.175975
0.8, 0.169551, 0.17, 0.83, 0.168357
0.8, 0.177663, 0.17, 0.83, 0.174931
0.8, 0.167243, 0.17, 0.83, 0.17262
0.8, 0.169132, 0.17, 0.83, 0.170943
0.8, 0.179261, 0.17, 0.83, 0.175197
0.8, 0.170959, 0.17, 0.83, 0.172277
0.8, 0.17751, 0.17, 0.83, 0.181693
0.8, 0.16478, 0.17, 0.83, 0.167055
0.8, 0.169992, 0.17, 0.83, 0.173226
0.8, 0.17443, 0.17, 0.83, 0.171895
0.8, 0.169875, 0.17, 0.83, 0.165312
