# B5 Gamma Dynamic Simulation Results
# Strategy schedule: schedules/schedule_b5_honest_selfish_1000.txt
# Gamma schedule: schedules/gamma_schedule_gradual_decline.txt
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
InitialGamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.95, 0.154085, 0.15, 0.85, 0.155075
0.95, 0.154967, 0.15, 0.85, 0.149432
0.95, 0.157085, 0.15, 0.85, 0.155855
0.95, 0.158923, 0.15, 0.85, 0.155367
0.95, 0.147109, 0.15, 0.85, 0.152589
0.95, 0.154557, 0.15, 0.85, 0.153659
0.95, 0.151248, 0.15, 0.85, 0.151832
0.95, 0.157972, 0.15, 0.85, 0.159898
0.95, 0.154233, 0.15, 0.85, 0.155884
0.95, 0.153245, 0.15, 0.85, 0.157199
0.95, 0.158132, 0.15, 0.85, 0.156692
0.95, 0.156299, 0.15, 0.85, 0.15458
0.95, 0.14796, 0.15, 0.85, 0.151949
0.95, 0.157626, 0.15, 0.85, 0.156179
0.95, 0.149019, 0.15, 0.85, 0.146889
0.95, 0.15648, 0.15, 0.85, 0.154678
0.95, 0.155295, 0.15, 0.85, 0.159221
0.95, 0.151377, 0.15, 0.85, 0.151776
0.95, 0.150032, 0.15, 0.85, 0.152154
0.95, 0.159555, 0.15, 0.85, 0.15535
0.95, 0.160643, 0.15, 0.85, 0.158899
0.95, 0.161651, 0.15, 0.85, 0.159827
0.95, 0.159637, 0.15, 0.85, 0.1544
0.95, 0.15286, 0.15, 0.85, 0.153123
0.95, 0.154475, 0.15, 0.85, 0.155212
0.95, 0.168391, 0.16, 0.84, 0.169824
0.95, 0.167856, 0.16, 0.84, 0.170144
0.95, 0.162229, 0.16, 0.84, 0.164961
0.95, 0.163331, 0.16, 0.84, 0.165923
0.95, 0.161644, 0.16, 0.84, 0.163276
0.95, 0.173016, 0.16, 0.84, 0.171153
0.95, 0.163905, 0.16, 0.84, 0.164733
0.95, 0.164299, 0.16, 0.84, 0.165675
0.95, 0.162409, 0.16, 0.84, 0.163497
0.95, 0.170107, 0.16, 0.84, 0.169321
0.95, 0.161854, 0.16, 0.84, 0.164186
0.95, 0.166953, 0.16, 0.84, 0.16271
0.95, 0.159817, 0.16, 0.84, 0.16025
0.95, 0.16736, 0.16, 0.84, 0.165627
0.95, 0.164948, 0.16, 0.84, 0.16611
0.95, 0.162601, 0.16, 0.84, 0.166022
0.95, 0.166441, 0.16, 0.84, 0.167313
0.95, 0.164093, 0.16, 0.84, 0.166676
0.95, 0.164258, 0.16, 0.84, 0.163235
0.95, 0.172198, 0.16, 0.84, 0.168334
0.95, 0.165835, 0.16, 0.84, 0.162158
0.95, 0.170726, 0.16, 0.84, 0.166174
0.95, 0.168592, 0.16, 0.84, 0.164637
0.95, 0.167973, 0.16, 0.84, 0.165045
0.95, 0.165625, 0.16, 0.84, 0.165563
0.95, 0.174723, 0.17, 0.83, 0.172457
0.95, 0.180092, 0.17, 0.83, 0.179296
0.95, 0.170873, 0.17, 0.83, 0.176916
0.95, 0.17403, 0.17, 0.83, 0.173098
